Object,1,2,3,ACC,ACT,AT+ABL,AT+ALL,AT+ESS,COM,COND,FRML,GEN,IMP,IN+ABL,IN+ALL,IN+ESS,IND,L(a),L(aak),L(aar),L(aas),L(aat),L(abu),L(ad),L(aer),L(aev),L(ag),L(ah),L(aht),L(ahv),L(aj),L(aja),L(ak),L(aka),L(al),L(alu),L(am),L(ama),L(ami),L(an),L(and),L(ane),L(ank),L(aot),L(ap),L(ar),L(ara),L(arj),L(aru),L(arv),L(as),L(ast),L(asu),L(at),L(aul),L(av),L(b),L(ba),L(bam),L(be),L(bu),L(but),L(d),L(da),L(dal),L(dam),L(dle),L(dm),L(dma),L(du),L(dus),L(e),L(ead),L(eat),L(eb),L(eba),L(ee),L(eeg),L(eel),L(een),L(eer),L(ees),L(eg),L(ege),L(eid),L(eis),L(eit),L(el),L(ela),L(eld),L(em),L(ema),L(emb),L(en),L(ena),L(end),L(er),L(eri),L(erj),L(es),L(est),L(et),L(eta),L(ete),L(ev),L(fon),L(g),L(ga),L(gas),L(ge),L(gi),L(git),L(gne),L(goi),L(gu),L(gus),L(h),L(hit),L(hku),L(ht),L(hti),L(htu),L(hu),L(hut),L(hv),L(hva),L(i),L(iat),L(ibu),L(id),L(idm),L(idu),L(iet),L(ihu),L(ii),L(iit),L(ik),L(ika),L(iki),L(ila),L(ili),L(ilt),L(ilu),L(im),L(ima),L(imi),L(in),L(ine),L(iri),L(is),L(ise),L(isi),L(ism),L(ist),L(it),L(ita),L(itu),L(ium),L(iv),L(j),L(ja),L(jam),L(joo),L(ju),L(jut),L(juu),L(jät),L(jää),L(jõg),L(k),L(ka),L(kas),L(kat),L(ke),L(kee),L(ker),L(kes),L(ki),L(kim),L(kis),L(kk),L(kki),L(kku),L(kla),L(kle),L(koi),L(ku),L(kuu),L(käi),L(küt),L(l),L(la),L(lak),L(lan),L(ld),L(le),L(leb),L(lem),L(let),L(lga),L(lgi),L(li),L(lit),L(lki),L(lmk),L(loe),L(lt),L(lu),L(lum),L(lus),L(lut),L(luu),L(löö),L(m),L(ma),L(mag),L(mb),L(mbe),L(met),L(mi),L(min),L(mk),L(mon),L(mu),L(mut),L(mõ),L(n),L(na),L(nat),L(nd),L(nda),L(ne),L(nem),L(ner),L(nga),L(nge),L(nin),L(nit),L(nk),L(nki),L(nla),L(nut),L(o),L(ob),L(obu),L(oe),L(ogu),L(oht),L(oi),L(oj),L(ol),L(on),L(oo),L(oob),L(ooj),L(oot),L(or),L(orj),L(ost),L(ot),L(ota),L(ovi),L(p),L(pam),L(pet),L(pi),L(ppi),L(puu),L(r),L(ra),L(rdu),L(re),L(rgi),L(ri),L(rii),L(rim),L(rit),L(rj),L(rja),L(rmu),L(ru),L(rv),L(s),L(sa),L(sad),L(sar),L(se),L(sem),L(set),L(si),L(sit),L(ska),L(sla),L(sm),L(soo),L(ssi),L(st),L(sta),L(ste),L(stu),L(su),L(sur),L(sut),L(sõ),L(söö),L(sül),L(t),L(ta),L(tam),L(tan),L(tap),L(tar),L(te),L(tee),L(ti),L(tik),L(tis),L(tke),L(tle),L(tma),L(too),L(tor),L(tsi),L(ttu),L(tu),L(tus),L(tut),L(töö),L(tši),L(u),L(ud),L(uju),L(ukk),L(ul),L(um),L(uma),L(umi),L(und),L(unk),L(ur),L(ure),L(us),L(ust),L(ut),L(uta),L(uu),L(uul),L(uut),L(v),L(va),L(vah),L(vam),L(var),L(vas),L(vi),L(vit),L(vut),L(väl),L(või),L(võt),L(ä),L(äi),L(äit),L(äki),L(äl),L(ämb),L(äri),L(äsi),L(ät),L(äta),L(ää),L(äät),L(õ),L(õg),L(õi),L(õit),L(õiv),L(õle),L(õt),L(õud),L(ö),L(öki),L(öld),L(öv),L(öö),L(ööv),L(üd),L(ükk),L(ül),L(ün),L(üsi),L(üt),L(üta),L(üüd),L(üün),L(üüt),L(ši),N,NEG,NOM,PASS,PL,POS,PRF,PRF:POS,PRIV,PRS,PRT,PST,QUOT,R(a),R(ar),R(arv),R(e),R(em),R(ema),R(h),R(ha),R(haa),R(he),R(hel),R(hõ),R(hõi),R(j),R(ja),R(jaa),R(k),R(ka),R(kal),R(ko),R(koh),R(l),R(la),R(lah),R(li),R(lin),R(lõ),R(lõp),R(m),R(ma),R(p),R(pa),R(pal),R(r),R(re),R(rei),R(s),R(su),R(sui),R(t),R(te),R(tea),R(to),R(too),R(u),SG,TERM,TRANS,V,V.PTCP
DEL(a),X,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,X,-,-,X,X,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,-
DEL(am),X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,X,X,-,X,-,X,-,X,-,X,X,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-,-,-,-,X,X,-,X,-,-,-,-,-,X,X,-,X,-,-,X,-,-,X,-,X,-,-,-,-,X,-,-,-,-,-,X,-,X,-,-,-,X,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,X,X,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,X,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,X,X,-,X,-,X,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,-,X,-,X,X,-,-,-,X,-,X,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,X,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,X,X,X,X,X,-,X,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,X
DEL(d),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-
DEL(e),-,-,-,X,-,X,-,X,X,-,X,-,-,X,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,X,-,-,X,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,X,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,-,-,-,-,X,-,-,-,X,-,X,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-
DEL(i),-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEL(m),X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,X,X,-,-,-,-,X,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,X,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,X,X,X,-,X,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,-,-,X,-,-,X,X,-,-,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,X,-,-,-,X,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,X
DEL(ma),X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,X,X,X,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,X,X,-,-,X,-,-,-,-,-,X,-,X,X,X,-,-,-,-,-,X,-,X,-,-,-,X,-,-,X,-,X,X,-,-,-,X,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,X,-,X,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,X,X,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,X,X,X,X,-,X,X,-,X,-,-,-,-,-,X,X,-,-,X,X,-,-,-,-,X,X,X,-,-,X,-,-,-,X,X,-,X,-,X,-,X,X,X,-,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,X,-,-,-,X,-,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,X,X,-,X,X,X,-,X,-,X,X,X,X,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,X,X,-,-,X,X,X,-,-,X,-,X,-,-,-,X,-,-,-,-,-,-,X,X,-,X,-,X,X,X,-,-,-,X,X,X,X,-,X,-,-,-,X,-,X,X,-,-,X,-,-,X,X,-,-,-,-,-,-,X,-,-,-,X,-,X,X,X,X,-,-,X,-,X,-,X,-,-,-,X,X,-,X,-,X,X,X,-,-,X,-,X,-,-,-,X,X,-,X,-,-,X,-,X,-,X,X,X,X,X,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,X
DEL(n),-,-,-,X,-,X,X,X,-,-,-,X,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-
DEL(r),-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
DEL(s),-,-,-,-,-,X,X,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-
