Object,AT+ABL,AT+ALL,AT+ESS,ESS,GEN,IN+ABL,IN+ALL,IN+ESS,L(ai),L(al),L(aps),L(ari),L(e),L(ee),L(ein),L(ell),L(evä),L(ht),L(i),L(ilm),L(in),L(iv),L(izä),L(jal),L(jok),L(k),L(kun),L(kuu),L(l),L(ll),L(lm),L(lu),L(m),L(mee),L(n),L(nai),L(ok),L(olu),L(ps),L(ri),L(rv),L(s),L(süä),L(t),L(u),L(un),L(uu),L(v),L(vä),L(zä),L(ä),L(äht),L(äiv),L(ärv),L(üä),N,NOM,PL,R(a),R(u),SG,TRANS
DEL(a),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,X
DEL(i),-,-,-,X,-,X,-,X,-,-,X,-,-,-,-,X,-,X,-,-,-,-,-,-,X,X,-,-,X,X,-,-,-,-,-,-,X,-,X,-,X,X,-,X,-,-,-,X,-,-,-,X,-,X,-,X,X,X,-,-,X,-
DEL(k),-,X,X,-,X,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-
DEL(n),X,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,X,X,-,X,-,-,X,-
DEL(t),-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,X,-,X,-,-,-,-,X,-,X,-,-,-,X
DEL(u),-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-
DEL(z),X,-,X,X,X,X,-,-,-,-,-,X,X,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,X,-
DEL(ä),-,X,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,-,X,-,-,-,X
INS(l),-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-
INS(n),-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,X,-,-,-,-,X,-
INS(z),-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-
