Object,1,2,3,FUT,IND,IPFV,L(and),L(ane),L(api),L(asc),L(at),L(atu),L(auj),L(bre),L(c),L(ch),L(che),L(d),L(de),L(di),L(e),L(ede),L(egn),L(ej),L(en),L(end),L(ene),L(enj),L(ent),L(er),L(erd),L(ert),L(erv),L(est),L(ete),L(ez),L(f),L(ge),L(gn),L(gne),L(gul),L(h),L(he),L(i),L(ich),L(id),L(ie),L(in),L(ine),L(ip),L(ir),L(is),L(ise),L(iss),L(it),L(ite),L(iv),L(j),L(je),L(jer),L(l),L(le),L(ler),L(lv),L(me),L(men),L(mer),L(min),L(mp),L(mud),L(n),L(nd),L(nde),L(ne),L(nej),L(ner),L(nge),L(nis),L(nj),L(nje),L(nt),L(nzi),L(ol),L(olv),L(omp),L(one),L(onj),L(ort),L(ost),L(ote),L(ove),L(p),L(pi),L(pul),L(r),L(rat),L(rd),L(re),L(rez),L(rid),L(rir),L(riv),L(rje),L(rme),L(rol),L(rt),L(rte),L(rv),L(rve),L(s),L(sc),L(se),L(ser),L(ss),L(sse),L(st),L(ste),L(t),L(te),L(ter),L(tir),L(tre),L(tu),L(u),L(uch),L(ud),L(ude),L(udi),L(uj),L(uje),L(ul),L(ule),L(urv),L(ute),L(v),L(ve),L(ver),L(z),L(zi),L(zie),L(zip),L(zit),LGSPEC1,LGSPEC2,NFIN,PL,PRS,PST,R(r),SBJV,SG,V,V.CVB,V.PTCP
DEL(e),X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,X,X,-,-,X,-,X,-,-,-,-,-,-,-,-,-,X,X,-,X,X,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,X,X,X,-,-,-,-,-,X,-,-,X,X,-,-,X,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,X,-,X,-,-,-,-,X,X,-,X,-,X,X,-,-
DEL(er),X,X,X,-,X,X,X,-,-,X,X,X,X,-,X,X,-,X,-,-,-,-,-,X,-,-,-,X,-,-,X,X,X,X,-,X,-,-,-,-,-,X,-,X,X,X,-,X,-,-,-,-,-,X,X,-,X,X,-,-,X,-,-,X,-,-,-,X,-,-,X,X,-,-,X,-,-,-,X,-,-,X,X,X,-,-,X,X,X,-,-,-,-,X,-,X,X,-,X,X,-,X,-,-,X,X,-,X,-,X,X,-,-,X,-,X,-,X,-,-,-,-,X,X,X,-,-,-,X,-,X,-,X,-,X,-,-,X,X,-,-,X,X,X,X,X,X,X,-,X,X,X,X,X
DEL(i),X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,X,X,X,-,X,X,X,-,-
DEL(r),X,X,X,-,X,X,-,X,X,-,-,-,-,X,-,-,X,-,X,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,X,-,X,-,-,X,X,-,-,X,-,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,X,-,-,-,-,X,X,-,-,X,-,X,-,-,X,-,-,-,-,X,-,X,-,-,X,-,-,-,-,X,X,-,X,-,X,-,X,-,X,-,-,-,X,-,-,X,X,X,X,X,X,-,X,X,X,-,-
DEL(é),-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-
DEL(ì),X,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,X,-,-
INS(a),-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,X,-,-
INS(s),-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,X,-,-
INS(à),-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-
INS(é),X,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,X,-,-,X,-,-,X,X,-,X
