Object,1,2,3,ACT,ADJ,DAT,FIN,GEN,IN+ABL,IN+ALL,IN+ESS,IND,INS,L(a),L(aff),L(anā),L(bõr),L(d),L(da),L(e),L(f),L(ff),L(k),L(kkõ),L(kõ),L(kū),L(kūl),L(l),L(lda),L(lmõ),L(lī),L(līz),L(ma),L(mkū),L(mõ),L(mīe),L(n),L(ntõ),L(nz),L(nā),L(nǟd),L(ora),L(r),L(ra),L(smõ),L(suk),L(sīv),L(t),L(tõ),L(tõn),L(tāl),L(uk),L(v),L(z),L(õ),L(õn),L(õnz),L(õnā),L(õr),L(ā),L(āl),L(ī),L(īe),L(īv),L(īz),L(ū),L(ūl),L(ǟd),L(ǟma),LGSPEC1,LGSPEC4,N,NEG,NOM,PL,POS,PRS,PRT,R(n),R(nt),R(õ),SG,V
DEL(d),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,X
DEL(e),-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
DEL(i),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,X,X,-,-,-
DEL(z),-,-,-,-,X,X,-,X,X,-,X,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,X,X,X,-,-,-,-,-,-,X,-,-,-,X,X,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,-,-,-,X,-
DEL(õ),X,X,-,X,-,-,X,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,-,X,-,X,-,X,-,-,-,-,X,X
DEL(ā),-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
INS(d),-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,-,X,X,-,-,-,-,-,-,X,-
INS(n),-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-
INS(s),-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-
INS(t),-,X,X,X,-,-,X,X,-,-,-,X,-,X,-,-,-,-,X,-,-,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,X,X,X,-,-,-,-,-,X
INS(õ),-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-
