Source;Left;Right;Operation;Object;Grammar
blabladx;<bl;bladx>;DEL;a;P,SG,X
blabladx;<blab;adx>;DEL;l;P,SG,X
blabladx;<blabl;dx>;DEL;a;P,SG,X
blabladx;<blabla;dx>;INS;e;P,SG,X
blabladx;<blabla;dx>;INS;r;P,SG,X
blabladx;<blablad;x>;INS;e;P,SG,X
blabladx;<blablad;x>;INS;re;P,SG,X
xubilar;<xubil;ar>;INS;ab;V,IND,PST,3,SG,IPFV
xubilar;<xubila;>;DEL;r;V,IND,PST,3,SG,IPFV
xubilar;<xubil;>;INS;e;V,IND,PST,3,SG,IPFV
xelar;<xelar;>;INS;íamos;V,1,PL,COND,LGSPEC2
abolir;<aboli;>;DEL;r;V,2,SG,IMP
significar;<signifi;>;DEL;car;V,IND,PRS,3,PL
significar;<significar;>;INS;quen;V,IND,PRS,3,PL
sellar;<sell;r>;DEL;a;V,1,PL,SBJV,PST,IPFV,LGSPEC2
sellar;<sella;r>;INS;á;V,1,PL,SBJV,PST,IPFV,LGSPEC2
sellar;<sellar;>;INS;amos;V,1,PL,SBJV,PST,IPFV,LGSPEC2
evitar;<evitar;>;INS;íamos;V,1,PL,COND,LGSPEC2
desaverar;<desavera;>;DEL;r;V,IND,PST,2,PL,PFV,LGSPEC1
desaverar;<desaverar;>;INS;stis;V,IND,PST,2,PL,PFV,LGSPEC1
eliminar;<eliminar;>;INS;e;V,3,SG,IND,PST,PRF,LGSPEC1
preñar;<preñar;>;INS;é;V,1,SG,IND,FUT
escuchar;<escuchar;>;INS;é;V,1,SG,IND,FUT
trabayar;<trabayar;>;INS;ais;V,2,PL,IND,PST,PRF,LGSPEC2
apoyar;<apoy;>;DEL;ar;V,IND,PRS,1,SG
apoyar;<apoyar;>;INS;o;V,IND,PRS,1,SG
clonar;<clonar;>;INS;e;V,3,SG,SBJV,PST,IPFV,LGSPEC1
portar;<portar;>;INS;es;V,2,SG,IND,PST,PRF,LGSPEC1
axudar;<axudar;>;INS;ía;V,3,SG,COND
eclipsar;<eclipsar;>;INS;ás;V,2,SG,IND,FUT
cuspir;<cusp;>;DEL;ir;V,IND,PST,1,PL,IPFV,LGSPEC1
cuspir;<cuspir;>;INS;íemos;V,IND,PST,1,PL,IPFV,LGSPEC1
aforrar;<aforrar;>;INS;éis;V,2,PL,IND,FUT
causar;<causar;>;INS;e;V,3,SG,IND,PST,PRF,LGSPEC1
funcionar;<funcion;>;DEL;ar;V,IND,PST,1,SG,PFV
funcionar;<funcionar;>;INS;é;V,IND,PST,1,SG,PFV
eclipsar;<eclipsar;>;INS;as;V,2,SG,SBJV,PST,IPFV,LGSPEC2
acompangar;<acompangar;>;INS;ía;V,3,SG,COND
brincar;<brinca;>;DEL;r;V.CVB,PRS
brincar;<brincar;>;INS;ndo;V.CVB,PRS
afumiar;<afumia;>;DEL;r;V.PTCP,PST,FEM,PL
afumiar;<afumiar;>;INS;es;V.PTCP,PST,FEM,PL
nombrar;<nombr;ar>;INS;ab;V,IND,PST,3,SG,IPFV
nombrar;<nombra;>;DEL;r;V,IND,PST,3,SG,IPFV
xintar;<xintar;>;INS;án;V,3,PL,IND,FUT
alimentar;<aliment;>;DEL;ar;V,2,SG,SBJV,PRS,LGSPEC1
alimentar;<alimentar;>;INS;es;V,2,SG,SBJV,PRS,LGSPEC1
axuntar;<axuntar;>;INS;íamos;V,1,PL,COND,LGSPEC2
esfregar;<esfregar;>;INS;á;V,3,SG,IND,FUT
cribar;<cribar;>;INS;as;V,2,SG,IND,PST,PRF,LGSPEC2
viaxar;<viax;>;DEL;ar;V,IND,PST,3,SG,PFV
viaxar;<viaxar;>;INS;ó;V,IND,PST,3,SG,PFV
llimpiar;<llimpiar;>;INS;íamos;V,1,PL,COND,LGSPEC2
votar;<vot;>;DEL;ar;V,IND,PST,3,SG,PFV
votar;<votar;>;INS;ó;V,IND,PST,3,SG,PFV
dixebrar;<dixebrar;>;INS;es;V,2,SG,IND,PST,PRF,LGSPEC1
estender;<estend;>;DEL;er;V,3,PL,IND,FUT
estender;<estender;>;INS;áis;V,3,PL,IND,FUT
tomar;<tom;>;DEL;ar;V,IND,PST,2,PL,PFV,LGSPEC2
tomar;<tomar;>;INS;estis;V,IND,PST,2,PL,PFV,LGSPEC2
acusar;<acusar;>;INS;ais;V,2,PL,IND,PST,PRF,LGSPEC2
esmordigañar;<esmordigañ;r>;DEL;a;V,1,PL,IND,PST,PRF,LGSPEC2
esmordigañar;<esmordigaña;r>;INS;á;V,1,PL,IND,PST,PRF,LGSPEC2
esmordigañar;<esmordigañar;>;INS;amos;V,1,PL,IND,PST,PRF,LGSPEC2
esplotar;<esplot;>;DEL;ar;V,3,PL,SBJV,PRS,LGSPEC1
esplotar;<esplotar;>;INS;en;V,3,PL,SBJV,PRS,LGSPEC1
sangrar;<sangra;>;DEL;r;V.PTCP,PST,FEM,PL
sangrar;<sangrar;>;INS;es;V.PTCP,PST,FEM,PL
interpretar;<interpret;>;DEL;ar;V,IND,PRS,2,SG
interpretar;<interpretar;>;INS;es;V,IND,PRS,2,SG
colocar;<colo;>;DEL;car;V,2,SG,SBJV,PRS,LGSPEC2
colocar;<colocar;>;INS;quas;V,2,SG,SBJV,PRS,LGSPEC2
parir;<pari;r>;INS;e;V,3,SG,IND,PST,PRF,LGSPEC1
parir;<parir;>;INS;e;V,3,SG,IND,PST,PRF,LGSPEC1
alimentar;<alimentar;>;INS;án;V,3,PL,IND,FUT
agrupar;<agrupa;>;DEL;r;V,IND,PRS,3,SG
entrenar;<entren;>;DEL;ar;V,IND,PST,1,PL,IPFV,LGSPEC1
entrenar;<entrenar;>;INS;ábemos;V,IND,PST,1,PL,IPFV,LGSPEC1
duldar;<duld;ar>;INS;áb;V,IND,PST,1,PL,IPFV,LGSPEC2
duldar;<dulda;>;DEL;r;V,IND,PST,1,PL,IPFV,LGSPEC2
duldar;<duldar;>;INS;mos;V,IND,PST,1,PL,IPFV,LGSPEC2
recordar;<recordar;>;INS;á;V,3,SG,IND,FUT
desplicar;<despli;>;DEL;car;V,1,PL,SBJV,PRS
desplicar;<desplicar;>;INS;quemos;V,1,PL,SBJV,PRS
empecipiar;<empecipiar;>;INS;ía;V,1,SG,COND
robar;<rob;>;DEL;ar;V,IND,PST,1,PL,PFV
robar;<robar;>;INS;emos;V,IND,PST,1,PL,PFV
comparar;<comparar;>;INS;a;V,1,SG,SBJV,PST,IPFV,LGSPEC2
cantar;<cantar;>;INS;é;V,1,SG,IND,FUT
ferrar;<fer;r>;DEL;ra;V,IND,PST,1,SG,PFV
ferrar;<ferrar;>;INS;é;V,IND,PST,1,SG,PFV
matar;<mat;>;DEL;ar;V,1,PL,SBJV,PRS
matar;<matar;>;INS;emos;V,1,PL,SBJV,PRS
fumiar;<fumi;>;DEL;ar;V,IND,PST,1,PL,PFV
fumiar;<fumiar;>;INS;emos;V,IND,PST,1,PL,PFV
audar;<aud;>;DEL;ar;V,IND,PRS,2,PL
audar;<audar;>;INS;áis;V,IND,PRS,2,PL
doblar;<dobl;>;DEL;ar;V,IND,PRS,2,PL
doblar;<doblar;>;INS;áis;V,IND,PRS,2,PL
pecar;<pec;>;DEL;ar;V,IND,PST,3,SG,PFV
pecar;<pecar;>;INS;ó;V,IND,PST,3,SG,PFV
rexistrar;<rexistr;r>;DEL;a;V,1,PL,IND,PST,PRF,LGSPEC2
rexistrar;<rexistra;r>;INS;á;V,1,PL,IND,PST,PRF,LGSPEC2
rexistrar;<rexistrar;>;INS;amos;V,1,PL,IND,PST,PRF,LGSPEC2
ayudar;<ayudar;>;INS;íen;V,3,PL,COND
estrañar;<estrañ;>;DEL;ar;V,IND,PST,3,SG,PFV
estrañar;<estrañar;>;INS;ó;V,IND,PST,3,SG,PFV
llorar;<llor;ar>;INS;ad;V.PTCP,PST,FEM,SG
llorar;<llora;>;DEL;r;V.PTCP,PST,FEM,SG
llamber;<llambe;>;DEL;r;V,IND,PRS,2,SG
llamber;<llamber;>;INS;s;V,IND,PRS,2,SG
estudiar;<estudiar;>;INS;a;V,1,SG,SBJV,PST,IPFV,LGSPEC2
casar;<casa;>;DEL;r;V,IND,PST,2,PL,IPFV,LGSPEC1
casar;<casar;>;INS;beis;V,IND,PST,2,PL,IPFV,LGSPEC1
evitar;<evita;>;DEL;r;V,3,PL,SBJV,PRS,LGSPEC2
evitar;<evitar;>;INS;n;V,3,PL,SBJV,PRS,LGSPEC2
humildar;<humild;>;DEL;ar;V,IND,PRS,3,PL
humildar;<humildar;>;INS;en;V,IND,PRS,3,PL
llantar;<llanta;>;DEL;r;V,3,PL,SBJV,PRS,LGSPEC2
llantar;<llantar;>;INS;n;V,3,PL,SBJV,PRS,LGSPEC2
trabayar;<trabaya;>;DEL;r;V,IND,PST,2,PL,PFV,LGSPEC1
trabayar;<trabayar;>;INS;stis;V,IND,PST,2,PL,PFV,LGSPEC1
comenzar;<comenzar;>;INS;en;V,3,PL,SBJV,PST,IPFV,LGSPEC1
abotonar;<aboton;>;DEL;ar;V,1,SG,SBJV,PRS
abotonar;<abotonar;>;INS;e;V,1,SG,SBJV,PRS
cavilar;<cavilar;>;INS;a;V,3,SG,SBJV,PST,IPFV,LGSPEC2
remolcar;<remolcar;>;INS;éis;V,2,PL,IND,FUT
amasuñar;<amasuñ;>;DEL;ar;V,IND,PRS,2,PL
amasuñar;<amasuñar;>;INS;áis;V,IND,PRS,2,PL
amparar;<amparar;>;INS;es;V,2,SG,IND,PST,PRF,LGSPEC1
circular;<circula;>;DEL;r;V,IND,PST,2,SG,PFV,LGSPEC1
circular;<circular;>;INS;sti;V,IND,PST,2,SG,PFV,LGSPEC1
amalar;<amala;>;DEL;r;V,3,PL,SBJV,PRS,LGSPEC2
amalar;<amalar;>;INS;n;V,3,PL,SBJV,PRS,LGSPEC2
aniciar;<anic;iar>;INS;iest;V,IND,PST,2,SG,PFV,LGSPEC2
aniciar;<anici;>;DEL;ar;V,IND,PST,2,SG,PFV,LGSPEC2
cristianizar;<cristian;izar>;INS;icest;V,IND,PST,2,SG,PFV,LGSPEC2
cristianizar;<cristiani;>;DEL;zar;V,IND,PST,2,SG,PFV,LGSPEC2
fumiar;<fumiar;>;INS;as;V,2,SG,IND,PST,PRF,LGSPEC2
llorar;<llorar;>;INS;en;V,3,PL,IND,PST,PRF,LGSPEC1
comicar;<comicar;>;INS;e;V,3,SG,SBJV,PST,IPFV,LGSPEC1
calcar;<calca;>;DEL;r;V,IND,PST,2,PL,IPFV,LGSPEC1
calcar;<calcar;>;INS;beis;V,IND,PST,2,PL,IPFV,LGSPEC1
eliminar;<elimina;>;DEL;r;V,2,SG,SBJV,PRS,LGSPEC2
eliminar;<eliminar;>;INS;s;V,2,SG,SBJV,PRS,LGSPEC2
funcionar;<funciona;>;DEL;r;V.CVB,PRS
funcionar;<funcionar;>;INS;ndo;V.CVB,PRS
trabayar;<trabayar;>;INS;ais;V,2,PL,SBJV,PST,IPFV,LGSPEC2
cazar;<caza;>;DEL;r;V,IND,PRS,1,PL
cazar;<cazar;>;INS;mos;V,IND,PRS,1,PL
descansar;<descansar;>;INS;íemos;V,1,PL,COND,LGSPEC1
atrapar;<atrap;ar>;INS;ab;V,IND,PST,3,SG,IPFV
atrapar;<atrapa;>;DEL;r;V,IND,PST,3,SG,IPFV
esbarafundiar;<esbarafundia;>;DEL;r;V,2,SG,IMP
pautar;<pautar;>;INS;a;V,3,SG,IND,PST,PRF,LGSPEC2
baillar;<baillar;>;INS;e;V,3,SG,SBJV,PST,IPFV,LGSPEC1
allugar;<alluga;>;DEL;r;V,IND,PRS,3,SG
facer;<f;cer>;DEL;a;V,1,SG,SBJV,PST,IPFV,LGSPEC2
facer;<fa;cer>;INS;i;V,1,SG,SBJV,PST,IPFV,LGSPEC2
facer;<fac;er>;INS;i;V,1,SG,SBJV,PST,IPFV,LGSPEC2
facer;<facer;>;INS;e;V,1,SG,SBJV,PST,IPFV,LGSPEC2
orinar;<orinar;>;INS;en;V,3,PL,IND,PST,PRF,LGSPEC1
espoxigar;<espoxigar;>;INS;on;V,IND,PST,3,PL,PFV
esplorar;<esplo;r>;DEL;ra;V,IND,PST,1,PL,IPFV,LGSPEC1
esplorar;<esplorar;>;INS;ábemos;V,IND,PST,1,PL,IPFV,LGSPEC1
truñar;<truñ;>;DEL;ar;V,IND,PRS,3,PL
truñar;<truñar;>;INS;en;V,IND,PRS,3,PL
xantar;<xanta;>;DEL;r;V,IND,PST,2,SG,IPFV
xantar;<xantar;>;INS;bes;V,IND,PST,2,SG,IPFV
esmordigañar;<esmordigaña;>;DEL;r;V,3,PL,SBJV,PRS,LGSPEC2
esmordigañar;<esmordigañar;>;INS;n;V,3,PL,SBJV,PRS,LGSPEC2
emocionar;<emocion;>;DEL;ar;V.PTCP,PST,MASC,SG
emocionar;<emocionar;>;INS;áu;V.PTCP,PST,MASC,SG
axudar;<axudar;>;INS;án;V,3,PL,IND,FUT
averar;<averar;>;INS;en;V,3,PL,IND,PST,PRF,LGSPEC1
causar;<causar;>;INS;ás;V,2,SG,IND,FUT
sonrir;<sonr;ir>;INS;í;V,2,PL,IMP
sonrir;<sonri;>;DEL;r;V,2,PL,IMP
brincar;<brinc;r>;DEL;a;V,1,PL,IND,PST,PRF,LGSPEC1
brincar;<brinca;r>;INS;á;V,1,PL,IND,PST,PRF,LGSPEC1
brincar;<brincar;>;INS;emos;V,1,PL,IND,PST,PRF,LGSPEC1
xintar;<xint;>;DEL;ar;V,2,PL,SBJV,PRS
xintar;<xintar;>;INS;éis;V,2,PL,SBJV,PRS
acutar;<acut;ar>;INS;áb;V,IND,PST,1,PL,IPFV,LGSPEC2
acutar;<acuta;>;DEL;r;V,IND,PST,1,PL,IPFV,LGSPEC2
acutar;<acutar;>;INS;mos;V,IND,PST,1,PL,IPFV,LGSPEC2
cazar;<caz;r>;DEL;a;V,1,PL,SBJV,PST,IPFV,LGSPEC2
cazar;<caza;r>;INS;á;V,1,PL,SBJV,PST,IPFV,LGSPEC2
cazar;<cazar;>;INS;amos;V,1,PL,SBJV,PST,IPFV,LGSPEC2
arricar;<arri;>;DEL;car;V,2,SG,SBJV,PRS,LGSPEC1
arricar;<arricar;>;INS;ques;V,2,SG,SBJV,PRS,LGSPEC1
esclucar;<escluca;>;DEL;r;V,IND,PST,2,PL,IPFV,LGSPEC1
esclucar;<esclucar;>;INS;beis;V,IND,PST,2,PL,IPFV,LGSPEC1
plantar;<plantar;>;INS;íen;V,3,PL,COND
echar;<ech;>;DEL;ar;V,2,PL,SBJV,PRS
echar;<echar;>;INS;éis;V,2,PL,SBJV,PRS
inflar;<inflar;>;INS;íais;V,2,PL,COND,LGSPEC2
enseñar;<enseñ;>;DEL;ar;V,IND,PRS,2,SG
enseñar;<enseñar;>;INS;es;V,IND,PRS,2,SG
esnalar;<esnal;>;DEL;ar;V,1,PL,SBJV,PRS
esnalar;<esnalar;>;INS;emos;V,1,PL,SBJV,PRS
cavilar;<cavil;>;DEL;ar;V,IND,PST,2,PL,PFV,LGSPEC2
cavilar;<cavilar;>;INS;estis;V,IND,PST,2,PL,PFV,LGSPEC2
reposar;<reposar;>;INS;eis;V,2,PL,SBJV,PST,IPFV,LGSPEC1
respirar;<respirar;>;INS;íen;V,3,PL,COND
atragantar;<atragantar;>;INS;e;V,1,SG,IND,PST,PRF,LGSPEC1
agarrar;<agarrar;>;INS;éis;V,2,PL,IND,FUT
dunviar;<dunvi;>;DEL;ar;V,3,SG,SBJV,PRS
dunviar;<dunviar;>;INS;e;V,3,SG,SBJV,PRS
occitanu;<occitan;>;DEL;u;ADJ,SG,FEM
occitanu;<occitanu;>;INS;a;ADJ,SG,FEM
alimentar;<aliment;>;DEL;ar;V,IND,PRS,2,PL
alimentar;<alimentar;>;INS;áis;V,IND,PRS,2,PL
robar;<roba;>;DEL;r;V,IND,PST,3,PL,IPFV
robar;<robar;>;INS;ben;V,IND,PST,3,PL,IPFV
niciar;<nicia;>;DEL;r;V.PTCP,PST,NEUT,SG
niciar;<niciar;>;INS;o;V.PTCP,PST,NEUT,SG
golar;<golar;>;INS;ais;V,2,PL,IND,PST,PRF,LGSPEC2
planchar;<planchar;>;INS;án;V,3,PL,IND,FUT
llimpiar;<llimpiar;>;INS;ía;V,3,SG,COND
respirar;<respira;>;DEL;r;V.PTCP,PST,FEM,PL
respirar;<respirar;>;INS;es;V.PTCP,PST,FEM,PL
enseñar;<enseñ;ar>;INS;ab;V,IND,PST,3,SG,IPFV
enseñar;<enseña;>;DEL;r;V,IND,PST,3,SG,IPFV
encadenar;<encadenar;>;INS;íes;V,2,SG,COND
contestar;<contestar;>;INS;a;V,3,SG,SBJV,PST,IPFV,LGSPEC2
producir;<producir;>;INS;íais;V,2,PL,SBJV,PST,IPFV,LGSPEC2
aguantar;<aguanta;>;DEL;r;V,IND,PST,2,PL,PFV,LGSPEC1
aguantar;<aguantar;>;INS;stis;V,IND,PST,2,PL,PFV,LGSPEC1
