Source;Left;Right;Operation;Object;Grammar
norka;<nork;>;DEL;a;N,VOC,PL
norka;<norka;>;INS;y;N,VOC,PL
masturbovat;<masturbova;>;DEL;t;V,COND,PST,3,PL,MASC,ANIM
masturbovat;<masturbovat;>;INS;li;V,COND,PST,3,PL,MASC,ANIM
plotice;<plotic;>;DEL;e;N,ESS,PL
plotice;<plotice;>;INS;ích;N,ESS,PL
odčítat;<odčíta;>;DEL;t;V.PTCP
odčítat;<odčítat;>;INS;jící;V.PTCP
pozorný;<pozorn;>;DEL;ý;ADJ,DAT,NEUT,SG
pozorný;<pozorný;>;INS;ému;ADJ,DAT,NEUT,SG
židle;<židl;>;DEL;e;N,INS,SG
židle;<židle;>;INS;í;N,INS,SG
časný;<časný;>;INS;ch;ADJ,ESS,PL
bledý;<bled;>;DEL;ý;ADJ,ACC,FEM,SG
bledý;<bledý;>;INS;ou;ADJ,ACC,FEM,SG
norka;<nork;>;DEL;a;N,ACC,SG
norka;<norka;>;INS;u;N,ACC,SG
stěhovat;<stěhovat;>;INS;e;V,IND,PST,2,SG,FORM,NEUT
diagnostikovat;<diagnostikova;>;DEL;t;V,COND,PST,2,SG,NEUT
diagnostikovat;<diagnostikovat;>;INS;lo;V,COND,PST,2,SG,NEUT
hamburger;<hamburger;>;INS;y;N,VOC,PL
nemotorný;<nemotorný;>;INS;m;ADJ,INS,MASC,SG
žebro;<žeb;ro>;INS;e;N,GEN,PL
žebro;<žebr;>;DEL;o;N,GEN,PL
futuristický;<futuristick;>;DEL;ý;ADJ,ACC,ANIM,MASC,SG
futuristický;<futuristický;>;INS;ého;ADJ,ACC,ANIM,MASC,SG
písčitý;<písčit;>;DEL;ý;ADJ,ACC,NEUT,PL
písčitý;<písčitý;>;INS;á;ADJ,ACC,NEUT,PL
pohanský;<pohansk;>;DEL;ý;ADJ,ACC,NEUT,SG
pohanský;<pohanský;>;INS;é;ADJ,ACC,NEUT,SG
apačština;<apačštin;>;DEL;a;N,NOM,PL
apačština;<apačština;>;INS;y;N,NOM,PL
definovat;<definova;>;DEL;t;V,COND,PRS,1,SG,MASC
neopěvovaný;<neopěvovan;>;DEL;ý;ADJ,ACC,FEM,PL
neopěvovaný;<neopěvovaný;>;INS;é;ADJ,ACC,FEM,PL
foldovat;<foldov;at>;INS;al;V.PTCP,ACT,PRF,FEM,SG
foldovat;<foldova;>;DEL;t;V.PTCP,ACT,PRF,FEM,SG
napjatý;<napjat;>;DEL;ý;ADJ,NOM,FEM,SG
napjatý;<napjatý;>;INS;á;ADJ,NOM,FEM,SG
dělat;<dělat;>;INS;e;V,COND,PRS,2,SG,FORM,NEUT
třmínek;<třmín;k>;DEL;e;N,INS,SG
třmínek;<třmínek;>;INS;em;N,INS,SG
arkáda;<arkád;>;DEL;a;N,ESS,PL
arkáda;<arkáda;>;INS;ách;N,ESS,PL
flegmatický;<flegmatický;>;INS;ch;ADJ,GEN,PL
aktivista;<aktivist;>;DEL;a;N,DAT,SG
aktivista;<aktivista;>;INS;ovi;N,DAT,SG
kafrat;<kafr;at>;INS;al;V,IND,PST,3,PL,NEUT
kafrat;<kafra;>;DEL;t;V,IND,PST,3,PL,NEUT
odpor;<odpor;>;INS;y;N,NOM,PL
maximum;<maximu;>;DEL;m;N,ESS,SG
námořnictvo;<námořnictv;>;DEL;o;N,DAT,SG
námořnictvo;<námořnictvo;>;INS;u;N,DAT,SG
kontrolovat;<kontrolova;>;DEL;t;V,IND,PST,3,SG,MASC
kontrolovat;<kontrolovat;>;INS;l;V,IND,PST,3,SG,MASC
chovat;<chova;>;DEL;t;V,COND,PRS,3,PL,NEUT
vina;<vin;>;DEL;a;N,DAT,SG
vina;<vina;>;INS;ě;N,DAT,SG
víno;<vín;>;DEL;o;N,INS,SG
víno;<víno;>;INS;em;N,INS,SG
poměrový;<poměrov;>;DEL;ý;ADJ,NOM,NEUT,SG
poměrový;<poměrový;>;INS;é;ADJ,NOM,NEUT,SG
soucit;<soucit;>;INS;ů;N,GEN,PL
ilustrovat;<ilustrov;at>;INS;án;V.PTCP,PASS,FEM,SG
ilustrovat;<ilustrova;>;DEL;t;V.PTCP,PASS,FEM,SG
bunda;<bund;>;DEL;a;N,ACC,PL
bunda;<bunda;>;INS;y;N,ACC,PL
ruský;<ru;>;DEL;ský;ADJ,VOC,ANIM,MASC,PL
ruský;<ruský;>;INS;ští;ADJ,VOC,ANIM,MASC,PL
dabovat;<dabova;>;DEL;t;V.PTCP,ACT,PRF,NEUT,SG
dabovat;<dabovat;>;INS;lo;V.PTCP,ACT,PRF,NEUT,SG
sněhový;<sněhov;>;DEL;ý;ADJ,NOM,FEM,SG
sněhový;<sněhový;>;INS;á;ADJ,NOM,FEM,SG
surikata;<surikat;>;DEL;a;N,VOC,PL
surikata;<surikata;>;INS;y;N,VOC,PL
hákovat;<hákova;>;DEL;t;V,COND,PRS,1,PL,MASC
mléko;<mlé;>;DEL;ko;N,ESS,PL
mléko;<mléko;>;INS;cích;N,ESS,PL
nepochopitelný;<nepochopiteln;>;DEL;ý;ADJ,ACC,NEUT,PL
nepochopitelný;<nepochopitelný;>;INS;á;ADJ,ACC,NEUT,PL
zařízený;<zařízen;>;DEL;ý;ADJ,VOC,NEUT,SG
zařízený;<zařízený;>;INS;é;ADJ,VOC,NEUT,SG
demagogický;<demagogick;>;DEL;ý;ADJ,ACC,MASC,PL
demagogický;<demagogický;>;INS;é;ADJ,ACC,MASC,PL
tautomerie;<tautomeri;>;DEL;e;N,ESS,SG
tautomerie;<tautomerie;>;INS;i;N,ESS,SG
připomínat;<připomína;>;DEL;t;V,COND,PRS,1,PL,NEUT
hypotetický;<hypotetick;>;DEL;ý;ADJ,ACC,MASC,PL
hypotetický;<hypotetický;>;INS;é;ADJ,ACC,MASC,PL
papyrový;<papyrov;>;DEL;ý;ADJ,VOC,NEUT,PL
papyrový;<papyrový;>;INS;á;ADJ,VOC,NEUT,PL
akumulátor;<akum;látor>;DEL;u;N,VOC,SG
akumulátor;<akumu;látor>;INS;a;N,VOC,SG
akumulátor;<akumulátor;>;INS;e;N,VOC,SG
výsledovka;<výsledovk;>;DEL;a;N,VOC,PL
výsledovka;<výsledovka;>;INS;y;N,VOC,PL
diktovat;<d;>;DEL;iktovat;V,IMP,1,PL
diktovat;<diktovat;>;INS;ůvěřujme;V,IMP,1,PL
motivovat;<motivova;>;DEL;t;V,COND,PST,2,PL,MASC
motivovat;<motivovat;>;INS;li;V,COND,PST,2,PL,MASC
obecný;<obecn;>;DEL;ý;ADJ,VOC,MASC,PL
obecný;<obecný;>;INS;é;ADJ,VOC,MASC,PL
pečovat;<pečov;at>;INS;al;V.PTCP,ACT,PRF,NEUT,PL
pečovat;<pečova;>;DEL;t;V.PTCP,ACT,PRF,NEUT,PL
překvapující;<překvapující;>;INS;ho;ADJ,ACC,ANIM,MASC,SG
aktivum;<aktiv;>;DEL;um;N,ESS,PL
aktivum;<aktivum;>;INS;ech;N,ESS,PL
nepodstatný;<nepodstatn;>;DEL;ý;ADJ,ESS,NEUT,SG
nepodstatný;<nepodstatný;>;INS;ém;ADJ,ESS,NEUT,SG
