Source;Left;Right;Operation;Object;Grammar
kirkegård;<kirkegård;>;INS;e;N,INDF,NOM,PL
guldblomme;<guldblomme;>;INS;n;N,DEF,NOM,SG
pinlighedsfornemmelse;<pinlighedsfornemmelse;>;INS;n;N,DEF,NOM,SG
sydafrikaner;<sydafrikaner;>;INS;en;N,DEF,NOM,SG
subkontinent;<subkontinent;>;INS;er;N,INDF,NOM,PL
dyste;<dyste;>;INS;t;V.PTCP,PASS,PST
massøse;<massøse;>;INS;s;N,INDF,GEN,SG
agnostiker;<agnostiker;>;INS;en;N,DEF,NOM,SG
penis;<penis;>;INS;sen;N,DEF,NOM,SG
studium;<studi;>;DEL;um;N,DEF,NOM,PL
studium;<studium;>;INS;erne;N,DEF,NOM,PL
sus;<sus;>;INS;et;N,DEF,NOM,SG
kæle;<kæl;>;DEL;e;V,ACT,IMP
mage;<mag;e>;INS;ern;N,DEF,NOM,PL
kikser;<kikser;>;INS;ne;N,DEF,NOM,PL
smeltevarme;<smeltevarm;e>;INS;ern;N,DEF,NOM,PL
håndboldspiller;<håndboldspiller;>;INS;en;N,DEF,NOM,SG
bølgefunktion;<bølgefunktio;n>;INS;ne;N,DEF,NOM,SG
fremmedord;<fremmedord;>;INS;s;N,INDF,GEN,SG
lian;<lian;>;INS;ers;N,INDF,GEN,PL
krokodilletåre;<krokodilletåre;>;INS;rs;N,INDF,GEN,PL
knald;<knald;>;INS;s;N,INDF,GEN,PL
konserveringsmiddel;<konserveringsmid;l>;DEL;de;N,INDF,GEN,PL
konserveringsmiddel;<konserveringsmiddel;>;INS;ers;N,INDF,GEN,PL
hypnotisør;<hypnotisør;>;INS;s;N,INDF,GEN,SG
kokosolie;<kokosoli;e>;INS;ern;N,DEF,NOM,PL
brise;<brise;>;INS;n;N,DEF,NOM,SG
diftong;<diftong;>;INS;er;N,INDF,NOM,PL
løb;<løb;>;INS;ene;N,DEF,NOM,PL
grube;<grube;>;INS;s;N,INDF,GEN,SG
kulstofkredsløb;<kulstofkredsløb;>;INS;ene;N,DEF,NOM,PL
albumin;<albumin;>;INS;s;N,INDF,GEN,SG
sædcelle;<sædcell;e>;INS;ern;N,DEF,NOM,PL
højttaler;<højttaler;>;INS;en;N,DEF,NOM,SG
fætter;<fæt;r>;DEL;te;N,DEF,NOM,PL
fætter;<fætter;>;INS;ene;N,DEF,NOM,PL
ulk;<ulk;>;INS;s;N,INDF,GEN,SG
ambra;<ambra;>;INS;en;N,DEF,NOM,SG
juletræ;<juletræ;>;INS;ers;N,INDF,GEN,PL
reparere;<reparer;>;DEL;e;V,ACT,IMP
slange;<slange;>;INS;r;N,INDF,NOM,PL
legeplads;<legeplad;s>;INS;ser;N,INDF,GEN,PL
stamme;<stamme;>;INS;n;N,DEF,NOM,SG
halskæde;<halskæde;>;INS;r;N,INDF,NOM,PL
ekstranet;<ekstran;et>;INS;ett;N,DEF,NOM,SG
rhesusabe;<rhesusabe;>;INS;s;N,INDF,GEN,SG
håndgemæng;<håndgemæng;>;INS;s;N,INDF,GEN,SG
campingvogn;<campingvog;n>;INS;ne;N,DEF,NOM,SG
brunette;<brunette;>;INS;n;N,DEF,NOM,SG
pæderast;<pæderast;>;INS;ers;N,INDF,GEN,PL
afbildning;<afbildning;>;INS;en;N,DEF,NOM,SG
slagskib;<slagskib;>;INS;es;N,INDF,GEN,PL
anagram;<anagram;>;INS;merne;N,DEF,NOM,PL
kunst;<kunst;>;INS;en;N,DEF,NOM,SG
arne;<arne;>;INS;r;N,INDF,NOM,PL
urinrør;<urinrør;>;INS;s;N,INDF,GEN,PL
vejrhane;<vejrha;ne>;INS;ner;N,DEF,NOM,PL
oase;<oase;>;INS;s;N,INDF,GEN,SG
kastel;<kastel;>;INS;lers;N,INDF,GEN,PL
kejserrige;<kejserrige;>;INS;r;N,INDF,NOM,PL
åg;<åg;>;INS;s;N,INDF,GEN,PL
jungle;<jungle;>;INS;rs;N,INDF,GEN,PL
elegi;<elegi;>;INS;erne;N,DEF,NOM,PL
tepose;<tepose;>;INS;rs;N,INDF,GEN,PL
datid;<datid;>;INS;s;N,INDF,GEN,SG
spurt;<spurt;>;INS;erne;N,DEF,NOM,PL
intelligensniveau;<intelligensniveau;>;INS;s;N,INDF,GEN,SG
lønforhøjelse;<lønforhøjelse;>;INS;s;N,INDF,GEN,SG
andrik;<andrik;>;INS;kerne;N,DEF,NOM,PL
paté;<paté;>;INS;erne;N,DEF,NOM,PL
tortur;<tortur;>;INS;ers;N,INDF,GEN,PL
haitianer;<haitianer;>;INS;s;N,INDF,GEN,SG
forhøjelse;<forhøjels;e>;INS;ern;N,DEF,NOM,PL
bille;<bill;e>;INS;ern;N,DEF,NOM,PL
provins;<provins;>;INS;er;N,INDF,NOM,PL
dehydrere;<dehydrer;e>;INS;ed;V,ACT,IND,PST
mellemmand;<mellemmand;>;INS;en;N,DEF,NOM,SG
vielsesring;<vielsesring;>;INS;es;N,INDF,GEN,PL
nederdel;<nederdel;>;INS;e;N,INDF,NOM,PL
guitar;<guita;r>;INS;re;N,INDF,NOM,PL
smil;<smil;>;INS;ene;N,DEF,NOM,PL
alkoholiker;<alkoholiker;>;INS;ne;N,DEF,NOM,PL
rollemodel;<rollemodel;>;INS;lers;N,INDF,GEN,PL
horehus;<horehus;>;INS;ene;N,DEF,NOM,PL
reagensglas;<reagensglas;>;INS;sene;N,DEF,NOM,PL
orkestergrav;<orkestergrav;>;INS;ene;N,DEF,NOM,PL
barbar;<barbar;>;INS;en;N,DEF,NOM,SG
plage;<plage;>;INS;n;N,DEF,NOM,SG
lykønske;<lykønske;>;INS;des;V,PASS,IND,PST
beskrivelse;<beskrivelse;>;INS;n;N,DEF,NOM,SG
demontere;<demontere;>;INS;t;V.PTCP,PASS,PST
babyboom;<babyboom;>;INS;s;N,INDF,GEN,SG
aks;<aks;>;INS;et;N,DEF,NOM,SG
pib;<pib;>;INS;s;N,INDF,GEN,SG
musikinstrument;<musikinstrument;>;INS;er;N,INDF,NOM,PL
semiotiker;<semiotiker;>;INS;en;N,DEF,NOM,SG
filter;<filt;er>;INS;ren;N,DEF,NOM,PL
filter;<filte;>;DEL;r;N,DEF,NOM,PL
pendant;<pendant;>;INS;er;N,INDF,NOM,PL
breche;<brech;e>;INS;ern;N,DEF,NOM,PL
vogn;<vogn;>;INS;ene;N,DEF,NOM,PL
sværm;<sværm;>;INS;ene;N,DEF,NOM,PL
potentat;<potentat;>;INS;ers;N,INDF,GEN,PL
kvalitet;<kvalitet;>;INS;ers;N,INDF,GEN,PL
politimand;<politim;nd>;DEL;a;N,INDF,NOM,PL
politimand;<politima;nd>;INS;æ;N,INDF,NOM,PL
hat;<hat;>;INS;ten;N,DEF,NOM,SG
øjenvippe;<øjenvipp;e>;INS;ern;N,DEF,NOM,PL
barnevogn;<barnevog;n>;INS;ne;N,DEF,NOM,SG
navlestreng;<navlestreng;>;INS;en;N,DEF,NOM,SG
hjord;<hjord;>;INS;erne;N,DEF,NOM,PL
despot;<despot;>;INS;er;N,INDF,NOM,PL
etymologi;<etymologi;>;INS;en;N,DEF,NOM,SG
torv;<torv;>;INS;et;N,DEF,NOM,SG
dyd;<dyd;>;INS;er;N,INDF,NOM,PL
frimærke;<frimærke;>;INS;s;N,INDF,GEN,SG
jurist;<jurist;>;INS;en;N,DEF,NOM,SG
fiskerbåd;<fiskerbåd;>;INS;e;N,INDF,NOM,PL
tæppe;<tæppe;>;INS;s;N,INDF,GEN,SG
enke;<enke;>;INS;r;N,INDF,NOM,PL
sind;<sind;>;INS;s;N,INDF,GEN,SG
bydelstat;<bydelstat;>;INS;ers;N,INDF,GEN,PL
remulade;<remulad;e>;INS;ern;N,DEF,NOM,PL
klassifikationsalgoritme;<klassifikationsalgoritme;>;INS;s;N,INDF,GEN,SG
afart;<afart;>;INS;en;N,DEF,NOM,SG
hvepsetalje;<hvepsetalje;>;INS;s;N,INDF,GEN,SG
klud;<klud;>;INS;ene;N,DEF,NOM,PL
brændsel;<brænds;l>;DEL;e;N,INDF,NOM,PL
brændsel;<brændsel;>;INS;er;N,INDF,NOM,PL
dogme;<dogme;>;INS;rs;N,INDF,GEN,PL
accelerere;<accelerer;>;DEL;e;V,ACT,IMP
pokeransigt;<pokeransigt;>;INS;s;N,INDF,GEN,SG
kasket;<kasket;>;INS;ten;N,DEF,NOM,SG
kænguru;<kænguru;>;INS;en;N,DEF,NOM,SG
massøse;<massøse;>;INS;n;N,DEF,NOM,SG
eng;<eng;>;INS;s;N,INDF,GEN,SG
dehydrere;<dehydrere;>;INS;des;V,PASS,IND,PST
si;<si;>;INS;en;N,DEF,NOM,SG
revisor;<revisor;>;INS;erne;N,DEF,NOM,PL
statue;<statue;>;INS;s;N,INDF,GEN,SG
ærbødighed;<ærbødighed;>;INS;en;N,DEF,NOM,SG
vable;<vable;>;INS;n;N,DEF,NOM,SG
klarinet;<klarinet;>;INS;s;N,INDF,GEN,SG
pølse;<pøls;e>;INS;ern;N,DEF,NOM,PL
neuron;<neuron;>;INS;s;N,INDF,GEN,SG
dobbeltseng;<dobbeltseng;>;INS;s;N,INDF,GEN,SG
kiwi;<kiwi;>;INS;en;N,DEF,NOM,SG
biord;<biord;>;INS;s;N,INDF,GEN,PL
filial;<filial;>;INS;erne;N,DEF,NOM,PL
fader;<f;der>;DEL;a;N,INDF,GEN,PL
fader;<fa;der>;INS;æ;N,INDF,GEN,PL
fader;<fad;r>;DEL;e;N,INDF,GEN,PL
fader;<fader;>;INS;es;N,INDF,GEN,PL
terzet;<terzet;>;INS;s;N,INDF,GEN,SG
babydukke;<babydukke;>;INS;n;N,DEF,NOM,SG
kryddernellike;<kryddernellik;e>;INS;ern;N,DEF,NOM,PL
antenne;<antenne;>;INS;r;N,INDF,NOM,PL
samfund;<samfund;>;INS;s;N,INDF,GEN,SG
tyfon;<tyfon;>;INS;er;N,INDF,NOM,PL
diskotek;<diskotek;>;INS;s;N,INDF,GEN,SG
børnesygdom;<børnesygdom;>;INS;me;N,INDF,NOM,PL
konfiskere;<konfisker;e>;INS;end;V.PTCP,ACT,PRS
amøbe;<amøb;e>;INS;ern;N,DEF,NOM,PL
danisere;<danisere;>;INS;des;V,PASS,IND,PST
monopol;<monopol;>;INS;ers;N,INDF,GEN,PL
grunde;<grun;de>;INS;de;V,ACT,IND,PST
vase;<vase;>;INS;n;N,DEF,NOM,SG
diller;<diller;>;INS;es;N,INDF,GEN,PL
