Source;Left;Right;Operation;Object;Grammar
katma;<kat;>;DEL;ma;V,ACT,PST,POS,IND,1,SG
katma;<katma;>;INS;sin;V,ACT,PST,POS,IND,1,SG
kaalium;<kaalium;>;INS;i;N,PRT,SG
meitneerium;<meitneerium;>;INS;i;N,GEN,SG
petma;<pet;>;DEL;ma;V,ACT,PST,POS,IND,2,SG
petma;<petma;>;INS;sid;V,ACT,PST,POS,IND,2,SG
oskama;<os;a>;DEL;kam;V,PASS,PRS,PRF,POS,IMP
oskama;<oskama;>;INS;tud;V,PASS,PRS,PRF,POS,IMP
kaltsium;<kaltsium;>;INS;iks;N,TRANS,SG
kana;<kana;>;INS;des;N,IN+ESS,PL
reisija;<reisija;>;INS;tes;N,IN+ESS,PL
mošee;<mošee;>;INS;d;N,NOM,PL
nioobium;<nioobium;>;INS;desse;N,IN+ALL,PL
omandama;<omand;a>;DEL;am;V,ACT,PRS,PRF,NEG,IMP,PL
omandama;<omandama;>;INS;nud;V,ACT,PRS,PRF,NEG,IMP,PL
kustutama;<kustut;a>;DEL;am;V,PASS,PST,NEG,IND
kustutama;<kustutama;>;INS;tud;V,PASS,PST,NEG,IND
õpilane;<õpila;ne>;INS;ste;N,FRML,PL
õpilane;<õpilan;>;DEL;e;N,FRML,PL
õpilane;<õpilane;>;INS;a;N,FRML,PL
november;<novemb;r>;DEL;e;N,AT+ESS,SG
november;<november;>;INS;il;N,AT+ESS,SG
seisma;<seis;a>;DEL;m;V,ACT,PRS,POS,IND,1,PL
seisma;<seisma;>;INS;me;V,ACT,PRS,POS,IND,1,PL
õppimine;<õppimi;ne>;INS;se;N,TERM,SG
õppimine;<õppimin;>;DEL;e;N,TERM,SG
õppimine;<õppimine;>;INS;i;N,TERM,SG
otsima;<otsi;>;DEL;ma;V,ACT,PST,POS,IND,2,SG
otsima;<otsima;>;INS;sid;V,ACT,PST,POS,IND,2,SG
kalur;<kalur;>;INS;is;N,IN+ESS,SG
teietama;<teiet;a>;DEL;am;V.PTCP,PASS,PST
teietama;<teietama;>;INS;tud;V.PTCP,PASS,PST
käskiv;<käskiv;>;INS;ana;N,FRML,SG
saba;<saba;>;INS;s;N,IN+ESS,SG
oktoober;<oktoob;er>;INS;riss;N,IN+ALL,SG
oktoober;<oktoobe;>;DEL;r;N,IN+ALL,SG
külastama;<külast;a>;DEL;am;V,ACT,PRS,NEG,IMP,2,SG
peenis;<peenis;>;INS;tesse;N,IN+ALL,PL
külastama;<külast;a>;DEL;am;V,PASS,PST,PRF,NEG,IND
külastama;<külastama;>;INS;tudp;V,PASS,PST,PRF,NEG,IND
asjatundja;<asjatundj;a>;INS;atet;N,PRIV,PL
aktiinium;<aktiinium;>;INS;dele;N,AT+ALL,PL
kalastama;<kalast;a>;DEL;am;V,PASS,PST,POS,IND
kalastama;<kalastama;>;INS;ti;V,PASS,PST,POS,IND
elama;<ela;a>;DEL;m;V,PASS,PRS,POS,IND
elama;<elam;a>;INS;t;V,PASS,PRS,POS,IND
elama;<elama;>;INS;kse;V,PASS,PRS,POS,IND
sarnaluu;<sarnaluu;>;INS;s;N,IN+ESS,SG
pöörama;<pöör;a>;DEL;am;V,ACT,PRS,NEG,IMP,3,PL
pöörama;<pöörama;>;INS;ku;V,ACT,PRS,NEG,IMP,3,PL
keema;<kee;>;DEL;ma;V,PASS,PST,PRF,POS,IND
keema;<keema;>;INS;dud;V,PASS,PST,PRF,POS,IND
kaubandus;<kaubandus;>;INS;teni;N,TERM,PL
sõna;<sõna;>;INS;le;N,AT+ALL,SG
trofee;<trofe;e>;INS;edel;N,AT+ALL,PL
tulema;<tul;>;DEL;ema;V,ACT,PRS,PRF,POS,COND,3,PL
tulema;<tulema;>;INS;nud;V,ACT,PRS,PRF,POS,COND,3,PL
lendama;<len;a>;DEL;dam;V,ACT,PRS,POS,IMP,3,PL
lendama;<lendam;a>;INS;n;V,ACT,PRS,POS,IMP,3,PL
lendama;<lendama;>;INS;ku;V,ACT,PRS,POS,IMP,3,PL
teadus;<teadus;>;INS;t;N,PRT,SG
korsten;<korst;n>;DEL;e;N,AT+ABL,SG
korsten;<korsten;>;INS;alt;N,AT+ABL,SG
mobiiltelefon;<mobiiltelefon;>;INS;id;N,ACC,PL
ahven;<ahven;>;INS;asse;N,IN+ALL,SG
seesütlev;<seesütlev;>;INS;asse;N,IN+ALL,SG
iriidium;<iriidium;>;INS;dest;N,IN+ABL,PL
armastama;<armasta;a>;DEL;m;V,ACT,PRS,NEG,QUOT
armastama;<armastam;a>;INS;v;V,ACT,PRS,NEG,QUOT
armastama;<armastama;>;INS;t;V,ACT,PRS,NEG,QUOT
õhtu;<õhtu;>;INS;tega;N,COM,PL
vars;<var;>;DEL;s;N,NOM,PL
vars;<vars;>;INS;red;N,NOM,PL
kuulma;<kuul;a>;DEL;m;V.PTCP,PASS,PRS
kuulma;<kuulm;a>;INS;d;V.PTCP,PASS,PRS
kuulma;<kuulma;>;INS;v;V.PTCP,PASS,PRS
kastan;<kastan;>;INS;ile;N,AT+ALL,SG
kaotama;<kaot;a>;DEL;am;V,ACT,PRS,POS,IND,3,SG
kaotama;<kaotama;>;INS;b;V,ACT,PRS,POS,IND,3,SG
lavastama;<lavasta;a>;DEL;m;V,PASS,PRS,POS,QUOT
lavastama;<lavastam;a>;INS;tav;V,PASS,PRS,POS,QUOT
lavastama;<lavastama;>;INS;t;V,PASS,PRS,POS,QUOT
katma;<kat;a>;DEL;m;V,ACT,PRS,POS,IMP,2,SG
kohtama;<koht;a>;DEL;am;V,ACT,PRS,POS,COND,2,PL
kohtama;<kohtama;>;INS;ksite;V,ACT,PRS,POS,COND,2,PL
saatma;<saat;ma>;INS;ke;V,ACT,PRS,NEG,IMP,1,PL
saatma;<saatm;>;DEL;a;V,ACT,PRS,NEG,IMP,1,PL
aser;<aser;>;INS;ini;N,TERM,SG
arutlema;<arutle;a>;DEL;m;V,PASS,PRS,POS,IND
arutlema;<arutlem;a>;INS;t;V,PASS,PRS,POS,IND
arutlema;<arutlema;>;INS;kse;V,PASS,PRS,POS,IND
rula;<rul;a>;INS;an;N,FRML,SG
langev;<langev;>;INS;atesse;N,IN+ALL,PL
reetma;<ree;a>;DEL;tm;V,ACT,PRS,POS,IND,3,PL
reetma;<reetm;a>;INS;dav;V,ACT,PRS,POS,IND,3,PL
reetma;<reetma;>;INS;d;V,ACT,PRS,POS,IND,3,PL
murjan;<murjan;>;INS;ite;N,GEN,PL
oluline;<oluli;e>;DEL;n;N,ACC,PL
oluline;<olulin;e>;INS;s;N,ACC,PL
oluline;<oluline;>;INS;d;N,ACC,PL
rahvastikuteadus;<rahvastikuteadus;>;INS;eni;N,TERM,SG
nutma;<nut;a>;DEL;m;V,ACT,PRS,POS,IND,2,SG
nutma;<nutma;>;INS;d;V,ACT,PRS,POS,IND,2,SG
üritama;<ürita;ma>;INS;ksi;V,ACT,PRS,POS,COND,1,PL
üritama;<üritam;>;DEL;a;V,ACT,PRS,POS,COND,1,PL
üritama;<üritama;>;INS;e;V,ACT,PRS,POS,COND,1,PL
kaksik;<kaksik;>;INS;uteta;N,PRIV,PL
nutma;<nut;>;DEL;ma;V,PASS,PST,PRF,NEG,IND
nutma;<nutma;>;INS;etudp;V,PASS,PST,PRF,NEG,IND
sadama;<sad;a>;DEL;am;V,ACT,PST,POS,IND,2,SG
