Source;Left;Right;Operation;Object;Grammar
teknős;<teknős;>;INS;ökről;N,ON+ABL,PL
hideg;<hideg;>;INS;ekbe;N,IN+ALL,PL
erősebb;<erősebb;>;INS;en;N,IN+ESS,SG
kormányfő;<kormányfő;>;INS;knek;N,DAT,PL
belga;<belg;>;DEL;a;N,IN+ALL,PL
belga;<belga;>;INS;áknál;N,IN+ALL,PL
meccs;<meccs;>;INS;ekig;N,TERM,PL
düh;<düh;>;INS;ig;N,TERM,SG
igénytelen;<igénytelen;>;INS;nel;N,INST,SG
legsötétebb;<legsötétebb;>;INS;ekhez;N,AT+ALL,PL
leghazugabb;<leghazugabb;>;INS;ként;N,FRML,SG
füves;<füves;>;INS;et;N,ACC,SG
szombréró;<szombréró;>;INS;kba;N,IN+ALL,PL
megígér;<megígér;>;INS;nénk;V,COND,PRS,DEF,1,PL
kinti;<kinti;>;INS;eknél;N,AT+ESS,PL
implikáció;<implikáció;>;INS;ig;N,TERM,SG
vakbél;<vakb;él>;INS;elekk;N,TRANS,PL
vakbél;<vakbé;>;DEL;l;N,TRANS,PL
radiológus;<radiológus;>;INS;okból;N,IN+ABL,PL
cincog;<cincog;>;INS;ta;V,IND,PST,DEF,3,SG
alkoholista;<alkoholis;ta>;INS;tá;N,ACC,SG
alkoholista;<alkoholist;>;DEL;a;N,ACC,SG
szivattyú;<szivattyú;>;INS;nál;N,AT+ESS,SG
megvalósítása;<megvalósítás;>;DEL;a;N,AT+ALL,SG
megvalósítása;<megvalósítása;>;INS;ához;N,AT+ALL,SG
téglaház;<téglaház;>;INS;ba;N,IN+ALL,SG
térbeli;<térbeli;>;INS;nél;N,AT+ESS,SG
elbeszél;<elbeszél;>;INS;je;V,SBJV,PRS,DEF,3,SG
szexuális;<szexuális;>;INS;akra;N,ON+ALL,PL
tolvajnyelv;<tolvajnyelv;>;INS;től;N,AT+ABL,SG
gordonka;<gordonk;>;DEL;a;N,AT+ABL,SG
gordonka;<gordonka;>;INS;ától;N,AT+ABL,SG
gyerekcipő;<gyerekcipő;>;INS;kké;N,TRANS,PL
kötés;<kötés;>;INS;ekben;N,IN+ESS,PL
megtartás;<megtartás;>;INS;ból;N,IN+ABL,SG
hamag;<hamag;>;INS;hoz;N,AT+ALL,SG
neon;<neon;>;INS;tól;N,AT+ABL,SG
elszenved;<elszenved;>;INS;jetek;V,SBJV,PRS,INDF,2,PL
vádoló;<vádoló;>;INS;kká;N,TRANS,PL
romantika;<romantik;>;DEL;a;N,AT+ABL,PL
romantika;<romantika;>;INS;áktól;N,AT+ABL,PL
terrorizmus;<terrorizmus;>;INS;ból;N,IN+ABL,SG
működtet;<működtet;>;INS;nék;V,COND,PRS,DEF,3,PL
zebra;<zebr;>;DEL;a;N,ON+ESS,SG
zebra;<zebra;>;INS;án;N,ON+ESS,SG
kozmetikum;<kozmetikum;>;INS;ig;N,TERM,SG
kimond;<kimond;>;INS;ták;V,IND,PST,DEF,3,PL
csontdaganat;<csontdaganat;>;INS;okon;N,ON+ESS,PL
koreai;<koreai;>;INS;ként;N,FRML,SG
borotva;<borotv;>;DEL;a;N,AT+ALL,PL
borotva;<borotva;>;INS;ákhoz;N,AT+ALL,PL
kigúnyol;<kigúnyol;>;INS;va;V.CVB
földcsuszamlás;<földcsuszamlás;>;INS;ból;N,ON+ABL,SG
hírlap;<hírlap;>;INS;nak;N,DAT,SG
hagyomány;<hagyomány;>;INS;ig;N,FRML,SG
angyalsereg;<angyalsereg;>;INS;ekből;N,IN+ABL,PL
vallomás;<vallomás;>;INS;okkal;N,INST,PL
mechanizál;<mechanizál;>;INS;tam;V,IND,PST,INDF,1,SG
samponoz;<samponoz;>;INS;d;V,SBJV,PRS,DEF,2,SG
fényelektromos;<fényelektromos;>;INS;nál;N,AT+ESS,SG
tágas;<tágas;>;INS;akért;N,PRP,PL
dervis;<dervis;>;INS;be;N,IN+ALL,SG
cédé;<cédé;>;INS;re;N,AT+ALL,SG
bross;<bross;>;INS;ból;N,IN+ABL,SG
sporthír;<sporthír;>;INS;ekből;N,IN+ABL,PL
panamakalap;<panamakalap;>;INS;okig;N,FRML,PL
ostya;<osty;>;DEL;a;N,AT+ABL,SG
ostya;<ostya;>;INS;ától;N,AT+ABL,SG
vétele;<véte;le>;INS;lérő;N,ON+ABL,SG
vétele;<vétel;>;DEL;e;N,ON+ABL,SG
legszorosabb;<legszorosabb;>;INS;ig;N,TERM,SG
basszus;<basszus;>;INS;okból;N,IN+ABL,PL
szelídgesztenye;<szelídgeszteny;e>;INS;ék;N,ON+ESS,PL
szelídgesztenye;<szelídgesztenye;>;INS;n;N,ON+ESS,PL
lehetőségük;<lehetőségük;>;INS;től;N,AT+ABL,SG
háttérzene;<háttérze;ne>;INS;né;N,DAT,SG
háttérzene;<háttérzene;>;INS;k;N,DAT,SG
horrorfilmje;<horrorfilmj;>;DEL;e;N,ON+ABL,SG
horrorfilmje;<horrorfilmje;>;INS;éről;N,ON+ABL,SG
izotóp;<izotóp;>;INS;ok;N,NOM,PL
szurony;<szuron;y>;INS;n;N,INST,SG
szurony;<szurony;>;INS;al;N,INST,SG
ugrat;<ugrat;>;INS;ok;V,IND,PRS,INDF,1,SG
könyvelő;<könyvelő;>;INS;kbe;N,IN+ALL,PL
totál;<totál;>;INS;okba;N,IN+ALL,PL
hajdísz;<hajdísz;>;INS;ektől;N,AT+ABL,PL
bojtorján;<bojtorján;>;INS;okba;N,ON+ALL,PL
darwinizmus;<darwinizmus;>;INS;okról;N,AT+ABL,PL
hónap;<hónap;>;INS;okká;N,TERM,PL
rendszer;<rendszer;>;INS;ekig;N,FRML,PL
szab;<szab;>;INS;tátok;V,IND,PST,DEF,2,PL
bagdadi;<bagdadi;>;INS;ért;N,TRANS,SG
intellektuális;<intellektuális;>;INS;akból;N,IN+ABL,PL
font;<font;>;INS;ból;N,IN+ABL,SG
kalap;<;lap>;DEL;ka;N,NOM,SG
kalap;<ka;lap>;INS;singu;N,NOM,SG
kalap;<kala;>;DEL;p;N,NOM,SG
kalap;<kalap;>;INS;r;N,NOM,SG
kanárimadár;<kanárimad;ár>;INS;arakk;N,TRANS,PL
kanárimadár;<kanárimadá;>;DEL;r;N,TRANS,PL
tömjén;<tömjén;>;INS;né;N,TRANS,SG
hajfesték;<hajfesték;>;INS;ekké;N,TRANS,PL
megkér;<megkér;>;INS;nék;V,COND,PRS,DEF,3,PL
várt;<várt;>;INS;nak;N,DAT,SG
far;<far;>;INS;okban;N,IN+ESS,PL
prezentál;<prezentál;>;INS;tam;V,IND,PST,INDF,1,SG
légtérzárlat;<légtérzárla;t>;INS;to;N,ACC,SG
megismertet;<megismertet;>;INS;nem;V,NFIN,1,SG
egykötetes;<egykötetes;>;INS;ekké;N,TRANS,PL
