Source;Left;Right;Operation;Object;Grammar
metta;<metta;>;INS;ðir;V,SBJV,PST,2,SG
ráðhús;<ráðhús;>;INS;in;N,DEF,NOM,PL
einhyrningur;<einhyrning;ur>;INS;n;N,DEF,DAT,SG
einhyrningur;<einhyrningu;>;DEL;r;N,DEF,DAT,SG
einhyrningur;<einhyrningur;>;INS;m;N,DEF,DAT,SG
lag;<l;g>;DEL;a;N,INDF,GEN,PL
lag;<la;g>;INS;ö;N,INDF,GEN,PL
lag;<lag;>;INS;um;N,INDF,GEN,PL
öl;<öl;>;INS;um;N,INDF,DAT,PL
náhvalur;<náhval;>;DEL;ur;N,DEF,GEN,PL
náhvalur;<náhvalur;>;INS;anna;N,DEF,GEN,PL
erkiengill;<erkieng;l>;DEL;il;N,DEF,GEN,PL
erkiengill;<erkiengill;>;INS;anna;N,DEF,GEN,PL
etýða;<etýð;a>;INS;urn;N,DEF,ACC,PL
etýða;<etýða;>;INS;r;N,DEF,ACC,PL
fána;<fán;>;DEL;a;N,INDF,ACC,PL
fána;<fána;>;INS;ur;N,INDF,ACC,PL
slaka;<slak;>;DEL;a;V,IND,PRS,2,PL
slaka;<slaka;>;INS;ið;V,IND,PRS,2,PL
skaka;<skak;>;DEL;a;V,SBJV,PRS,3,SG
skaka;<skaka;>;INS;i;V,SBJV,PRS,3,SG
föstudagur;<föstudag;r>;DEL;u;N,DEF,NOM,PL
föstudagur;<föstudagu;r>;INS;arni;N,DEF,NOM,PL
tölvuleikur;<tölvuleik;>;DEL;ur;N,INDF,DAT,SG
kaup;<kaup;>;INS;in;N,DEF,ACC,PL
bretónska;<bretónsk;a>;INS;un;N,DEF,ACC,SG
hús;<hús;>;INS;s;N,INDF,GEN,SG
írónía;<íróní;a>;INS;unn;N,DEF,GEN,SG
írónía;<írónía;>;INS;r;N,DEF,GEN,SG
kinn;<kinn;>;INS;ar;N,INDF,ACC,PL
dekka;<dekka;>;INS;ði;V,IND,PST,1,SG
betra;<betra;>;INS;ð;V.CVB
vör;<vör;>;INS;ina;N,DEF,ACC,SG
hedd;<hedd;>;INS;ið;N,DEF,ACC,SG
læða;<læð;>;DEL;a;N,INDF,NOM,PL
læða;<læða;>;INS;ur;N,INDF,NOM,PL
girðing;<girðing;>;INS;arnar;N,DEF,NOM,PL
penta;<pent;>;DEL;a;V,SBJV,PRS,2,SG
penta;<penta;>;INS;ir;V,SBJV,PRS,2,SG
hettumáfur;<hettumáf;r>;DEL;u;N,INDF,NOM,PL
hettumáfur;<hettumáfu;r>;INS;a;N,INDF,NOM,PL
stingur;<sting;>;DEL;ur;N,DEF,GEN,PL
stingur;<stingur;>;INS;janna;N,DEF,GEN,PL
kroppa;<kropp;>;DEL;a;V,SBJV,PST,1,PL
kroppa;<kroppa;>;INS;uðum;V,SBJV,PST,1,PL
granda;<granda;>;INS;ði;V,SBJV,PST,1,SG
sefa;<sefa;>;INS;ði;V,SBJV,PST,3,SG
fræða;<fræð;>;DEL;a;V,IND,PRS,1,PL
fræða;<fræða;>;INS;um;V,IND,PRS,1,PL
bekkjarfélagi;<bekkjarfélag;>;DEL;i;N,DEF,ACC,PL
bekkjarfélagi;<bekkjarfélagi;>;INS;ana;N,DEF,ACC,PL
skíðastökkvari;<skíðastökkv;>;DEL;ari;N,DEF,DAT,PL
skíðastökkvari;<skíðastökkvari;>;INS;urunum;N,DEF,DAT,PL
trú;<trú;>;INS;rnar;N,DEF,NOM,PL
hrísgrjón;<hrísgrjón;>;INS;anna;N,DEF,GEN,PL
grafall;<grafa;l>;DEL;l;N,INDF,GEN,SG
grafall;<grafall;>;INS;s;N,INDF,GEN,SG
hvellur;<hvell;ur>;INS;in;N,DEF,DAT,SG
