Source;Left;Right;Operation;Object;Grammar
variz;<vari;>;DEL;z;N,SG,GEN
variz;<variz;>;INS;ksen;N,SG,GEN
velli;<velli;>;INS;löil;N,PL,AT+ESS
järvi;<järvi;>;INS;löist;N,PL,IN+ABL
ikkuna;<ikkun;>;DEL;a;N,PL,TRANS
ikkuna;<ikkuna;>;INS;oiks;N,PL,TRANS
kassen;<kas;n>;DEL;se;N,PL,ESS
kassen;<kasse;n>;INS;tmii;N,PL,ESS
joki;<jok;>;DEL;i;N,SG,ESS
joki;<joki;>;INS;keen;N,SG,ESS
variz;<vari;>;DEL;z;N,PL,IN+ABL
variz;<variz;>;INS;ksist;N,PL,IN+ABL
olut;<olu;>;DEL;t;N,PL,AT+ESS
olut;<olut;>;INS;iziil;N,PL,AT+ESS
pökköiheinä;<pökköiheinä;>;INS;äl;N,SG,AT+ESS
velli;<vell;>;DEL;i;N,SG,IN+ESS
velli;<velli;>;INS;eez;N,SG,IN+ESS
süän;<süä;>;DEL;n;N,SG,IN+ESS
süän;<süän;>;INS;meez;N,SG,IN+ESS
kevät;<kevä;>;DEL;t;N,PL,TRANS
kevät;<kevät;>;INS;iks;N,PL,TRANS
nain;<nai;>;DEL;n;N,PL,AT+ABL
nain;<nain;>;INS;zilt;N,PL,AT+ABL
lammaz;<lam;>;DEL;maz;N,SG,AT+ESS
lammaz;<lammaz;>;INS;pahaal;N,SG,AT+ESS
jää;<jää;>;INS;lle;N,SG,AT+ALL
variz;<vari;>;DEL;z;N,PL,AT+ESS
variz;<variz;>;INS;ksiil;N,PL,AT+ESS
kuu;<kuu;>;INS;z;N,SG,IN+ESS
meez;<mee;>;DEL;z;N,PL,ESS
meez;<meez;>;INS;hiin;N,PL,ESS
nain;<nai;>;DEL;n;N,SG,IN+ALL
nain;<nain;>;INS;see;N,SG,IN+ALL
olut;<olut;>;INS;ta;N,SG,PRT
pää;<pää;>;INS;ks;N,SG,TRANS
kevät;<kevä;>;DEL;t;N,PL,GEN
kevät;<kevät;>;INS;iin;N,PL,GEN
silmä;<silm;>;DEL;ä;N,PL,IN+ESS
silmä;<silmä;>;INS;iiz;N,PL,IN+ESS
säkki;<säkki;>;INS;löin;N,PL,GEN
järvi;<järvi;>;INS;löin;N,PL,GEN
hüvä;<hüv;ä>;INS;vii;ADJ,PL,PRT
käzi;<käzi;>;INS;lle;N,PL,AT+ALL
joki;<joki;>;INS;loihe;N,PL,IN+ALL
juusso;<juusso;>;INS;ilt;N,PL,AT+ABL
jalka;<jal;a>;DEL;k;N,SG,AT+ESS
jalka;<jalka;>;INS;al;N,SG,AT+ESS
vezi;<ve;>;DEL;zi;N,SG,IN+ABL
vezi;<vezi;>;INS;est;N,SG,IN+ABL
jalka;<jal;a>;DEL;k;N,SG,AT+ALL
jalka;<jalka;>;INS;lle;N,SG,AT+ALL
aika;<ai;a>;DEL;k;N,SG,GEN
aika;<aik;a>;INS;jj;N,SG,GEN
aika;<aika;>;INS;n;N,SG,GEN
päivä;<päiv;>;DEL;ä;N,PL,IN+ESS
päivä;<päivä;>;INS;iz;N,PL,IN+ESS
käzi;<kä;>;DEL;zi;N,SG,IN+ALL
käzi;<käzi;>;INS;ttee;N,SG,IN+ALL
tähti;<täh;ti>;INS;es;N,SG,IN+ABL
tähti;<täht;>;DEL;i;N,SG,IN+ABL
järvi;<järv;>;DEL;i;N,SG,ESS
järvi;<järvi;>;INS;en;N,SG,ESS
kala;<kala;>;INS;lle;N,SG,AT+ALL
lupa;<lu;>;DEL;pa;N,PL,IN+ESS
lupa;<lupa;>;INS;vist;N,PL,IN+ESS
izä;<izä;>;INS;n;N,SG,GEN
päivä;<päiv;>;DEL;ä;N,PL,AT+ALL
päivä;<päivä;>;INS;ille;N,PL,AT+ALL
kuu;<kuu;>;INS;l;N,SG,AT+ESS
meez;<mee;>;DEL;z;N,SG,AT+ABL
meez;<meez;>;INS;helt;N,SG,AT+ABL
pökköiheinä;<pökköihein;>;DEL;ä;N,PL,AT+ESS
pökköiheinä;<pökköiheinä;>;INS;iil;N,PL,AT+ESS
vezi;<ve;>;DEL;zi;N,SG,TRANS
vezi;<vezi;>;INS;eks;N,SG,TRANS
säkki;<säkki;>;INS;löilt;N,PL,AT+ABL
kuu;<k;u>;DEL;u;N,PL,IN+ESS
kuu;<kuu;>;INS;iz;N,PL,IN+ESS
lapsi;<laps;>;DEL;i;N,PL,NOM
lapsi;<lapsi;>;INS;et;N,PL,NOM
päivä;<päiv;>;DEL;ä;N,PL,TRANS
päivä;<päivä;>;INS;iks;N,PL,TRANS
