Source;Left;Right;Operation;Object;Grammar
cruinnigh;<cruinn;>;DEL;igh;V,3,PL,IMP
cruinnigh;<cruinnigh;>;INS;ídís;V,3,PL,IMP
tíogar;<tíoga;r>;INS;i;N,GEN,SG,DEF
agaigh;<aga;>;DEL;igh;V,3,PL,IMP
agaigh;<agaigh;>;INS;ídís;V,3,PL,IMP
agairg;<agairg;>;INS;e;N,GEN,SG,DEF
scoil saothair;<scoil; saothair>;INS;eanna;N,DAT,PL
tuathánach;<tuathána;h>;DEL;c;N,GEN,SG
tuathánach;<tuathánac;h>;INS;ig;N,GEN,SG
amhrán;<amhrá;n>;INS;i;N,NOM,PL,DEF
gloinigh;<gloin;igh>;INS;eo;V,1,SG,FUT,IND
gloinigh;<gloini;h>;DEL;g;V,1,SG,FUT,IND
gloinigh;<gloinig;h>;INS;d;V,1,SG,FUT,IND
dear;<d;ear>;INS;h;V,2,SG,PST,IND
fo-éadach;<fo-éada;>;DEL;ch;N,NOM,PL
fo-éadach;<fo-éadach;>;INS;í;N,NOM,PL
fiafheoil;<f;iafheoil>;INS;h;N,VOC,SG
lucht;<lucht;>;INS;a;N,GEN,SG
tiontaigh;<tionta;>;DEL;igh;V,3,PL,SBJV,PST
tiontaigh;<tiontaigh;>;INS;ídís;V,3,PL,SBJV,PST
fótaidhé-óid;<fótaidhé-óid;>;INS;í;N,NOM,PL,DEF
réimsetheoiric;<réimsetheoiric;>;INS;í;N,DAT,PL,DEF
baintreach;<baintreach;>;INS;a;N,DAT,PL,DEF
stoirm;<stoirm;>;INS;e;N,GEN,SG,DEF
leagh;<leagh;>;INS;faimid;V,1,PL,FUT,IND
ceardaíocht;<c;eardaíocht>;INS;h;N,NOM,SG,DEF
bádóir;<bádóir;>;INS;í;N,DAT,PL,DEF
pocadán;<pocadá;n>;INS;i;N,DAT,PL
fótagrafaíocht;<fótagrafaíocht;>;INS;a;N,GEN,SG,DEF
Guineach;<G;uineach>;INS;h;N,GEN,SG,DEF
Guineach;<Guin;h>;DEL;eac;N,GEN,SG,DEF
Guineach;<Guineac;h>;INS;ig;N,GEN,SG,DEF
eagar;<eaga;r>;INS;i;N,GEN,SG,DEF
tar;<t;ar>;INS;hiocf;V,AUTO,COND
tar;<ta;>;DEL;r;V,AUTO,COND
tar;<tar;>;INS;í;V,AUTO,COND
mórbhonn;<mórbho;nn>;INS;i;N,DAT,PL
ráthaigh;<rátha;>;DEL;igh;V,2,PL,IMP
ráthaigh;<ráthaigh;>;INS;ígí;V,2,PL,IMP
cóisir bhrídeoige;<c;óisir bhrídeoige>;INS;h;N,NOM,SG,DEF
imaistrigh;<imaistr;>;DEL;igh;V,3,SG,PRS,IND
crúca;<crúca;>;INS;í;N,GEN,PL
foghlaim;<f;oghlaim>;INS;h;V,2,PL,PST,IND
luachálaí;<luachála;>;DEL;í;N,VOC,PL
luachálaí;<luachálaí;>;INS;ithe;N,VOC,PL
míolsiorc;<m;íolsiorc>;INS;h;N,GEN,SG,DEF
míolsiorc;<míolsiorc;>;INS;a;N,GEN,SG,DEF
fiaile;<fiail;>;DEL;e;N,DAT,PL
fiaile;<fiaile;>;INS;í;N,DAT,PL
blast;<blast;>;INS;aí;N,DAT,PL,DEF
grúdaigh;<grúda;>;DEL;igh;V,1,SG,SBJV,PST
grúdaigh;<grúdaigh;>;INS;ínn;V,1,SG,SBJV,PST
grúdaigh;<grúda;>;DEL;igh;V,2,PL,IMP
grúdaigh;<grúdaigh;>;INS;ígí;V,2,PL,IMP
snas;<s;nas>;INS;h;N,VOC,SG
teorannaigh;<teoranna;>;DEL;igh;V,AUTO,SBJV,PRS
teorannaigh;<teorannaigh;>;INS;ítear;V,AUTO,SBJV,PRS
Fionlainnis;<Fionlainnis;>;INS;e;N,GEN,SG,DEF
siollach;<siolla;h>;DEL;c;N,GEN,SG,DEF
