Source;Left;Right;Operation;Object;Grammar
rinvasare;<rinvas;>;DEL;are;V,SBJV,PRS,1,SG
rinvasare;<rinvasare;>;INS;i;V,SBJV,PRS,1,SG
infilzare;<infilz;re>;DEL;a;V,IND,FUT,1,PL
infilzare;<infilza;re>;INS;e;V,IND,FUT,1,PL
infilzare;<infilzare;>;INS;mo;V,IND,FUT,1,PL
rivedersi;<rivede;>;DEL;rsi;V,IND,PST,1,SG,IPFV
rivedersi;<rivedersi;>;INS;vo;V,IND,PST,1,SG,IPFV
insanguinare;<insanguina;e>;DEL;r;V.PTCP,PRS
insanguinare;<insanguinar;e>;INS;nt;V.PTCP,PRS
tramare;<trama;e>;DEL;r;V,POS,IMP,2,PL
tramare;<tramar;e>;INS;t;V,POS,IMP,2,PL
scartabellare;<scartabell;are>;INS;i;V,POS,IMP,1,PL
scartabellare;<scartabella;>;DEL;re;V,POS,IMP,1,PL
scartabellare;<scartabellare;>;INS;mo;V,POS,IMP,1,PL
calzare;<calz;re>;DEL;a;V,IND,FUT,2,PL
calzare;<calza;re>;INS;e;V,IND,FUT,2,PL
calzare;<calzar;e>;INS;et;V,IND,FUT,2,PL
sfidarsi;<sfid;i>;DEL;ars;V,POS,IMP,3,SG
recarvisi;<;visi>;DEL;recar;V,IND,FUT,3,PL
intrufolare;<intrufola;>;DEL;re;V,SBJV,PST,2,SG
intrufolare;<intrufolare;>;INS;ssi;V,SBJV,PST,2,SG
rinchiudere;<rinchiudere;>;INS;i;V,COND,1,SG
impiombare;<impiomb;>;DEL;are;V,IND,PRS,2,SG
impiombare;<impiombare;>;INS;i;V,IND,PRS,2,SG
scombinare;<scombin;>;DEL;are;V,IND,PRS,2,SG
scombinare;<scombinare;>;INS;i;V,IND,PRS,2,SG
attendersi;<attend;>;DEL;ersi;V,POS,IMP,3,SG
attendersi;<attendersi;>;INS;a;V,POS,IMP,3,SG
cazzeggiare;<cazzegg;re>;DEL;ia;V,COND,1,SG
cazzeggiare;<cazzeggia;re>;INS;e;V,COND,1,SG
cazzeggiare;<cazzeggiare;>;INS;i;V,COND,1,SG
inzeppare;<inzeppa;>;DEL;re;V,SBJV,PST,1,SG
inzeppare;<inzeppare;>;INS;ssi;V,SBJV,PST,1,SG
strabiliare;<strabil;e>;DEL;iar;V,IND,FUT,1,SG
strabiliare;<strabiliare;>;INS;rò;V,IND,FUT,1,SG
