Source;Left;Right;Operation;Object;Grammar
fêr bûn;<;fêr bûn>;INS;di;1,2,3,IND,PL,POS,PRS,V,IPFV
fêr bûn;<fêr b;n>;DEL;û;1,2,3,IND,PL,POS,PRS,V,IPFV
fêr bûn;<fêr bû;n>;INS;i;1,2,3,IND,PL,POS,PRS,V,IPFV
paytext;<paytext;>;INS;ine;INDF,LGSPEC1,N,PL
teknîsyen;<teknîsyen;>;INS;no;DEF,N,PL,VOC
goþebend;<goþebend;>;INS;inan;INDF,N,PL,ACC
firnik;<firnik;>;INS;an;DEF,N,PL,ACC,LGSPEC2
vereþîn;<vereþîn;>;INS;ek;INDF,N,NOM,SG
ziriþk;<ziriþk;>;INS;ê;DEF,LGSPEC1,N,SG,VOC,ACC,LGSPEC2
wexmê miriyan;<wexmê miriyan;>;INS;no;DEF,N,PL,VOC
jimarnas;<jimarnas;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
hermî;<hermî;>;INS;in;INDF,N,NOM,PL
þehitandin;<þehitandin;>;INS;eke;INDF,LGSPEC1,N,SG,ACC
sosyete;<sosyete;>;INS;ek;INDF,N,NOM,SG
xapîn;<;xapîn>;INS;ne;2,COND,NEG,PST,SG,V
xapîn;<xap;în>;INS;îay;2,COND,NEG,PST,SG,V
xapîn;<xapî;>;DEL;n;2,COND,NEG,PST,SG,V
fîþ;<fîþ;>;INS;ek;INDF,N,NOM,SG
bedenparêzî;<bedenparêzî;>;INS;inan;INDF,N,PL,ACC
niqutîn;<;niqutîn>;INS;na;1,IND,NEG,PRS,SG,V,IPFV
niqutîn;<niqut;>;DEL;în;1,IND,NEG,PRS,SG,V,IPFV
niqutîn;<niqutîn;>;INS;im;1,IND,NEG,PRS,SG,V,IPFV
teyizîn;<teyizîn;>;INS;a;DEF,LGSPEC1,N,SG
oldar;<oldar;>;INS;ine;INDF,LGSPEC1,N,PL
komando;<komando;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
taxî;<taxî;>;INS;inan;INDF,N,PL,ACC
wergerrandin;<wergerrandi;n>;INS;nina;INDF,N,PL,ACC
tirþeþirînî;<tirþeþirînî;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
azirîn;<azirîn;>;INS;no;DEF,N,PL,VOC
girûxane;<girûxane;>;INS;in;INDF,N,NOM,PL
emenî;<emenî;>;INS;a;DEF,LGSPEC1,N,SG
radan;<radan;>;INS;a;DEF,LGSPEC1,N,SG
kamp;<kamp;>;INS;ine;INDF,LGSPEC1,N,PL
gevizîn;<;gevizîn>;INS;ne;2,IND,NEG,PRF,PST,SG,V
gevizîn;<geviz;în>;INS;îbûy;2,IND,NEG,PRF,PST,SG,V
gevizîn;<gevizî;>;DEL;n;2,IND,NEG,PRF,PST,SG,V
delaqe;<delaqe;>;INS;ê;DEF,LGSPEC1,N,SG,VOC,ACC,LGSPEC2
komedî;<komedî;>;INS;ê;DEF,N,SG,VOC,ACC,LGSPEC2
dezenformasyon;<dezenformasyon;>;INS;ine;INDF,LGSPEC1,N,PL
þuxulîn;<;þuxulîn>;INS;ne;1,2,3,IND,NEG,PL,PRF,PST,V
þuxulîn;<þuxulî;n>;INS;ibû;1,2,3,IND,NEG,PL,PRF,PST,V
kol;<kol;>;INS;ek;INDF,N,NOM,SG
quncik;<quncik;>;INS;an;DEF,N,PL,ACC,LGSPEC2
givîj;<givîj;>;INS;no;DEF,N,PL,VOC
avdan;<avda;n>;INS;ni;INDF,N,NOM,PL
adrenalîn;<adrenalîn;>;INS;ine;INDF,LGSPEC1,N,PL
newh;<newh;>;INS;inan;INDF,N,PL,ACC
gijgijîn;<gijgijî;>;DEL;n;2,IND,PFV,POS,PST,SG,V,V.PTCP
gijgijîn;<gijgijîn;>;INS;î;2,IND,PFV,POS,PST,SG,V,V.PTCP
berþoþkî;<berþoþkî;>;INS;o;DEF,N,SG,VOC
þile;<þile;>;INS;ek;INDF,N,NOM,SG
lebat;<lebat;>;INS;no;DEF,N,PL,VOC
xuþk;<xuþk;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
pijiqandin;<;pijiqandin>;INS;ne;1,2,3,COND,NEG,PL,PST,V
pijiqandin;<pijiqandi;n>;INS;a;1,2,3,COND,NEG,PL,PST,V
pijiqandin;<pijiqandin;>;INS;a;1,2,3,COND,NEG,PL,PST,V
qebilîner;<qebilîner;>;INS;inan;INDF,N,PL,ACC
bestir;<bestir;>;INS;inan;INDF,N,PL,ACC
bê ser û çav;<bê ser û çav;>;INS;o;DEF,N,SG,VOC
tîrdank;<tîrdank;>;INS;ine;INDF,LGSPEC1,N,PL
firotin;<;firotin>;INS;bi;2,POS,PRS,SBJV,SG,V
firotin;<firo;>;DEL;tin;2,POS,PRS,SBJV,SG,V
firotin;<firotin;>;INS;sî;2,POS,PRS,SBJV,SG,V
qelemrisas;<qelemrisas;>;INS;inan;INDF,N,PL,ACC
nekrofîlî;<nekrofîlî;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
nepixîn;<;nepixîn>;INS;nedi;1,2,3,IND,NEG,PL,PST,V,PROG
xwandevan;<xwandevan;>;INS;no;DEF,N,PL,VOC
têkberên malê;<têkberên malê;>;INS;a;DEF,LGSPEC1,N,SG
hil-girtin;<;hil-girtin>;INS;nedi;1,IND,NEG,PST,SG,V,PROG
hil-girtin;<hil-girti;>;DEL;n;1,IND,NEG,PST,SG,V,PROG
hil-girtin;<hil-girtin;>;INS;m;1,IND,NEG,PST,SG,V,PROG
ziving;<ziving;>;INS;eke;INDF,LGSPEC1,N,SG,ACC
reþatî;<reþatî;>;INS;ê;DEF,N,SG,VOC,ACC,LGSPEC2
rayda;<rayda;>;INS;ine;INDF,LGSPEC1,N,PL
ihtiwa;<ihtiwa;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
pehnava rezan : pehniya nav rezan;<pehnava rezan : pehniya nav rezan;>;INS;ine;INDF,LGSPEC1,N,PL
berqenîk;<berqenîk;>;INS;a;DEF,LGSPEC1,N,SG
sijîn;<;sijîn>;INS;bi;1,2,3,IMP,PL,POS,PRS,SBJV,V
sijîn;<sij;n>;DEL;î;1,2,3,IMP,PL,POS,PRS,SBJV,V
koþk;<koþk;>;INS;ê;DEF,N,SG,VOC,ACC,LGSPEC2
xweþmêrî;<xweþmêrî;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
iqtisar;<iqtisar;>;INS;inan;INDF,N,PL,ACC
rastandin;<rastand;in>;INS;in;INDF,N,NOM,PL
sername;<sername;>;INS;ê;DEF,LGSPEC1,N,SG,VOC,ACC,LGSPEC2
miwazif;<miwazif;>;INS;o;DEF,N,SG,VOC
çinok;<çinok;>;INS;o;DEF,N,SG,VOC
da-gerandin;<da-gerandin;>;INS;ê;V,V.MSDR,ACC
pêdan;<pêd;an>;INS;anin;INDF,N,PL,ACC
ademî;<ademî;>;INS;no;DEF,N,PL,VOC
hunermendî;<hunermendî;>;INS;ine;INDF,LGSPEC1,N,PL
noter;<noter;>;INS;î;DEF,N,SG,LGSPEC2
telîf;<telîf;>;INS;an;DEF,N,PL,ACC,LGSPEC2
werz;<werz;>;INS;ê;DEF,LGSPEC1,N,SG
psîkyatrî;<psîkyatrî;>;INS;no;DEF,N,PL,VOC
patrome;<patrom;e>;INS;ein;INDF,LGSPEC1,N,PL
alûçe;<alûçe;>;INS;ên;DEF,LGSPEC1,N,PL,VOC
gazolîn;<gazolîn;>;INS;no;DEF,N,PL,VOC
tobî;<tobî;>;INS;ê;DEF,N,SG,VOC,ACC,LGSPEC2
estrad;<estrad;>;INS;ek;INDF,N,NOM,SG
gilûr;<gilûr;>;INS;ê;DEF,N,SG,VOC,ACC,LGSPEC2
girse;<girse;>;INS;inan;INDF,N,PL,ACC
romans;<romans;>;INS;in;INDF,N,NOM,PL
demkêþk;<demkêþk;>;INS;inan;INDF,N,PL,ACC
bnr. ardû;<bnr. ardû;>;INS;no;DEF,N,PL,VOC
sanlibútan;<sanlibút;an>;INS;anin;INDF,N,PL,ACC
berbûdî;<berbûdî;>;INS;eke;INDF,LGSPEC1,N,SG,ACC
pirça binçengê;<pirça binçengê;>;INS;in;INDF,N,NOM,PL
pronav;<pronav;>;INS;no;DEF,N,PL,VOC
ve-xwarin;<ve-xwar;>;DEL;in;2,IND,PFV,POS,PST,SG,V,V.PTCP
ve-xwarin;<ve-xwarin;>;INS;î;2,IND,PFV,POS,PST,SG,V,V.PTCP
danûstendin;<danûstendi;n>;INS;nina;INDF,N,PL,ACC
behre;<behre;>;INS;in;INDF,N,NOM,PL
zêrr;<zêrr;>;INS;o;DEF,N,SG,VOC
nîske;<nîske;>;INS;no;DEF,N,PL,VOC
telar;<telar;>;INS;an;DEF,N,PL,ACC,LGSPEC2
nek;<nek;>;INS;ine;INDF,LGSPEC1,N,PL
îqame;<îqame;>;INS;ek;INDF,N,NOM,SG
noel;<noel;>;INS;ê;DEF,N,SG,VOC,ACC,LGSPEC2
hevalkiras;<hevalkiras;>;INS;î;DEF,N,SG,LGSPEC2
dasinî;<dasinî;>;INS;inan;INDF,N,PL,ACC
gir-girtin;<;gir-girtin>;INS;ne;2,3,COND,NEG,PRF,PST,SG,V
gir-girtin;<gir-girti;>;DEL;n;2,3,COND,NEG,PRF,PST,SG,V
gir-girtin;<gir-girtin;>;INS;bûya;2,3,COND,NEG,PRF,PST,SG,V
kozere;<kozere;>;INS;in;INDF,N,NOM,PL
pîldar;<pîldar;>;INS;a;DEF,LGSPEC1,N,SG
cerîme;<cerîm;e>;INS;ein;INDF,LGSPEC1,N,PL
bîjin;<bîji;n>;INS;nina;INDF,N,PL,ACC
sekinan/-în;<;sekinan/-în>;INS;nedi;2,IND,NEG,PST,SG,V,PROG
