Source;Left;Right;Operation;Object;Grammar
depenjer;<depenj;er>;INS;ov;V,IND,PST,1,SG,IPFV
depenjer;<depenje;>;DEL;r;V,IND,PST,1,SG,IPFV
curespuender;<curespuend;r>;DEL;e;V,2,PL,IND,FUT
curespuender;<curespuende;r>;INS;a;V,2,PL,IND,FUT
curespuender;<curespuender;>;INS;eis;V,2,PL,IND,FUT
giudicher;<giudiche;>;DEL;r;V,IND,PRS,3,SG,LGSPEC2
giudicher;<giudicher;>;INS;ia;V,IND,PRS,3,SG,LGSPEC2
reverir;<reve;r>;DEL;ri;V,3,SG,SBJV,PRS,LGSPEC1
reverir;<reverir;>;INS;e;V,3,SG,SBJV,PRS,LGSPEC1
cianter;<ciante;>;DEL;r;V,2,SG,SBJV,PRS,LGSPEC1
cianter;<cianter;>;INS;s;V,2,SG,SBJV,PRS,LGSPEC1
delegher;<delegh;er>;INS;ov;V,IND,PST,2,SG,IPFV
delegher;<deleghe;>;DEL;r;V,IND,PST,2,SG,IPFV
delegher;<delegher;>;INS;s;V,IND,PST,2,SG,IPFV
delibrer;<delib;r>;DEL;re;V,NFIN,LGSPEC2
delibrer;<delibrer;>;INS;é;V,NFIN,LGSPEC2
usserver;<usserv;>;DEL;er;V,1,PL,SBJV,PST,IPFV
usserver;<usserver;>;INS;assan;V,1,PL,SBJV,PST,IPFV
redujer;<reduje;>;DEL;r;V,3,PL,SBJV,PRS
cogner;<cogn;>;DEL;er;V,2,SG,NFIN,LGSPEC1
cogner;<cogner;>;INS;a;V,2,SG,NFIN,LGSPEC1
prufesser;<prufess;>;DEL;er;V,IND,PRS,3,SG,LGSPEC1
prufesser;<prufesser;>;INS;a;V,IND,PRS,3,SG,LGSPEC1
sustenir;<susten;>;DEL;ir;V,IND,PRS,3,SG,LGSPEC1
goder;<god;er>;INS;ass;V,1,SG,SBJV,PST,IPFV
goder;<gode;>;DEL;r;V,1,SG,SBJV,PST,IPFV
limiter;<limit;>;DEL;er;V.PTCP,PST
limiter;<limiter;>;INS;é;V.PTCP,PST
cumporter;<cumport;er>;INS;ov;V,IND,PST,1,SG,IPFV
cumporter;<cumporte;>;DEL;r;V,IND,PST,1,SG,IPFV
adoter;<adote;>;DEL;r;V,2,SG,SBJV,PRS,LGSPEC1
adoter;<adoter;>;INS;s;V,2,SG,SBJV,PRS,LGSPEC1
eserziter;<eserzit;>;DEL;er;V,IND,PST,3,PL,IPFV
eserziter;<eserziter;>;INS;ova;V,IND,PST,3,PL,IPFV
dovei;<d;ei>;DEL;ov;V,3,SG,IND,FUT
dovei;<dove;>;DEL;i;V,3,SG,IND,FUT
dovei;<dovei;>;INS;ssarà;V,3,SG,IND,FUT
finanzier;<finanzi;>;DEL;er;V,IND,PST,1,PL,IPFV
finanzier;<finanzier;>;INS;ovan;V,IND,PST,1,PL,IPFV
lascer;<lasce;>;DEL;r;V,2,SG,NFIN,LGSPEC2
lascer;<lascer;>;INS;ia;V,2,SG,NFIN,LGSPEC2
cunvalider;<cunvalid;>;DEL;er;V,IND,PRS,3,PL,LGSPEC1
cunvalider;<cunvalider;>;INS;a;V,IND,PRS,3,PL,LGSPEC1
aproer;<apro;>;DEL;er;V,NFIN,LGSPEC2
aproer;<aproer;>;INS;é;V,NFIN,LGSPEC2
ndicher;<ndich;er>;INS;ov;V,IND,PST,2,SG,IPFV
ndicher;<ndiche;>;DEL;r;V,IND,PST,2,SG,IPFV
ndicher;<ndicher;>;INS;s;V,IND,PST,2,SG,IPFV
passer;<pass;>;DEL;er;V,1,PL,SBJV,PRS
passer;<passer;>;INS;on;V,1,PL,SBJV,PRS
trasferir;<trasfe;r>;DEL;ri;V,1,SG,SBJV,PRS,LGSPEC1
trasferir;<trasferir;>;INS;e;V,1,SG,SBJV,PRS,LGSPEC1
arbitrer;<arbitr;r>;DEL;e;V,3,SG,IND,FUT
arbitrer;<arbitre;r>;INS;a;V,3,SG,IND,FUT
arbitrer;<arbitrer;>;INS;à;V,3,SG,IND,FUT
spartir;<spart;>;DEL;ir;V,1,SG,SBJV,PRS,LGSPEC1
spartir;<spartir;>;INS;e;V,1,SG,SBJV,PRS,LGSPEC1
scurter;<scurte;>;DEL;r;V,2,SG,NFIN,LGSPEC2
scurter;<scurter;>;INS;ia;V,2,SG,NFIN,LGSPEC2
condujer;<conduje;>;DEL;r;V,1,SG,SBJV,PRS
assenier;<asseni;>;DEL;er;V,1,PL,SBJV,PRS
assenier;<assenier;>;INS;on;V,1,PL,SBJV,PRS
someter;<somet;>;DEL;er;V,IND,PRS,3,SG,LGSPEC1
someter;<someter;>;INS;a;V,IND,PRS,3,SG,LGSPEC1
ressolver;<ressolve;>;DEL;r;V,2,PL,SBJV,PRS
ressolver;<ressolver;>;INS;is;V,2,PL,SBJV,PRS
udir;<ud;>;DEL;ir;V,IND,PRS,3,PL,LGSPEC2
udir;<udir;>;INS;esc;V,IND,PRS,3,PL,LGSPEC2
acrediter;<acredit;>;DEL;er;V,2,SG,NFIN,LGSPEC1
acrediter;<acrediter;>;INS;a;V,2,SG,NFIN,LGSPEC1
promulgher;<promulgh;>;DEL;er;V,3,SG,SBJV,PST,IPFV
promulgher;<promulgher;>;INS;assa;V,3,SG,SBJV,PST,IPFV
podei;<pod;>;DEL;ei;V,IND,PST,1,PL,IPFV
podei;<podei;>;INS;ovan;V,IND,PST,1,PL,IPFV
stabilir;<stabil;>;DEL;ir;V,NFIN,LGSPEC2
stabilir;<stabilir;>;INS;ì;V,NFIN,LGSPEC2
istruir;<istruir;>;INS;à;V,3,SG,IND,FUT
dé;<d;>;DEL;é;V,NFIN,LGSPEC2
dé;<dé;>;INS;èr;V,NFIN,LGSPEC2
podei;<po;>;DEL;dei;V,2,SG,SBJV,PRS
podei;<podei;>;INS;sses;V,2,SG,SBJV,PRS
purter;<purt;er>;INS;ass;V,2,SG,SBJV,PST,IPFV
purter;<purte;>;DEL;r;V,2,SG,SBJV,PST,IPFV
purter;<purter;>;INS;s;V,2,SG,SBJV,PST,IPFV
coster;<coste;>;DEL;r;V,IND,PRS,2,PL
coster;<coster;>;INS;is;V,IND,PRS,2,PL
aproer;<apro;er>;INS;ei;V,3,SG,SBJV,PRS,LGSPEC2
aproer;<aproe;>;DEL;r;V,3,SG,SBJV,PRS,LGSPEC2
respuender;<respuend;>;DEL;er;V,1,PL,SBJV,PST,IPFV
respuender;<respuender;>;INS;assan;V,1,PL,SBJV,PST,IPFV
comunicher;<comuniche;>;DEL;r;V,3,PL,SBJV,PRS
proibir;<proib;>;DEL;ir;V,IND,PRS,3,SG,LGSPEC1
erjer;<erj;er>;INS;ov;V,IND,PST,2,SG,IPFV
erjer;<erje;>;DEL;r;V,IND,PST,2,SG,IPFV
erjer;<erjer;>;INS;s;V,IND,PST,2,SG,IPFV
seurander;<seurande;>;DEL;r;V,IND,PRS,1,SG,LGSPEC1
comunicher;<comuniche;>;DEL;r;V,2,SG,SBJV,PRS,LGSPEC1
comunicher;<comunicher;>;INS;s;V,2,SG,SBJV,PRS,LGSPEC1
resserver;<resserve;>;DEL;r;V,3,SG,SBJV,PRS,LGSPEC1
detlarer;<detla;r>;DEL;re;V,IND,PRS,3,PL,LGSPEC1
detlarer;<detlarer;>;INS;a;V,IND,PRS,3,PL,LGSPEC1
redujer;<reduj;r>;DEL;e;V,1,SG,IND,FUT
redujer;<reduje;r>;INS;a;V,1,SG,IND,FUT
redujer;<redujer;>;INS;é;V,1,SG,IND,FUT
atribuir;<atribu;>;DEL;ir;V,2,SG,NFIN,LGSPEC1
avei;<a;>;DEL;vei;V,2,SG,IND,FUT
avei;<avei;>;INS;ras;V,2,SG,IND,FUT
manifester;<manifest;r>;DEL;e;V,2,PL,IND,FUT
manifester;<manifeste;r>;INS;a;V,2,PL,IND,FUT
manifester;<manifester;>;INS;eis;V,2,PL,IND,FUT
dovei;<d;ei>;DEL;ov;V.PTCP,PST,LGSPEC2
dovei;<dove;>;DEL;i;V.PTCP,PST,LGSPEC2
dovei;<dovei;>;INS;ssù;V.PTCP,PST,LGSPEC2
vegnì;<vegn;>;DEL;ì;V,2,PL,IND,FUT
vegnì;<vegnì;>;INS;ireis;V,2,PL,IND,FUT
spieter;<spiet;r>;DEL;e;V,3,SG,IND,FUT
spieter;<spiete;r>;INS;a;V,3,SG,IND,FUT
spieter;<spieter;>;INS;à;V,3,SG,IND,FUT
coordener;<coorden;er>;INS;ass;V,1,SG,SBJV,PST,IPFV
coordener;<coordene;>;DEL;r;V,1,SG,SBJV,PST,IPFV
scuter;<sc;uter>;INS;o;V,IND,PRS,2,SG,LGSPEC2
scuter;<scute;>;DEL;r;V,IND,PRS,2,SG,LGSPEC2
scuter;<scuter;>;INS;is;V,IND,PRS,2,SG,LGSPEC2
detlarer;<detlare;>;DEL;r;V,IND,PRS,2,PL
detlarer;<detlarer;>;INS;is;V,IND,PRS,2,PL
ester;<;>;DEL;ester;V,IND,PST,3,PL,IPFV
ester;<ester;>;INS;fova;V,IND,PST,3,PL,IPFV
passer;<pass;>;DEL;er;V,1,PL,SBJV,PST,IPFV
passer;<passer;>;INS;assan;V,1,PL,SBJV,PST,IPFV
