Source;Left;Right;Operation;Object;Grammar
invincibilis;<invincibili;s>;INS;bu;ADJ,ABL,NEUT,SG
ratiocinativus;<rati;cinativus>;DEL;o;ADJ,VOC,FEM,SG
ratiocinativus;<ratio;cinativus>;INS;ō;ADJ,VOC,FEM,SG
ratiocinativus;<ratiocin;ativus>;INS;ātīv;ADJ,VOC,FEM,SG
ratiocinativus;<ratiocina;>;DEL;tivus;ADJ,VOC,FEM,SG
scutula;<scutula;>;INS;e;N,DAT,SG
arbitrium;<arbitri;>;DEL;um;N,VOC,PL
arbitrium;<arbitrium;>;INS;a;N,VOC,PL
solutissimus;<solutissim;>;DEL;us;ADJ,ABL,FEM,SG
solutissimus;<solutissimus;>;INS;ā;ADJ,ABL,FEM,SG
adjugo;<adjug;>;DEL;o;V,IND,FUT,1,PL
adjugo;<adjugo;>;INS;ābimus;V,IND,FUT,1,PL
abolefacio;<abol;>;DEL;efacio;V,IND,PST,3,PL,PFV
abolefacio;<abolefacio;>;INS;ēfēcērunt;V,IND,PST,3,PL,PFV
cultissimus;<cultissim;>;DEL;us;ADJ,ABL,MASC,SG
cultissimus;<cultissimus;>;INS;ō;ADJ,ABL,MASC,SG
uligo;<;uligo>;INS;ūlīginib;N,DAT,PL
uligo;<u;>;DEL;ligo;N,DAT,PL
uligo;<uligo;>;INS;s;N,DAT,PL
adsigno;<adsign;>;DEL;o;V,IND,FUT,3,PL
adsigno;<adsigno;>;INS;ābunt;V,IND,FUT,3,PL
exsaturo;<exsatur;>;DEL;o;V,IND,PST,3,SG,IPFV
exsaturo;<exsaturo;>;INS;ābat;V,IND,PST,3,SG,IPFV
allicio;<allici;>;DEL;o;V,SBJV,PASS,PRS,1,SG
allicio;<allicio;>;INS;ar;V,SBJV,PASS,PRS,1,SG
cudo;<c;do>;DEL;u;V,IMP,PASS,FUT,3,PL
cudo;<cu;do>;INS;ū;V,IMP,PASS,FUT,3,PL
cudo;<cud;o>;INS;unt;V,IMP,PASS,FUT,3,PL
cudo;<cudo;>;INS;r;V,IMP,PASS,FUT,3,PL
drappus;<drapp;>;DEL;us;N,VOC,PL
drappus;<drappus;>;INS;ī;N,VOC,PL
remulceo;<remulc;>;DEL;eo;V,SBJV,PST,2,PL,IPFV
remulceo;<remulceo;>;INS;ērētis;V,SBJV,PST,2,PL,IPFV
praeconius;<praec;nius>;DEL;o;ADJ,NOM,MASC,PL
praeconius;<praeco;nius>;INS;ō;ADJ,NOM,MASC,PL
praeconius;<praeconi;>;DEL;us;ADJ,NOM,MASC,PL
praeconius;<praeconius;>;INS;ī;ADJ,NOM,MASC,PL
byssinus;<byssin;>;DEL;us;ADJ,DAT,FEM,SG
byssinus;<byssinus;>;INS;ō;ADJ,DAT,FEM,SG
divello;<d;vello>;DEL;i;V,SBJV,PST,2,PL,PRF
divello;<di;vello>;INS;ī;V,SBJV,PST,2,PL,PRF
divello;<divell;>;DEL;o;V,SBJV,PST,2,PL,PRF
divello;<divello;>;INS;issētis;V,SBJV,PST,2,PL,PRF
obstrepo;<obstrep;>;DEL;o;V,SBJV,PST,2,SG,IPFV
