Source;Left;Right;Operation;Object;Grammar
aita;<ait;>;DEL;a;N,ACC,SG
aita;<aita;>;INS;u;N,ACC,SG
rudzu mēnesis;<rudzu mēne;is>;DEL;s;N,NOM,PL
rudzu mēnesis;<rudzu mēnes;is>;INS;š;N,NOM,PL
rudzu mēnesis;<rudzu mēnesi;>;DEL;s;N,NOM,PL
slaikums;<slaikum;>;DEL;s;N,LOC,SG
slaikums;<slaikums;>;INS;ā;N,LOC,SG
rudmatainākais;<rudmataināka;>;DEL;is;ADJ,INST,SG,MASC
rudmatainākais;<rudmatainākais;>;INS;jā;ADJ,INST,SG,MASC
taizemisks;<ta;zemisks>;DEL;i;ADJ,NOM,PL,FEM
taizemisks;<taizemisk;s>;INS;a;ADJ,NOM,PL,FEM
nestādīt;<nestād;>;DEL;īt;V,1,SG,PRS,IND
nestādīt;<nestādīt;>;INS;u;V,1,SG,PRS,IND
viskazahiskākais;<viskazahiskāk;ais>;INS;aj;ADJ,GEN,SG,FEM
viskazahiskākais;<viskazahiskākai;>;DEL;s;ADJ,GEN,SG,FEM
liegt;<lie;t>;DEL;g;V,2,PL,PST,IND
liegt;<lieg;t>;INS;dzā;V,2,PL,PST,IND
java;<jav;>;DEL;a;N,DAT,PL
java;<java;>;INS;ām;N,DAT,PL
autobuss;<autobu;s>;DEL;s;N,ACC,SG
autobuss;<autobuss;>;INS;u;N,ACC,SG
gigantiskāks;<gigantiskāk;>;DEL;s;ADJ,GEN,PL,MASC
gigantiskāks;<gigantiskāks;>;INS;iem;ADJ,GEN,PL,MASC
visinteresantākais;<visinteresantāka;>;DEL;is;ADJ,GEN,PL,FEM
visinteresantākais;<visinteresantākais;>;INS;jām;ADJ,GEN,PL,FEM
bulgāriskais;<bulgārisk;s>;DEL;ai;ADJ,NOM,PL,FEM
bulgāriskais;<bulgāriskai;s>;INS;ā;ADJ,NOM,PL,FEM
biezāks;<biezāk;s>;INS;o;ADJ,INST,PL,MASC
ideja;<idej;>;DEL;a;N,ACC,SG
ideja;<ideja;>;INS;u;N,ACC,SG
gaišmataināks;<gaišmataināk;>;DEL;s;ADJ,DAT,PL,MASC
gaišmataināks;<gaišmataināks;>;INS;iem;ADJ,DAT,PL,MASC
vājdzirdīgāks;<vājdzirdīgāk;>;DEL;s;ADJ,DAT,PL,FEM
vājdzirdīgāks;<vājdzirdīgāks;>;INS;ām;ADJ,DAT,PL,FEM
slidenāks;<slidenāk;s>;INS;a;ADJ,ACC,SG,FEM
saldākais;<saldāk;>;DEL;ais;ADJ,LOC,SG,FEM
saldākais;<saldākais;>;INS;ā;ADJ,LOC,SG,FEM
holesterīns;<holesterīn;>;DEL;s;N,GEN,SG
holesterīns;<holesterīns;>;INS;a;N,GEN,SG
nenazalizēt;<nenazalizē;>;DEL;t;V,V.MSDR
nenazalizēt;<nenazalizēt;>;INS;šana;V,V.MSDR
visenerģiskākais;<visenerģiskāk;>;DEL;ais;ADJ,LOC,SG,FEM
visenerģiskākais;<visenerģiskākais;>;INS;ā;ADJ,LOC,SG,FEM
vēna;<vēn;>;DEL;a;N,LOC,SG
vēna;<vēna;>;INS;ā;N,LOC,SG
puķains;<puķain;s>;INS;o;ADJ,INST,PL,MASC
mēļākais;<mēļāk;is>;DEL;a;ADJ,LOC,PL,MASC
mēļākais;<mēļākai;>;DEL;s;ADJ,LOC,PL,MASC
mēļākais;<mēļākais;>;INS;e;ADJ,LOC,PL,MASC
neost;<neo;>;DEL;st;V,2,SG,PRS,IND
neost;<neost;>;INS;d;V,2,SG,PRS,IND
vieninieks;<vieniniek;>;DEL;s;N,VOC,PL
vieninieks;<vieninieks;>;INS;i;N,VOC,PL
nepiearšana;<nepiearšana;>;INS;s;N,GEN,SG
emīrs;<emīr;>;DEL;s;N,VOC,PL
