Source;Left;Right;Operation;Object;Grammar
atsakyti;<atsak;ti>;DEL;y;V,V.PTCP,ADV,PRS,ACT
atsakyti;<atsaky;ti>;INS;an;V,V.PTCP,ADV,PRS,ACT
atsakyti;<atsakyt;>;DEL;i;V,V.PTCP,ADV,PRS,ACT
albanas;<alban;>;DEL;as;N,LOC,SG
albanas;<albanas;>;INS;e;N,LOC,SG
įspūdingas;<įspūding;as>;INS;i;ADJ,NOM,SG,FEM,SPRL
įspūdingas;<įspūdinga;s>;INS;u;ADJ,NOM,SG,FEM,SPRL
įspūdingas;<įspūdingas;>;INS;ia;ADJ,NOM,SG,FEM,SPRL
prostitutė;<prostit;tė>;DEL;u;N,NOM,PL
prostitutė;<prostitu;tė>;INS;ù;N,NOM,PL
prostitutė;<prostitutė;>;INS;s;N,NOM,PL
bokalas;<bokal;>;DEL;as;N,LOC,SG
bokalas;<bokalas;>;INS;è;N,LOC,SG
sakyti;<sakyt;>;DEL;i;V,1,PL,SBJV
sakyti;<sakyti;>;INS;umėme;V,1,PL,SBJV
lietuvė;<liet;vė>;DEL;u;N,LOC,SG
lietuvė;<lietu;vė>;INS;ù;N,LOC,SG
lietuvė;<lietuvė;>;INS;je;N,LOC,SG
žaisti;<žaist;>;DEL;i;V,2,PL,SBJV
žaisti;<žaisti;>;INS;umėte;V,2,PL,SBJV
krūmas;<krūma;>;DEL;s;N,NOM,PL
krūmas;<krūmas;>;INS;i;N,NOM,PL
aptarti;<;aptarti>;INS;te;V,3,SG,IMP
aptarti;<aptar;i>;DEL;t;V,3,SG,IMP
aptarti;<aptarti;>;INS;a;V,3,SG,IMP
asmeninis;<asmenini;>;DEL;s;ADJ,GEN,PL,FEM,POS
asmeninis;<asmeninis;>;INS;ų;ADJ,GEN,PL,FEM,POS
niaukti;<ni;ukti>;DEL;a;V,3,PL,PRS,IND
niaukti;<nia;ukti>;INS;á;V,3,PL,PRS,IND
niaukti;<niauk;i>;DEL;t;V,3,PL,PRS,IND
niaukti;<niaukti;>;INS;a;V,3,PL,PRS,IND
vienetas;<vienet;>;DEL;as;N,GEN,PL
vienetas;<vienetas;>;INS;ų;N,GEN,PL
mįslingas;<mįsling;s>;DEL;a;ADJ,NOM,PL,FEM,POS
mįslingas;<mįslinga;s>;INS;o;ADJ,NOM,PL,FEM,POS
ranka;<rank;>;DEL;a;N,ACC,PL
ranka;<ranka;>;INS;às;N,ACC,PL
ugdyti;<ugdyt;>;DEL;i;V,1,PL,SBJV
ugdyti;<ugdyti;>;INS;umėme;V,1,PL,SBJV
bebalsis;<bebals;s>;DEL;i;ADJ,DAT,PL,FEM,POS
bebalsis;<bebalsi;s>;INS;ėm;ADJ,DAT,PL,FEM,POS
meniškas;<menišk;>;DEL;as;ADJ,ACC,SG,FEM,POS
meniškas;<meniškas;>;INS;ą;ADJ,ACC,SG,FEM,POS
bedieviškas;<bedievišk;as>;INS;i;ADJ,ACC,PL,MASC,SPRL
bedieviškas;<bedieviška;s>;INS;usiu;ADJ,ACC,PL,MASC,SPRL
blakstiena;<blakst;ena>;DEL;i;N,NOM,SG
blakstiena;<blaksti;ena>;INS;í;N,NOM,SG
izoterminis;<izotermini;>;DEL;s;ADJ,LOC,SG,MASC,POS
izoterminis;<izoterminis;>;INS;ame;ADJ,LOC,SG,MASC,POS
aumuo;<aum;>;DEL;uo;N,GEN,SG
aumuo;<aumuo;>;INS;eñs;N,GEN,SG
klausyti;<klaus;i>;DEL;yt;V,2,SG,PST,IND
klausyti;<klausyt;i>;INS;e;V,2,SG,PST,IND
dievas;<dieva;>;DEL;s;N,NOM,PL
dievas;<dievas;>;INS;ĩ;N,NOM,PL
kalnas;<k;lnas>;DEL;a;N,ACC,SG
kalnas;<ka;lnas>;INS;á;N,ACC,SG
kalnas;<kaln;>;DEL;as;N,ACC,SG
kalnas;<kalnas;>;INS;ą;N,ACC,SG
dieviškas;<dievišk;>;DEL;as;ADJ,ACC,SG,MASC,POS
dieviškas;<dieviškas;>;INS;ą;ADJ,ACC,SG,MASC,POS
kalbėti;<kalbė;ti>;INS;davo;V,2,PL,PST,FREQ,IND
kalbėti;<kalbėt;>;DEL;i;V,2,PL,PST,FREQ,IND
kalbėti;<kalbėti;>;INS;e;V,2,PL,PST,FREQ,IND
musė;<mus;>;DEL;ė;N,DAT,SG
musė;<musė;>;INS;ei;N,DAT,SG
panaudotoja;<panaud;toja>;DEL;o;N,VOC,PL
panaudotoja;<panaudo;toja>;INS;ó;N,VOC,PL
