Source;Left;Right;Operation;Object;Grammar
nǟdõ;<nǟ;dõ>;INS;nõ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2
nǟdõ;<nǟd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2
aššõ;<aššõ;>;INS;d;ADJ,PL,NOM
likkõ;<lik;>;DEL;kõ;V,ACT,FIN,IND,POS,PRS,SG,3
likkõ;<likkõ;>;INS;ūb;V,ACT,FIN,IND,POS,PRS,SG,3
ežmi;<ežmi;>;INS;žis;ADJ,PL,IN+ESS
suoŗm;<s;m>;DEL;uoŗ;N,PL,IN+ALL
suoŗm;<suoŗ;m>;INS;ūor;N,PL,IN+ALL
suoŗm;<suoŗm;>;INS;iž;N,PL,IN+ALL
kōdõksmõz;<kōdõksmõ;>;DEL;z;ADJ,PL,IN+ESS
kōdõksmõz;<kōdõksmõz;>;INS;ndis;ADJ,PL,IN+ESS
likkõ;<likk;õ>;INS;õksm;V,ACT,FIN,COND,POS,PRS,PL,1
blēḑ;<blēḑ;>;INS;õd;ADJ,PL,NOM
vīțsõnā;<vīțsõnā;>;INS;ks;N,SG,INS
īdõkssadāz;<īdõkssadā;>;DEL;z;ADJ,PL,GEN
īdõkssadāz;<īdõkssadāz;>;INS;ndõd;ADJ,PL,GEN
kōdõkstuoistõnz;<kōdõkstuoistõn;>;DEL;z;ADJ,PL,GEN
kōdõkstuoistõnz;<kōdõkstuoistõnz;>;INS;dõd;ADJ,PL,GEN
mǟdlõ;<mǟdlõ;>;INS;mõst;V,ACT,FIN,DEB,POS,PRS,SG,3
sēmḑa;<sēmḑ;>;DEL;a;N,PL,IN+ALL
sēmḑa;<sēmḑa;>;INS;iž;N,PL,IN+ALL
tīemizsõnā;<tīemizsõ;>;DEL;nā;N,PL,IN+ALL
tīemizsõnā;<tīemizsõnā;>;INS;ņži;N,PL,IN+ALL
tuoistõnz;<tuoistõn;>;DEL;z;ADJ,PL,INS
tuoistõnz;<tuoistõnz;>;INS;dõdõks;ADJ,PL,INS
nǟdõ;<nǟ;>;DEL;dõ;V,ACT,FIN,IND,NEG,PRS,SG,2
bōr;<bōr;>;INS;õdõn;N,PL,DAT
vīdsadāz;<vīdsadā;>;DEL;z;ADJ,SG,IN+ESS
