Source;Target;Combined;Inserts;Deletes;Grammar
xubilar;xubilaba;xubilINS(ab)aDEL(r);INS(ab);DEL(r);V,IND,PST,3,SG,IPFV
xelar;xelaríamos;xelarINS(íamos);INS(íamos);;V,1,PL,COND,LGSPEC2
significar;signifiquen;signifiDEL(car)INS(quen);INS(quen);DEL(car);V,IND,PRS,3,PL
sellar;selláramos;sellDEL(a)INS(á)rINS(amos);INS(á),INS(amos);DEL(a);V,1,PL,SBJV,PST,IPFV,LGSPEC2
evitar;evitaríamos;evitarINS(íamos);INS(íamos);;V,1,PL,COND,LGSPEC2
abolir;aboli;aboliDEL(r);;DEL(r);V,2,SG,IMP
desaverar;desaverastis;desaveraDEL(r)INS(stis);INS(stis);DEL(r);V,IND,PST,2,PL,PFV,LGSPEC1
eliminar;eliminare;eliminarINS(e);INS(e);;V,3,SG,IND,PST,PRF,LGSPEC1
preñar;preñaré;preñarINS(é);INS(é);;V,1,SG,IND,FUT
tomar;tomar;tomar;;;V,NFIN
escuchar;escucharé;escucharINS(é);INS(é);;V,1,SG,IND,FUT
trabayar;trabayarais;trabayarINS(ais);INS(ais);;V,2,PL,IND,PST,PRF,LGSPEC2
apoyar;apoyo;apoyDEL(ar)INS(o);INS(o);DEL(ar);V,IND,PRS,1,SG
clonar;clonare;clonarINS(e);INS(e);;V,3,SG,SBJV,PST,IPFV,LGSPEC1
portar;portares;portarINS(es);INS(es);;V,2,SG,IND,PST,PRF,LGSPEC1
axudar;axudaría;axudarINS(ía);INS(ía);;V,3,SG,COND
eclipsar;eclipsarás;eclipsarINS(ás);INS(ás);;V,2,SG,IND,FUT
cuspir;cuspíemos;cuspDEL(ir)INS(íemos);INS(íemos);DEL(ir);V,IND,PST,1,PL,IPFV,LGSPEC1
aforrar;aforraréis;aforrarINS(éis);INS(éis);;V,2,PL,IND,FUT
causar;causare;causarINS(e);INS(e);;V,3,SG,IND,PST,PRF,LGSPEC1
funcionar;funcioné;funcionDEL(ar)INS(é);INS(é);DEL(ar);V,IND,PST,1,SG,PFV
eclipsar;eclipsaras;eclipsarINS(as);INS(as);;V,2,SG,SBJV,PST,IPFV,LGSPEC2
acompangar;acompangaría;acompangarINS(ía);INS(ía);;V,3,SG,COND
brincar;brincando;brincaDEL(r)INS(ndo);INS(ndo);DEL(r);V.CVB,PRS
afumiar;afumiaes;afumiaDEL(r)INS(es);INS(es);DEL(r);V.PTCP,PST,FEM,PL
nombrar;nombraba;nombrINS(ab)aDEL(r);INS(ab);DEL(r);V,IND,PST,3,SG,IPFV
xintar;xintarán;xintarINS(án);INS(án);;V,3,PL,IND,FUT
alimentar;alimentes;alimentDEL(ar)INS(es);INS(es);DEL(ar);V,2,SG,SBJV,PRS,LGSPEC1
axuntar;axuntaríamos;axuntarINS(íamos);INS(íamos);;V,1,PL,COND,LGSPEC2
esfregar;esfregará;esfregarINS(á);INS(á);;V,3,SG,IND,FUT
cribar;cribaras;cribarINS(as);INS(as);;V,2,SG,IND,PST,PRF,LGSPEC2
viaxar;viaxó;viaxDEL(ar)INS(ó);INS(ó);DEL(ar);V,IND,PST,3,SG,PFV
llimpiar;llimpiaríamos;llimpiarINS(íamos);INS(íamos);;V,1,PL,COND,LGSPEC2
votar;votó;votDEL(ar)INS(ó);INS(ó);DEL(ar);V,IND,PST,3,SG,PFV
dixebrar;dixebrares;dixebrarINS(es);INS(es);;V,2,SG,IND,PST,PRF,LGSPEC1
estender;estendáis;estendDEL(er)INS(áis);INS(áis);DEL(er);V,3,PL,IND,FUT
tomar;tomestis;tomDEL(ar)INS(estis);INS(estis);DEL(ar);V,IND,PST,2,PL,PFV,LGSPEC2
acusar;acusarais;acusarINS(ais);INS(ais);;V,2,PL,IND,PST,PRF,LGSPEC2
esmordigañar;esmordigañáramos;esmordigañDEL(a)INS(á)rINS(amos);INS(á),INS(amos);DEL(a);V,1,PL,IND,PST,PRF,LGSPEC2
esplotar;esploten;esplotDEL(ar)INS(en);INS(en);DEL(ar);V,3,PL,SBJV,PRS,LGSPEC1
sangrar;sangraes;sangraDEL(r)INS(es);INS(es);DEL(r);V.PTCP,PST,FEM,PL
interpretar;interpretes;interpretDEL(ar)INS(es);INS(es);DEL(ar);V,IND,PRS,2,SG
colocar;coloquas;coloDEL(car)INS(quas);INS(quas);DEL(car);V,2,SG,SBJV,PRS,LGSPEC2
parir;pariere;pariINS(e)rINS(e);INS(e),INS(e);;V,3,SG,IND,PST,PRF,LGSPEC1
alimentar;alimentarán;alimentarINS(án);INS(án);;V,3,PL,IND,FUT
agrupar;agrupa;agrupaDEL(r);;DEL(r);V,IND,PRS,3,SG
entrenar;entrenábemos;entrenDEL(ar)INS(ábemos);INS(ábemos);DEL(ar);V,IND,PST,1,PL,IPFV,LGSPEC1
duldar;duldábamos;duldINS(áb)aDEL(r)INS(mos);INS(áb),INS(mos);DEL(r);V,IND,PST,1,PL,IPFV,LGSPEC2
recordar;recordará;recordarINS(á);INS(á);;V,3,SG,IND,FUT
desplicar;despliquemos;despliDEL(car)INS(quemos);INS(quemos);DEL(car);V,1,PL,SBJV,PRS
empecipiar;empecipiaría;empecipiarINS(ía);INS(ía);;V,1,SG,COND
