Source;Target;Combined;Inserts;Deletes;Grammar
Norka;Norky;NorkDEL(a)INS(y);INS(y);DEL(a);N,VOC,PL
masturbovat;byli by masturbovali;INS(byli by )masturbovaDEL(t)INS(li);INS(byli by ),INS(li);DEL(t);V,COND,PST,3,PL,MASC,ANIM
plotice;ploticích;ploticDEL(e)INS(ích);INS(ích);DEL(e);N,ESS,PL
odčítat;odčítající;odčítaDEL(t)INS(jící);INS(jící);DEL(t);V.PTCP
pozorný;pozornému;pozornDEL(ý)INS(ému);INS(ému);DEL(ý);ADJ,DAT,NEUT,SG
židle;židlí;židlDEL(e)INS(í);INS(í);DEL(e);N,INS,SG
ručník;ručník;ručník;;;N,NOM,SG
časný;časných;časnýINS(ch);INS(ch);;ADJ,ESS,PL
bledý;bledou;bledDEL(ý)INS(ou);INS(ou);DEL(ý);ADJ,ACC,FEM,SG
fotogenický;fotogenický;fotogenický;;;ADJ,VOC,MASC,SG
Norka;Norku;NorkDEL(a)INS(u);INS(u);DEL(a);N,ACC,SG
stěhovat;stěhovalo jste;stěhovaINS(lo js)tINS(e);INS(lo js),INS(e);;V,IND,PST,2,SG,FORM,NEUT
diagnostikovat;bylo bys diagnostikovalo;INS(bylo bys )diagnostikovaDEL(t)INS(lo);INS(bylo bys ),INS(lo);DEL(t);V,COND,PST,2,SG,NEUT
hamburger;hamburgery;hamburgerINS(y);INS(y);;N,VOC,PL
nemotorný;nemotorným;nemotornýINS(m);INS(m);;ADJ,INS,MASC,SG
žebro;žeber;žebINS(e)rDEL(o);INS(e);DEL(o);N,GEN,PL
futuristický;futuristického;futuristickDEL(ý)INS(ého);INS(ého);DEL(ý);ADJ,ACC,ANIM,MASC,SG
písčitý;písčitá;písčitDEL(ý)INS(á);INS(á);DEL(ý);ADJ,ACC,NEUT,PL
pohanský;pohanské;pohanskDEL(ý)INS(é);INS(é);DEL(ý);ADJ,ACC,NEUT,SG
apačština;apačštiny;apačštinDEL(a)INS(y);INS(y);DEL(a);N,NOM,PL
definovat;definoval bych;definovaDEL(t)INS(l bych);INS(l bych);DEL(t);V,COND,PRS,1,SG,MASC
neopěvovaný;neopěvované;neopěvovanDEL(ý)INS(é);INS(é);DEL(ý);ADJ,ACC,FEM,PL
lóže;lóže;lóže;;;N,VOC,PL
foldovat;foldovala;foldovINS(al)aDEL(t);INS(al);DEL(t);V.PTCP,ACT,PRF,FEM,SG
valný;valný;valný;;;ADJ,NOM,MASC,SG
napjatý;napjatá;napjatDEL(ý)INS(á);INS(á);DEL(ý);ADJ,NOM,FEM,SG
dělat;dělalo byste;dělaINS(lo bys)tINS(e);INS(lo bys),INS(e);;V,COND,PRS,2,SG,FORM,NEUT
třmínek;třmínkem;třmínDEL(e)kINS(em);INS(em);DEL(e);N,INS,SG
arkáda;arkádách;arkádDEL(a)INS(ách);INS(ách);DEL(a);N,ESS,PL
odemykat;budou odemykat;INS(budou )odemykat;INS(budou );;V,IND,FUT,3,PL
flegmatický;flegmatických;flegmatickýINS(ch);INS(ch);;ADJ,GEN,PL
tupý;tupý;tupý;;;ADJ,VOC,MASC,SG
aktivista;aktivistovi;aktivistDEL(a)INS(ovi);INS(ovi);DEL(a);N,DAT,SG
kafrat;kafrala;kafrINS(al)aDEL(t);INS(al);DEL(t);V,IND,PST,3,PL,NEUT
zpochybňovat;budeme zpochybňovat;INS(budeme )zpochybňovat;INS(budeme );;V,IND,FUT,1,PL
odpor;odpory;odporINS(y);INS(y);;N,NOM,PL
maximum;maximu;maximuDEL(m);;DEL(m);N,ESS,SG
námořnictvo;námořnictvu;námořnictvDEL(o)INS(u);INS(u);DEL(o);N,DAT,SG
kontrolovat;kontroloval;kontrolovaDEL(t)INS(l);INS(l);DEL(t);V,IND,PST,3,SG,MASC
chovat;chovala by;chovaDEL(t)INS(la by);INS(la by);DEL(t);V,COND,PRS,3,PL,NEUT
vina;vině;vinDEL(a)INS(ě);INS(ě);DEL(a);N,DAT,SG
víno;vínem;vínDEL(o)INS(em);INS(em);DEL(o);N,INS,SG
poměrový;poměrové;poměrovDEL(ý)INS(é);INS(é);DEL(ý);ADJ,NOM,NEUT,SG
soucit;soucitů;soucitINS(ů);INS(ů);;N,GEN,PL
ilustrovat;ilustrována;ilustrovINS(án)aDEL(t);INS(án);DEL(t);V.PTCP,PASS,FEM,SG
bunda;bundy;bundDEL(a)INS(y);INS(y);DEL(a);N,ACC,PL
ruský;ruští;ruDEL(ský)INS(ští);INS(ští);DEL(ský);ADJ,VOC,ANIM,MASC,PL
dabovat;dabovalo;dabovaDEL(t)INS(lo);INS(lo);DEL(t);V.PTCP,ACT,PRF,NEUT,SG
pročíst;budeš pročíst;INS(budeš )pročíst;INS(budeš );;V,IND,FUT,2,SG
sněhový;sněhová;sněhovDEL(ý)INS(á);INS(á);DEL(ý);ADJ,NOM,FEM,SG
surikata;surikaty;surikatDEL(a)INS(y);INS(y);DEL(a);N,VOC,PL
