Source;Target;Combined;Inserts;Deletes;Grammar
metta;mettaðir;mettaINS(ðir);INS(ðir);;V,SBJV,PST,2,SG
ráðhús;ráðhúsin;ráðhúsINS(in);INS(in);;N,DEF,NOM,PL
einhyrningur;einhyrningnum;einhyrningINS(n)uDEL(r)INS(m);INS(n),INS(m);DEL(r);N,DEF,DAT,SG
von;von;von;;;N,INDF,NOM,SG
lag;lögum;lDEL(a)INS(ö)gINS(um);INS(ö),INS(um);DEL(a);N,INDF,GEN,PL
öl;ölum;ölINS(um);INS(um);;N,INDF,DAT,PL
náhvalur;náhvalanna;náhvalDEL(ur)INS(anna);INS(anna);DEL(ur);N,DEF,GEN,PL
erkiengill;erkienglanna;erkiengDEL(il)lINS(anna);INS(anna);DEL(il);N,DEF,GEN,PL
etýða;etýðurnar;etýðINS(urn)aINS(r);INS(urn),INS(r);;N,DEF,ACC,PL
fána;fánur;fánDEL(a)INS(ur);INS(ur);DEL(a);N,INDF,ACC,PL
sýrustig;sýrustig;sýrustig;;;N,INDF,NOM,SG
slaka;slakið;slakDEL(a)INS(ið);INS(ið);DEL(a);V,IND,PRS,2,PL
nafn;nafn;nafn;;;N,INDF,NOM,SG
skaka;skaki;skakDEL(a)INS(i);INS(i);DEL(a);V,SBJV,PRS,3,SG
föstudagur;föstudagarnir;föstudagDEL(u)INS(arni)r;INS(arni);DEL(u);N,DEF,NOM,PL
tölvuleikur;tölvuleik;tölvuleikDEL(ur);;DEL(ur);N,INDF,DAT,SG
tæla;tæla;tæla;;;V,IND,PRS,3,PL
skáti;skáti;skáti;;;N,INDF,NOM,SG
kaup;kaupin;kaupINS(in);INS(in);;N,DEF,ACC,PL
bretónska;bretónskuna;bretónskINS(un)a;INS(un);;N,DEF,ACC,SG
staðaratviksorð;staðaratviksorð;staðaratviksorð;;;N,INDF,ACC,SG
hús;húss;húsINS(s);INS(s);;N,INDF,GEN,SG
írónía;íróníunnar;íróníINS(unn)aINS(r);INS(unn),INS(r);;N,DEF,GEN,SG
kinn;kinnar;kinnINS(ar);INS(ar);;N,INDF,ACC,PL
dekka;dekkaði;dekkaINS(ði);INS(ði);;V,IND,PST,1,SG
betra;betrað;betraINS(ð);INS(ð);;V.CVB
vör;vörina;vörINS(ina);INS(ina);;N,DEF,ACC,SG
hedd;heddið;heddINS(ið);INS(ið);;N,DEF,ACC,SG
læða;læður;læðDEL(a)INS(ur);INS(ur);DEL(a);N,INDF,NOM,PL
girðing;girðingarnar;girðingINS(arnar);INS(arnar);;N,DEF,NOM,PL
penta;pentir;pentDEL(a)INS(ir);INS(ir);DEL(a);V,SBJV,PRS,2,SG
hettumáfur;hettumáfar;hettumáfDEL(u)INS(a)r;INS(a);DEL(u);N,INDF,NOM,PL
stingur;stingjanna;stingDEL(ur)INS(janna);INS(janna);DEL(ur);N,DEF,GEN,PL
kroppa;kroppuðum;kroppDEL(a)INS(uðum);INS(uðum);DEL(a);V,SBJV,PST,1,PL
granda;grandaði;grandaINS(ði);INS(ði);;V,SBJV,PST,1,SG
sefa;sefaði;sefaINS(ði);INS(ði);;V,SBJV,PST,3,SG
fræða;fræðum;fræðDEL(a)INS(um);INS(um);DEL(a);V,IND,PRS,1,PL
bekkjarfélagi;bekkjarfélagana;bekkjarfélagDEL(i)INS(ana);INS(ana);DEL(i);N,DEF,ACC,PL
skíðastökkvari;skíðastökkvurunum;skíðastökkvDEL(ari)INS(urunum);INS(urunum);DEL(ari);N,DEF,DAT,PL
trú;trúrnar;trúINS(rnar);INS(rnar);;N,DEF,NOM,PL
sögumaður;sögumaður;sögumaður;;;N,INDF,NOM,SG
hrísgrjón;hrísgrjónanna;hrísgrjónINS(anna);INS(anna);;N,DEF,GEN,PL
grafall;grafals;grafaDEL(l)lINS(s);INS(s);DEL(l);N,INDF,GEN,SG
hvellur;hvellinum;hvellINS(in)uDEL(r)INS(m);INS(in),INS(m);DEL(r);N,DEF,DAT,SG
perlumóðir;perlumóðir;perlumóðir;;;N,INDF,NOM,SG
nafli;naflana;naflDEL(i)INS(ana);INS(ana);DEL(i);N,DEF,ACC,PL
glópur;glópar;glópDEL(u)INS(a)r;INS(a);DEL(u);N,INDF,NOM,PL
krimmi;krimmana;krimmDEL(i)INS(ana);INS(ana);DEL(i);N,DEF,ACC,PL
skerða;skerðir;skerðDEL(a)INS(ir);INS(ir);DEL(a);V,SBJV,PRS,2,SG
