Source;Target;Combined;Inserts;Deletes;Grammar
cruinnigh;cruinnídís;cruinnDEL(igh)INS(ídís);INS(ídís);DEL(igh);V,3,PL,IMP
tíogar;an tíogair;INS(an )tíogaINS(i)r;INS(an ),INS(i);;N,GEN,SG,DEF
pailéa-luibheolaíocht;pailéa-luibheolaíocht;pailéa-luibheolaíocht;;;N,DAT,SG
mórghnáth;mórghnáth;mórghnáth;;;N,NOM,SG
agaigh;agaídís;agaDEL(igh)INS(ídís);INS(ídís);DEL(igh);V,3,PL,IMP
agairg;na hagairge;INS(na h)agairgINS(e);INS(na h),INS(e);;N,GEN,SG,DEF
scoil saothair;scoileanna saothair;scoilINS(eanna) saothair;INS(eanna);;N,DAT,PL
tuathánach;tuathánaigh;tuathánaDEL(c)INS(ig)h;INS(ig);DEL(c);N,GEN,SG
amhrán;na hamhráin;INS(na h)amhráINS(i)n;INS(na h),INS(i);;N,NOM,PL,DEF
ruainne;ruainne;ruainne;;;N,NOM,SG
sácráilteacht;leis an tsácráilteacht;INS(leis an t)sácráilteacht;INS(leis an t);;N,DAT,SG,DEF
néar-raideolaí;an néar-raideolaí;INS(an )néar-raideolaí;INS(an );;N,GEN,SG,DEF
donacht;donacht;donacht;;;N,DAT,SG
gloinigh;gloineoidh mé;gloinINS(eo)iDEL(g)INS(d)hINS( mé);INS(eo),INS(d),INS( mé);DEL(g);V,1,SG,FUT,IND
dear;dhear tú;dINS(h)earINS( tú);INS(h),INS( tú);;V,2,SG,PST,IND
féile;féile;féile;;;N,GEN,SG
fo-éadach;fo-éadaí;fo-éadaDEL(ch)INS(í);INS(í);DEL(ch);N,NOM,PL
fiafheoil;a fhiafheoil;INS(a )fINS(h)iafheoil;INS(a ),INS(h);;N,VOC,SG
lucht;luchta;luchtINS(a);INS(a);;N,GEN,SG
tiontaigh;dá dtiontaídís;INS(dá d)tiontaDEL(igh)INS(ídís);INS(dá d),INS(ídís);DEL(igh);V,3,PL,SBJV,PST
fótaidhé-óid;na fótaidhé-óidí;INS(na )fótaidhé-óidINS(í);INS(na ),INS(í);;N,NOM,PL,DEF
réimsetheoiric;leis na réimsetheoiricí;INS(leis na )réimsetheoiricINS(í);INS(leis na ),INS(í);;N,DAT,PL,DEF
baintreach;leis na baintreacha;INS(leis na )baintreachINS(a);INS(leis na ),INS(a);;N,DAT,PL,DEF
rian;a rian;INS(a )rian;INS(a );;N,VOC,SG
éadaitheoireacht;an éadaitheoireacht;INS(an )éadaitheoireacht;INS(an );;N,NOM,SG,DEF
stoirm;na stoirme;INS(na )stoirmINS(e);INS(na ),INS(e);;N,GEN,SG,DEF
Ard-Aighne;an Ard-Aighne;INS(an )Ard-Aighne;INS(an );;N,GEN,SG,DEF
paidir;paidir;paidir;;;N,NOM,SG
leagh;leaghfaimid;leaghINS(faimid);INS(faimid);;V,1,PL,FUT,IND
fiúntas;an fiúntas;INS(an )fiúntas;INS(an );;N,NOM,SG,DEF
ceardaíocht;an cheardaíocht;INS(an )cINS(h)eardaíocht;INS(an ),INS(h);;N,NOM,SG,DEF
bádóir;leis na bádóirí;INS(leis na )bádóirINS(í);INS(leis na ),INS(í);;N,DAT,PL,DEF
cnap;leis an gcnap;INS(leis an g)cnap;INS(leis an g);;N,DAT,SG,DEF
pocadán;pocadáin;pocadáINS(i)n;INS(i);;N,DAT,PL
fótagrafaíocht;na fótagrafaíochta;INS(na )fótagrafaíochtINS(a);INS(na ),INS(a);;N,GEN,SG,DEF
Guineach;an Ghuinigh;INS(an )GINS(h)uinDEL(eac)INS(ig)h;INS(an ),INS(h),INS(ig);DEL(eac);N,GEN,SG,DEF
eagar;an eagair;INS(an )eagaINS(i)r;INS(an ),INS(i);;N,GEN,SG,DEF
tar;thiocfaí;tINS(hiocf)aDEL(r)INS(í);INS(hiocf),INS(í);DEL(r);V,AUTO,COND
mórbhonn;mórbhoinn;mórbhoINS(i)nn;INS(i);;N,DAT,PL
fótónaic;fótónaic;fótónaic;;;N,NOM,SG
ráthaigh;ráthaígí;ráthaDEL(igh)INS(ígí);INS(ígí);DEL(igh);V,2,PL,IMP
liopard fiaigh;leis an liopard fiaigh;INS(leis an )liopard fiaigh;INS(leis an );;N,DAT,SG,DEF
bréagiontaise;bréagiontaise;bréagiontaise;;;N,GEN,SG
cóisir bhrídeoige;an chóisir bhrídeoige;INS(an )cINS(h)óisir bhrídeoige;INS(an ),INS(h);;N,NOM,SG,DEF
imaistrigh;imaistríonn sé;imaistrDEL(igh)INS(íonn sé);INS(íonn sé);DEL(igh);V,3,SG,PRS,IND
clois;cloiseann sibh;cloisINS(eann sibh);INS(eann sibh);;V,2,PL,PRS,IND
stiallfhótagrafaíocht;a stiallfhótagrafaíocht;INS(a )stiallfhótagrafaíocht;INS(a );;N,VOC,SG
lárthosaí;leis an lárthosaí;INS(leis an )lárthosaí;INS(leis an );;N,DAT,SG,DEF
crúca;crúcaí;crúcaINS(í);INS(í);;N,GEN,PL
foghlaim;d'fhoghlaim sibh;INS(d')fINS(h)oghlaimINS( sibh);INS(d'),INS(h),INS( sibh);;V,2,PL,PST,IND
luachálaí;a luachálaithe;INS(a )luachálaDEL(í)INS(ithe);INS(a ),INS(ithe);DEL(í);N,VOC,PL
folig;foligeadh sé;foligINS(eadh sé);INS(eadh sé);;V,3,SG,IMP
míolsiorc;an mhíolsiorca;INS(an )mINS(h)íolsiorcINS(a);INS(an ),INS(h),INS(a);;N,GEN,SG,DEF
dulcaiméir;dulcaiméir;dulcaiméir;;;N,DAT,SG
fiaile;fiailí;fiailDEL(e)INS(í);INS(í);DEL(e);N,DAT,PL
culaith;culaith;culaith;;;N,DAT,SG
blast;leis na blastaí;INS(leis na )blastINS(aí);INS(leis na ),INS(aí);;N,DAT,PL,DEF
grúdaigh;dá ngrúdaínn;INS(dá n)grúdaDEL(igh)INS(ínn);INS(dá n),INS(ínn);DEL(igh);V,1,SG,SBJV,PST
grúdaigh;grúdaígí;grúdaDEL(igh)INS(ígí);INS(ígí);DEL(igh);V,2,PL,IMP
snas;a shnas;INS(a )sINS(h)nas;INS(a ),INS(h);;N,VOC,SG
comhghuaillíocht;comhghuaillíocht;comhghuaillíocht;;;N,NOM,SG
teorannaigh;go dteorannaítear;INS(go d)teorannaDEL(igh)INS(ítear);INS(go d),INS(ítear);DEL(igh);V,AUTO,SBJV,PRS
Fionlainnis;na Fionlainnise;INS(na )FionlainnisINS(e);INS(na ),INS(e);;N,GEN,SG,DEF
siollach;an tsiollaigh;INS(an t)siollaDEL(c)INS(ig)h;INS(an t),INS(ig);DEL(c);N,GEN,SG,DEF
greannán;greannán;greannán;;;N,GEN,PL
treisigh;treiseoidh sibh;treiINS(seoidh )siDEL(g)INS(b)h;INS(seoidh ),INS(b);DEL(g);V,2,PL,FUT,IND
gasúr;leis an ngasúr;INS(leis an n)gasúr;INS(leis an n);;N,DAT,SG,DEF
oileánra;oileánraí;oileánraINS(í);INS(í);;N,NOM,PL
teicnealathach;teicnealathach;teicnealathach;;;ADJ,DAT,SG,MASC
rí-ulchabhán;na rí-ulchabháin;INS(na )rí-ulchabháINS(i)n;INS(na ),INS(i);;N,NOM,PL,DEF
abhrán;abhrán;abhrán;;;N,GEN,PL
croscheann;leis an gcroscheann;INS(leis an g)croscheann;INS(leis an g);;N,DAT,SG,DEF
tilleadh;tilleadh;tilleadh;;;N,NOM,SG
troigh;na troithe;INS(na )troiDEL(g)INS(t)hINS(e);INS(na ),INS(t),INS(e);DEL(g);N,NOM,PL,DEF
naomhainmnigh;a naomhainmnigh;INS(a )naomhainmnigh;INS(a );;V,REL,PST,IND
