Source;Target;Combined;Inserts;Deletes;Grammar
fêr bûn;difêr bin;INS(di)fêr bDEL(û)INS(i)n;INS(di),INS(i);DEL(û);1,2,3,IND,PL,POS,PRS,V,IPFV
paytext;paytextine;paytextINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
teknîsyen;teknîsyenno;teknîsyenINS(no);INS(no);;DEF,N,PL,VOC
goþebend;goþebendinan;goþebendINS(inan);INS(inan);;INDF,N,PL,ACC
firnik;firnikan;firnikINS(an);INS(an);;DEF,N,PL,ACC,LGSPEC2
vereþîn;vereþînek;vereþînINS(ek);INS(ek);;INDF,N,NOM,SG
ziriþk;ziriþkê;ziriþkINS(ê);INS(ê);;DEF,LGSPEC1,N,SG,VOC,ACC,LGSPEC2
wexmê miriyan;wexmê miriyanno;wexmê miriyanINS(no);INS(no);;DEF,N,PL,VOC
jimarnas;jimarnasên;jimarnasINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
hermî;hermîin;hermîINS(in);INS(in);;INDF,N,NOM,PL
þehitandin;þehitandineke;þehitandinINS(eke);INS(eke);;INDF,LGSPEC1,N,SG,ACC
sosyete;sosyeteek;sosyeteINS(ek);INS(ek);;INDF,N,NOM,SG
xapîn;nexapîayî;INS(ne)xapINS(îay)îDEL(n);INS(ne),INS(îay);DEL(n);2,COND,NEG,PST,SG,V
fîþ;fîþek;fîþINS(ek);INS(ek);;INDF,N,NOM,SG
bedenparêzî;bedenparêzîinan;bedenparêzîINS(inan);INS(inan);;INDF,N,PL,ACC
niqutîn;naniqutim;INS(na)niqutDEL(în)INS(im);INS(na),INS(im);DEL(în);1,IND,NEG,PRS,SG,V,IPFV
teyizîn;teyizîna;teyizînINS(a);INS(a);;DEF,LGSPEC1,N,SG
oldar;oldarine;oldarINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
komando;komandoên;komandoINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
taxî;taxîinan;taxîINS(inan);INS(inan);;INDF,N,PL,ACC
wergerrandin;wergerrandininan;wergerrandiINS(nina)n;INS(nina);;INDF,N,PL,ACC
tirþeþirînî;tirþeþirînîên;tirþeþirînîINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
bîkînî;bîkînî;bîkînî;;;DEF,N,NOM,PL,SG,ACC
azirîn;azirînno;azirînINS(no);INS(no);;DEF,N,PL,VOC
girûxane;girûxanein;girûxaneINS(in);INS(in);;INDF,N,NOM,PL
emenî;emenîa;emenîINS(a);INS(a);;DEF,LGSPEC1,N,SG
nalîn;nalîn;nalîn;;;1,2,3,IND,PFV,PL,POS,PST,V,V.MSDR
radan;radana;radanINS(a);INS(a);;DEF,LGSPEC1,N,SG
kamp;kampine;kampINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
gevizîn;negevizîbûyî;INS(ne)gevizINS(îbûy)îDEL(n);INS(ne),INS(îbûy);DEL(n);2,IND,NEG,PRF,PST,SG,V
delaqe;delaqeê;delaqeINS(ê);INS(ê);;DEF,LGSPEC1,N,SG,VOC,ACC,LGSPEC2
komedî;komedîê;komedîINS(ê);INS(ê);;DEF,N,SG,VOC,ACC,LGSPEC2
þelp;þelp;þelp;;;DEF,N,NOM,PL,SG,ACC
dezenformasyon;dezenformasyonine;dezenformasyonINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
þuxulîn;neþuxulîibûn;INS(ne)þuxulîINS(ibû)n;INS(ne),INS(ibû);;1,2,3,IND,NEG,PL,PRF,PST,V
kol;kolek;kolINS(ek);INS(ek);;INDF,N,NOM,SG
quncik;quncikan;quncikINS(an);INS(an);;DEF,N,PL,ACC,LGSPEC2
givîj;givîjno;givîjINS(no);INS(no);;DEF,N,PL,VOC
avdan;avdanin;avdaINS(ni)n;INS(ni);;INDF,N,NOM,PL
adrenalîn;adrenalînine;adrenalînINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
newh;newhinan;newhINS(inan);INS(inan);;INDF,N,PL,ACC
golf;golf;golf;;;DEF,N,NOM,PL,SG
pirtûkxanevan;pirtûkxanevan;pirtûkxanevan;;;DEF,N,NOM,PL,SG,ACC
gijgijîn;gijgijîî;gijgijîDEL(n)INS(î);INS(î);DEL(n);2,IND,PFV,POS,PST,SG,V,V.PTCP
berþoþkî;berþoþkîo;berþoþkîINS(o);INS(o);;DEF,N,SG,VOC
dexl;dexl;dexl;;;DEF,N,NOM,PL,SG,ACC
þile;þileek;þileINS(ek);INS(ek);;INDF,N,NOM,SG
lebat;lebatno;lebatINS(no);INS(no);;DEF,N,PL,VOC
xuþk;xuþkên;xuþkINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
pijiqandin;nepijiqandiana;INS(ne)pijiqandiINS(a)nINS(a);INS(ne),INS(a),INS(a);;1,2,3,COND,NEG,PL,PST,V
qebilîner;qebilînerinan;qebilînerINS(inan);INS(inan);;INDF,N,PL,ACC
bestir;bestirinan;bestirINS(inan);INS(inan);;INDF,N,PL,ACC
bê ser û çav;bê ser û çavo;bê ser û çavINS(o);INS(o);;DEF,N,SG,VOC
tîrdank;tîrdankine;tîrdankINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
klîns;klîns;klîns;;;DEF,N,NOM,PL,SG
firotin;bifirosî;INS(bi)firoDEL(tin)INS(sî);INS(bi),INS(sî);DEL(tin);2,POS,PRS,SBJV,SG,V
qelemrisas;qelemrisasinan;qelemrisasINS(inan);INS(inan);;INDF,N,PL,ACC
doralî;doralî;doralî;;;DEF,N,NOM,PL,SG
nekrofîlî;nekrofîlîên;nekrofîlîINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
nepixîn;nedinepixîn;INS(nedi)nepixîn;INS(nedi);;1,2,3,IND,NEG,PL,PST,V,PROG
xwandevan;xwandevanno;xwandevanINS(no);INS(no);;DEF,N,PL,VOC
têkberên malê;têkberên malêa;têkberên malêINS(a);INS(a);;DEF,LGSPEC1,N,SG
hil-girtin;nedihil-girtim;INS(nedi)hil-girtiDEL(n)INS(m);INS(nedi),INS(m);DEL(n);1,IND,NEG,PST,SG,V,PROG
ziving;zivingeke;zivingINS(eke);INS(eke);;INDF,LGSPEC1,N,SG,ACC
reþatî;reþatîê;reþatîINS(ê);INS(ê);;DEF,N,SG,VOC,ACC,LGSPEC2
rayda;raydaine;raydaINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
zafer;zafer;zafer;;;DEF,N,NOM,PL,SG,ACC
ihtiwa;ihtiwaên;ihtiwaINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
