Source;Target;Combined;Inserts;Deletes;Grammar
aita;aitu;aitDEL(a)INS(u);INS(u);DEL(a);N,ACC,SG
rudzu mēnesis;rudzu mēneši;rudzu mēneDEL(s)INS(š)iDEL(s);INS(š);DEL(s),DEL(s);N,NOM,PL
slaikums;slaikumā;slaikumDEL(s)INS(ā);INS(ā);DEL(s);N,LOC,SG
rudmatainākais;rudmatainākajā;rudmatainākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
taizemisks;tazemiskas;taDEL(i)zemiskINS(a)s;INS(a);DEL(i);ADJ,NOM,PL,FEM
nestādīt;nestādu;nestādDEL(īt)INS(u);INS(u);DEL(īt);V,1,SG,PRS,IND
viskazahiskākais;viskazahiskākajai;viskazahiskākINS(aj)aiDEL(s);INS(aj);DEL(s);ADJ,GEN,SG,FEM
liegt;liedzāt;lieDEL(g)INS(dzā)t;INS(dzā);DEL(g);V,2,PL,PST,IND
java;javām;javDEL(a)INS(ām);INS(ām);DEL(a);N,DAT,PL
autobuss;autobusu;autobuDEL(s)sINS(u);INS(u);DEL(s);N,ACC,SG
gigantiskāks;gigantiskākiem;gigantiskākDEL(s)INS(iem);INS(iem);DEL(s);ADJ,GEN,PL,MASC
visinteresantākais;visinteresantākajām;visinteresantākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,GEN,PL,FEM
bulgāriskais;bulgāriskās;bulgāriskDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
biezāks;biezākos;biezākINS(o)s;INS(o);;ADJ,INST,PL,MASC
ideja;ideju;idejDEL(a)INS(u);INS(u);DEL(a);N,ACC,SG
gaišmataināks;gaišmatainākiem;gaišmatainākDEL(s)INS(iem);INS(iem);DEL(s);ADJ,DAT,PL,MASC
vājdzirdīgāks;vājdzirdīgākām;vājdzirdīgākDEL(s)INS(ām);INS(ām);DEL(s);ADJ,DAT,PL,FEM
slidenāks;slidenākas;slidenākINS(a)s;INS(a);;ADJ,ACC,SG,FEM
saldākais;saldākā;saldākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
holesterīns;holesterīna;holesterīnDEL(s)INS(a);INS(a);DEL(s);N,GEN,SG
būtiskais;būtiskais;būtiskais;;;ADJ,LOC,SG,MASC
nenazalizēt;nenazalizēšana;nenazalizēDEL(t)INS(šana);INS(šana);DEL(t);V,V.MSDR
visenerģiskākais;visenerģiskākā;visenerģiskākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
vēna;vēnā;vēnDEL(a)INS(ā);INS(ā);DEL(a);N,LOC,SG
puķains;puķainos;puķainINS(o)s;INS(o);;ADJ,INST,PL,MASC
mēļākais;mēļākie;mēļākDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s);ADJ,LOC,PL,MASC
neost;neod;neoDEL(st)INS(d);INS(d);DEL(st);V,2,SG,PRS,IND
vieninieks;vieninieki;vieniniekDEL(s)INS(i);INS(i);DEL(s);N,VOC,PL
nepiearšana;nepiearšanas;nepiearšanaINS(s);INS(s);;N,GEN,SG
emīrs;emīri;emīrDEL(s)INS(i);INS(i);DEL(s);N,VOC,PL
klade;klade;klade;;;N,VOC,SG
visnetīrīgākais;visnetīrīgākā;visnetīrīgākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
mīksnais;mīksnajam;mīksnaDEL(is)INS(jam);INS(jam);DEL(is);ADJ,GEN,SG,MASC
meitenīte;meitenīte;meitenīte;;;N,NOM,SG
zobs;zobā;zobDEL(s)INS(ā);INS(ā);DEL(s);N,LOC,SG
kanādiskākais;kanādiskāko;kanādiskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,FEM
sievišķīgākais;sievišķīgākās;sievišķīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
palīdzēt;palīdzēdams;palīdzēDEL(t)INS(dams);INS(dams);DEL(t);V,V.PTCP,PRS,LGSPEC4
neturpināt;neesot jāturpina;neINS(esot jā)turpinDEL(āt)INS(a);INS(esot jā),INS(a);DEL(āt);V,LGSPEC2,LGSPEC7
turkmēniskais;turkmēniskajā;turkmēniskaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,FEM
šķīve;šķīve;šķīve;;;N,VOC,SG
pērļainā mušmire;pērļainajām mušmirēm;pērļainINS(aj)āINS(m) mušmirDEL(e)INS(ēm);INS(aj),INS(m),INS(ēm);DEL(e);N,DAT,PL
piedurksne;piedurksnes;piedurksneINS(s);INS(s);;N,NOM,PL
neredzēšanās;neredzēšanos;neredzēšanDEL(ā)INS(o)s;INS(o);DEL(ā);N,GEN,PL
biedināt;biedināšana;biedināDEL(t)INS(šana);INS(šana);DEL(t);V,V.MSDR
bārdainākais;bārdaināko;bārdainākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
tirdznieciskāks;tirdznieciskākās;tirdznieciskākINS(ā)s;INS(ā);;ADJ,INST,PL,FEM
neraudāšana;neraudāšanu;neraudāšanDEL(a)INS(u);INS(u);DEL(a);N,INST,SG
abstrakcija;abstrakcijām;abstrakcijDEL(a)INS(ām);INS(ām);DEL(a);N,INST,PL
filozofiskākais;filozofiskāko;filozofiskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,MASC
prāvais;prāvās;prāvDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,ACC,SG,FEM
apmainīt;apmaināt;apmainDEL(ī)INS(ā)t;INS(ā);DEL(ī);V,2,PL,PRS,IND
smaidīgāks;smaidīgākai;smaidīgākDEL(s)INS(ai);INS(ai);DEL(s);ADJ,GEN,SG,FEM
spēcīgs;spēcīgos;spēcīgINS(o)s;INS(o);;ADJ,INST,PL,MASC
nesukāt;nesukāsi;nesukāDEL(t)INS(si);INS(si);DEL(t);V,2,SG,FUT,IND
personisks;personiskās;personiskINS(ā)s;INS(ā);;ADJ,INST,PL,FEM
afgāniskākais;afgāniskāko;afgāniskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
agrais;agro;agrDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,FEM
šausmīgākais;šausmīgāko;šausmīgākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,FEM
varēt;varēs;varēDEL(t)INS(s);INS(s);DEL(t);V,3,PL,FUT,IND
darbinieks;darbinieki;darbiniekDEL(s)INS(i);INS(i);DEL(s);N,NOM,PL
mats;mats;mats;;;N,NOM,SG
alva;alvu;alvDEL(a)INS(u);INS(u);DEL(a);N,INST,SG
simbolistiskais;simbolistiskās;simbolistiskDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,ACC,SG,FEM
visparadoksālākais;visparadoksālākajās;visparadoksālākaDEL(i)INS(jā)s;INS(jā);DEL(i);ADJ,INST,PL,FEM
resns;resnai;resnDEL(s)INS(ai);INS(ai);DEL(s);ADJ,GEN,SG,FEM
sniegbaltais;sniegbaltajās;sniegbaltaDEL(i)INS(jā)s;INS(jā);DEL(i);ADJ,INST,PL,FEM
muklainais;muklainā;muklainDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
melīgākais;melīgākajām;melīgākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,DAT,PL,FEM
prostituēties;prostituējos;prostituēDEL(tie)INS(jo)s;INS(jo);DEL(tie);V,1,SG,PRS,IND
ziepjainais;ziepjaino;ziepjainDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
žiglāks;žiglākos;žiglākINS(o)s;INS(o);;ADJ,INST,PL,MASC
astrofizikālais;astrofizikālajiem;astrofizikālaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
diskutēt;diskutējam;diskutēDEL(t)INS(jam);INS(jam);DEL(t);V,1,PL,PRS,IND
holandiskais;holandiskie;holandiskDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s);ADJ,LOC,PL,MASC
miets;mietu;mietDEL(s)INS(u);INS(u);DEL(s);N,GEN,PL
biežais;biežo;biežDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
trusēns;trusēna;trusēnDEL(s)INS(a);INS(a);DEL(s);N,GEN,SG
pareizais;pareizo;pareizDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
poga;pogas;pogaINS(s);INS(s);;N,NOM,PL
idiotiskais;idiotiskajā;idiotiskaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
viskosmiskākais;viskosmiskākajām;viskosmiskākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,GEN,PL,FEM
vismeitenīgākais;vismeitenīgākajām;vismeitenīgākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,GEN,PL,FEM
vislielīgākais;vislielīgāko;vislielīgākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,MASC
trakais;trakajam;trakaDEL(is)INS(jam);INS(jam);DEL(is);ADJ,GEN,SG,MASC
mazgāt;lai mazgā;INS(lai )mazgāDEL(t);INS(lai );DEL(t);V,3,PL,IMP
neaugt;lai neaug;INS(lai )neaugDEL(t);INS(lai );DEL(t);V,3,PL,IMP
veselais;veselā;veselDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
neziepēt;neziepē;neziepēDEL(t);;DEL(t);V,3,PL,PRS,IND
rūgts;rūgtu;rūgtDEL(s)INS(u);INS(u);DEL(s);ADJ,DAT,SG,MASC
pasakainais;pasakaino;pasakainDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,FEM
liegt;liegdams;liegDEL(t)INS(dams);INS(dams);DEL(t);V,V.PTCP,PRS,LGSPEC4
ēst;ēst;ēst;;;V,NFIN
velnišķīgākais;velnišķīgāko;velnišķīgākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,MASC
sociālākais;sociālākajai;sociālākINS(aj)aiDEL(s);INS(aj);DEL(s);ADJ,GEN,SG,FEM
nestrādāt;nestrādāts;nestrādātINS(s);INS(s);;V,V.PTCP,PST,PASS
imperiālistiskāks;imperiālistiskākiem;imperiālistiskākDEL(s)INS(iem);INS(iem);DEL(s);ADJ,DAT,PL,MASC
drosākais;drosākajās;drosākaDEL(i)INS(jā)s;INS(jā);DEL(i);ADJ,INST,PL,FEM
kija;kijās;kijDEL(a)INS(ās);INS(ās);DEL(a);N,LOC,PL
uzbekiskāks;uzbekiskākai;uzbekiskākDEL(s)INS(ai);INS(ai);DEL(s);ADJ,GEN,SG,FEM
fantastisks;fantastisku;fantastiskDEL(s)INS(u);INS(u);DEL(s);ADJ,NOM,SG,FEM
