Source;Target;Combined;Inserts;Deletes;Grammar
nǟdõ;līt nǟnõd;INS(līt )nǟINS(nõ)dDEL(õ);INS(līt ),INS(nõ);DEL(õ);V,ACT,FIN,IND,POS,FUT,PRF,PL,2
aššõ;aššõd;aššõINS(d);INS(d);;ADJ,PL,NOM
likkõ;likūb;likDEL(kõ)INS(ūb);INS(ūb);DEL(kõ);V,ACT,FIN,IND,POS,PRS,SG,3
ežmi;ežmižis;ežmiINS(žis);INS(žis);;ADJ,PL,IN+ESS
suoŗm;sūormiž;sDEL(uoŗ)INS(ūor)mINS(iž);INS(ūor),INS(iž);DEL(uoŗ);N,PL,IN+ALL
kōdõksmõz;kōdõksmõndis;kōdõksmõDEL(z)INS(ndis);INS(ndis);DEL(z);ADJ,PL,IN+ESS
likkõ;likkõksmõ;likkINS(õksm)õ;INS(õksm);;V,ACT,FIN,COND,POS,PRS,PL,1
blēḑ;blēḑõd;blēḑINS(õd);INS(õd);;ADJ,PL,NOM
vīțsõnā;vīțsõnāks;vīțsõnāINS(ks);INS(ks);;N,SG,INS
īdõkssadāz;īdõkssadāndõd;īdõkssadāDEL(z)INS(ndõd);INS(ndõd);DEL(z);ADJ,PL,GEN
kōdõkstuoistõnz;kōdõkstuoistõndõd;kōdõkstuoistõnDEL(z)INS(dõd);INS(dõd);DEL(z);ADJ,PL,GEN
mǟdlõ;um mǟdlõmõst;INS(um )mǟdlõINS(mõst);INS(um ),INS(mõst);;V,ACT,FIN,DEB,POS,PRS,SG,3
sēmḑa;sēmḑiž;sēmḑDEL(a)INS(iž);INS(iž);DEL(a);N,PL,IN+ALL
tīemizsõnā;tīemizsõņži;tīemizsõDEL(nā)INS(ņži);INS(ņži);DEL(nā);N,PL,IN+ALL
ežžõmpǟva;ežžõmpǟva;ežžõmpǟva;;;N,SG,NOM
tuoistõnz;tuoistõndõdõks;tuoistõnDEL(z)INS(dõdõks);INS(dõdõks);DEL(z);ADJ,PL,INS
nǟdõ;äd nǟ;INS(äd )nǟDEL(dõ);INS(äd );DEL(dõ);V,ACT,FIN,IND,NEG,PRS,SG,2
bōr;bōrõdõn;bōrINS(õdõn);INS(õdõn);;N,PL,DAT
joutõmläpš;joutõmläpš;joutõmläpš;;;N,SG,NOM
vīdsadāz;vīdsadāndõs;vīdsadāDEL(z)INS(ndõs);INS(ndõs);DEL(z);ADJ,SG,IN+ESS
nǟdõ;nēji;nDEL(ǟdõ)INS(ēji);INS(ēji);DEL(ǟdõ);V,ACT,FIN,QUOT,POS,PRS,SG,1
jōņpǟva kū;jōņpǟva kūḑi;jōņpǟva kūINS(ḑi);INS(ḑi);;N,PL,PRT
mȭka;mȭka;mȭka;;;N,SG,NOM
āigast;āigastist;āigaINS(sti)st;INS(sti);;N,PL,IN+ABL
kuolmõz;kuolmõndt;kuolmõDEL(z)INS(ndt);INS(ndt);DEL(z);ADJ,SG,PRT
likkõ;lītõ likkõnd;INS(lītõ )likkõINS(nd);INS(lītõ ),INS(nd);;V,ACT,FIN,IND,POS,FUT,PRF,PL,2,LGSPEC5
vȱlda;vȯldõd;vDEL(ȱ)INS(ȯ)lINS(dõ)dDEL(a);INS(ȯ),INS(dõ);DEL(ȱ),DEL(a);V,PASS,V.PTCP
nimsõnā;nimsõnāks;nimsõnāINS(ks);INS(ks);;N,SG,INS
läpš;lapst;lDEL(äpš)INS(apst);INS(apst);DEL(äpš);N,PL,NOM
analōg;analōgõdõn;analōgINS(õdõn);INS(õdõn);;N,PL,DAT
detsembõr;detsembõrd;detsembõrINS(d);INS(d);;N,PL,NOM
kūdtuoistõnz;kūdtuoistõndõn;kūdtuoistINS(õnd)õnDEL(z);INS(õnd);DEL(z);ADJ,SG,DAT
ežžõmpǟva;ežžõmpäuvši;ežžõmpDEL(ǟva)INS(äuvši);INS(äuvši);DEL(ǟva);N,PL,IN+ESS
lešk;leškīdõks;leškINS(īdõks);INS(īdõks);;N,PL,INS
vīdsadāz;vīdsadāndõdõks;vīdsadāDEL(z)INS(ndõdõks);INS(ndõdõks);DEL(z);ADJ,PL,INS
nēļatuoistõnz;nēļatuoistõndidi;nēļatuoistõnDEL(z)INS(didi);INS(didi);DEL(z);ADJ,PL,PRT
tuoi;tuoižis;tuoiINS(žis);INS(žis);;ADJ,PL,IN+ESS
informātsij;informātsijõks;informātsijINS(õks);INS(õks);;N,SG,INS
sukā;sukād;sukāINS(d);INS(d);;N,PL,NOM
lilla;lillaks;lillaINS(ks);INS(ks);;ADJ,SG,INS
sõnā;sõnā;sõnā;;;N,SG,GEN
kūdtuoistõnz;kūdtuoistõnds;kūdtuoistõnDEL(z)INS(ds);INS(ds);DEL(z);ADJ,SG,IN+ESS,LGSPEC6
kuolmsadāz;kuolmsadāndõn;kuolmsadāDEL(z)INS(ndõn);INS(ndõn);DEL(z);ADJ,SG,DAT
lešknai;lešknaizõks;lešknaiINS(zõks);INS(zõks);;N,SG,INS
tīepǟva;tīepäuvši;tīepDEL(ǟva)INS(äuvši);INS(äuvši);DEL(ǟva);N,PL,IN+ESS
alīz;alīz;alīz;;;N,SG,NOM
pānda;iz pan;INS(iz )pDEL(ānd)aINS(n);INS(iz ),INS(n);DEL(ānd);V,ACT,FIN,IND,NEG,PST,SG,3
lugsõnā;lugsõnāst;lugsõnāINS(st);INS(st);;N,SG,IN+ABL
illatīv;illatīvõ;illatīvINS(õ);INS(õ);;N,SG,IN+ALL
tūoiznapǟva;tūoiznapäuvḑi;tūoiznapDEL(ǟva)INS(äuvḑi);INS(äuvḑi);DEL(ǟva);N,PL,PRT
nominatīv;nominatīv;nominatīv;;;N,SG,GEN
bōr;bōrõdõks;bōrINS(õdõks);INS(õdõks);;N,PL,INS
īdõkssadāz;īdõkssadāndidi;īdõkssadāDEL(z)INS(ndidi);INS(ndidi);DEL(z);ADJ,PL,PRT
märts;märtsiž;märtsINS(iž);INS(iž);;N,PL,IN+ALL
ežžõmpǟva;ežžõmpäuvži;ežžõmpDEL(ǟva)INS(äuvži);INS(äuvži);DEL(ǟva);N,PL,IN+ALL
pānda;pangõd;pDEL(ānd)aINS(ngõd);INS(ngõd);DEL(ānd);V,ACT,FIN,LGSPEC1,POS,PRS,PL,2
februār;februārõ;februārINS(õ);INS(õ);;N,SG,PRT
datīv;datīvõst;datīvINS(õst);INS(õst);;N,SG,IN+ABL,LGSPEC6
tuoi;tuoiztõn;tuoiINS(ztõn);INS(ztõn);;ADJ,PL,DAT
kalāmīez;kalāmēži;kalāmDEL(īez)INS(ēži);INS(ēži);DEL(īez);N,PL,IN+ALL
tūlda;um tulmõst;INS(um tulmõs)tDEL(ūlda);INS(um tulmõs);DEL(ūlda);V,ACT,FIN,DEB,POS,PRS,PL,1
lešk;leškīst;leškINS(īst);INS(īst);;N,PL,IN+ABL
sukā;sukkõ;sukDEL(ā)INS(kõ);INS(kõ);DEL(ā);N,SG,IN+ALL
februar;februar;februar;;;N,SG,GEN
kūlõ;algõd kūlõgõd;INS(algõd )kūlõINS(gõd);INS(algõd ),INS(gõd);;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,3
nēļasadāz;nēļasadāndõst;nēļasadāDEL(z)INS(ndõst);INS(ndõst);DEL(z);ADJ,SG,IN+ABL
likkõ;äd likkõkst;INS(äd )likkõINS(kst);INS(äd ),INS(kst);;V,ACT,FIN,COND,NEG,PRS,SG,2
kuolmtuoistõnz;kuolmtuoistõndõdõn;kuolmtuoistINS(õndõd)õnDEL(z);INS(õndõd);DEL(z);ADJ,PL,DAT
tūļ;tūldõn;tūDEL(ļ)INS(ldõn);INS(ldõn);DEL(ļ);N,PL,DAT
kōdsadāz;kōdsadāndis;kōdsadāDEL(z)INS(ndis);INS(ndis);DEL(z);ADJ,PL,IN+ESS
adesīv;adesīvõst;adesīvINS(õst);INS(õst);;N,SG,IN+ABL,LGSPEC6
jellõ;ät līt jellõnd;INS(ät līt )jellõINS(nd);INS(ät līt ),INS(nd);;V,ACT,FIN,IND,NEG,FUT,PRF,PL,2
tūlda;äd tulkst;INS(äd tulks)tDEL(ūlda);INS(äd tulks);DEL(ūlda);V,ACT,FIN,COND,NEG,PRS,SG,2
lēḑkū;lēḑkūḑi;lēḑkūINS(ḑi);INS(ḑi);;N,PL,PRT
ūomõg;ūomõgis;ūomõgINS(is);INS(is);;N,PL,IN+ESS
värb;värb;värb;;;N,SG,NOM
nūoŗ;nūordõn;nūoDEL(ŗ)INS(rdõn);INS(rdõn);DEL(ŗ);ADJ,PL,DAT
ūomõg;ūomõgidi;ūomõgINS(idi);INS(idi);;N,PL,PRT
īdõkskimdõz;īdõkskimdõz;īdõkskimdõz;;;ADJ,SG,NOM
kuolmõz;kuolmõndõks;kuolmõDEL(z)INS(ndõks);INS(ndõks);DEL(z);ADJ,SG,INS
sēmḑa;sēmḑa;sēmḑa;;;N,SG,NOM
nominatīv;nominatīviž;nominatīvINS(iž);INS(iž);;N,PL,IN+ALL
pōr;pōrõdõn;pōrINS(õdõn);INS(õdõn);;N,PL,DAT
vīdsadāz;vīdsadānd;vīdsadāDEL(z)INS(nd);INS(nd);DEL(z);ADJ,SG,GEN
vȱlda;vȯļļi;vDEL(ȱlda)INS(ȯļļi);INS(ȯļļi);DEL(ȱlda);V,ACT,FIN,QUOT,POS,PRS,SG,1
pānda;paņ;pDEL(ānd)aINS(ņ);INS(ņ);DEL(ānd);V,ACT,FIN,IND,POS,PST,SG,3
inesīv;inesīvõst;inesīvINS(õst);INS(õst);;N,SG,IN+ABL,LGSPEC6
kūlõ;ät lītõ kūlõnd;INS(ät lītõ )kūlõINS(nd);INS(ät lītõ ),INS(nd);;V,ACT,FIN,IND,NEG,FUT,PRF,PL,2,LGSPEC5
analīz;analīzis;analīzINS(is);INS(is);;N,PL,IN+ESS
nūoŗmīez;nūoŗmīesõ;nūoŗmīeDEL(z)INS(sõ);INS(sõ);DEL(z);N,SG,IN+ESS
analīz;analīzõs;analīzINS(õs);INS(õs);;N,SG,IN+ESS
kōdkimdõz;kōdkimdõnd;kōdkimdõDEL(z)INS(nd);INS(nd);DEL(z);ADJ,SG,GEN
ūļ;ūļši;ūļINS(ši);INS(ši);;N,PL,IN+ESS
likkõ;ät likkõkstõ;INS(ät )likkINS(õkst)õ;INS(ät ),INS(õkst);;V,ACT,FIN,COND,NEG,PRS,PL,2
lǟdõ;lekšmõ;lDEL(ǟd)INS(ekšm)õ;INS(ekšm);DEL(ǟd);V,ACT,FIN,IND,POS,PST,PL,1
sigžkū;sigžkūdõn;sigžkūINS(dõn);INS(dõn);;N,PL,DAT
kōdsadāz;kōdsadāndõs;kōdsadāDEL(z)INS(ndõs);INS(ndõs);DEL(z);ADJ,SG,IN+ESS
lǟdõ;iz lǟm;INS(iz )lǟDEL(dõ)INS(m);INS(iz ),INS(m);DEL(dõ);V,ACT,FIN,IND,NEG,PST,PL,1
kūdtuoistõnz;kūdtuoistõndõs;kūdtuoistõnDEL(z)INS(dõs);INS(dõs);DEL(z);ADJ,SG,IN+ESS
sȭira;sȭirad;sȭiraINS(d);INS(d);;N,PL,GEN
lēḑkū;lēḑkū;lēḑkū;;;N,SG,GEN
kaffetas;kaffetassõ;kaffetasINS(sõ);INS(sõ);;N,SG,IN+ALL
bäzmõr;bäzmõrd;bäzmõrINS(d);INS(d);;N,PL,NOM
jūlij;jūlijd;jūlijINS(d);INS(d);;N,PL,GEN
kīlmakū;kīlmakūkõks;kīlmakūINS(kõks);INS(kõks);;N,SG,INS
drūošõ;drūošist;drūošDEL(õ)INS(ist);INS(ist);DEL(õ);ADJ,PL,IN+ABL
