Source;Target;Combined;Inserts;Deletes;Grammar
blomkål;blomkål;blomkål;;;N,INDF,NOM,SG
kirkegård;kirkegårde;kirkegårdINS(e);INS(e);;N,INDF,NOM,PL
guldblomme;guldblommen;guldblommeINS(n);INS(n);;N,DEF,NOM,SG
pinlighedsfornemmelse;pinlighedsfornemmelsen;pinlighedsfornemmelseINS(n);INS(n);;N,DEF,NOM,SG
fællesbetegnelse;fællesbetegnelse;fællesbetegnelse;;;N,INDF,NOM,SG
mår;mår;mår;;;N,INDF,NOM,SG
skuespil;skuespil;skuespil;;;N,INDF,NOM,SG
sydafrikaner;sydafrikaneren;sydafrikanerINS(en);INS(en);;N,DEF,NOM,SG
subkontinent;subkontinenter;subkontinentINS(er);INS(er);;N,INDF,NOM,PL
dyste;dystet;dysteINS(t);INS(t);;V.PTCP,PASS,PST
wiki;wiki;wiki;;;N,INDF,NOM,SG
massøse;massøses;massøseINS(s);INS(s);;N,INDF,GEN,SG
spidsmus;spidsmus';spidsmusINS(');INS(');;N,INDF,GEN,SG
agnostiker;agnostikeren;agnostikerINS(en);INS(en);;N,DEF,NOM,SG
penis;penissen;penisINS(sen);INS(sen);;N,DEF,NOM,SG
studium;studierne;studiDEL(um)INS(erne);INS(erne);DEL(um);N,DEF,NOM,PL
sus;suset;susINS(et);INS(et);;N,DEF,NOM,SG
kæle;kæl;kælDEL(e);;DEL(e);V,ACT,IMP
mage;magerne;magINS(ern)e;INS(ern);;N,DEF,NOM,PL
kikser;kikserne;kikserINS(ne);INS(ne);;N,DEF,NOM,PL
smeltevarme;smeltevarmerne;smeltevarmINS(ern)e;INS(ern);;N,DEF,NOM,PL
håndboldspiller;håndboldspilleren;håndboldspillerINS(en);INS(en);;N,DEF,NOM,SG
bølgefunktion;bølgefunktionen;bølgefunktioINS(ne)n;INS(ne);;N,DEF,NOM,SG
fremmedord;fremmedords;fremmedordINS(s);INS(s);;N,INDF,GEN,SG
lian;lianers;lianINS(ers);INS(ers);;N,INDF,GEN,PL
krokodilletåre;krokodilletårers;krokodilletåreINS(rs);INS(rs);;N,INDF,GEN,PL
dividere;dividere;dividere;;;V,ACT,NFIN
knald;knalds;knaldINS(s);INS(s);;N,INDF,GEN,PL
kapers;kapers;kapers;;;N,INDF,NOM,PL
