Source;Target;Combined;Inserts;Deletes;Grammar
katma;katsin;katDEL(ma)INS(sin);INS(sin);DEL(ma);V,ACT,PST,POS,IND,1,SG
kaalium;kaaliumi;kaaliumINS(i);INS(i);;N,PRT,SG
meitneerium;meitneeriumi;meitneeriumINS(i);INS(i);;N,GEN,SG
petma;petsid;petDEL(ma)INS(sid);INS(sid);DEL(ma);V,ACT,PST,POS,IND,2,SG
oskama;olgu osatud;INS(olgu )osDEL(kam)aINS(tud);INS(olgu ),INS(tud);DEL(kam);V,PASS,PRS,PRF,POS,IMP
kaltsium;kaltsiumiks;kaltsiumINS(iks);INS(iks);;N,TRANS,SG
kana;kanades;kanaINS(des);INS(des);;N,IN+ESS,PL
erinema;erinema;erinema;;;V,NFIN
reisija;reisijates;reisijaINS(tes);INS(tes);;N,IN+ESS,PL
mošee;mošeed;mošeeINS(d);INS(d);;N,NOM,PL
nioobium;nioobiumdesse;nioobiumINS(desse);INS(desse);;N,IN+ALL,PL
omandama;ärgu olgu omandanud;INS(ärgu olgu )omandDEL(am)aINS(nud);INS(ärgu olgu ),INS(nud);DEL(am);V,ACT,PRS,PRF,NEG,IMP,PL
kustutama;ei kustutatud;INS(ei )kustutDEL(am)aINS(tud);INS(ei ),INS(tud);DEL(am);V,PASS,PST,NEG,IND
õpilane;õpilastena;õpilaINS(ste)nDEL(e)INS(a);INS(ste),INS(a);DEL(e);N,FRML,PL
november;novembril;novembDEL(e)rINS(il);INS(il);DEL(e);N,AT+ESS,SG
seisma;seisame;seisDEL(m)aINS(m)INS(e);INS(m),INS(e);DEL(m);V,ACT,PRS,POS,IND,1,PL
õppimine;õppimiseni;õppimiINS(se)nDEL(e)INS(i);INS(se),INS(i);DEL(e);N,TERM,SG
otsima;otsisid;otsiDEL(ma)INS(sid);INS(sid);DEL(ma);V,ACT,PST,POS,IND,2,SG
kalur;kaluris;kalurINS(is);INS(is);;N,IN+ESS,SG
kulles;kulles;kulles;;;N,NOM,SG
teietama;teietatud;teietDEL(am)aINS(tud);INS(tud);DEL(am);V.PTCP,PASS,PST
käskiv;käskivana;käskivINS(ana);INS(ana);;N,FRML,SG
saba;sabas;sabaINS(s);INS(s);;N,IN+ESS,SG
oktoober;oktoobrisse;oktoobINS(riss)eDEL(r);INS(riss);DEL(r);N,IN+ALL,SG
külastama;ära külasta;INS(ära )külastDEL(am)a;INS(ära );DEL(am);V,ACT,PRS,NEG,IMP,2,SG
peenis;peenistesse;peenisINS(tesse);INS(tesse);;N,IN+ALL,PL
külastama;ei olnud külastatudp;INS(ei olnud )külastDEL(am)aINS(tudp);INS(ei olnud ),INS(tudp);DEL(am);V,PASS,PST,PRF,NEG,IND
asjatundja;asjatundjateta;asjatundjINS(atet)a;INS(atet);;N,PRIV,PL
aktiinium;aktiiniumdele;aktiiniumINS(dele);INS(dele);;N,AT+ALL,PL
kalastama;kalastati;kalastDEL(am)aINS(ti);INS(ti);DEL(am);V,PASS,PST,POS,IND
elama;elatakse;elaDEL(m)INS(t)aINS(kse);INS(t),INS(kse);DEL(m);V,PASS,PRS,POS,IND
sarnaluu;sarnaluus;sarnaluuINS(s);INS(s);;N,IN+ESS,SG
pöörama;ärgu pööraku;INS(ärgu )pöörDEL(am)aINS(ku);INS(ärgu ),INS(ku);DEL(am);V,ACT,PRS,NEG,IMP,3,PL
keema;oli keedud;INS(oli )keeDEL(ma)INS(dud);INS(oli ),INS(dud);DEL(ma);V,PASS,PST,PRF,POS,IND
kaubandus;kaubandusteni;kaubandusINS(teni);INS(teni);;N,TERM,PL
sõna;sõnale;sõnaINS(le);INS(le);;N,AT+ALL,SG
trofee;trofeedele;trofeINS(e)INS(d)INS(e)INS(l)e;INS(e),INS(d),INS(e),INS(l);;N,AT+ALL,PL
tulema;oleksid tulnud;INS(oleksid )tulDEL(ema)INS(nud);INS(oleksid ),INS(nud);DEL(ema);V,ACT,PRS,PRF,POS,COND,3,PL
lendama;lennaku;lenDEL(dam)INS(n)aINS(ku);INS(n),INS(ku);DEL(dam);V,ACT,PRS,POS,IMP,3,PL
teadus;teadust;teadusINS(t);INS(t);;N,PRT,SG
korsten;korstnalt;korstDEL(e)nINS(alt);INS(alt);DEL(e);N,AT+ABL,SG
mobiiltelefon;mobiiltelefonid;mobiiltelefonINS(id);INS(id);;N,ACC,PL
ahven;ahvenasse;ahvenINS(asse);INS(asse);;N,IN+ALL,SG
seesütlev;seesütlevasse;seesütlevINS(asse);INS(asse);;N,IN+ALL,SG
iriidium;iriidiumdest;iriidiumINS(dest);INS(dest);;N,IN+ABL,PL
armastama;ei armastavat;INS(ei )armastaDEL(m)INS(v)aINS(t);INS(ei ),INS(v),INS(t);DEL(m);V,ACT,PRS,NEG,QUOT
õhtu;õhtutega;õhtuINS(tega);INS(tega);;N,COM,PL
vars;varred;varDEL(s)INS(r)INS(e)INS(d);INS(r),INS(e),INS(d);DEL(s);N,NOM,PL
