Source;Target;Combined;Inserts;Deletes;Grammar
teknős;teknősökről;teknősINS(ö)INS(k)INS(r)INS(ő)INS(l);INS(ö),INS(k),INS(r),INS(ő),INS(l);;N,ON+ABL,PL
hideg;hidegekbe;hidegINS(ekbe);INS(ekbe);;N,IN+ALL,PL
erősebb;erősebben;erősebbINS(en);INS(en);;N,IN+ESS,SG
kormányfő;kormányfőknek;kormányfőINS(knek);INS(knek);;N,DAT,PL
belga;belgáknál;belgDEL(a)INS(áknál);INS(áknál);DEL(a);N,IN+ALL,PL
meccs;meccsekig;meccsINS(ekig);INS(ekig);;N,TERM,PL
düh;dühig;dühINS(ig);INS(ig);;N,TERM,SG
igénytelen;igénytelennel;igénytelenINS(n)INS(e)INS(l);INS(n),INS(e),INS(l);;N,INST,SG
legsötétebb;legsötétebbekhez;legsötétebbINS(ekhez);INS(ekhez);;N,AT+ALL,PL
leghazugabb;leghazugabbként;leghazugabbINS(ként);INS(ként);;N,FRML,SG
füves;füveset;füvesINS(et);INS(et);;N,ACC,SG
szombréró;szombrérókba;szombréróINS(kba);INS(kba);;N,IN+ALL,PL
megígér;megígérnénk;megígérINS(nénk);INS(nénk);;V,COND,PRS,DEF,1,PL
kinti;kintieknél;kintiINS(eknél);INS(eknél);;N,AT+ESS,PL
implikáció;implikációig;implikációINS(ig);INS(ig);;N,TERM,SG
vakbél;vakbelekké;vakbINS(e)INS(l)INS(e)INS(k)INS(k)éDEL(l);INS(e),INS(l),INS(e),INS(k),INS(k);DEL(l);N,TRANS,PL
radiológus;radiológusokból;radiológusINS(okból);INS(okból);;N,IN+ABL,PL
cincog;cincogta;cincogINS(ta);INS(ta);;V,IND,PST,DEF,3,SG
alkoholista;alkoholistát;alkoholisINS(tá)tDEL(a);INS(tá);DEL(a);N,ACC,SG
szivattyú;szivattyúnál;szivattyúINS(nál);INS(nál);;N,AT+ESS,SG
megvalósítása;megvalósításához;megvalósításDEL(a)INS(ához);INS(ához);DEL(a);N,AT+ALL,SG
téglaház;téglaházba;téglaházINS(ba);INS(ba);;N,IN+ALL,SG
térbeli;térbelinél;térbeliINS(nél);INS(nél);;N,AT+ESS,SG
elbeszél;elbeszélje;elbeszélINS(j)INS(e);INS(j),INS(e);;V,SBJV,PRS,DEF,3,SG
szexuális;szexuálisakra;szexuálisINS(akra);INS(akra);;N,ON+ALL,PL
tolvajnyelv;tolvajnyelvtől;tolvajnyelvINS(től);INS(től);;N,AT+ABL,SG
gordonka;gordonkától;gordonkDEL(a)INS(ától);INS(ától);DEL(a);N,AT+ABL,SG
gyerekcipő;gyerekcipőkké;gyerekcipőINS(k)INS(k)INS(é);INS(k),INS(k),INS(é);;N,TRANS,PL
kötés;kötésekben;kötésINS(ekben);INS(ekben);;N,IN+ESS,PL
megtartás;megtartásból;megtartásINS(ból);INS(ból);;N,IN+ABL,SG
hamag;hamaghoz;hamagINS(hoz);INS(hoz);;N,AT+ALL,SG
neon;neontól;neonINS(tól);INS(tól);;N,AT+ABL,SG
elszenved;elszenvedjetek;elszenvedINS(j)INS(e)INS(t)INS(e)INS(k);INS(j),INS(e),INS(t),INS(e),INS(k);;V,SBJV,PRS,INDF,2,PL
vádoló;vádolókká;vádolóINS(kká);INS(kká);;N,TRANS,PL
romantika;romantikáktól;romantikDEL(a)INS(áktól);INS(áktól);DEL(a);N,AT+ABL,PL
terrorizmus;terrorizmusból;terrorizmusINS(ból);INS(ból);;N,IN+ABL,SG
működtet;működtetnék;működtetINS(nék);INS(nék);;V,COND,PRS,DEF,3,PL
zebra;zebrán;zebrDEL(a)INS(án);INS(án);DEL(a);N,ON+ESS,SG
kozmetikum;kozmetikumig;kozmetikumINS(ig);INS(ig);;N,TERM,SG
kimond;kimondták;kimondINS(ták);INS(ták);;V,IND,PST,DEF,3,PL
csontdaganat;csontdaganatokon;csontdaganatINS(okon);INS(okon);;N,ON+ESS,PL
koreai;koreaiként;koreaiINS(ként);INS(ként);;N,FRML,SG
borotva;borotvákhoz;borotvDEL(a)INS(ákhoz);INS(ákhoz);DEL(a);N,AT+ALL,PL
kigúnyol;kigúnyolva;kigúnyolINS(va);INS(va);;V.CVB
földcsuszamlás;földcsuszamlásból;földcsuszamlásINS(ból);INS(ból);;N,ON+ABL,SG
hírlap;hírlapnak;hírlapINS(nak);INS(nak);;N,DAT,SG
hagyomány;hagyományig;hagyományINS(ig);INS(ig);;N,FRML,SG
angyalsereg;angyalseregekből;angyalseregINS(ekből);INS(ekből);;N,IN+ABL,PL
vallomás;vallomásokkal;vallomásINS(okkal);INS(okkal);;N,INST,PL
mechanizál;mechanizáltam;mechanizálINS(tam);INS(tam);;V,IND,PST,INDF,1,SG
samponoz;samponozd;samponozINS(d);INS(d);;V,SBJV,PRS,DEF,2,SG
fényelektromos;fényelektromosnál;fényelektromosINS(nál);INS(nál);;N,AT+ESS,SG
tágas;tágasakért;tágasINS(akért);INS(akért);;N,PRP,PL
dervis;dervisbe;dervisINS(be);INS(be);;N,IN+ALL,SG
cédé;cédére;cédéINS(re);INS(re);;N,AT+ALL,SG
bross;brossból;brossINS(ból);INS(ból);;N,IN+ABL,SG
sporthír;sporthírekből;sporthírINS(ekből);INS(ekből);;N,IN+ABL,PL
panamakalap;panamakalapokig;panamakalapINS(okig);INS(okig);;N,FRML,PL
ostya;ostyától;ostyDEL(a)INS(ától);INS(ától);DEL(a);N,AT+ABL,SG
vétele;vételéről;véteINS(l)INS(é)INS(r)INS(ő)lDEL(e);INS(l),INS(é),INS(r),INS(ő);DEL(e);N,ON+ABL,SG
legszorosabb;legszorosabbig;legszorosabbINS(ig);INS(ig);;N,TERM,SG
basszus;basszusokból;basszusINS(okból);INS(okból);;N,IN+ABL,PL
szelídgesztenye;szelídgesztenyéken;szelídgesztenyINS(é)INS(k)eINS(n);INS(é),INS(k),INS(n);;N,ON+ESS,PL
jérce;jérce;jérce;;;N,NOM,SG
lehetőségük;lehetőségüktől;lehetőségükINS(től);INS(től);;N,AT+ABL,SG
háttérzene;háttérzenének;háttérzeINS(n)INS(é)neINS(k);INS(n),INS(é),INS(k);;N,DAT,SG
horrorfilmje;horrorfilmjéről;horrorfilmjDEL(e)INS(éről);INS(éről);DEL(e);N,ON+ABL,SG
izotóp;izotópok;izotópINS(ok);INS(ok);;N,NOM,PL
szurony;szuronnyal;szuronINS(n)yINS(al);INS(n),INS(al);;N,INST,SG
ugrat;ugratok;ugratINS(ok);INS(ok);;V,IND,PRS,INDF,1,SG
könyvelő;könyvelőkbe;könyvelőINS(kbe);INS(kbe);;N,IN+ALL,PL
totál;totálokba;totálINS(okba);INS(okba);;N,IN+ALL,PL
hajdísz;hajdíszektől;hajdíszINS(ektől);INS(ektől);;N,AT+ABL,PL
bojtorján;bojtorjánokba;bojtorjánINS(okba);INS(okba);;N,ON+ALL,PL
darwinizmus;darwinizmusokról;darwinizmusINS(okról);INS(okról);;N,AT+ABL,PL
hónap;hónapokká;hónapINS(okká);INS(okká);;N,TERM,PL
rendszer;rendszerekig;rendszerINS(ekig);INS(ekig);;N,FRML,PL
szab;szabtátok;szabINS(tátok);INS(tátok);;V,IND,PST,DEF,2,PL
bagdadi;bagdadiért;bagdadiINS(ért);INS(ért);;N,TRANS,SG
intellektuális;intellektuálisakból;intellektuálisINS(akból);INS(akból);;N,IN+ABL,PL
font;fontból;fontINS(ból);INS(ból);;N,IN+ABL,SG
kalap;singular;DEL(k)DEL(a)INS(s)INS(i)INS(n)INS(g)INS(u)laDEL(p)INS(r);INS(s),INS(i),INS(n),INS(g),INS(u),INS(r);DEL(k),DEL(a),DEL(p);N,NOM,SG
kanárimadár;kanárimadarakká;kanárimadINS(a)INS(r)INS(a)INS(k)INS(k)áDEL(r);INS(a),INS(r),INS(a),INS(k),INS(k);DEL(r);N,TRANS,PL
tömjén;tömjénné;tömjénINS(n)INS(é);INS(n),INS(é);;N,TRANS,SG
hajfesték;hajfestékekké;hajfestékINS(ekké);INS(ekké);;N,TRANS,PL
megkér;megkérnék;megkérINS(nék);INS(nék);;V,COND,PRS,DEF,3,PL
várt;vártnak;vártINS(nak);INS(nak);;N,DAT,SG
far;farokban;farINS(okban);INS(okban);;N,IN+ESS,PL
prezentál;prezentáltam;prezentálINS(tam);INS(tam);;V,IND,PST,INDF,1,SG
légtérzárlat;légtérzárlatot;légtérzárlaINS(to)t;INS(to);;N,ACC,SG
