Source;Target;Combined;Inserts;Deletes;Grammar
rinvasare;rinvasi;rinvasDEL(are)INS(i);INS(i);DEL(are);V,SBJV,PRS,1,SG
infilzare;infilzeremo;infilzDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a);V,IND,FUT,1,PL
rivedersi;mi rivedevo;INS(mi )rivedeDEL(rsi)INS(vo);INS(mi ),INS(vo);DEL(rsi);V,IND,PST,1,SG,IPFV
insanguinare;insanguinante;insanguinaDEL(r)INS(nt)e;INS(nt);DEL(r);V.PTCP,PRS
tramare;tramate;tramaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
scartabellare;scartabelliamo;scartabellINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re);V,POS,IMP,1,PL
calzare;calzerete;calzDEL(a)INS(e)rINS(et)e;INS(e),INS(et);DEL(a);V,IND,FUT,2,PL
sfidarsi;si sfidi;INS(si )sfidDEL(ars)i;INS(si );DEL(ars);V,POS,IMP,3,SG
recarvisi;vi si recheranno;DEL(r)DEL(e)DEL(c)DEL(a)DEL(r)viINS( )siINS( )INS(r)INS(e)INS(c)INS(h)INS(e)INS(r)INS(a)INS(n)INS(n)INS(o);INS( ),INS( ),INS(r),INS(e),INS(c),INS(h),INS(e),INS(r),INS(a),INS(n),INS(n),INS(o);DEL(r),DEL(e),DEL(c),DEL(a),DEL(r);V,IND,FUT,3,PL
intrufolare;intrufolassi;intrufolaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,2,SG
rinchiudere;rinchiuderei;rinchiudereINS(i);INS(i);;V,COND,1,SG
impiombare;impiombi;impiombDEL(are)INS(i);INS(i);DEL(are);V,IND,PRS,2,SG
scombinare;scombini;scombinDEL(are)INS(i);INS(i);DEL(are);V,IND,PRS,2,SG
attendersi;si attenda;INS(si )attendDEL(ersi)INS(a);INS(si ),INS(a);DEL(ersi);V,POS,IMP,3,SG
cazzeggiare;cazzeggerei;cazzeggDEL(ia)INS(e)reINS(i);INS(e),INS(i);DEL(ia);V,COND,1,SG
inzeppare;inzeppassi;inzeppaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,1,SG
strabiliare;strabilerò;strabilDEL(iar)eINS(rò);INS(rò);DEL(iar);V,IND,FUT,1,SG
disvolgere;disvolga;disvolgDEL(ere)INS(a);INS(a);DEL(ere);V,SBJV,PRS,1,SG
argomentare;argomentasti;argomentaDEL(re)INS(sti);INS(sti);DEL(re);V,IND,PST,2,SG,PFV
sciogliersi;si sciolga;INS(si )scioINS(l)gDEL(l)DEL(i)DEL(e)DEL(r)DEL(s)DEL(i)INS(a);INS(si ),INS(l),INS(a);DEL(l),DEL(i),DEL(e),DEL(r),DEL(s),DEL(i);V,POS,IMP,3,SG
corcare;corcavo;corcaDEL(re)INS(vo);INS(vo);DEL(re);V,IND,PST,1,SG,IPFV
umiliare;umilierà;umiliDEL(ar)eINS(rà);INS(rà);DEL(ar);V,IND,FUT,3,SG
estrarre;estraessimo;estraDEL(rr)eINS(ssimo);INS(ssimo);DEL(rr);V,SBJV,PST,1,PL
compiere;compivi;compINS(iv)iDEL(ere);INS(iv);DEL(ere);V,IND,PST,2,SG,IPFV
ricoverarsi;ti ricoveravi;INS(ti )ricoveraDEL(rs)INS(v)i;INS(ti ),INS(v);DEL(rs);V,IND,PST,2,SG,IPFV
rinsanguare;rinsanguavate;rinsanguaDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
assistere;assisterei;assistereINS(i);INS(i);;V,COND,1,SG
sanare;sani;sanDEL(are)INS(i);INS(i);DEL(are);V,SBJV,PRS,2,SG
azzerare;azzerando;azzeraDEL(re)INS(ndo);INS(ndo);DEL(re);V.CVB,PRS
gloglottare;gloglottereste;gloglottDEL(a)INS(e)rINS(est)e;INS(e),INS(est);DEL(a);V,COND,2,PL
tangere;tangi;tangDEL(ere)INS(i);INS(i);DEL(ere);V,POS,IMP,2,SG
invigorire;invigorisca;invigoriDEL(re)INS(sca);INS(sca);DEL(re);V,SBJV,PRS,3,SG
innamorare;innamoravi;innamoraDEL(re)INS(vi);INS(vi);DEL(re);V,IND,PST,2,SG,IPFV
ospedalizzare;ospedalizzò;ospedalizzDEL(are)INS(ò);INS(ò);DEL(are);V,IND,PST,3,SG,PFV
piegare;piegheremmo;piegDEL(a)INS(he)reINS(mmo);INS(he),INS(mmo);DEL(a);V,COND,1,PL
formare;formino;formDEL(are)INS(ino);INS(ino);DEL(are);V,POS,IMP,3,PL
rassumere;rassumesti;rassumDEL(er)eINS(sti);INS(sti);DEL(er);V,IND,PST,2,SG,PFV
sterminare;sterminavate;sterminaDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
incuriosirsi;si incuriosiscano;INS(si )incuriosiDEL(r)sDEL(i)INS(cano);INS(si ),INS(cano);DEL(r),DEL(i);V,SBJV,PRS,3,PL
sfarinarsi;si sfarinano;INS(si )sfarinaDEL(rsi)INS(no);INS(si ),INS(no);DEL(rsi);V,IND,PRS,3,PL
metaforizzare;metaforizzavamo;metaforizzaDEL(re)INS(vamo);INS(vamo);DEL(re);V,IND,PST,1,PL,IPFV
pavimentare;pavimentassero;pavimentaINS(sse)rDEL(e)INS(o);INS(sse),INS(o);DEL(e);V,SBJV,PST,3,PL
doppiare;doppierai;doppiDEL(ar)eINS(rai);INS(rai);DEL(ar);V,IND,FUT,2,SG
scempiare;scempiasse;scempiaDEL(r)INS(ss)e;INS(ss);DEL(r);V,SBJV,PST,3,SG
potabilizzare;potabilizzaste;potabilizzaDEL(r)INS(st)e;INS(st);DEL(r);V,SBJV,PST,2,PL
disintegrarsi;ci disintegreremo;INS(ci )disintegrDEL(arsi)INS(eremo);INS(ci ),INS(eremo);DEL(arsi);V,IND,FUT,1,PL
rabbonire;rabbonendo;rabbonDEL(ir)eINS(ndo);INS(ndo);DEL(ir);V.CVB,PRS
sagginare;sagginasse;sagginaDEL(r)INS(ss)e;INS(ss);DEL(r);V,SBJV,PST,3,SG
costudire;costudirebbero;costudireINS(bbero);INS(bbero);;V,COND,3,PL
scarnire;scarnisse;scarniDEL(r)INS(ss)e;INS(ss);DEL(r);V,SBJV,PST,3,SG
simulare;simulassero;simulaINS(sse)rDEL(e)INS(o);INS(sse),INS(o);DEL(e);V,SBJV,PST,3,PL
asciolvere;asciolverete;asciolverINS(et)e;INS(et);;V,IND,FUT,2,PL
vellutare;velluta;vellutaDEL(re);;DEL(re);V,POS,IMP,2,SG
spogliarsi;ti spoglierai;INS(ti )spogliINS(er)aDEL(rs)i;INS(ti ),INS(er);DEL(rs);V,IND,FUT,2,SG
girondolare;girondolavi;girondolaDEL(re)INS(vi);INS(vi);DEL(re);V,IND,PST,2,SG,IPFV
attingersi;si attingerà;INS(si )attingerDEL(si)INS(à);INS(si ),INS(à);DEL(si);V,IND,FUT,3,SG
