Source;Target;Combined;Inserts;Deletes;Grammar
depenjer;depenjove;depenjINS(ov)eDEL(r);INS(ov);DEL(r);V,IND,PST,1,SG,IPFV
curespuender;curespuendareis;curespuendDEL(e)INS(a)rINS(eis);INS(a),INS(eis);DEL(e);V,2,PL,IND,FUT
giudicher;giudicheia;giudicheDEL(r)INS(ia);INS(ia);DEL(r);V,IND,PRS,3,SG,LGSPEC2
reverir;revere;reveDEL(ri)rINS(e);INS(e);DEL(ri);V,3,SG,SBJV,PRS,LGSPEC1
cianter;ciantes;cianteDEL(r)INS(s);INS(s);DEL(r);V,2,SG,SBJV,PRS,LGSPEC1
condujer;condujer;condujer;;;V,NFIN,LGSPEC1
delegher;deleghoves;deleghINS(ov)eDEL(r)INS(s);INS(ov),INS(s);DEL(r);V,IND,PST,2,SG,IPFV
delibrer;delibré;delibDEL(re)rINS(é);INS(é);DEL(re);V,NFIN,LGSPEC2
usserver;usservassan;usservDEL(er)INS(assan);INS(assan);DEL(er);V,1,PL,SBJV,PST,IPFV
redujer;reduje;redujeDEL(r);;DEL(r);V,3,PL,SBJV,PRS
cogner;cogna;cognDEL(er)INS(a);INS(a);DEL(er);V,2,SG,NFIN,LGSPEC1
prufesser;prufessa;prufessDEL(er)INS(a);INS(a);DEL(er);V,IND,PRS,3,SG,LGSPEC1
sustenir;susten;sustenDEL(ir);;DEL(ir);V,IND,PRS,3,SG,LGSPEC1
goder;godasse;godINS(ass)eDEL(r);INS(ass);DEL(r);V,1,SG,SBJV,PST,IPFV
limiter;limité;limitDEL(er)INS(é);INS(é);DEL(er);V.PTCP,PST
cumporter;cumportove;cumportINS(ov)eDEL(r);INS(ov);DEL(r);V,IND,PST,1,SG,IPFV
adoter;adotes;adoteDEL(r)INS(s);INS(s);DEL(r);V,2,SG,SBJV,PRS,LGSPEC1
eserziter;eserzitova;eserzitDEL(er)INS(ova);INS(ova);DEL(er);V,IND,PST,3,PL,IPFV
dovei;dessarà;dDEL(ov)eDEL(i)INS(s)INS(s)INS(a)INS(r)INS(à);INS(s),INS(s),INS(a),INS(r),INS(à);DEL(ov),DEL(i);V,3,SG,IND,FUT
finanzier;finanziovan;finanziDEL(er)INS(ovan);INS(ovan);DEL(er);V,IND,PST,1,PL,IPFV
lascer;lasceia;lasceDEL(r)INS(ia);INS(ia);DEL(r);V,2,SG,NFIN,LGSPEC2
cunvalider;cunvalida;cunvalidDEL(er)INS(a);INS(a);DEL(er);V,IND,PRS,3,PL,LGSPEC1
aproer;aproé;aproDEL(er)INS(é);INS(é);DEL(er);V,NFIN,LGSPEC2
ndicher;ndichoves;ndichINS(ov)eDEL(r)INS(s);INS(ov),INS(s);DEL(r);V,IND,PST,2,SG,IPFV
passer;passon;passDEL(er)INS(on);INS(on);DEL(er);V,1,PL,SBJV,PRS
trasferir;trasfere;trasfeDEL(ri)rINS(e);INS(e);DEL(ri);V,1,SG,SBJV,PRS,LGSPEC1
arbitrer;arbitrarà;arbitrDEL(e)INS(a)rINS(à);INS(a),INS(à);DEL(e);V,3,SG,IND,FUT
spartir;sparte;spartDEL(ir)INS(e);INS(e);DEL(ir);V,1,SG,SBJV,PRS,LGSPEC1
scurter;scurteia;scurteDEL(r)INS(ia);INS(ia);DEL(r);V,2,SG,NFIN,LGSPEC2
condujer;conduje;condujeDEL(r);;DEL(r);V,1,SG,SBJV,PRS
assenier;assenion;asseniDEL(er)INS(on);INS(on);DEL(er);V,1,PL,SBJV,PRS
someter;someta;sometDEL(er)INS(a);INS(a);DEL(er);V,IND,PRS,3,SG,LGSPEC1
ressolver;ressolveis;ressolveDEL(r)INS(is);INS(is);DEL(r);V,2,PL,SBJV,PRS
udir;udesc;udDEL(ir)INS(esc);INS(esc);DEL(ir);V,IND,PRS,3,PL,LGSPEC2
acrediter;acredita;acreditDEL(er)INS(a);INS(a);DEL(er);V,2,SG,NFIN,LGSPEC1
promulgher;promulghassa;promulghDEL(er)INS(assa);INS(assa);DEL(er);V,3,SG,SBJV,PST,IPFV
podei;podovan;podDEL(ei)INS(ovan);INS(ovan);DEL(ei);V,IND,PST,1,PL,IPFV
stabilir;stabilì;stabilDEL(ir)INS(ì);INS(ì);DEL(ir);V,NFIN,LGSPEC2
istruir;istruirà;istruirINS(à);INS(à);;V,3,SG,IND,FUT
dé;dèr;dDEL(é)INS(è)INS(r);INS(è),INS(r);DEL(é);V,NFIN,LGSPEC2
podei;posses;poDEL(d)DEL(ei)INS(sses);INS(sses);DEL(d),DEL(ei);V,2,SG,SBJV,PRS
purter;purtasses;purtINS(ass)eDEL(r)INS(s);INS(ass),INS(s);DEL(r);V,2,SG,SBJV,PST,IPFV
coster;costeis;costeDEL(r)INS(is);INS(is);DEL(r);V,IND,PRS,2,PL
aproer;aproeie;aproINS(ei)eDEL(r);INS(ei);DEL(r);V,3,SG,SBJV,PRS,LGSPEC2
respuender;respuendassan;respuendDEL(er)INS(assan);INS(assan);DEL(er);V,1,PL,SBJV,PST,IPFV
comunicher;comuniche;comunicheDEL(r);;DEL(r);V,3,PL,SBJV,PRS
proibir;proib;proibDEL(ir);;DEL(ir);V,IND,PRS,3,SG,LGSPEC1
erjer;erjoves;erjINS(ov)eDEL(r)INS(s);INS(ov),INS(s);DEL(r);V,IND,PST,2,SG,IPFV
seurander;seurande;seurandeDEL(r);;DEL(r);V,IND,PRS,1,SG,LGSPEC1
comunicher;comuniches;comunicheDEL(r)INS(s);INS(s);DEL(r);V,2,SG,SBJV,PRS,LGSPEC1
resserver;resserve;resserveDEL(r);;DEL(r);V,3,SG,SBJV,PRS,LGSPEC1
detlarer;detlara;detlaDEL(re)rINS(a);INS(a);DEL(re);V,IND,PRS,3,PL,LGSPEC1
redujer;redujaré;redujDEL(e)INS(a)rINS(é);INS(a),INS(é);DEL(e);V,1,SG,IND,FUT
atribuir;atribu;atribuDEL(ir);;DEL(ir);V,2,SG,NFIN,LGSPEC1
avei;aras;aDEL(vei)INS(r)INS(a)INS(s);INS(r),INS(a),INS(s);DEL(vei);V,2,SG,IND,FUT
manifester;manifestareis;manifestDEL(e)INS(a)rINS(eis);INS(a),INS(eis);DEL(e);V,2,PL,IND,FUT
dovei;dessù;dDEL(ov)eDEL(i)INS(s)INS(s)INS(ù);INS(s),INS(s),INS(ù);DEL(ov),DEL(i);V.PTCP,PST,LGSPEC2
vegnì;vegnireis;vegnDEL(ì)INS(i)INS(r)INS(e)INS(i)INS(s);INS(i),INS(r),INS(e),INS(i),INS(s);DEL(ì);V,2,PL,IND,FUT
coordener;coordener;coordener;;;V,NFIN,LGSPEC1
spieter;spietarà;spietDEL(e)INS(a)rINS(à);INS(a),INS(à);DEL(e);V,3,SG,IND,FUT
coordener;coordenasse;coordenINS(ass)eDEL(r);INS(ass);DEL(r);V,1,SG,SBJV,PST,IPFV
scuter;scouteis;scINS(o)uteDEL(r)INS(is);INS(o),INS(is);DEL(r);V,IND,PRS,2,SG,LGSPEC2
detlarer;detlareis;detlareDEL(r)INS(is);INS(is);DEL(r);V,IND,PRS,2,PL
ester;fova;DEL(e)DEL(ster)INS(f)INS(o)INS(v)INS(a);INS(f),INS(o),INS(v),INS(a);DEL(e),DEL(ster);V,IND,PST,3,PL,IPFV
passer;passassan;passDEL(er)INS(assan);INS(assan);DEL(er);V,1,PL,SBJV,PST,IPFV
acurder;acurdeies;acurdeDEL(r)INS(ies);INS(ies);DEL(r);V,2,SG,SBJV,PRS,LGSPEC2
udir;udissais;udiDEL(r)INS(ssais);INS(ssais);DEL(r);V,2,PL,SBJV,PST,IPFV
spartir;spartesce;spartDEL(ir)INS(esce);INS(esce);DEL(ir);V,3,SG,SBJV,PRS,LGSPEC2
arester;aresta;arestDEL(er)INS(a);INS(a);DEL(er);V,2,SG,NFIN,LGSPEC1
