Source;Target;Combined;Inserts;Deletes;Grammar
invincibilis;invincibilibus;invincibiliINS(bu)s;INS(bu);;ADJ,ABL,NEUT,SG
ratiocinativus;ratiōcinātīva;ratiDEL(o)INS(ō)cinINS(ā)INS(t)INS(ī)INS(v)aDEL(t)DEL(i)DEL(v)DEL(u)DEL(s);INS(ō),INS(ā),INS(t),INS(ī),INS(v);DEL(o),DEL(t),DEL(i),DEL(v),DEL(u),DEL(s);ADJ,VOC,FEM,SG
scutula;scutulae;scutulaINS(e);INS(e);;N,DAT,SG
arbitrium;arbitria;arbitriDEL(um)INS(a);INS(a);DEL(um);N,VOC,PL
solutissimus;solutissimā;solutissimDEL(us)INS(ā);INS(ā);DEL(us);ADJ,ABL,FEM,SG
adjugo;adjugābimus;adjugDEL(o)INS(ābimus);INS(ābimus);DEL(o);V,IND,FUT,1,PL
abolefacio;abolēfēcērunt;abolDEL(e)DEL(f)DEL(a)DEL(c)DEL(i)DEL(o)INS(ē)INS(f)INS(ē)INS(c)INS(ē)INS(r)INS(u)INS(n)INS(t);INS(ē),INS(f),INS(ē),INS(c),INS(ē),INS(r),INS(u),INS(n),INS(t);DEL(e),DEL(f),DEL(a),DEL(c),DEL(i),DEL(o);V,IND,PST,3,PL,PFV
cultissimus;cultissimō;cultissimDEL(us)INS(ō);INS(ō);DEL(us);ADJ,ABL,MASC,SG
uligo;ūlīginibus;INS(ū)INS(l)INS(ī)INS(g)INS(i)INS(n)INS(i)INS(b)uDEL(l)DEL(i)DEL(g)DEL(o)INS(s);INS(ū),INS(l),INS(ī),INS(g),INS(i),INS(n),INS(i),INS(b),INS(s);DEL(l),DEL(i),DEL(g),DEL(o);N,DAT,PL
orichalcum;orichalcum;orichalcum;;;N,NOM,SG
adsigno;adsignābunt;adsignDEL(o)INS(ābunt);INS(ābunt);DEL(o);V,IND,FUT,3,PL
exsaturo;exsaturābat;exsaturDEL(o)INS(ābat);INS(ābat);DEL(o);V,IND,PST,3,SG,IPFV
allicio;alliciar;alliciDEL(o)INS(ar);INS(ar);DEL(o);V,SBJV,PASS,PRS,1,SG
cudo;cūduntor;cDEL(u)INS(ū)dINS(unt)oINS(r);INS(ū),INS(unt),INS(r);DEL(u);V,IMP,PASS,FUT,3,PL
drappus;drappī;drappDEL(us)INS(ī);INS(ī);DEL(us);N,VOC,PL
remulceo;remulcērētis;remulcDEL(eo)INS(ē)INS(r)INS(ē)INS(t)INS(i)INS(s);INS(ē),INS(r),INS(ē),INS(t),INS(i),INS(s);DEL(eo);V,SBJV,PST,2,PL,IPFV
praeconius;praecōniī;praecDEL(o)INS(ō)niDEL(us)INS(ī);INS(ō),INS(ī);DEL(o),DEL(us);ADJ,NOM,MASC,PL
byssinus;byssinō;byssinDEL(us)INS(ō);INS(ō);DEL(us);ADJ,DAT,FEM,SG
divello;dīvellissētis;dDEL(i)INS(ī)vellDEL(o)INS(i)INS(s)INS(s)INS(ē)INS(t)INS(i)INS(s);INS(ī),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s);DEL(i),DEL(o);V,SBJV,PST,2,PL,PRF
obstrepo;obstreperēris;obstrepDEL(o)INS(erēris);INS(erēris);DEL(o);V,SBJV,PST,2,SG,IPFV
inrideo;inrīdēbitis;inrINS(ī)INS(d)INS(ē)INS(b)INS(i)INS(t)iDEL(d)DEL(e)DEL(o)INS(s);INS(ī),INS(d),INS(ē),INS(b),INS(i),INS(t),INS(s);DEL(d),DEL(e),DEL(o);V,IND,FUT,2,PL
permolestus;permolestās;permolestDEL(u)INS(ā)s;INS(ā);DEL(u);ADJ,ACC,FEM,PL
ulterior;ulteriōra;ulteriDEL(o)INS(ō)rINS(a);INS(ō),INS(a);DEL(o);ADJ,VOC,NEUT,PL
furcifer;furciferō;furciferINS(ō);INS(ō);;N,DAT,SG
spurcissimus;spurcissimam;spurcissiINS(ma)mDEL(us);INS(ma);DEL(us);ADJ,ACC,FEM,SG
inquisitor;inquīsītōrēs;inquDEL(i)INS(ī)INS(s)INS(ī)INS(t)INS(ō)INS(r)INS(ē)sDEL(i)DEL(t)DEL(o)DEL(r);INS(ī),INS(s),INS(ī),INS(t),INS(ō),INS(r),INS(ē);DEL(i),DEL(i),DEL(t),DEL(o),DEL(r);N,VOC,PL
intercalarius;intercalāriī;intercalDEL(a)INS(ā)riDEL(us)INS(ī);INS(ā),INS(ī);DEL(a),DEL(us);ADJ,GEN,MASC,SG
fuscitarsis;fuscitarse;fuscitarDEL(si)sINS(e);INS(e);DEL(si);ADJ,NOM,NEUT,SG
pampinarius;pampināria;pampinINS(āri)aDEL(rius);INS(āri);DEL(rius);ADJ,NOM,FEM,SG
acroscopicus;acroscopica;acroscopicDEL(us)INS(a);INS(a);DEL(us);ADJ,NOM,FEM,SG
actinopetalus;actinopetalō;actinopetalDEL(us)INS(ō);INS(ō);DEL(us);ADJ,ABL,NEUT,SG
progigno;prōgignēbāmur;prDEL(o)INS(ō)gignDEL(o)INS(ēbāmur);INS(ō),INS(ēbāmur);DEL(o),DEL(o);V,IND,PASS,PST,1,PL,IPFV
deflecto;dēflectuntur;dDEL(e)INS(ē)flectDEL(o)INS(untur);INS(ē),INS(untur);DEL(e),DEL(o);V,IND,PASS,PRS,3,PL
amsterdamensis;amsterdamēnsēs;amsterdamDEL(e)INS(ē)nsDEL(i)INS(ē)s;INS(ē),INS(ē);DEL(e),DEL(i);ADJ,VOC,MASC/FEM,PL
adversissimus;adversissima;adversissimDEL(us)INS(a);INS(a);DEL(us);ADJ,ACC,NEUT,PL
dementissimus;dēmentissimum;dDEL(e)INS(ē)mentissimuDEL(s)INS(m);INS(ē),INS(m);DEL(e),DEL(s);ADJ,ACC,MASC,SG
vastissimus;vastissimōs;vastissimDEL(u)INS(ō)s;INS(ō);DEL(u);ADJ,ACC,MASC,PL
inflecto;īnflectēs;DEL(i)INS(ī)nflectDEL(o)INS(ēs);INS(ī),INS(ēs);DEL(i),DEL(o);V,IND,FUT,2,SG
virido;viridābit;viridDEL(o)INS(ābit);INS(ābit);DEL(o);V,IND,FUT,3,SG
odoro;odōrābat;odDEL(oro)INS(ō)INS(r)INS(ā)INS(b)INS(a)INS(t);INS(ō),INS(r),INS(ā),INS(b),INS(a),INS(t);DEL(oro);V,IND,PST,3,SG,IPFV
inconcinnus;inconcinnō;inconcinnDEL(us)INS(ō);INS(ō);DEL(us);ADJ,DAT,MASC,SG
perpusillus;perpusillum;perpusilluDEL(s)INS(m);INS(m);DEL(s);ADJ,VOC,NEUT,SG
volucris;volucrī;volucrDEL(is)INS(ī);INS(ī);DEL(is);N,DAT,SG
alascensis;alascensēs;alascensDEL(i)INS(ē)s;INS(ē);DEL(i);ADJ,NOM,MASC/FEM,PL
adclaro;adclārāvērunt;adclDEL(a)DEL(r)DEL(o)INS(ā)INS(r)INS(ā)INS(v)INS(ē)INS(r)INS(u)INS(n)INS(t);INS(ā),INS(r),INS(ā),INS(v),INS(ē),INS(r),INS(u),INS(n),INS(t);DEL(a),DEL(r),DEL(o);V,IND,PST,3,PL,PFV
testator;testātor;testDEL(a)INS(ā)tor;INS(ā);DEL(a);N,VOC,SG
autumo;autument;autumDEL(o)INS(ent);INS(ent);DEL(o);V,SBJV,PRS,3,PL
dirimo;dirimētur;dirimDEL(o)INS(ētur);INS(ētur);DEL(o);V,IND,PASS,FUT,3,SG
adlaudo;adlaudābam;adlaudDEL(o)INS(ābam);INS(ābam);DEL(o);V,IND,PST,1,SG,IPFV
iniquus;inīquā;inDEL(i)INS(ī)quDEL(us)INS(ā);INS(ī),INS(ā);DEL(i),DEL(us);ADJ,ABL,FEM,SG
frustulentus;frustulenta;frustulentDEL(us)INS(a);INS(a);DEL(us);ADJ,VOC,FEM,SG
organizo;organizārem;organizDEL(o)INS(ārem);INS(ārem);DEL(o);V,SBJV,PST,1,SG,IPFV
anteverto;anteverterēris;antevertDEL(o)INS(erēris);INS(erēris);DEL(o);V,SBJV,PST,2,SG,IPFV
portitor;portitōrum;portitDEL(o)INS(ō)rINS(um);INS(ō),INS(um);DEL(o);N,GEN,PL
destituo;dēstitue;dDEL(e)INS(ē)stituDEL(o)INS(e);INS(ē),INS(e);DEL(e),DEL(o);V,IMP,PRS,3,SG
deiero;dēierāverītis;dDEL(e)INS(ē)ierDEL(o)INS(āverītis);INS(ē),INS(āverītis);DEL(e),DEL(o);V,SBJV,PST,2,PL,PFV
eucharis;eucharī;eucharDEL(is)INS(ī);INS(ī);DEL(is);ADJ,ABL,MASC/FEM,SG
judico;jūdicābantur;jDEL(u)INS(ū)dicDEL(o)INS(ābantur);INS(ū),INS(ābantur);DEL(u),DEL(o);V,IND,PASS,PST,3,PL,IPFV
idoneus;idōneum;idDEL(o)INS(ō)neuDEL(s)INS(m);INS(ō),INS(m);DEL(o),DEL(s);ADJ,NOM,NEUT,SG
agguberno;aggubernā;aggubernDEL(o)INS(ā);INS(ā);DEL(o);V,IMP,PRS,3,SG
illudo;illūderēris;illDEL(udo)INS(ū)INS(d)INS(e)INS(r)INS(ē)INS(r)INS(i)INS(s);INS(ū),INS(d),INS(e),INS(r),INS(ē),INS(r),INS(i),INS(s);DEL(udo);V,SBJV,PST,2,SG,IPFV
pupilla;pūpillās;pDEL(u)INS(ū)pillDEL(a)INS(ās);INS(ū),INS(ās);DEL(u),DEL(a);N,ACC,PL
circumspicio;circumspiciātur;circumspiciDEL(o)INS(ātur);INS(ātur);DEL(o);V,SBJV,PASS,PRS,3,SG
diiudico;dīiūdicem;dINS(ī)iDEL(i)DEL(u)INS(ū)dicDEL(o)INS(em);INS(ī),INS(ū),INS(em);DEL(i),DEL(u),DEL(o);V,SBJV,PRS,1,SG
inpertio;inpertīverāmus;inpertDEL(io)INS(ī)INS(v)INS(e)INS(r)INS(ā)INS(m)INS(u)INS(s);INS(ī),INS(v),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s);DEL(io);V,IND,PST,1,PL,PRF
opero;operāvissem;operDEL(o)INS(āvissem);INS(āvissem);DEL(o);V,SBJV,PST,1,SG,PRF
albulus;albulum;albuluDEL(s)INS(m);INS(m);DEL(s);ADJ,ACC,NEUT,SG
compunctio;compunctiōnēs;compunctiDEL(o)INS(ōnēs);INS(ōnēs);DEL(o);N,VOC,PL
moto;mōtāverītis;mDEL(o)DEL(t)DEL(o)INS(ō)INS(t)INS(ā)INS(v)INS(e)INS(r)INS(ī)INS(t)INS(i)INS(s);INS(ō),INS(t),INS(ā),INS(v),INS(e),INS(r),INS(ī),INS(t),INS(i),INS(s);DEL(o),DEL(t),DEL(o);V,SBJV,PST,2,PL,PFV
instabilio;instabilīverātis;instabilINS(ī)INS(v)INS(e)INS(r)INS(ā)INS(t)iDEL(o)INS(s);INS(ī),INS(v),INS(e),INS(r),INS(ā),INS(t),INS(s);DEL(o);V,IND,PST,2,PL,PRF
hypotheca;hypothēca;hypothDEL(e)INS(ē)ca;INS(ē);DEL(e);N,VOC,SG
inservio;īnservīvērunt;DEL(i)INS(ī)nservDEL(io)INS(ī)INS(v)INS(ē)INS(r)INS(u)INS(n)INS(t);INS(ī),INS(ī),INS(v),INS(ē),INS(r),INS(u),INS(n),INS(t);DEL(i),DEL(io);V,IND,PST,3,PL,PFV
retrudo;retrūserās;retrDEL(udo)INS(ū)INS(s)INS(e)INS(r)INS(ā)INS(s);INS(ū),INS(s),INS(e),INS(r),INS(ā),INS(s);DEL(udo);V,IND,PST,2,SG,PRF
rupico;rupicōnēs;rupicDEL(o)INS(ōnēs);INS(ōnēs);DEL(o);N,ACC,PL
inopinatus;inopīnātum;inopDEL(i)DEL(n)DEL(a)INS(ī)INS(n)INS(ā)tuDEL(s)INS(m);INS(ī),INS(n),INS(ā),INS(m);DEL(i),DEL(n),DEL(a),DEL(s);ADJ,VOC,NEUT,SG
azoricus;azoricī;azoricDEL(us)INS(ī);INS(ī);DEL(us);ADJ,GEN,MASC,SG
putidissimus;pūtidissimī;pDEL(u)INS(ū)tidissimDEL(us)INS(ī);INS(ū),INS(ī);DEL(u),DEL(us);ADJ,GEN,MASC,SG
longimanus;longimanum;longimanuDEL(s)INS(m);INS(m);DEL(s);ADJ,ACC,MASC,SG
perbonus;perbonī;perbonDEL(us)INS(ī);INS(ī);DEL(us);ADJ,NOM,MASC,PL
adulterium;adulterium;adulterium;;;N,ACC,SG
prudentissimus;prūdēntissimī;prDEL(u)DEL(d)DEL(e)INS(ū)INS(d)INS(ē)ntissimDEL(us)INS(ī);INS(ū),INS(d),INS(ē),INS(ī);DEL(u),DEL(d),DEL(e),DEL(us);ADJ,NOM,MASC,PL
obarmo;obarmās;obarmDEL(o)INS(ās);INS(ās);DEL(o);V,IND,PRS,2,SG
superextendo;superextenduntor;superextendINS(unt)oINS(r);INS(unt),INS(r);;V,IMP,PASS,FUT,3,PL
praelongus;praelongae;praelongDEL(us)INS(ae);INS(ae);DEL(us);ADJ,GEN,FEM,SG
infligo;īnflīgēbātis;DEL(i)INS(ī)nflINS(ī)INS(g)INS(ē)INS(b)INS(ā)INS(t)iDEL(go)INS(s);INS(ī),INS(ī),INS(g),INS(ē),INS(b),INS(ā),INS(t),INS(s);DEL(i),DEL(go);V,IND,PST,2,PL,IPFV
allino;allinitis;allinDEL(o)INS(itis);INS(itis);DEL(o);V,IND,PRS,2,PL
obtendo;obtendimus;obtendDEL(o)INS(imus);INS(imus);DEL(o);V,IND,PST,1,PL,PFV
assevero;assevēret;assevINS(ēr)eDEL(ro)INS(t);INS(ēr),INS(t);DEL(ro);V,SBJV,PRS,3,SG
informis;īnfōrmibus;DEL(i)INS(ī)nfDEL(o)INS(ō)rmiINS(bu)s;INS(ī),INS(ō),INS(bu);DEL(i),DEL(o);ADJ,ABL,NEUT,SG
studiosior;studiōsiōrēs;studiDEL(o)INS(ō)siDEL(o)INS(ō)rINS(ēs);INS(ō),INS(ō),INS(ēs);DEL(o),DEL(o);ADJ,ACC,MASC/FEM,PL
apo;aperēris;apDEL(o)INS(erēris);INS(erēris);DEL(o);V,SBJV,PST,2,SG,IPFV
fiscina;fiscinae;fiscinaINS(e);INS(e);;N,GEN,SG
abrodo;abrōdātis;abrDEL(o)DEL(d)DEL(o)INS(ō)INS(d)INS(ā)INS(t)INS(i)INS(s);INS(ō),INS(d),INS(ā),INS(t),INS(i),INS(s);DEL(o),DEL(d),DEL(o);V,SBJV,PRS,2,PL
apputo;apputāverint;appuINS(t)INS(ā)INS(v)INS(e)INS(r)INS(i)INS(n)tDEL(o);INS(t),INS(ā),INS(v),INS(e),INS(r),INS(i),INS(n);DEL(o);V,SBJV,PST,3,PL,PFV
grunnio;grunniēbar;grunniDEL(o)INS(ēbar);INS(ēbar);DEL(o);V,IND,PASS,PST,1,SG,IPFV
escendo;ēscendō;DEL(e)INS(ē)scendDEL(o)INS(ō);INS(ē),INS(ō);DEL(e),DEL(o);V,IND,PRS,1,SG
reformo;refōrmāvissent;refDEL(o)INS(ō)rmDEL(o)INS(āvissent);INS(ō),INS(āvissent);DEL(o),DEL(o);V,SBJV,PST,3,PL,PRF
rectangulus;rectangulī;rectangulDEL(us)INS(ī);INS(ī);DEL(us);ADJ,NOM,MASC,PL
clausum;clausō;clausDEL(um)INS(ō);INS(ō);DEL(um);N,DAT,SG
mediaevalis;mediaevālēs;mediaevDEL(a)DEL(l)DEL(i)INS(ā)INS(l)INS(ē)s;INS(ā),INS(l),INS(ē);DEL(a),DEL(l),DEL(i);ADJ,VOC,MASC/FEM,PL
declamito;dēclāmitēris;dDEL(e)INS(ē)clDEL(a)INS(ā)mitDEL(o)INS(ēris);INS(ē),INS(ā),INS(ēris);DEL(e),DEL(a),DEL(o);V,SBJV,PASS,PRS,2,SG
masculetum;masculētōrum;masculDEL(e)INS(ē)tINS(ōr)um;INS(ē),INS(ōr);DEL(e);N,GEN,PL
flexuosus;flexuōsī;flexDEL(uos)uINS(ō)sINS(ī);INS(ō),INS(ī);DEL(uos);ADJ,GEN,MASC,SG
exiguum;exiguum;exiguum;;;N,NOM,SG
consolativus;consōlātīvī;conDEL(s)DEL(o)DEL(l)DEL(a)DEL(t)DEL(i)DEL(v)DEL(u)sINS(ō)INS(l)INS(ā)INS(t)INS(ī)INS(v)INS(ī);INS(ō),INS(l),INS(ā),INS(t),INS(ī),INS(v),INS(ī);DEL(s),DEL(o),DEL(l),DEL(a),DEL(t),DEL(i),DEL(v),DEL(u);ADJ,GEN,MASC,SG
meticulosus;meticulōsōrum;meticulDEL(osu)INS(ō)sINS(ōrum);INS(ō),INS(ōrum);DEL(osu);ADJ,GEN,NEUT,PL
luxuria;luxuriae;luxuriaINS(e);INS(e);;N,GEN,SG
triplico;trīplicāvistī;trDEL(i)INS(ī)plicDEL(o)INS(āvistī);INS(ī),INS(āvistī);DEL(i),DEL(o);V,IND,PST,2,SG,PFV
delingo;dēlinxissētis;dDEL(e)INS(ē)linDEL(go)INS(x)INS(i)INS(s)INS(s)INS(ē)INS(t)INS(i)INS(s);INS(ē),INS(x),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s);DEL(e),DEL(go);V,SBJV,PST,2,PL,PRF
adigo;adigēbar;adigDEL(o)INS(ēbar);INS(ēbar);DEL(o);V,IND,PASS,PST,1,SG,IPFV
igneus;igneārum;igneINS(ār)uDEL(s)INS(m);INS(ār),INS(m);DEL(s);ADJ,GEN,FEM,PL
meditabundus;meditābundum;meditDEL(a)INS(ā)bunduDEL(s)INS(m);INS(ā),INS(m);DEL(a),DEL(s);ADJ,NOM,NEUT,SG
villaticus;villāticō;villDEL(a)INS(ā)ticDEL(us)INS(ō);INS(ā),INS(ō);DEL(a),DEL(us);N,ABL,SG
resumo;resūmpserint;resDEL(u)DEL(m)DEL(o)INS(ū)INS(m)INS(p)INS(s)INS(e)INS(r)INS(i)INS(n)INS(t);INS(ū),INS(m),INS(p),INS(s),INS(e),INS(r),INS(i),INS(n),INS(t);DEL(u),DEL(m),DEL(o);V,SBJV,PST,3,PL,PFV
glorifico;glōrificāverītis;glDEL(o)INS(ō)rificDEL(o)INS(āverītis);INS(ō),INS(āverītis);DEL(o),DEL(o);V,SBJV,PST,2,PL,PFV
retego;retegent;retegDEL(o)INS(ent);INS(ent);DEL(o);V,IND,FUT,3,PL
stipatio;stīpātiō;stDEL(i)DEL(p)DEL(a)INS(ī)INS(p)INS(ā)tiDEL(o)INS(ō);INS(ī),INS(p),INS(ā),INS(ō);DEL(i),DEL(p),DEL(a),DEL(o);N,NOM,SG
inclamo;inclāmāveram;inclINS(ā)INS(m)INS(ā)INS(v)INS(e)INS(r)amDEL(o);INS(ā),INS(m),INS(ā),INS(v),INS(e),INS(r);DEL(o);V,IND,PST,1,SG,PRF
