Source;Target;Combined;Inserts;Deletes;Grammar
atsakyti;atsakant;atsakDEL(y)INS(an)tDEL(i);INS(an);DEL(y),DEL(i);V,V.PTCP,ADV,PRS,ACT
albanas;albane;albanDEL(as)INS(e);INS(e);DEL(as);N,LOC,SG
ūdra;ū́dra;ūINS(́)dra;INS(́);;N,NOM,SG
įspūdingas;įspūdingiausia;įspūdingINS(i)aINS(u)sINS(ia);INS(i),INS(u),INS(ia);;ADJ,NOM,SG,FEM,SPRL
prostitutė;prostitùtės;prostitDEL(u)INS(ù)tėINS(s);INS(ù),INS(s);DEL(u);N,NOM,PL
bokalas;bokalè;bokalDEL(as)INS(è);INS(è);DEL(as);N,LOC,SG
sakyti;sakytumėme;sakytDEL(i)INS(umėme);INS(umėme);DEL(i);V,1,PL,SBJV
lietuvė;lietùvėje;lietDEL(u)INS(ù)vėINS(je);INS(ù),INS(je);DEL(u);N,LOC,SG
žaisti;žaistumėte;žaistDEL(i)INS(umėte);INS(umėte);DEL(i);V,2,PL,SBJV
krūmas;krū́mai;krūINS(́)maDEL(s)INS(i);INS(́),INS(i);DEL(s);N,NOM,PL
aptarti;teaptaria;INS(te)aptarDEL(t)iINS(a);INS(te),INS(a);DEL(t);V,3,SG,IMP
asmeninis;asmeninių;asmeniniDEL(s)INS(ų);INS(ų);DEL(s);ADJ,GEN,PL,FEM,POS
niaukti;niáukia;niDEL(a)INS(á)ukDEL(t)iINS(a);INS(á),INS(a);DEL(a),DEL(t);V,3,PL,PRS,IND
vienetas;vienetų;vienetDEL(as)INS(ų);INS(ų);DEL(as);N,GEN,PL
mįslingas;mįslingos;mįslingDEL(a)INS(o)s;INS(o);DEL(a);ADJ,NOM,PL,FEM,POS
ranka;rankàs;rankDEL(a)INS(às);INS(às);DEL(a);N,ACC,PL
ugdyti;ugdytumėme;ugdytDEL(i)INS(umėme);INS(umėme);DEL(i);V,1,PL,SBJV
bebalsis;bebalsėms;bebalsDEL(i)INS(ėm)s;INS(ėm);DEL(i);ADJ,DAT,PL,FEM,POS
meniškas;menišką;meniškDEL(as)INS(ą);INS(ą);DEL(as);ADJ,ACC,SG,FEM,POS
bedieviškas;bedieviškiausius;bedieviškINS(i)aINS(usiu)s;INS(i),INS(usiu);;ADJ,ACC,PL,MASC,SPRL
blakstiena;blakstíena;blakstDEL(i)INS(í)ena;INS(í);DEL(i);N,NOM,SG
izoterminis;izoterminiame;izoterminiDEL(s)INS(ame);INS(ame);DEL(s);ADJ,LOC,SG,MASC,POS
aumuo;aumeñs;aumDEL(uo)INS(e)INS(ñ)INS(s);INS(e),INS(ñ),INS(s);DEL(uo);N,GEN,SG
klausyti;klausei;klausDEL(yt)INS(e)i;INS(e);DEL(yt);V,2,SG,PST,IND
dievas;dievaĩ;dievaDEL(s)INS(ĩ);INS(ĩ);DEL(s);N,NOM,PL
kalnas;kálną;kDEL(a)INS(á)lnDEL(as)INS(ą);INS(á),INS(ą);DEL(a),DEL(as);N,ACC,SG
dieviškas;dievišką;dieviškDEL(as)INS(ą);INS(ą);DEL(as);ADJ,ACC,SG,MASC,POS
kalbėti;kalbėdavote;kalbėINS(davo)tDEL(i)INS(e);INS(davo),INS(e);DEL(i);V,2,PL,PST,FREQ,IND
musė;musei;musDEL(ė)INS(ei);INS(ei);DEL(ė);N,DAT,SG
panaudotoja;panaudótojos;panaudDEL(o)INS(ó)tojDEL(a)INS(os);INS(ó),INS(os);DEL(o),DEL(a);N,VOC,PL
prakaituotas;prakaituotesniam;prakaituotINS(esni)aDEL(s)INS(m);INS(esni),INS(m);DEL(s);ADJ,DAT,SG,MASC,CMPR
kaukė;káukė;kDEL(a)INS(á)ukė;INS(á);DEL(a);N,NOM,SG
aliejus;aliẽjuje;aliINS(ẽ)INS(j)INS(u)INS(j)eDEL(j)DEL(u)DEL(s);INS(ẽ),INS(j),INS(u),INS(j);DEL(j),DEL(u),DEL(s);N,LOC,SG
pagoda;pagodą;pagodDEL(a)INS(ą);INS(ą);DEL(a);N,ACC,SG
aušra;aũšra;aDEL(u)INS(ũ)šra;INS(ũ);DEL(u);N,VOC,SG
apniūkti;teapniū̃ksta;INS(te)apniūINS(̃)kINS(s)tDEL(i)INS(a);INS(te),INS(̃),INS(s),INS(a);DEL(i);V,3,PL,IMP
kaina;kainose;kainDEL(a)INS(ose);INS(ose);DEL(a);N,LOC,PL
patrauklus;patrauklesnių;patrauklDEL(u)INS(e)sINS(nių);INS(e),INS(nių);DEL(u);ADJ,GEN,PL,FEM,CMPR
parlamentas;parlameñtuose;parlameDEL(n)DEL(t)DEL(a)INS(ñ)INS(t)INS(u)INS(o)sINS(e);INS(ñ),INS(t),INS(u),INS(o),INS(e);DEL(n),DEL(t),DEL(a);N,LOC,PL
haliucinuoti;haliucinuosime;haliucinuoDEL(t)INS(s)iINS(me);INS(s),INS(me);DEL(t);V,1,PL,FUT,IND
varyti;varys;varyDEL(ti)INS(s);INS(s);DEL(ti);V,3,SG,FUT,IND
išvalyti;išvalė;išvalDEL(yti)INS(ė);INS(ė);DEL(yti);V,3,SG,PST,IND
miuonininis neutrinas;miuoniniai neutrinai;miuoniniDEL(n)INS(a)iDEL(s) neutrinaDEL(s)INS(i);INS(a),INS(i);DEL(n),DEL(s),DEL(s);N,NOM,PL
smulkmeniškas;smulkmeniškoje;smulkmeniškDEL(as)INS(oje);INS(oje);DEL(as);ADJ,LOC,SG,FEM,POS
tėvas;tė́vą;tėINS(́)vDEL(as)INS(ą);INS(́),INS(ą);DEL(as);N,ACC,SG
iškalbus;iškalbiausioms;iškalbINS(ia)uINS(siom)s;INS(ia),INS(siom);;ADJ,DAT,PL,FEM,SPRL
niukti;niunkì;niuINS(n)kDEL(ti)INS(ì);INS(n),INS(ì);DEL(ti);V,2,SG,PRS,IND
angliškas;angliškų;angliškDEL(as)INS(ų);INS(ų);DEL(as);ADJ,GEN,PL,MASC,POS
varyti;varo;varDEL(yti)INS(o);INS(o);DEL(yti);V,3,PL,PRS,IND
pigus;pìgiai;pINS(ì)INS(g)INS(i)INS(a)iDEL(g)DEL(u)DEL(s);INS(ì),INS(g),INS(i),INS(a);DEL(g),DEL(u),DEL(s);ADJ,DAT,SG,FEM,POS
išlaižyti;išlaižė;išlaižDEL(yti)INS(ė);INS(ė);DEL(yti);V,3,PL,PST,IND
minkštas;minkšti;minkštDEL(as)INS(i);INS(i);DEL(as);ADJ,VOC,PL,MASC,POS
arkangelas;arkangelų;arkangelDEL(as)INS(ų);INS(ų);DEL(as);N,GEN,PL
transliteruoti;transliteruosiant;transliteruoINS(sian)tDEL(i);INS(sian);DEL(i);V,V.PTCP,ADV,FUT,ACT
paduoti;paduosite;paduoINS(si)tDEL(i)INS(e);INS(si),INS(e);DEL(i);V,2,PL,FUT,IND
sėklidė;sėklìdės;sėklDEL(i)INS(ì)dėINS(s);INS(ì),INS(s);DEL(i);N,NOM,PL
getas;gètų;gDEL(e)DEL(t)DEL(a)DEL(s)INS(è)INS(t)INS(ų);INS(è),INS(t),INS(ų);DEL(e),DEL(t),DEL(a),DEL(s);N,GEN,PL
kategorija;kategorijai;kategorijaINS(i);INS(i);;N,DAT,SG
nukeliauti;nukeliausiąs;nukeliauDEL(t)INS(s)iINS(ąs);INS(s),INS(ąs);DEL(t);V,V.PTCP,FUT,ACT
arabiškas;arabiškus;arabiškDEL(a)INS(u)s;INS(u);DEL(a);ADJ,ACC,PL,MASC,POS
žvirblis;žvìrbliais;žvDEL(i)INS(ì)rblINS(ia)is;INS(ì),INS(ia);DEL(i);N,INST,PL
nutylėti;nutylėsime;nutylėDEL(t)INS(s)iINS(me);INS(s),INS(me);DEL(t);V,1,PL,FUT,IND
ispanas;ispaną;ispanDEL(as)INS(ą);INS(ą);DEL(as);N,ACC,SG
palaukti;palauksiu;palaukDEL(t)INS(s)iINS(u);INS(s),INS(u);DEL(t);V,1,SG,FUT,IND
svastika;svãstiką;svDEL(a)INS(ã)stikDEL(a)INS(ą);INS(ã),INS(ą);DEL(a),DEL(a);N,ACC,SG
nepadorus;nepadori;nepadorDEL(us)INS(i);INS(i);DEL(us);ADJ,VOC,SG,FEM,POS
tankus;tankesnę;tankDEL(u)INS(e)sINS(nę);INS(e),INS(nę);DEL(u);ADJ,ACC,SG,FEM,CMPR
kubas;kube;kubDEL(as)INS(e);INS(e);DEL(as);N,VOC,SG
