Source;Target;Combined;Inserts;Deletes;Grammar
nǟdõ;līt nǟnõd;INS(l)INS(ī)INS(t)INS( )nǟINS(nõ)dDEL(õ);INS(l),INS(ī),INS(t),INS( ),INS(nõ);DEL(õ);V,ACT,FIN,IND,POS,FUT,PRF,PL,2
aššõ;aššõd;aššõINS(d);INS(d);;ADJ,PL,NOM
likkõ;likūb;likDEL(kõ)INS(ū)INS(b);INS(ū),INS(b);DEL(kõ);V,ACT,FIN,IND,POS,PRS,SG,3
ežmi;ežmižis;ežmiINS(ž)INS(i)INS(s);INS(ž),INS(i),INS(s);;ADJ,PL,IN+ESS
suoŗm;sūormiž;sDEL(u)DEL(o)DEL(ŗ)INS(ū)INS(o)INS(r)mINS(iž);INS(ū),INS(o),INS(r),INS(iž);DEL(u),DEL(o),DEL(ŗ);N,PL,IN+ALL
kōdõksmõz;kōdõksmõndis;kōdõksmõDEL(z)INS(ndis);INS(ndis);DEL(z);ADJ,PL,IN+ESS
likkõ;likkõksmõ;likkINS(õ)INS(k)INS(s)INS(m)õ;INS(õ),INS(k),INS(s),INS(m);;V,ACT,FIN,COND,POS,PRS,PL,1
blēḑ;blēḑõd;blēḑINS(õd);INS(õd);;ADJ,PL,NOM
vīțsõnā;vīțsõnāks;vīțsõnāINS(ks);INS(ks);;N,SG,INS
īdõkssadāz;īdõkssadāndõd;īdõkssadāDEL(z)INS(ndõd);INS(ndõd);DEL(z);ADJ,PL,GEN
kōdõkstuoistõnz;kōdõkstuoistõndõd;kōdõkstuoistõnDEL(z)INS(dõd);INS(dõd);DEL(z);ADJ,PL,GEN
mǟdlõ;um mǟdlõmõst;INS(um )mǟdlõINS(mõst);INS(um ),INS(mõst);;V,ACT,FIN,DEB,POS,PRS,SG,3
sēmḑa;sēmḑiž;sēmḑDEL(a)INS(iž);INS(iž);DEL(a);N,PL,IN+ALL
tīemizsõnā;tīemizsõņži;tīemizsõDEL(nā)INS(ņži);INS(ņži);DEL(nā);N,PL,IN+ALL
ežžõmpǟva;ežžõmpǟva;ežžõmpǟva;;;N,SG,NOM
tuoistõnz;tuoistõndõdõks;tuoistõnDEL(z)INS(dõdõks);INS(dõdõks);DEL(z);ADJ,PL,INS
nǟdõ;äd nǟ;INS(äd )nǟDEL(dõ);INS(äd );DEL(dõ);V,ACT,FIN,IND,NEG,PRS,SG,2
bōr;bōrõdõn;bōrINS(õdõn);INS(õdõn);;N,PL,DAT
joutõmläpš;joutõmläpš;joutõmläpš;;;N,SG,NOM
