Left;Right;Operation;Object;MorphFeatures;Weight
a;e>;DEL;r;V,IND,PRS,2,PL;0.0917827
a;re>;INS;e;V,COND,1,PL;0.0288317
are;>;INS;ssimo;V,SBJV,PST,1,PL;0.0287872
r;e>;INS;st;V,SBJV,PST,2,PL;0.0284636
rs;i>;INS;s;V,SBJV,PST,1,SG;0.0266257
a;si>;DEL;r;V,SBJV,PST,3,SG;0.0230882
a;e>;DEL;r;V,SBJV,PST,2,PL;0.0213981
e;>;INS;o;V,IND,PST,3,PL,PFV;0.0205459
c;e>;DEL;ar;V,IND,FUT,3,SG;0.015981
assidersi;>;INS;e;V,IND,PST,3,SG,PFV;0.00725421
embric;i>;DEL;ars;V,POS,IMP,3,SG;0.00593153
st;>;DEL;ere;V,POS,IMP,3,PL;0.00591073
ed;e>;DEL;er;V,IND,PST,1,SG,IPFV;0.00587558
t;re>;DEL;ra;V,IND,FUT,3,PL;0.00451469
est;re>;DEL;ra;V,IND,FUT,3,PL;0.00451261
spor;si>;INS;nes;V,SBJV,PST,2,SG;0.00450398
en;ersi>;INS;iat;V,SBJV,PRS,2,PL;0.00448073
issanguar;si>;INS;e;V,COND,2,SG;0.00446539
bric;i>;DEL;ars;V,POS,IMP,3,SG;0.0044628
ic;i>;DEL;ars;V,POS,IMP,3,SG;0.004457
ric;i>;DEL;ars;V,POS,IMP,3,SG;0.00445396
sist;>;DEL;ere;V,POS,IMP,3,PL;0.00444762
ist;>;DEL;ere;V,POS,IMP,3,PL;0.00443732
traved;e>;DEL;er;V,IND,PST,1,SG,IPFV;0.00442606
d;e>;DEL;er;V,IND,PST,1,SG,IPFV;0.00442206
ved;e>;DEL;er;V,IND,PST,1,SG,IPFV;0.00441348
ossigenarsi;>;INS;no;V,POS,IMP,3,PL;0.00440412
genarsi;>;INS;no;V,POS,IMP,3,PL;0.00439913
narsi;>;INS;no;V,POS,IMP,3,PL;0.00439388
i;>;INS;no;V,POS,IMP,3,PL;0.00437661
idersi;>;INS;e;V,IND,PST,3,SG,PFV;0.00435566
ssidersi;>;INS;e;V,IND,PST,3,SG,PFV;0.00434758
st;re>;DEL;ra;V,IND,FUT,3,PL;0.00302225
or;si>;INS;nes;V,SBJV,PST,2,SG;0.00301481
ratten;ersi>;INS;iat;V,SBJV,PRS,2,PL;0.00300858
ten;ersi>;INS;iat;V,SBJV,PRS,2,PL;0.00300209
guar;si>;INS;e;V,COND,2,SG;0.0029987
c;i>;DEL;ars;V,POS,IMP,3,SG;0.00298229
rsist;>;DEL;ere;V,POS,IMP,3,PL;0.00297561
persist;>;DEL;ere;V,POS,IMP,3,PL;0.00297078
ersist;>;DEL;ere;V,POS,IMP,3,PL;0.00296827
raved;e>;DEL;er;V,IND,PST,1,SG,IPFV;0.00295418
arsi;>;INS;no;V,POS,IMP,3,PL;0.00294042
ssigenarsi;>;INS;no;V,POS,IMP,3,PL;0.00293656
sidersi;>;INS;e;V,IND,PST,3,SG,PFV;0.00292353
si;>;INS;e;V,IND,PST,3,SG,PFV;0.00290722
are;>;INS;ranno;V,IND,FUT,3,PL;0.0024403
a;re>;INS;e;V,COND,3,PL;0.00243618
perform;re>;DEL;a;V,IND,FUT,1,PL;0.00211057
dissezion;>;DEL;are;V,SBJV,PRS,1,SG;0.00211012
rivelars;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00210968
ivelars;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00196902
a;>;DEL;re;V,IND,PST,1,SG,PFV;0.00185391
issezion;>;DEL;are;V,SBJV,PRS,1,SG;0.00184254
rform;re>;DEL;a;V,IND,FUT,1,PL;0.00182723
icategorizz;>;DEL;are;V,SBJV,PRS,2,SG;0.00177173
ssezion;>;DEL;are;V,SBJV,PRS,1,SG;0.00171038
velars;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00171001
disvalere;>;INS;gono;V,IND,PRS,3,PL;0.0017016
a;re>;INS;e;V,COND,1,SG;0.00169593
form;re>;DEL;a;V,IND,FUT,1,PL;0.00168411
ementarizz;>;DEL;are;V,IND,PRS,2,SG;0.00166789
imbratt;>;DEL;are;V,SBJV,PRS,1,SG;0.00159226
inscriv;e>;DEL;er;V,SBJV,PST,2,SG;0.00158823
elars;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00157629
valere;>;INS;gono;V,IND,PRS,3,PL;0.00157564
ategorizz;>;DEL;are;V,SBJV,PRS,2,SG;0.00156434
lars;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00154058
ezion;>;DEL;are;V,SBJV,PRS,1,SG;0.00154025
dest;re>;DEL;ra;V,IND,FUT,3,PL;0.00153699
ddest;re>;DEL;ra;V,IND,FUT,3,PL;0.00153552
ispor;si>;INS;nes;V,SBJV,PST,2,SG;0.00153401
por;si>;INS;nes;V,SBJV,PST,2,SG;0.00153325
edispor;si>;INS;nes;V,SBJV,PST,2,SG;0.00153169
r;si>;INS;nes;V,SBJV,PST,2,SG;0.0015309
dispor;si>;INS;nes;V,SBJV,PST,2,SG;0.00153011
tten;ersi>;INS;iat;V,SBJV,PRS,2,PL;0.0015285
n;ersi>;INS;iat;V,SBJV,PRS,2,PL;0.00152768
tratten;ersi>;INS;iat;V,SBJV,PRS,2,PL;0.00152515
ar;si>;INS;e;V,COND,2,SG;0.00152341
uar;si>;INS;e;V,COND,2,SG;0.00152252
nnervos;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.00152181
nguar;si>;INS;e;V,COND,2,SG;0.00152071
r;si>;INS;e;V,COND,2,SG;0.00151978
ssanguar;si>;INS;e;V,COND,2,SG;0.00151885
re;>;INS;ndo;V.CVB,PRS;0.00147763
nscriv;e>;DEL;er;V,SBJV,PST,2,SG;0.0014738
svalere;>;INS;gono;V,IND,PRS,3,PL;0.00147348
egorizz;>;DEL;are;V,SBJV,PRS,2,SG;0.00147283
ntarizz;>;DEL;are;V,IND,PRS,2,SG;0.0014725
inzig;re>;DEL;a;V,COND,2,PL;0.00147153
mbratt;>;DEL;are;V,SBJV,PRS,1,SG;0.00146608
abbelli;e>;DEL;r;V,SBJV,PST,3,SG;0.00145878
tegorizz;>;DEL;are;V,SBJV,PRS,2,SG;0.00145845
entarizz;>;DEL;are;V,IND,PRS,2,SG;0.00145813
slargare;>;INS;hino;V,POS,IMP,3,PL;0.00145746
ervos;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.00145713
re;>;INS;sti;V,COND,2,SG;0.0014553
a;e>;DEL;r;V,IND,PST,2,PL,PFV;0.00145337
re;>;INS;o;V,SBJV,PST,3,PL;0.00145181
a;e>;DEL;r;V.PTCP,PRS;0.00144866
orm;re>;DEL;a;V,IND,FUT,1,PL;0.00143777
elli;e>;DEL;r;V,SBJV,PST,3,SG;0.00143636
nervos;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.00142349
rm;re>;DEL;a;V,IND,FUT,1,PL;0.0013924
zion;>;DEL;are;V,SBJV,PRS,1,SG;0.00139209
scriv;e>;DEL;er;V,SBJV,PST,2,SG;0.00135577
irozz;e>;DEL;ar;V,IND,FUT,3,PL;0.00135516
belli;e>;DEL;r;V,SBJV,PST,3,SG;0.00135486
nzig;re>;DEL;a;V,COND,2,PL;0.00135396
bbelli;e>;DEL;r;V,SBJV,PST,3,SG;0.00135123
dirozz;e>;DEL;ar;V,IND,FUT,3,PL;0.00135092
criv;e>;DEL;er;V,SBJV,PST,2,SG;0.00133809
ventur;re>;DEL;a;V,COND,1,SG;0.00132793
ars;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00130266
ntur;re>;DEL;a;V,COND,1,SG;0.00124693
a;>;DEL;re;V,SBJV,PST,2,SG;0.00124604
a;>;DEL;re;V,IND,PST,1,PL,PFV;0.00124252
bratt;>;DEL;are;V,SBJV,PRS,1,SG;0.00124056
rozz;e>;DEL;ar;V,IND,FUT,3,PL;0.00124
rgare;>;INS;hino;V,POS,IMP,3,PL;0.00123918
largare;>;INS;hino;V,POS,IMP,3,PL;0.00123375
americanizz;arsi>;INS;i;V,POS,IMP,1,PL;0.0012154
s;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.00121235
m;re>;DEL;a;V,IND,FUT,1,PL;0.0011687
ion;>;DEL;are;V,SBJV,PRS,1,SG;0.00116843
rs;i>;INS;v;V,IND,PST,2,SG,IPFV;0.00116816
arizz;>;DEL;are;V,IND,PRS,2,SG;0.0011425
zig;re>;DEL;a;V,COND,2,PL;0.00114197
vos;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.00113928
argare;>;INS;hino;V,POS,IMP,3,PL;0.00113901
riv;e>;DEL;er;V,SBJV,PST,2,SG;0.00112533
lere;>;INS;gono;V,IND,PRS,3,PL;0.00112507
ozz;e>;DEL;ar;V,IND,FUT,3,PL;0.00112457
rizz;>;DEL;are;V,SBJV,PRS,2,SG;0.00112431
entur;re>;DEL;a;V,COND,1,SG;0.00111638
att;>;DEL;are;V,SBJV,PRS,1,SG;0.00108877
ricanizz;arsi>;INS;i;V,POS,IMP,1,PL;0.00104967
gersi;>;INS;ono;V,IND,PRS,3,PL;0.00104488
os;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.00104438
on;>;DEL;are;V,SBJV,PRS,1,SG;0.0010335
v;e>;DEL;er;V,SBJV,PST,2,SG;0.00103307
ere;>;INS;gono;V,IND,PRS,3,PL;0.00101091
iv;e>;DEL;er;V,SBJV,PST,2,SG;0.00101067
r;re>;DEL;a;V,COND,1,SG;0.00100914
mericanizz;arsi>;INS;i;V,POS,IMP,1,PL;0.000979678
arsi;>;INS;erebbero;V,COND,3,PL;0.000965132
arsi;>;INS;vamo;V,IND,PST,1,PL,IPFV;0.000955758
gare;>;INS;hino;V,POS,IMP,3,PL;0.000949862
