Left;Right;Operation;Object;MorphFeatures;Weight
tuoistõn;>;DEL;z;ADJ,PL,IN+ABL;0.0206027
õ;>;DEL;z;ADJ,PL,PRT;0.016017
sadāz;>;INS;ndõ;ADJ,SG,IN+ALL;0.00864594
munādkuoț;>;INS;štõ;N,SG,IN+ABL;0.00754446
unādkuoț;>;INS;štõ;N,SG,IN+ABL;0.00727615
kūdkimdõz;>;INS;ndõd;ADJ,PL,NOM;0.00703378
septembõr;>;INS;st;N,SG,IN+ABL;0.0070321
ūdkimdõz;>;INS;ndõd;ADJ,PL,NOM;0.00679507
nādkuoț;>;INS;štõ;N,SG,IN+ABL;0.006525
tū;lda>;INS;u;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.00642642
ptembõr;>;INS;st;N,SG,IN+ABL;0.0060843
dkimdõz;>;INS;ndõd;ADJ,PL,NOM;0.0060828
ādkuoț;>;INS;štõ;N,SG,IN+ABL;0.00600805
<kaffe;>;INS;dõn;N,PL,DAT;0.00600654
skimdõ;>;DEL;z;ADJ,PL,NOM;0.00600359
attõd;>;INS;iž;N,PL,IN+ALL;0.00586038
ū;lda>;INS;u;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.0058078
ištīng;>;INS;õs;N,SG,IN+ESS;0.00579733
kaffe;>;INS;dõn;N,PL,DAT;0.00566921
dkuoț;>;INS;štõ;N,SG,IN+ABL;0.00566774
tūlda;>;INS;õ;V,ACT,FIN,COND,NEG,PRS,PL,3;0.00566626
<ȭdõg;>;INS;t;N,SG,PRT;0.00566477
embõr;>;INS;st;N,SG,IN+ABL;0.00565672
kimdõ;>;DEL;z;ADJ,PL,NOM;0.00547668
kūlõ;>;INS;g;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,3;0.00545765
alli;>;INS;z;ADJ,PL,IN+ALL;0.00545618
ttõd;>;INS;iž;N,PL,IN+ALL;0.00529118
tōvaz;>;INS;ouvõdõn;N,PL,DAT;0.0052885
<lǟdõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,1;0.00528704
kūlõ;>;INS;ijid;V,ACT,FIN,QUOT,POS,PRS,PL,1;0.00528443
affe;>;INS;dõn;N,PL,DAT;0.00528296
štīng;>;INS;õs;N,SG,IN+ESS;0.00528133
lǟdõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,1;0.00527644
kuoț;>;INS;štõ;N,SG,IN+ABL;0.00511291
ōvaz;>;INS;ouvõdõn;N,PL,DAT;0.00510909
blēḑ;>;INS;iž;ADJ,PL,IN+ALL;0.00510762
<kūlõ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;0.00509331
imdõz;>;INS;ndõd;ADJ,PL,NOM;0.00509183
ūlõ;>;INS;ijid;V,ACT,FIN,QUOT,POS,PRS,PL,1;0.00501155
tuoistõnz;>;INS;dõdõks;ADJ,PL,INS;0.00494754
ūlda;>;INS;õ;V,ACT,FIN,COND,NEG,PRS,PL,3;0.00493728
ȭdõg;>;INS;t;N,SG,PRT;0.00493581
tõd;>;INS;iž;N,PL,IN+ALL;0.0048614
vȱld;>;DEL;a;V,PASS,V.PTCP;0.00476774
tīng;>;INS;õs;N,SG,IN+ESS;0.00476512
mbõr;>;INS;st;N,SG,IN+ABL;0.00476367
dõg;>;INS;t;N,SG,PRT;0.00470511
p;a>;DEL;ānd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1,LGSPEC5;0.00464963
kūlõ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;0.00459676
mdõz;>;INS;ndõd;ADJ,PL,NOM;0.00459533
lda;>;INS;õ;V,ACT,FIN,COND,NEG,PRS,PL,3;0.00455222
ūlõ;>;INS;g;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,3;0.00455078
bōr;>;INS;sõ;N,SG,IN+ESS;0.00454723
ȱld;>;DEL;a;V,PASS,V.PTCP;0.00454577
lēḑ;>;INS;iž;ADJ,PL,IN+ALL;0.00454431
mdõ;>;DEL;z;ADJ,PL,NOM;0.00454283
m;>;DEL;ȭka;N,SG,IN+ALL;0.00440773
lli;>;INS;z;ADJ,PL,IN+ALL;0.00439672
i;>;DEL;zā;N,PL,PRT;0.00435663
li;>;INS;z;ADJ,PL,IN+ALL;0.00426057
vaz;>;INS;ouvõdõn;N,PL,DAT;0.00424577
ǟdõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,1;0.00424435
dõz;>;INS;ndõd;ADJ,PL,NOM;0.00424188
k;>;DEL;ež;N,SG,IN+ESS;0.00423147
ld;>;DEL;a;V,PASS,V.PTCP;0.00412204
az;>;INS;ouvõdõn;N,PL,DAT;0.00412063
ōr;>;INS;sõ;N,SG,IN+ESS;0.00411921
t;>;DEL;ōvaz;N,SG,IN+ESS;0.00410169
ūlõ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;0.00408904
<p;a>;DEL;ānd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1,LGSPEC5;0.00408761
<i;>;DEL;zā;N,PL,PRT;0.00398879
õd;>;INS;iž;N,PL,IN+ALL;0.00398737
lõ;>;INS;g;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,3;0.00398502
lõ;>;INS;ijid;V,ACT,FIN,QUOT,POS,PRS,PL,1;0.00398359
fe;>;INS;dõn;N,PL,DAT;0.00398215
v;da>;DEL;ȱl;V,ACT,FIN,QUOT,POS,PRS,PL,3;0.00393508
da;>;INS;õ;V,ACT,FIN,COND,NEG,PRS,PL,3;0.00385119
<k;>;DEL;ež;N,SG,IN+ESS;0.00384977
ēḑ;>;INS;iž;ADJ,PL,IN+ALL;0.00384743
lõ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;0.00384417
āigast;>;INS;s;N,SG,IN+ESS;0.00374731
dõ;>;DEL;z;ADJ,PL,NOM;0.0037162
dõ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,1;0.00371478
ng;>;INS;õs;N,SG,IN+ESS;0.00371246
õr;>;INS;st;N,SG,IN+ABL;0.00371103
g;>;INS;t;N,SG,PRT;0.00364863
a;>;INS;õ;V,ACT,FIN,COND,NEG,PRS,PL,3;0.00364722
õz;>;INS;ndõd;ADJ,PL,NOM;0.003581
d;>;INS;iž;N,PL,IN+ALL;0.00353623
<;a>;DEL;tūld;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;0.00345257
e;>;INS;dõn;N,PL,DAT;0.00342224
õ;>;INS;g;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,3;0.00342087
õ;>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,SG,1;0.00341792
ǟdl;õ>;INS;t;V,PASS,V.PTCP;0.00341738
r;>;INS;sõ;N,SG,IN+ESS;0.00341653
õ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3;0.00341281
lī;õ>;DEL;d;V,ACT,FIN,DEB,POS,PRS,PL,1;0.00333825
ț;>;INS;štõ;N,SG,IN+ABL;0.00330455
i;>;INS;z;ADJ,PL,IN+ALL;0.00330318
d;>;DEL;a;V,PASS,V.PTCP;0.00330102
õ;>;DEL;z;ADJ,PL,NOM;0.00329964
ḑ;>;INS;iž;ADJ,PL,IN+ALL;0.00329824
igast;>;INS;s;N,SG,IN+ESS;0.00322619
z;>;INS;ouvõdõn;N,PL,DAT;0.00318715
g;>;INS;õs;N,SG,IN+ESS;0.003185
z;>;INS;ndõd;ADJ,PL,NOM;0.00307621
<jel;>;DEL;lõ;V,ACT,FIN,QUOT,POS,PRS,SG,2;0.00292107
gast;>;INS;s;N,SG,IN+ESS;0.0029198
adā;>;DEL;z;ADJ,SG,DAT;0.00286156
