^ < k i r k e g å r d [ N,INDF,NOM,PL ] INS(e) > $
^ < g u l d b l o m m e [ N,DEF,NOM,SG ] INS(n) > $
^ < p i n l i g h e d s f o r n e m m e l s e [ N,DEF,NOM,SG ] INS(n) > $
^ < s y d a f r i k a n e r [ N,DEF,NOM,SG ] INS(en) > $
^ < s u b k o n t i n e n t [ N,INDF,NOM,PL ] INS(er) > $
^ < d y s t e [ V.PTCP,PASS,PST ] INS(t) > $
^ < m a s s ø s e [ N,INDF,GEN,SG ] INS(s) > $
^ < a g n o s t i k e r [ N,DEF,NOM,SG ] INS(en) > $
^ < p e n i s [ N,DEF,NOM,SG ] INS(sen) > $
^ < s t u d i [ N,DEF,NOM,PL ] DEL(um) > $
^ < s t u d i u m [ N,DEF,NOM,PL ] INS(erne) > $
^ < s u s [ N,DEF,NOM,SG ] INS(et) > $
^ < k æ l [ V,ACT,IMP ] DEL(e) > $
^ < m a g [ N,DEF,NOM,PL ] INS(ern) e > $
^ < k i k s e r [ N,DEF,NOM,PL ] INS(ne) > $
^ < s m e l t e v a r m [ N,DEF,NOM,PL ] INS(ern) e > $
^ < h å n d b o l d s p i l l e r [ N,DEF,NOM,SG ] INS(en) > $
^ < b ø l g e f u n k t i o [ N,DEF,NOM,SG ] INS(ne) n > $
^ < f r e m m e d o r d [ N,INDF,GEN,SG ] INS(s) > $
^ < l i a n [ N,INDF,GEN,PL ] INS(ers) > $
^ < k r o k o d i l l e t å r e [ N,INDF,GEN,PL ] INS(rs) > $
^ < k n a l d [ N,INDF,GEN,PL ] INS(s) > $
^ < k o n s e r v e r i n g s m i d [ N,INDF,GEN,PL ] DEL(de) l > $
^ < k o n s e r v e r i n g s m i d d e l [ N,INDF,GEN,PL ] INS(ers) > $
^ < h y p n o t i s ø r [ N,INDF,GEN,SG ] INS(s) > $
^ < k o k o s o l i [ N,DEF,NOM,PL ] INS(ern) e > $
^ < b r i s e [ N,DEF,NOM,SG ] INS(n) > $
^ < d i f t o n g [ N,INDF,NOM,PL ] INS(er) > $
^ < l ø b [ N,DEF,NOM,PL ] INS(ene) > $
^ < g r u b e [ N,INDF,GEN,SG ] INS(s) > $
^ < k u l s t o f k r e d s l ø b [ N,DEF,NOM,PL ] INS(ene) > $
