^ < t e k n ő s [ N,ON+ABL,PL ] INS(ökről) > $
^ < h i d e g [ N,IN+ALL,PL ] INS(ekbe) > $
^ < e r ő s e b b [ N,IN+ESS,SG ] INS(en) > $
^ < k o r m á n y f ő [ N,DAT,PL ] INS(knek) > $
^ < b e l g [ N,IN+ALL,PL ] DEL(a) > $
^ < b e l g a [ N,IN+ALL,PL ] INS(áknál) > $
^ < m e c c s [ N,TERM,PL ] INS(ekig) > $
^ < d ü h [ N,TERM,SG ] INS(ig) > $
^ < i g é n y t e l e n [ N,INST,SG ] INS(nel) > $
^ < l e g s ö t é t e b b [ N,AT+ALL,PL ] INS(ekhez) > $
^ < l e g h a z u g a b b [ N,FRML,SG ] INS(ként) > $
^ < f ü v e s [ N,ACC,SG ] INS(et) > $
^ < s z o m b r é r ó [ N,IN+ALL,PL ] INS(kba) > $
^ < m e g í g é r [ V,COND,PRS,DEF,1,PL ] INS(nénk) > $
^ < k i n t i [ N,AT+ESS,PL ] INS(eknél) > $
^ < i m p l i k á c i ó [ N,TERM,SG ] INS(ig) > $
^ < v a k b [ N,TRANS,PL ] INS(elekk) é l > $
^ < v a k b é [ N,TRANS,PL ] DEL(l) > $
^ < r a d i o l ó g u s [ N,IN+ABL,PL ] INS(okból) > $
^ < c i n c o g [ V,IND,PST,DEF,3,SG ] INS(ta) > $
^ < a l k o h o l i s [ N,ACC,SG ] INS(tá) t a > $
^ < a l k o h o l i s t [ N,ACC,SG ] DEL(a) > $
^ < s z i v a t t y ú [ N,AT+ESS,SG ] INS(nál) > $
^ < m e g v a l ó s í t á s [ N,AT+ALL,SG ] DEL(a) > $
^ < m e g v a l ó s í t á s a [ N,AT+ALL,SG ] INS(ához) > $
^ < t é g l a h á z [ N,IN+ALL,SG ] INS(ba) > $
^ < t é r b e l i [ N,AT+ESS,SG ] INS(nél) > $
^ < e l b e s z é l [ V,SBJV,PRS,DEF,3,SG ] INS(je) > $
^ < s z e x u á l i s [ N,ON+ALL,PL ] INS(akra) > $
^ < t o l v a j n y e l v [ N,AT+ABL,SG ] INS(től) > $
^ < g o r d o n k [ N,AT+ABL,SG ] DEL(a) > $
^ < g o r d o n k a [ N,AT+ABL,SG ] INS(ától) > $
^ < g y e r e k c i p ő [ N,TRANS,PL ] INS(kké) > $
^ < k ö t é s [ N,IN+ESS,PL ] INS(ekben) > $
^ < m e g t a r t á s [ N,IN+ABL,SG ] INS(ból) > $
^ < h a m a g [ N,AT+ALL,SG ] INS(hoz) > $
^ < n e o n [ N,AT+ABL,SG ] INS(tól) > $
^ < e l s z e n v e d [ V,SBJV,PRS,INDF,2,PL ] INS(jetek) > $
^ < v á d o l ó [ N,TRANS,PL ] INS(kká) > $
^ < r o m a n t i k [ N,AT+ABL,PL ] DEL(a) > $
^ < r o m a n t i k a [ N,AT+ABL,PL ] INS(áktól) > $
^ < t e r r o r i z m u s [ N,IN+ABL,SG ] INS(ból) > $
^ < m ű k ö d t e t [ V,COND,PRS,DEF,3,PL ] INS(nék) > $
^ < z e b r [ N,ON+ESS,SG ] DEL(a) > $
^ < z e b r a [ N,ON+ESS,SG ] INS(án) > $
^ < k o z m e t i k u m [ N,TERM,SG ] INS(ig) > $
^ < k i m o n d [ V,IND,PST,DEF,3,PL ] INS(ták) > $
^ < c s o n t d a g a n a t [ N,ON+ESS,PL ] INS(okon) > $
^ < k o r e a i [ N,FRML,SG ] INS(ként) > $
^ < b o r o t v [ N,AT+ALL,PL ] DEL(a) > $
^ < b o r o t v a [ N,AT+ALL,PL ] INS(ákhoz) > $
^ < k i g ú n y o l [ V.CVB ] INS(va) > $
^ < f ö l d c s u s z a m l á s [ N,ON+ABL,SG ] INS(ból) > $
^ < h í r l a p [ N,DAT,SG ] INS(nak) > $
^ < h a g y o m á n y [ N,FRML,SG ] INS(ig) > $
^ < a n g y a l s e r e g [ N,IN+ABL,PL ] INS(ekből) > $
^ < v a l l o m á s [ N,INST,PL ] INS(okkal) > $
^ < m e c h a n i z á l [ V,IND,PST,INDF,1,SG ] INS(tam) > $
^ < s a m p o n o z [ V,SBJV,PRS,DEF,2,SG ] INS(d) > $
^ < f é n y e l e k t r o m o s [ N,AT+ESS,SG ] INS(nál) > $
^ < t á g a s [ N,PRP,PL ] INS(akért) > $
^ < d e r v i s [ N,IN+ALL,SG ] INS(be) > $
^ < c é d é [ N,AT+ALL,SG ] INS(re) > $
^ < b r o s s [ N,IN+ABL,SG ] INS(ból) > $
^ < s p o r t h í r [ N,IN+ABL,PL ] INS(ekből) > $
^ < p a n a m a k a l a p [ N,FRML,PL ] INS(okig) > $
^ < o s t y [ N,AT+ABL,SG ] DEL(a) > $
^ < o s t y a [ N,AT+ABL,SG ] INS(ától) > $
^ < v é t e [ N,ON+ABL,SG ] INS(lérő) l e > $
^ < v é t e l [ N,ON+ABL,SG ] DEL(e) > $
^ < l e g s z o r o s a b b [ N,TERM,SG ] INS(ig) > $
^ < b a s s z u s [ N,IN+ABL,PL ] INS(okból) > $
^ < s z e l í d g e s z t e n y [ N,ON+ESS,PL ] INS(ék) e > $
^ < s z e l í d g e s z t e n y e [ N,ON+ESS,PL ] INS(n) > $
^ < l e h e t ő s é g ü k [ N,AT+ABL,SG ] INS(től) > $
^ < h á t t é r z e [ N,DAT,SG ] INS(né) n e > $
^ < h á t t é r z e n e [ N,DAT,SG ] INS(k) > $
^ < h o r r o r f i l m j [ N,ON+ABL,SG ] DEL(e) > $
^ < h o r r o r f i l m j e [ N,ON+ABL,SG ] INS(éről) > $
^ < i z o t ó p [ N,NOM,PL ] INS(ok) > $
^ < s z u r o n [ N,INST,SG ] INS(n) y > $
^ < s z u r o n y [ N,INST,SG ] INS(al) > $
^ < u g r a t [ V,IND,PRS,INDF,1,SG ] INS(ok) > $
^ < k ö n y v e l ő [ N,IN+ALL,PL ] INS(kbe) > $
^ < t o t á l [ N,IN+ALL,PL ] INS(okba) > $
^ < h a j d í s z [ N,AT+ABL,PL ] INS(ektől) > $
^ < b o j t o r j á n [ N,ON+ALL,PL ] INS(okba) > $
^ < d a r w i n i z m u s [ N,AT+ABL,PL ] INS(okról) > $
^ < h ó n a p [ N,TERM,PL ] INS(okká) > $
^ < r e n d s z e r [ N,FRML,PL ] INS(ekig) > $
^ < s z a b [ V,IND,PST,DEF,2,PL ] INS(tátok) > $
^ < b a g d a d i [ N,TRANS,SG ] INS(ért) > $
^ < i n t e l l e k t u á l i s [ N,IN+ABL,PL ] INS(akból) > $
^ < f o n t [ N,IN+ABL,SG ] INS(ból) > $
^ < [ N,NOM,SG ] DEL(ka) l a p > $
^ < k a [ N,NOM,SG ] INS(singu) l a p > $
^ < k a l a [ N,NOM,SG ] DEL(p) > $
^ < k a l a p [ N,NOM,SG ] INS(r) > $
^ < k a n á r i m a d [ N,TRANS,PL ] INS(arakk) á r > $
^ < k a n á r i m a d á [ N,TRANS,PL ] DEL(r) > $
^ < t ö m j é n [ N,TRANS,SG ] INS(né) > $
^ < h a j f e s t é k [ N,TRANS,PL ] INS(ekké) > $
^ < m e g k é r [ V,COND,PRS,DEF,3,PL ] INS(nék) > $
^ < v á r t [ N,DAT,SG ] INS(nak) > $
^ < f a r [ N,IN+ESS,PL ] INS(okban) > $
^ < p r e z e n t á l [ V,IND,PST,INDF,1,SG ] INS(tam) > $
^ < l é g t é r z á r l a [ N,ACC,SG ] INS(to) t > $
^ < m e g i s m e r t e t [ V,NFIN,1,SG ] INS(nem) > $
^ < e g y k ö t e t e s [ N,TRANS,PL ] INS(ekké) > $
^ < á r u l ó [ N,IN+ESS,SG ] INS(ban) > $
^ < d r o g f o g y a s z t á s [ N,ON+ALL,PL ] INS(okra) > $
^ < v á l a s z t ó j o [ N,TERM,PL ] INS(goki) g > $
^ < t r o l i b u s z [ N,AT+ABL,SG ] INS(tól) > $
^ < f e l b o n t á s [ N,AT+ABL,PL ] INS(októl) > $
^ < o r d a s [ N,IN+ESS,PL ] INS(okban) > $
^ < l e g r o s s z a b b [ N,AT+ESS,PL ] INS(aknál) > $
^ < r i a s z t ó [ N,TRANS,SG ] INS(vá) > $
^ < b á j o s a b b [ N,IN+ABL,PL ] INS(akból) > $
^ < z s i b b a d [ V,SBJV,PRS,DEF,1,SG ] INS(jam) > $
^ < b u t [ N,NOM,PL ] DEL(a) > $
^ < b u t a [ N,NOM,PL ] INS(ák) > $
^ < r a j z o l ó [ N,AT+ABL,PL ] INS(któl) > $
^ < s z e r e n c s [ N,ON+ALL,SG ] INS(ér) e > $
^ < e g y h á z f ő [ N,NOM,PL ] INS(k) > $
^ < k i r ú g [ V,IND,PRS,INDF,2,PL ] INS(tok) > $
^ < f ö l d c s u s z a m l á s [ N,AT+ESS,SG ] INS(on) > $
^ < j e g y z ő [ N,TERM,PL ] INS(kig) > $
^ < p r o b l é m [ N,AT+ABL,SG ] DEL(a) > $
^ < p r o b l é m a [ N,AT+ABL,SG ] INS(áról) > $
^ < v é r f e r t ő z é s [ N,PRP,PL ] INS(ekért) > $
^ < h i v a t [ N,PRP,SG ] INS(all) a l > $
^ < i r o d [ N,TRANS,SG ] DEL(a) > $
^ < i r o d a [ N,TRANS,SG ] INS(ává) > $
^ < p r i v a t i z [ V,COND,PRS,INDF,2,SG ] INS(áln) á l > $
^ < h a j t ó [ N,IN+ESS,SG ] INS(ban) > $
^ < v ö r ö s b o r [ N,FRML,PL ] INS(okként) > $
^ < ó r a l a p [ N,INST,SG ] INS(pal) > $
^ < f e l e l e t [ N,AT+ESS,PL ] INS(eknél) > $
