^ < m e t t a [ V,SBJV,PST,2,SG ] INS(ðir) > $
^ < r á ð h ú s [ N,DEF,NOM,PL ] INS(in) > $
^ < e i n h y r n i n g [ N,DEF,DAT,SG ] INS(n) u r > $
^ < e i n h y r n i n g u [ N,DEF,DAT,SG ] DEL(r) > $
^ < e i n h y r n i n g u r [ N,DEF,DAT,SG ] INS(m) > $
^ < l [ N,INDF,GEN,PL ] DEL(a) g > $
^ < l a [ N,INDF,GEN,PL ] INS(ö) g > $
^ < l a g [ N,INDF,GEN,PL ] INS(um) > $
^ < ö l [ N,INDF,DAT,PL ] INS(um) > $
^ < n á h v a l [ N,DEF,GEN,PL ] DEL(ur) > $
^ < n á h v a l u r [ N,DEF,GEN,PL ] INS(anna) > $
^ < e r k i e n g [ N,DEF,GEN,PL ] DEL(il) l > $
^ < e r k i e n g i l l [ N,DEF,GEN,PL ] INS(anna) > $
^ < e t ý ð [ N,DEF,ACC,PL ] INS(urn) a > $
^ < e t ý ð a [ N,DEF,ACC,PL ] INS(r) > $
^ < f á n [ N,INDF,ACC,PL ] DEL(a) > $
^ < f á n a [ N,INDF,ACC,PL ] INS(ur) > $
^ < s l a k [ V,IND,PRS,2,PL ] DEL(a) > $
^ < s l a k a [ V,IND,PRS,2,PL ] INS(ið) > $
^ < s k a k [ V,SBJV,PRS,3,SG ] DEL(a) > $
^ < s k a k a [ V,SBJV,PRS,3,SG ] INS(i) > $
^ < f ö s t u d a g [ N,DEF,NOM,PL ] DEL(u) r > $
^ < f ö s t u d a g u [ N,DEF,NOM,PL ] INS(arni) r > $
^ < t ö l v u l e i k [ N,INDF,DAT,SG ] DEL(ur) > $
^ < k a u p [ N,DEF,ACC,PL ] INS(in) > $
^ < b r e t ó n s k [ N,DEF,ACC,SG ] INS(un) a > $
^ < h ú s [ N,INDF,GEN,SG ] INS(s) > $
^ < í r ó n í [ N,DEF,GEN,SG ] INS(unn) a > $
^ < í r ó n í a [ N,DEF,GEN,SG ] INS(r) > $
^ < k i n n [ N,INDF,ACC,PL ] INS(ar) > $
^ < d e k k a [ V,IND,PST,1,SG ] INS(ði) > $
^ < b e t r a [ V.CVB ] INS(ð) > $
^ < v ö r [ N,DEF,ACC,SG ] INS(ina) > $
^ < h e d d [ N,DEF,ACC,SG ] INS(ið) > $
^ < l æ ð [ N,INDF,NOM,PL ] DEL(a) > $
^ < l æ ð a [ N,INDF,NOM,PL ] INS(ur) > $
^ < g i r ð i n g [ N,DEF,NOM,PL ] INS(arnar) > $
^ < p e n t [ V,SBJV,PRS,2,SG ] DEL(a) > $
^ < p e n t a [ V,SBJV,PRS,2,SG ] INS(ir) > $
^ < h e t t u m á f [ N,INDF,NOM,PL ] DEL(u) r > $
^ < h e t t u m á f u [ N,INDF,NOM,PL ] INS(a) r > $
^ < s t i n g [ N,DEF,GEN,PL ] DEL(ur) > $
^ < s t i n g u r [ N,DEF,GEN,PL ] INS(janna) > $
^ < k r o p p [ V,SBJV,PST,1,PL ] DEL(a) > $
^ < k r o p p a [ V,SBJV,PST,1,PL ] INS(uðum) > $
^ < g r a n d a [ V,SBJV,PST,1,SG ] INS(ði) > $
^ < s e f a [ V,SBJV,PST,3,SG ] INS(ði) > $
^ < f r æ ð [ V,IND,PRS,1,PL ] DEL(a) > $
^ < f r æ ð a [ V,IND,PRS,1,PL ] INS(um) > $
^ < b e k k j a r f é l a g [ N,DEF,ACC,PL ] DEL(i) > $
^ < b e k k j a r f é l a g i [ N,DEF,ACC,PL ] INS(ana) > $
^ < s k í ð a s t ö k k v [ N,DEF,DAT,PL ] DEL(ari) > $
^ < s k í ð a s t ö k k v a r i [ N,DEF,DAT,PL ] INS(urunum) > $
^ < t r ú [ N,DEF,NOM,PL ] INS(rnar) > $
^ < h r í s g r j ó n [ N,DEF,GEN,PL ] INS(anna) > $
^ < g r a f a [ N,INDF,GEN,SG ] DEL(l) l > $
^ < g r a f a l l [ N,INDF,GEN,SG ] INS(s) > $
^ < h v e l l [ N,DEF,DAT,SG ] INS(in) u r > $
^ < h v e l l u [ N,DEF,DAT,SG ] DEL(r) > $
^ < h v e l l u r [ N,DEF,DAT,SG ] INS(m) > $
^ < n a f l [ N,DEF,ACC,PL ] DEL(i) > $
^ < n a f l i [ N,DEF,ACC,PL ] INS(ana) > $
^ < g l ó p [ N,INDF,NOM,PL ] DEL(u) r > $
^ < g l ó p u [ N,INDF,NOM,PL ] INS(a) r > $
^ < k r i m m [ N,DEF,ACC,PL ] DEL(i) > $
^ < k r i m m i [ N,DEF,ACC,PL ] INS(ana) > $
^ < s k e r ð [ V,SBJV,PRS,2,SG ] DEL(a) > $
^ < s k e r ð a [ V,SBJV,PRS,2,SG ] INS(ir) > $
^ < n [ V,SBJV,PST,1,SG ] DEL(jóta) > $
^ < n j ó t a [ V,SBJV,PST,1,SG ] INS(yti) > $
^ < s æ s k r í m s l i [ N,DEF,ACC,SG ] INS(ð) > $
^ < a ð g a n g [ N,INDF,DAT,SG ] DEL(ur) > $
^ < a ð g a n g u r [ N,INDF,DAT,SG ] INS(i) > $
^ < t í n [ V,IND,PST,2,PL ] DEL(a) > $
