Object,1,2,3,ACC,ACT,ADJ,ANIM,COND,DAT,ESS,FEM,FORM,GEN,IMP,INAN,IND,INS,MASC,N,NEUT,NOM,PASS,PL,PRF,PRS,PST,SG,V,V.CVB,V.PTCP,VOC
DEL(a),-,-,-,X,-,-,-,-,X,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,-,-,X,-,-,-,X
DEL(at),X,X,-,-,-,-,-,-,-,-,X,-,-,-,X,X,-,X,-,X,-,X,X,-,X,X,X,X,X,X,-
DEL(e),-,-,-,X,-,-,-,-,X,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,-,-,X,-,-,-,X
DEL(i),-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,X,-,-,X,-,-,-
DEL(k),-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X
DEL(m),-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
DEL(o),-,-,-,X,-,-,-,-,X,X,-,-,X,-,-,-,X,-,X,-,-,-,X,-,-,-,X,-,-,-,-
DEL(ovat),X,X,X,-,-,-,-,-,-,-,X,-,-,X,-,X,-,X,-,-,-,-,X,-,X,X,X,X,X,X,-
DEL(r),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X
DEL(s),-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
DEL(t),X,X,X,-,X,-,X,X,-,-,X,X,-,X,X,X,-,X,-,X,-,X,X,X,X,X,X,X,X,X,-
DEL(u),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-
DEL(á),-,X,-,-,-,X,-,-,X,-,-,X,X,-,-,X,-,X,-,X,-,-,-,-,-,X,X,X,-,-,-
DEL(ý),-,X,-,X,-,X,X,X,X,X,X,X,X,-,-,-,-,X,-,X,X,-,X,-,X,-,X,X,-,-,X
DEL(ě),-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,X,-,-,-,X,-,-,-,X,-,-,-,-
DEL(ň),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-
DEL(ť),-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,-,X
INS(a),-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,-,-
INS(al),-,-,X,-,X,-,-,-,-,-,X,-,-,-,-,X,-,-,-,X,-,-,X,X,-,X,X,X,-,X,-
INS(ch),-,-,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-
INS(e),-,-,-,X,-,-,-,-,-,X,-,-,X,-,-,-,X,-,X,-,X,-,X,-,-,-,X,-,-,-,X
INS(em),-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,X,-,-,-,X,-,-,-,X,-,-,-,-
INS(i),-,-,-,X,-,-,-,-,X,X,-,-,X,-,-,-,-,-,X,-,X,-,X,-,-,-,X,-,-,-,X
INS(l),-,-,X,-,X,-,-,-,-,-,X,-,-,-,-,X,-,X,-,X,-,-,-,X,-,X,X,X,-,X,-
