Object,ACT,DEF,GEN,IMP,IND,INDF,N,NOM,PASS,PL,PRS,PST,SG,V,V.PTCP
DEL(a),-,X,X,-,-,X,X,X,-,X,-,-,-,-,-
DEL(e),X,X,X,X,-,X,X,X,-,X,-,-,X,X,-
DEL(l),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
DEL(o),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
DEL(r),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
DEL(å),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
INS('),-,-,X,-,-,X,X,-,-,X,-,-,X,-,-
INS(e),-,-,-,-,-,X,X,X,-,X,-,-,-,-,-
INS(en),-,X,-,-,-,-,X,X,-,-,-,-,X,-,-
INS(ene),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
INS(er),-,-,-,-,-,X,X,X,-,X,-,-,-,-,-
INS(ern),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
INS(erne),-,X,-,-,-,-,X,X,-,X,-,-,-,-,-
INS(ers),-,-,X,-,-,X,X,-,-,X,-,-,-,-,-
INS(es),-,-,X,-,-,X,X,-,-,X,-,-,-,-,-
INS(et),-,X,-,-,-,-,X,X,-,-,-,-,X,-,-
INS(n),-,X,-,-,-,-,X,X,-,-,-,-,X,-,-
INS(ne),-,X,-,-,-,-,X,X,-,X,-,-,X,-,-
INS(r),X,-,-,-,X,X,X,X,-,X,X,-,-,X,-
INS(rs),-,-,X,-,-,X,X,-,-,X,-,-,-,-,-
INS(s),-,-,X,-,X,X,X,-,X,X,X,-,X,X,-
INS(t),-,X,-,-,-,-,X,X,X,-,-,X,X,-,X
