Object,1,2,3,ACC,ACT,AT+ABL,AT+ALL,AT+ESS,COM,COND,FRML,GEN,IMP,IN+ABL,IN+ALL,IN+ESS,IND,N,NEG,NOM,PASS,PL,POS,PRF,PRF:POS,PRIV,PRS,PRT,PST,QUOT,SG,TERM,TRANS,V,V.PTCP
DEL(a),X,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,X,X,X,-,-,X,X,-,-,-,X,X,X,-,X,-,X,X,-
DEL(am),X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,X,-,X,X,X,X,X,-,X,-,X,X,X,-,-,X,X
DEL(d),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-
DEL(e),-,-,-,X,-,X,-,X,X,-,X,-,-,X,-,X,-,X,-,-,-,X,-,-,-,-,-,X,-,-,X,X,X,-,-
DEL(i),-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-
DEL(m),X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,X,-,X,X,X,-,-,-,X,-,-,X,X,-,-,X,X
DEL(ma),X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,X,-,X,X,X,X,X,-,X,-,X,X,X,-,-,X,X
DEL(n),-,-,-,X,-,X,X,X,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,X,-,-,-,-,X,-,X,-,-
DEL(r),-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-,-,-,X,-,-,-,X,-,-,-,-,X,-,-,-,-
DEL(s),-,-,-,-,-,X,X,X,X,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,-,-,X,X,-,-,-
DEL(u),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-
INS(a),-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
INS(b),-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-
INS(d),-,X,-,X,X,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,X,X,-,-,-,X,X,-,-,X,-,-,X,-
INS(de),-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
INS(e),X,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-,X,X,-,-,-,X,X,-,-,-,X,X,-,-,X,-,-,X,-
INS(ei ),-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-
INS(g),X,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,-,-,X,-
INS(gu),-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,X,-,-,X,-
INS(i),-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,X,-,-,X,-,-,-,-
INS(id),-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-
INS(ks),-,-,X,-,X,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,X,-,-,-,X,-,X,X,-
INS(l),-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
INS(n),X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-
INS(nud),-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X
INS(s),-,-,X,X,X,-,-,-,-,-,-,X,-,-,X,X,X,X,-,-,-,-,X,-,-,-,-,-,X,-,X,-,-,X,-
INS(sid),-,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,X,-,-,-,-,-,X,-,X,-,-,X,-
INS(st),-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-
INS(t),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,-,-,X,X,-,X,X,-,-,X,-
INS(te),-,X,-,-,X,-,-,-,-,-,-,X,-,-,-,X,X,X,-,-,-,X,X,-,-,-,X,-,-,-,-,-,-,X,-
INS(tud),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,X
INS(u),-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
INS(v),-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X
INS(ära ),-,X,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,X,-,-,X,-
