Object,1,2,3,ACC,DAT,DEF,GEN,IMP,IND,INDF,N,NOM,PL,PRS,PST,SBJV,SG,V,V.CVB
DEL(a),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
DEL(i),-,-,-,X,X,X,X,-,-,X,X,X,X,-,-,-,X,-,-
DEL(ja),X,X,X,-,-,-,-,-,X,-,-,-,X,X,X,X,X,X,X
DEL(l),-,-,-,X,-,X,X,-,-,X,X,X,X,-,-,-,X,-,-
DEL(n),-,-,-,-,X,-,-,-,-,X,X,-,X,-,-,-,-,-,-
DEL(r),-,-,-,X,X,X,-,-,-,X,X,-,X,-,-,-,X,-,-
DEL(u),-,-,-,-,X,X,X,-,-,X,X,X,X,-,-,-,X,-,-
DEL(ur),-,-,-,X,X,X,X,-,-,X,X,X,X,-,-,-,X,-,-
DEL(ö),-,-,-,X,-,X,X,-,-,X,X,-,X,-,-,-,X,-,-
INS(a),-,-,-,X,X,X,X,-,-,X,X,X,X,-,-,-,X,-,-
INS(ana),-,-,-,X,X,X,-,-,-,-,X,-,X,-,-,-,-,-,-
INS(anna),-,-,-,-,-,X,X,-,-,-,X,-,X,-,-,-,-,-,-
INS(ar),-,-,-,-,-,-,X,-,-,X,X,X,X,-,-,-,X,-,-
INS(i),X,X,X,X,X,-,-,X,X,X,X,X,X,X,X,X,X,X,-
INS(in),-,-,-,X,-,X,-,-,-,-,X,X,X,-,-,-,X,-,-
INS(ina),-,-,-,X,-,X,-,-,-,-,X,-,X,-,-,-,X,-,-
INS(inn),-,-,-,X,X,X,-,-,-,-,X,X,-,-,-,-,X,-,-
INS(ir),-,X,-,X,-,-,-,-,X,X,X,X,X,X,X,X,X,X,-
INS(ið),-,X,-,X,-,X,-,X,X,-,X,X,X,X,-,X,X,X,-
INS(m),-,-,-,-,X,-,-,-,-,X,X,-,X,-,-,-,X,-,-
INS(n),-,-,-,X,-,X,-,-,-,-,X,X,X,-,-,-,X,-,-
INS(r),-,X,X,-,-,-,-,-,X,-,-,-,-,X,X,-,X,X,-
INS(s),-,-,-,-,-,-,X,-,-,X,X,-,-,-,-,-,X,-,-
INS(sins),-,-,-,-,-,X,X,-,-,-,X,-,-,-,-,-,X,-,-
INS(t),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X
INS(u),-,-,X,X,X,-,X,-,X,X,X,-,X,-,X,-,X,X,-
INS(um),X,-,-,-,X,-,-,-,X,X,X,-,X,X,-,X,X,X,-
INS(unum),-,-,-,-,X,X,-,-,-,-,X,-,X,-,-,-,-,-,-
INS(ð),-,-,-,X,-,X,-,-,-,-,X,X,-,-,-,-,X,-,X
INS(ði),X,X,X,-,-,X,-,-,X,-,X,X,X,X,X,X,X,X,-
INS(ö),-,-,-,X,-,-,-,-,-,X,X,X,X,-,-,-,-,-,-
