Object,1,2,2:SG,3,ADJ,AUTO,COND,DAT,DEF,FEM,FUT,GEN,HAB,IMP,IND,N,NOM,NOM+VOC,PL,PRS,PST,REL,SBJV,SG,V,V.MSDR,V.PTCP,VOC
DEL(a),-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,X
DEL(c),-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,X
DEL(e),-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,-
DEL(ea),-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,X
DEL(g),X,X,-,X,-,-,X,-,-,-,X,-,X,-,X,X,-,-,X,X,X,-,X,X,X,-,X,X
DEL(gh),X,-,X,X,-,-,-,-,-,-,X,-,X,X,X,-,-,-,X,X,X,-,X,-,X,-,-,-
DEL(i),X,X,X,X,-,X,X,X,X,-,-,X,X,X,X,X,X,-,X,X,X,-,X,X,X,X,-,-
DEL(ig),-,-,-,X,-,X,X,-,-,-,-,-,X,X,X,-,-,-,-,-,X,X,X,X,X,-,-,-
DEL(igh),X,X,X,X,-,X,X,-,-,-,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,-,-,-
DEL(m),-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,X,-,-,-
DEL(á),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,X
DEL(í),-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,X
DEL(ú),-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,-
INS(a ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,X,X,-,X,X,-,-,X
INS(a),-,-,-,-,X,-,-,X,X,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,X
INS(an ),-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-
INS(anna),-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,X
INS(aí),-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
INS(e),-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(h),-,-,-,-,X,-,-,X,-,X,-,X,-,-,-,X,-,X,-,-,-,-,-,X,-,-,-,-
INS(i),-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,-
INS(ig),-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,X,-,-,-,-
INS(leis an ),-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(n),-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
INS(o),-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
INS(t),-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,X,-,-,-,-
INS(í),-,-,-,-,X,-,-,X,-,X,-,X,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,-
INS(ím),X,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,X,-,-,-,X,X,-,-,-
