Object, PL,1,2,3,ABL,ACC,ADJ,DAT,FEM,FUT,GEN,IMP,IND,IND:PASS,IPFV,MASC,MASC/FEM,N,NEUT,NFIN,NOM,PASS,PASS:PRS,PFV,PL,PRF,PRS,PST,SBJV,SG,V,V.PTCP,VOC
DEL(a),-,-,-,-,X,X,X,X,-,-,X,-,-,-,-,X,X,X,-,-,X,-,-,-,X,-,-,-,-,X,-,-,X
DEL(atus),-,-,-,-,X,-,X,X,X,-,X,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,-,X,-,-,X
DEL(c),-,-,-,X,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-
DEL(e),-,X,-,X,-,X,X,X,X,X,X,X,X,-,-,-,-,X,X,-,X,X,-,-,X,-,X,-,-,X,X,-,X
DEL(i),-,-,-,X,-,X,X,-,-,X,-,X,-,-,-,-,X,X,-,-,X,X,-,-,X,-,-,-,-,X,X,-,X
DEL(o),-,X,X,X,X,X,X,X,-,X,-,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
DEL(osu),-,-,-,-,X,X,X,-,X,-,X,-,-,-,-,X,-,-,X,-,X,-,-,-,X,-,-,-,-,X,-,-,X
DEL(r),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-
DEL(s),-,-,-,-,-,X,X,X,X,-,X,-,-,-,-,X,-,X,X,-,X,-,-,-,X,-,-,-,-,X,-,-,X
DEL(u),-,-,-,X,X,X,X,X,X,X,-,X,-,-,-,X,-,X,X,-,X,X,-,-,X,-,-,-,-,X,X,-,-
DEL(um),-,-,-,-,X,X,-,X,-,-,X,-,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,X,-,-,X
DEL(us),-,-,-,-,X,X,X,X,X,-,X,-,-,-,-,X,-,X,X,-,X,-,-,-,X,-,-,-,-,X,-,-,X
DEL(y),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-
INS(a),-,-,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,X,X,-,X,-,-,-,X,-,-,-,-,X,-,-,X
INS(ae),-,-,-,-,-,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,X,-,-,X
INS(e),-,-,-,X,-,X,X,X,-,-,X,X,-,-,-,X,-,X,X,-,X,-,-,-,X,-,X,-,-,X,X,-,X
INS(m),-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,X,X,-,X,-,-,-,-,-,-,-,-,X,-,-,X
INS(r),-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,X,-,-
INS(ā),-,-,-,X,X,X,X,-,X,-,-,X,-,-,-,X,X,X,-,-,X,-,-,-,X,-,X,-,-,X,X,-,X
INS(ātō),-,-,-,X,X,X,X,X,X,X,-,X,-,-,-,X,-,-,X,-,-,-,-,-,X,-,-,-,-,X,X,-,-
INS(ē),-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,X,X,-,-,X,-,-,-,X,-,-,-,-,X,-,-,X
INS(ī),-,-,-,-,X,-,X,X,-,-,X,-,-,-,-,X,X,X,X,-,X,-,-,-,X,-,-,-,-,X,-,-,X
INS(īs),X,-,-,-,X,-,X,X,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-
INS(ō),-,X,-,-,X,X,X,X,X,-,-,-,X,-,-,X,-,X,X,-,X,-,-,-,X,-,X,-,-,X,X,-,X
INS(ōnēs),-,-,X,-,-,X,-,-,-,X,-,-,X,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,X,X,-,-
INS(ōr),-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-
INS(ū),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-
INS(ȳ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-
