Object,1,2,3,ACC,ACT,ADJ,ADV,CMPR,DAT,FEM,FREQ,FUT,GEN,IMP,IND,INST,LGSPEC2,LGSPEC3,LOC,MASC,N,NOM,PASS,PL,POS,PRS,PST,SBJV,SG,SPRL,V,V.PTCP,VOC
DEL(a),-,-,-,X,-,X,-,X,X,X,-,-,X,-,-,X,-,-,X,X,X,X,-,X,X,-,-,-,X,-,-,-,X
DEL(as),-,-,-,X,-,X,-,-,X,X,-,-,X,-,-,X,-,-,X,X,X,X,-,X,X,-,-,-,X,-,-,-,X
DEL(e),-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,X,-,X,-,-,-,-,X,-,-,-,-
DEL(i),X,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,-,X,X,-,X,X,X,X,X,X,X,X,X,-,X,X,-
DEL(is),-,-,-,X,-,X,-,-,-,X,-,-,-,-,-,X,-,-,X,-,X,X,-,-,X,-,-,-,X,-,-,-,X
DEL(n),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-
DEL(o),-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,X
DEL(s),-,-,-,-,-,X,-,X,X,X,-,-,X,-,-,X,-,-,X,X,X,X,-,X,X,-,-,-,X,-,-,-,X
DEL(t),X,X,X,-,X,X,-,-,X,X,X,X,X,X,X,X,-,-,X,X,-,-,X,X,-,X,X,X,X,X,X,X,-
DEL(ti),X,X,X,-,X,-,X,-,-,-,X,X,-,X,X,-,X,-,-,-,-,-,-,X,-,X,X,-,X,-,X,X,-
DEL(u),-,-,-,X,-,X,-,X,X,X,-,-,X,-,-,X,-,-,X,X,X,X,-,X,X,-,-,-,X,-,-,-,X
DEL(y),-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,X,-,X,X,-,X,-,-,-,-,X,-,-,-,X
DEL(yti),X,X,X,-,X,-,-,-,-,-,-,X,-,X,X,-,-,-,-,-,-,-,X,X,-,X,X,X,X,-,X,X,-
DEL(ė),-,-,-,X,-,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,X,-,-,X,-,-,-,-,X,-,-,-,X
DEL(ū),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-
INS(a),-,X,X,-,-,X,-,-,-,-,-,-,X,-,X,-,-,-,-,X,-,-,-,X,X,X,-,-,X,-,X,-,-
INS(davo),-,-,X,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,X,-,-
INS(davome),X,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,X,-,-
INS(davęs),-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,X,-
INS(e),-,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,X,X,-,X,-,-,X,X,X,X,-,X,-,X,X,X
INS(i),-,-,-,-,-,X,-,-,X,X,-,-,-,-,-,X,-,-,-,X,X,X,-,X,X,-,-,-,X,-,-,-,X
INS(ia),-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,X,X,-,-,-,X,-,-,-,X
INS(j),-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,-
INS(k),-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-
INS(m),-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
INS(me),X,-,-,-,-,X,-,-,-,-,-,X,-,-,X,-,-,-,X,X,-,-,-,X,X,-,-,-,X,-,X,-,-
INS(o),-,-,X,-,-,X,-,-,-,X,-,-,X,-,X,-,-,-,-,X,X,X,-,X,X,X,X,-,X,-,X,-,X
INS(os),-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,X,-,-,-,-,X,-,-,-,-
INS(s),-,X,X,-,-,-,-,-,-,-,-,X,X,-,X,-,-,-,-,-,X,X,-,X,-,-,-,-,X,-,X,-,X
INS(te),-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,-
INS(u),X,-,-,X,-,X,-,-,-,-,-,-,-,-,X,X,-,-,-,X,X,-,-,X,X,X,-,-,X,-,X,-,-
INS(ui),-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(y),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,-,-,-,-,-,-,-,-
INS(à),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-
INS(á),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-
INS(ã),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,X
INS(è),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(ì),-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,X,-,X,X,-,-,-,X,-,-,-,X
INS(ò),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(ó),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-
INS(õ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,X
INS(ù),X,-,-,X,-,X,-,-,-,-,-,-,-,-,X,X,-,-,-,X,X,X,-,X,X,X,-,-,X,-,X,-,X
INS(ą),-,-,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,X,X,-,-,-,X,-,-,-,X,-,-,-,-
INS(ąs),-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,X,-
INS(ė),-,-,X,-,-,X,-,-,-,X,-,-,X,-,X,-,-,-,-,-,-,X,-,X,X,-,X,-,X,-,X,-,X
INS(ę),-,-,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-
INS(ĩ),-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,X,X,X,-,X,X,-,-,-,X,-,-,-,X
INS(į),-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(ū),-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,X,-,-,-,-,-,-,-,X
INS(ų),-,-,X,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,X,X,-,-,X,X,-,-,X,X,-,X,-,-
INS(́),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,X
INS(̃),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,-
INS(ẽ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,X
INS(ỹ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,X,-,-,-,X
