Object,1,2,3,ACT,ADJ,DAT,FIN,GEN,IN+ABL,IN+ALL,IN+ESS,IND,INS,LGSPEC1,LGSPEC4,N,NEG,NOM,PL,POS,PRS,PRT,SG,V
DEL(d),-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X
DEL(e),-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,-,-
DEL(i),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,-,-
DEL(z),-,-,-,-,X,X,-,X,X,-,X,-,X,-,-,X,-,-,X,-,-,X,X,-
DEL(õ),X,X,-,X,-,-,X,-,-,-,-,X,-,X,-,-,X,-,X,-,X,-,X,X
DEL(ā),-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,X,-,-,-,-,-
INS(d),-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,X,-,X,X,-,-,-,X,-
INS(n),-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-
INS(s),-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,X,-
INS(t),-,X,X,X,-,-,X,X,-,-,-,X,-,-,-,X,-,-,X,X,X,-,-,X
INS(õ),-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,X,X,-
