Key;Item
XFBCC89B1C179479782337C182EE3F5CC;{"operation": "INS", "operation_object": "ad"}
X5A873A68920345D8A2E2E2DB1A7C1140;{"operation": "INS", "operation_object": "\u00e9ramos"}
XBE9D7EAB2E2D4918800A4873C6BF78BE;{"operation": "INS", "operation_object": "sque"}
XB341F498223A46BB85C5F9EC70E06FC3;{"operation": "INS", "operation_object": "ga"}
X26E9E17A7177402E86DFB778B859AA08;{"operation": "DEL", "operation_object": "dir"}
X38D63BCD7F084860B20A55C711610CE2;{"operation": "INS", "operation_object": "\u00edo"}
X5E84BF65671E4AD2AD23B58709A48EA8;{"operation": "INS", "operation_object": "en"}
XC1DA4D6980DD402AB0D77FF0DAD00861;{"operation": "INS", "operation_object": "i"}
X18E7554539154DE5A7A32142A4857B62;{"operation": "INS", "operation_object": "er"}
X200F9F485F954BBEBC08C5FFA6A9EE10;{"operation": "INS", "operation_object": "ienc"}
X8FC8C4B1485242FEB5B7BEF4E1A1F1D5;{"operation": "INS", "operation_object": "uan"}
X78CB606C6372462189F2E8C8A5446E9A;{"operation": "INS", "operation_object": "\u00e9"}
X0D91D7005F144CB3947CFEDCF953FCC9;{"operation": "DEL", "operation_object": "ene"}
XA7C7486D875D49189950544AA3BB9A74;{"operation": "INS", "operation_object": "\u00e1u"}
XE09C990500014DDEA3C9A57732267D04;{"operation": "INS", "operation_object": "aig"}
XE43DC7B0F2AE45F6A94D4E248E6567E9;{"operation": "INS", "operation_object": "\u00eds"}
X1E2491C48A0742799BB60995E408A746;{"operation": "INS", "operation_object": "zo"}
X79DA142D4A3C41EDBF2CA37B40CCAAC6;{"operation": "INS", "operation_object": "i\u00f3"}
X4AFFD7F912B84EB38753A74213832A65;{"operation": "INS", "operation_object": "\u00edbamos"}
X7E21F8AA43E1475A922C606E5A75540E;{"operation": "INS", "operation_object": "\u00e1remos"}
XA85809939E674F91A7998E51323AA729;{"operation": "INS", "operation_object": "vayas"}
XA276FA4B037E4AE5A6826F8B7AB71506;{"operation": "INS", "operation_object": "\u00edes"}
X14015CEFF0E541C7B4988530D3ADE31F;{"operation": "INS", "operation_object": "yendo"}
