Left,Right,Operation,Object
ar,>,INS,a
lar,>,INS,ba
ar,>,INS,ba
ilar,>,INS,a
r,>,INS,ba
lar,>,INS,a
r,>,INS,a
ilar,>,INS,ba
lar,>,INS,í
xelar,>,INS,mos
r,>,INS,a
lar,>,INS,ía
r,>,INS,s
r,>,INS,mos
ar,>,INS,a
<xelar,>,INS,mos
elar,>,INS,o
<xelar,>,INS,a
xelar,>,INS,a
<xelar,>,INS,os
r,>,INS,o
lar,>,INS,amos
elar,>,INS,a
lar,>,INS,o
ar,>,INS,os
lar,>,INS,os
ar,>,INS,mos
ar,>,INS,íamos
ar,>,INS,í
xelar,>,INS,os
ar,>,INS,amos
elar,>,INS,s
xelar,>,INS,o
lar,>,INS,a
xelar,>,INS,s
<xelar,>,INS,s
lar,>,INS,s
lar,>,INS,mos
<xelar,>,INS,o
r,>,INS,í
r,>,INS,os
r,>,INS,íamos
ar,>,INS,o
lar,>,INS,íamos
ar,>,INS,ía
elar,>,INS,mos
ar,>,INS,s
r,>,INS,amos
r,>,INS,ía
elar,>,INS,os
icar,>,INS,en
r,>,INS,que
ar,>,INS,que
car,>,INS,ue
gnificar,>,INS,e
icar,>,INS,que
car,>,INS,uen
icar,>,INS,e
icar,>,INS,ue
car,>,INS,en
r,>,INS,ue
r,>,INS,quen
<significar,>,INS,e
r,>,INS,en
car,>,INS,e
ficar,>,INS,que
car,>,INS,n
car,>,INS,quen
r,>,INS,uen
ificar,>,INS,que
ar,>,INS,quen
ar,>,INS,e
r,>,INS,n
ar,>,INS,n
ficar,>,INS,e
icar,>,INS,n
nificar,>,INS,e
ificar,>,INS,ue
ar,>,INS,ue
ignificar,>,INS,e
r,>,INS,e
ar,>,INS,en
ar,>,INS,uen
ficar,>,INS,n
significar,>,INS,e
car,>,INS,que
ificar,>,INS,e
ficar,>,INS,ue
ificar,>,INS,n
r,>,INS,mos
sellar,>,INS,s
lar,>,INS,mos
ar,>,INS,áramos
r,>,INS,á
lar,>,INS,s
sellar,>,INS,o
<sellar,>,INS,o
<sellar,>,INS,s
ar,>,INS,a
lar,>,INS,ramos
lar,>,INS,áramos
<sellar,>,INS,a
ar,>,INS,mos
ellar,>,INS,amos
r,>,INS,ramos
ar,>,INS,amos
lar,>,INS,o
ar,>,INS,á
r,>,INS,s
ellar,>,INS,o
ellar,>,INS,s
llar,>,INS,s
r,>,INS,amos
ellar,>,INS,mos
llar,>,INS,a
ellar,>,INS,á
llar,>,INS,á
lar,>,INS,amos
ellar,>,INS,os
llar,>,INS,mos
sellar,>,INS,a
llar,>,INS,os
llar,>,INS,o
r,>,INS,áramos
<sellar,>,INS,os
llar,>,INS,amos
lar,>,INS,os
ellar,>,INS,a
sellar,>,INS,os
ar,>,INS,os
ar,>,INS,o
lar,>,INS,a
ar,>,INS,ramos
r,>,INS,o
r,>,INS,a
r,>,INS,os
lar,>,INS,á
ar,>,INS,s
r,>,INS,o
ar,>,INS,s
vitar,>,INS,o
ar,>,INS,os
r,>,INS,ía
tar,>,INS,í
ar,>,INS,íamos
tar,>,INS,s
ar,>,INS,a
evitar,>,INS,a
vitar,>,INS,a
itar,>,INS,s
vitar,>,INS,s
tar,>,INS,a
<evitar,>,INS,a
ar,>,INS,mos
ar,>,INS,ía
tar,>,INS,amos
itar,>,INS,o
itar,>,INS,os
r,>,INS,í
r,>,INS,amos
ar,>,INS,í
itar,>,INS,ía
r,>,INS,os
tar,>,INS,ía
ar,>,INS,amos
r,>,INS,íamos
r,>,INS,s
itar,>,INS,amos
r,>,INS,a
<evitar,>,INS,s
tar,>,INS,o
vitar,>,INS,mos
tar,>,INS,os
vitar,>,INS,os
evitar,>,INS,s
ar,>,INS,o
itar,>,INS,a
itar,>,INS,mos
r,>,INS,mos
tar,>,INS,mos
itar,>,INS,í
tar,>,INS,íamos
itar,>,INS,íamos
rar,>,INS,stis
rar,>,INS,ti
r,>,INS,stis
esaverar,>,INS,s
ar,>,INS,tis
averar,>,INS,i
r,>,INS,tis
rar,>,INS,tis
erar,>,INS,sti
erar,>,INS,ti
ar,>,INS,i
saverar,>,INS,s
erar,>,INS,s
ar,>,INS,ti
erar,>,INS,tis
r,>,INS,s
r,>,INS,i
r,>,INS,ti
rar,>,INS,s
rar,>,INS,sti
r,>,INS,sti
erar,>,INS,stis
<desaverar,>,INS,s
rar,>,INS,i
erar,>,INS,i
desaverar,>,INS,s
verar,>,INS,i
ar,>,INS,stis
ar,>,INS,s
averar,>,INS,s
ar,>,INS,sti
verar,>,INS,s
eliminar,>,INS,e
nar,>,INS,e
minar,>,INS,e
liminar,>,INS,e
ar,>,INS,e
r,>,INS,e
iminar,>,INS,e
inar,>,INS,e
<eliminar,>,INS,e
ar,>,INS,é
ñar,>,INS,é
r,>,INS,é
har,>,INS,é
char,>,INS,é
ar,>,INS,é
r,>,INS,é
ar,>,INS,ai
ar,>,INS,s
trabayar,>,INS,s
r,>,INS,i
bayar,>,INS,s
abayar,>,INS,s
ar,>,INS,ais
rabayar,>,INS,a
r,>,INS,s
yar,>,INS,i
bayar,>,INS,i
abayar,>,INS,i
ayar,>,INS,s
yar,>,INS,a
r,>,INS,ais
rabayar,>,INS,s
r,>,INS,a
trabayar,>,INS,i
yar,>,INS,ai
<trabayar,>,INS,s
bayar,>,INS,a
abayar,>,INS,a
rabayar,>,INS,i
trabayar,>,INS,a
ar,>,INS,a
yar,>,INS,s
yar,>,INS,ais
<trabayar,>,INS,i
<trabayar,>,INS,a
ayar,>,INS,i
ayar,>,INS,a
ar,>,INS,i
r,>,INS,ai
poyar,>,INS,o
oyar,>,INS,o
ar,>,INS,o
r,>,INS,o
<apoyar,>,INS,o
apoyar,>,INS,o
yar,>,INS,o
<clonar,>,INS,e
r,>,INS,e
lonar,>,INS,e
onar,>,INS,e
clonar,>,INS,e
ar,>,INS,e
nar,>,INS,e
ortar,>,INS,e
ar,>,INS,s
r,>,INS,e
r,>,INS,s
tar,>,INS,es
rtar,>,INS,es
ar,>,INS,e
portar,>,INS,e
r,>,INS,es
portar,>,INS,s
tar,>,INS,s
rtar,>,INS,s
ortar,>,INS,es
ar,>,INS,es
<portar,>,INS,s
tar,>,INS,e
rtar,>,INS,e
<portar,>,INS,e
