Key;Item
X1D82C0A963CF4E39BC17681F3C54C0F6;{"word": "<xubilar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "ab", "_hash": 7333017021254345627}, 5], [{"operation": "DEL", "operation_object": "r", "_hash": -5467377470045857386}, 13]]}
X93C10294703F4D38888258E02BF2ED96;{"word": "<xelar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00edamos", "_hash": -1525363018373356230}, 5]]}
X53677CA6FD6B4A5BB36179D0B09133D4;{"word": "<significar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "quen", "_hash": 5685698361659652949}, 15], [{"operation": "DEL", "operation_object": "car", "_hash": 6729803833250839320}, 7]]}
X28086EB8CB2B49028736E8345484A05B;{"word": "<sellar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00e1", "_hash": 5792803627272695852}, 10], [{"operation": "INS", "operation_object": "amos", "_hash": -3119235256464940819}, 17], [{"operation": "DEL", "operation_object": "a", "_hash": -7745019535046469225}, 4]]}
X3AD28A0211874A3199E45873235FC986;{"word": "<evitar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00edamos", "_hash": -1525363018373356230}, 6]]}
XD25A08091C2945FBADB7F4C2D14844D9;{"word": "<abolir>", "objects_and_positions": [[{"operation": "DEL", "operation_object": "r", "_hash": -5467377470045857386}, 5]]}
XD36242B90731484A963EA3F51E2F54AD;{"word": "<desaverar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "stis", "_hash": -4838902021584222687}, 14], [{"operation": "DEL", "operation_object": "r", "_hash": -5467377470045857386}, 8]]}
XC570843652794632B647C3FF9A1DC71E;{"word": "<eliminar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "e", "_hash": 6788862703838988605}, 8]]}
XE040076000E6471F8516D81772981C6E;{"word": "<pre\u00f1ar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00e9", "_hash": -3971908426765800147}, 6]]}
X068A17AC7DE24FCE896323B981D57136;{"word": "<tomar>", "objects_and_positions": []}
XC6011656641A4571B65414124898FC5C;{"word": "<escuchar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00e9", "_hash": -3971908426765800147}, 8]]}
XAD09971726DD4AA78A810DB1C6F26943;{"word": "<trabayar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "ais", "_hash": -1699335110078769105}, 8]]}
X5D45578012244CA2B8C2ED5FFCB24C43;{"word": "<apoyar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "o", "_hash": 3894543472246995248}, 11], [{"operation": "DEL", "operation_object": "ar", "_hash": -5823030789462696184}, 4]]}
X1796D6F235E54E83B85971C17CE4673E;{"word": "<clonar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "e", "_hash": 6788862703838988605}, 6]]}
X10336163F4054E799789F8D31E182E0B;{"word": "<portar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "es", "_hash": -159365166903475275}, 6]]}
XBC832B90A5614586B78A9426DCCE9EDB;{"word": "<axudar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00eda", "_hash": 8827057059697626100}, 6]]}
XEF5A3883EEC64A64A5C7DB33D17E62A1;{"word": "<eclipsar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00e1s", "_hash": -6690651678408844485}, 8]]}
X11B27AA1E45C4A11808053B3AB9B61E5;{"word": "<cuspir>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00edemos", "_hash": -270494557177743499}, 11], [{"operation": "DEL", "operation_object": "ir", "_hash": -4886392094105863491}, 4]]}
X52777268C54541609FDE3B6124E3310A;{"word": "<aforrar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00e9is", "_hash": -2467569341751653728}, 7]]}
X0DFAB0A4EA284842BB2B8A9D2EE106C1;{"word": "<causar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "e", "_hash": 6788862703838988605}, 6]]}
X6C95425BF1F34211AFDB3F5757E11443;{"word": "<funcionar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "\u00e9", "_hash": -3971908426765800147}, 14], [{"operation": "DEL", "operation_object": "ar", "_hash": -5823030789462696184}, 7]]}
X303150118D71407BA87874087A8B4D68;{"word": "<eclipsar>", "objects_and_positions": [[{"operation": "INS", "operation_object": "as", "_hash": -1699844342243084618}, 8]]}
