ContextMorph;DEL(a);DEL(ar);DEL(di);DEL(er);DEL(r);DEL(ra);DEL(zar);INS(ab);INS(ad);INS(e);INS(es);INS(i);INS(iest);INS(ndo);INS(ne);INS(o);INS(u);INS(á);INS(áb);INS(ái)
&a&3;-1.0;-0.9359999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;0.728;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8719999999999999;-1.0;-1.0;-1.0
&a&FEM;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&a&LGSPEC2;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.7959183673469388;-1.0;0.6462585034013606;-1.0
&a&PL;-1.0;-0.8181818181818181;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8881118881118881;-1.0;0.6923076923076923;-1.0
&a&V.PTCP;-1.0;-0.9793814432989691;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.9793814432989691;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ar&3;-1.0;-0.9338842975206612;-1.0;-1.0;-1.0;-1.0;-1.0;0.7851239669421488;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8677685950413223;-1.0;-1.0;-1.0
&ar&FEM;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ar&LGSPEC2;-1.0;-0.9432624113475176;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.7872340425531914;-1.0;0.7163120567375887;-1.0
&ar&PL;-1.0;-0.8169014084507042;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8873239436619718;-1.0;0.704225352112676;-1.0
&ar&V.PTCP;-1.0;-0.9793814432989691;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.9793814432989691;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ar>&3;-1.0;-0.9338842975206612;-1.0;-1.0;-1.0;-1.0;-1.0;0.7851239669421488;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8677685950413223;-1.0;-1.0;-1.0
&ar>&FEM;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ar>&LGSPEC2;-1.0;-0.9432624113475176;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.7872340425531914;-1.0;0.7163120567375887;-1.0
&ar>&PL;-1.0;-0.8169014084507042;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8873239436619718;-1.0;0.704225352112676;-1.0
&ar>&V.PTCP;-1.0;-0.9793814432989691;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.9793814432989691;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&e&PRS;-1.0;-1.0;-1.0;-0.9047619047619047;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9682539682539684;0.5873015873015872;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&en&2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.8333333333333333;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&en&PRS;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6153846153846154;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&en&SBJV;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&en&SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.894736842105263;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&en&V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5172413793103448;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&es&PRS;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8333333333333333;0.8333333333333333;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&es&SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8333333333333333;0.8333333333333333;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&es&V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8571428571428572;0.8571428571428572;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ia&IND;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ia&LGSPEC2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ia&PFV;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ia&PST;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&ia&SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar&IND;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar&LGSPEC2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar&PFV;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar&PST;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar&SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar>&IND;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar>&LGSPEC2;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar>&PFV;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
&iar>&PST;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
