MorphFeature;DEL(c);DEL(coyer);DEL(r);DEL(re);INS(a);INS(ais);INS(an);INS(as);INS(e);INS(eis);INS(emos);INS(en);INS(es);INS(on);INS(y);INS(á);INS(án);INS(ás);INS(é);INS(éis);INS(ía);INS(íais);INS(íamos);INS(íeis);INS(íemos);INS(íen);INS(íes)
1,COND,LGSPEC1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8628571428571428;-1.0;-0.8971428571428572;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8971428571428572;-1.0;-0.9885714285714287;-1.0;-0.9542857142857142;-1.0;0.4742857142857142;-1.0;-1.0
1,COND,LGSPEC1,PL;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8875;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8875;-1.0;-1.0;-1.0;-0.95;-1.0;0.6125;-1.0;-1.0
1,COND,LGSPEC1,PL,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8875;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8875;-1.0;-1.0;-1.0;-0.95;-1.0;0.6125;-1.0;-1.0
1,COND,LGSPEC1,SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6000000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8666666666666667;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,COND,LGSPEC1,SG,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6000000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8666666666666667;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,COND,LGSPEC1,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8628571428571428;-1.0;-0.8971428571428572;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8971428571428572;-1.0;-0.9885714285714287;-1.0;-0.9542857142857142;-1.0;0.4742857142857142;-1.0;-1.0
1,COND,LGSPEC2;-1.0;-1.0;-1.0;-1.0;-0.9726027397260273;-1.0;-1.0;-1.0;-0.9726027397260273;-1.0;-0.9863013698630136;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8904109589041096;-1.0;-0.9726027397260273;-1.0;0.5753424657534247;-1.0;-0.9726027397260273;-1.0;-1.0
1,COND,LGSPEC2,PL;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9854014598540146;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8832116788321167;-1.0;-1.0;-1.0;0.6788321167883211;-1.0;-0.9708029197080292;-1.0;-1.0
1,COND,LGSPEC2,PL,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9854014598540146;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8832116788321167;-1.0;-1.0;-1.0;0.6788321167883211;-1.0;-0.9708029197080292;-1.0;-1.0
1,COND,LGSPEC2,V;-1.0;-1.0;-1.0;-1.0;-0.9726027397260273;-1.0;-1.0;-1.0;-0.9726027397260273;-1.0;-0.9863013698630136;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.8904109589041096;-1.0;-0.9726027397260273;-1.0;0.5753424657534247;-1.0;-0.9726027397260273;-1.0;-1.0
1,COND,SG;-1.0;-1.0;-1.0;-1.0;-0.9694656488549618;-1.0;-1.0;-1.0;-0.7099236641221374;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5267175572519085;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,COND,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9694656488549618;-1.0;-1.0;-1.0;-0.7099236641221374;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5267175572519085;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,LGSPEC1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,LGSPEC1,PL;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,LGSPEC1,PL,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,LGSPEC1,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,PL;-1.0;-1.0;-1.0;-1.0;-0.8581560283687943;-1.0;-1.0;-1.0;-1.0;-1.0;0.5886524822695036;-1.0;-1.0;-1.0;-0.9858156028368794;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,PL,V;-1.0;-1.0;-1.0;-1.0;-0.8581560283687943;-1.0;-1.0;-1.0;-1.0;-1.0;0.5886524822695036;-1.0;-1.0;-1.0;-0.9858156028368794;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,IND,SG,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,LGSPEC1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,LGSPEC1,PL;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,LGSPEC1,PL,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,LGSPEC1,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.33333333333333326;-1.0;-1.0;-1.0;-0.3333333333333334;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,PL;-1.0;-1.0;-1.0;-1.0;-0.8581560283687943;-1.0;-1.0;-1.0;-1.0;-1.0;0.5886524822695036;-1.0;-1.0;-1.0;-0.9858156028368794;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,PL,V;-1.0;-1.0;-1.0;-1.0;-0.8581560283687943;-1.0;-1.0;-1.0;-1.0;-1.0;0.5886524822695036;-1.0;-1.0;-1.0;-0.9858156028368794;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,SG;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,FUT,SG,V;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IMP;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IMP,PL;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IMP,PL,V;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IMP,V;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,PRF,PST,SG;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
