String;Operation type;Occurrences
ab;INS;216
íamos;INS;139
quen;INS;16
á;INS;612
amos;INS;248
stis;INS;133
e;INS;867
é;INS;270
ais;INS;261
o;INS;254
es;INS;576
ía;INS;257
ás;INS;124
íemos;INS;150
éis;INS;241
as;INS;267
ndo;INS;128
án;INS;131
ó;INS;125
áis;INS;115
estis;INS;95
en;INS;442
quas;INS;7
ábemos;INS;105
áb;INS;121
mos;INS;273
quemos;INS;13
emos;INS;568
a;INS;519
íen;INS;134
ad;INS;96
s;INS;159
beis;INS;103
n;INS;116
sti;INS;118
iest;INS;15
icest;INS;3
i;INS;131
on;INS;122
bes;INS;108
áu;INS;116
í;INS;51
ques;INS;18
íais;INS;128
eis;INS;232
ben;INS;136
íes;INS;147
cemos;INS;12
os;INS;125
bais;INS;117
íeis;INS;148
u;INS;30
vayamos;INS;1
quéis;INS;9
ici;INS;10
xisti;INS;2
esti;INS;78
igamos;INS;1
y;INS;11
an;INS;232
ái;INS;105
íos;INS;15
ga;INS;2
sábemo;INS;2
ues;INS;15
iximos;INS;2
uvier;INS;3
da;INS;18
que;INS;11
questi;INS;5
ue;INS;30
uvie;INS;4
fu;INS;3
d;INS;20
ba;INS;2
aí;INS;3
uen;INS;13
fué;INS;1
z;INS;3
cestis;INS;5
uvi;INS;6
ese;INS;7
questis;INS;11
uemos;INS;15
iá;INS;8
séi;INS;3
x;INS;18
céis;INS;7
iquest;INS;1
ist;INS;6
ces;INS;14
gas;INS;3
ío;INS;12
ué;INS;5
qué;INS;7
gamos;INS;3
ne;INS;14
uesti;INS;7
éi;INS;7
ix;INS;17
ixi;INS;2
uvié;INS;6
quan;INS;6
ixé;INS;3
uelen;INS;2
unxéram;INS;1
uéis;INS;9
fo;INS;6
uedopue;INS;1
cen;INS;10
endo;INS;5
vas;INS;1
se;INS;8
yas;INS;1
udiem;INS;1
uestis;INS;6
íu;INS;10
ís;INS;4
ce;INS;12
fó;INS;2
fue;INS;9
aig;INS;1
cé;INS;7
cesti;INS;3
izofixo;INS;1
fost;INS;1
ida;INS;2
uviemos;INS;1
sái;INS;5
equ;INS;1
uvotevo;INS;1
ié;INS;8
ya;INS;1
icié;INS;5
fuestis;INS;1
vamos ;INS;5
iciemos;INS;1
xé;INS;3
udiestis;INS;1
osem;INS;1
za;INS;4
ú;INS;1
unxem;INS;1
sesti;INS;4
yendo;INS;1
cho;INS;1
icimos;INS;1
unxisti;INS;1
bá;INS;2
yamos;INS;1
ximos;INS;2
mose;INS;2
zas;INS;1
ao;INS;1
fuéremo;INS;1
icistis;INS;1
agafaig;INS;1
uel;INS;1
uestu;INS;1
fuimos;INS;1
can;INS;4
drí;INS;2
eáis;INS;1
uedapuea;INS;2
is;INS;4
somo;INS;1
gan;INS;2
sque;INS;1
xo;INS;1
íe;INS;4
igáis;INS;1
xí;INS;1
udiéram;INS;1
záis;INS;1
uvimos;INS;1
cíais;INS;1
q;INS;1
uele;INS;1
cí;INS;2
zamos;INS;2
ueyas;INS;2
ueya;INS;2
xemos;INS;1
cas;INS;2
ayí;INS;1
semo;INS;4
ueyan;INS;2
zo;INS;1
íbamos;INS;1
ve;INS;1
níe;INS;1
ervamos fa;INS;1
unxérem;INS;1
anqu;INS;1
gáis;INS;1
unxestis;INS;1
chu;INS;2
yí;INS;2
ueyi;INS;1
udiérem;INS;1
uestes;INS;1
nque;INS;2
uerz;INS;1
istis;INS;1
vais;INS;1
uvistis;INS;1
iú;INS;1
uey;INS;1
ienc;INS;1
iciestis;INS;1
uedas;INS;1
ió;INS;1
vaya;INS;1
uest;INS;2
enc;INS;1
yíamos;INS;1
yéis;INS;1
udistis;INS;1
cíamos;INS;1
vayas;INS;1
uese;INS;1
r;DEL;2334
car;DEL;104
a;DEL;480
ar;DEL;1683
ir;DEL;96
er;DEL;127
ra;DEL;260
zar;DEL;78
u;DEL;36
dir;DEL;8
yer;DEL;9
s;DEL;6
e;DEL;32
sar;DEL;1
erer;DEL;2
o;DEL;32
ri;DEL;13
di;DEL;18
cer;DEL;18
ó;DEL;3
en;DEL;5
é;DEL;15
ce;DEL;7
rca;DEL;5
masuñar;DEL;1
á;DEL;2
rer;DEL;2
ene;DEL;4
olar;DEL;3
ner;DEL;7
der;DEL;4
y;DEL;5
ae;DEL;4
ac;DEL;6
acer;DEL;4
d;DEL;1
rza;DEL;1
re;DEL;1
oder;DEL;6
coyer;DEL;3
gar;DEL;1
aer;DEL;2
oner;DEL;4
cir;DEL;3
áu;DEL;1
orza;DEL;1
lar;DEL;1
ace;DEL;3
sgatuñar;DEL;2
ener;DEL;1
c;DEL;2
oyer;DEL;7
ye;DEL;2
am;DEL;1
uñar;DEL;1
esgatuñ;DEL;1
rzar;DEL;1
