String;Operation type;Occurrences
e;INS;282
n;INS;334
en;INS;701
er;INS;506
t;INS;103
s;INS;1729
';INS;88
sen;INS;11
erne;INS;558
et;INS;244
ern;INS;327
ne;INS;167
ers;INS;561
rs;INS;361
ene;INS;339
r;INS;454
ser;INS;32
ett;INS;3
es;INS;280
merne;INS;10
ner;INS;30
lers;INS;11
kerne;INS;11
ed;INS;77
re;INS;34
sene;INS;4
des;INS;88
ren;INS;19
æ;INS;90
ten;INS;23
me;INS;7
end;INS;84
de;INS;4
fers;INS;6
pen;INS;7
let;INS;10
ken;INS;16
enn;INS;1
len;INS;14
ter;INS;21
ler;INS;14
ker;INS;15
ø;INS;28
pene;INS;4
lern;INS;24
'erne;INS;1
pes;INS;1
te;INS;28
kene;INS;5
tene;INS;9
nerne;INS;3
rene;INS;5
ben;INS;2
ket;INS;3
les;INS;2
gene;INS;6
pet;INS;5
vaflen;INS;1
se;INS;11
derne;INS;5
æd;INS;4
'ers;INS;2
lerne;INS;18
terne;INS;23
met;INS;14
rønne;INS;1
sa;INS;1
ders;INS;3
ges;INS;3
dene;INS;13
tte;INS;6
ters;INS;22
menrom'en;INS;1
den;INS;4
kers;INS;10
tes;INS;4
perne;INS;8
fet;INS;5
zers;INS;1
serne;INS;13
s';INS;4
pers;INS;9
ber;INS;2
vablen;INS;1
a;INS;5
der;INS;6
men;INS;5
set;INS;4
mers;INS;13
nde;INS;1
per;INS;5
mene;INS;12
sser;INS;14
lene;INS;10
mer;INS;12
pudlen;INS;1
get;INS;3
faklen;INS;1
's;INS;2
onklen;INS;1
mes;INS;4
øer;INS;1
kedlen;INS;1
berne;INS;1
fer;INS;6
’;INS;1
gaflen;INS;1
gen;INS;2
nene;INS;1
det;INS;9
nes;INS;1
ebægre;INS;1
ferne;INS;6
kes;INS;6
aene;INS;2
etbægret;INS;1
orme;INS;1
enenæbbene;INS;1
haslen;INS;1
ød;INS;11
ge;INS;3
nne;INS;1
ænæ;INS;1
l;INS;1
estigres;INS;1
esorms;INS;1
zen;INS;1
rse;INS;2
ret;INS;3
sablen;INS;1
etigre;INS;1
nehamrene;INS;1
figners;INS;1
æn;INS;1
enebægrene;INS;1
ke;INS;3
zerne;INS;1
bers;INS;2
'en;INS;2
fen;INS;1
esbægres;INS;1
as;INS;1
le;INS;1
niplen;INS;1
ae;INS;1
eern;INS;3
enenaftn;INS;1
øers;INS;1
mernerom'erne;INS;1
himlen;INS;1
reglen;INS;1
net;INS;1
epebre;INS;1
ners;INS;3
møblet;INS;1
nepebrene;INS;1
midlet;INS;1
kamret;INS;1
nesrøns;INS;1
padlen;INS;1
merrom'er;INS;1
fablen;INS;1
'er;INS;1
søer;INS;1
nudlen;INS;1
riflen;INS;1
um;DEL;45
e;DEL;199
de;DEL;13
te;DEL;3
r;DEL;19
a;DEL;99
l;DEL;26
tage;DEL;2
at;DEL;2
o;DEL;32
fe;DEL;11
me;DEL;3
on;DEL;1
ke;DEL;3
å;DEL;3
pe;DEL;1
barn;DEL;1
