String;Operation type;Occurrences
sin;INS;49
i;INS;214
sid;INS;110
olgu ;INS;186
tud;INS;313
iks;INS;62
des;INS;56
tes;INS;19
d;INS;379
desse;INS;61
ärgu olgu ;INS;173
nud;INS;1101
ei ;INS;306
ste;INS;56
a;INS;62
il;INS;46
me;INS;8
se;INS;72
is;INS;72
ana;INS;16
s;INS;354
riss;INS;13
ära ;INS;53
tesse;INS;36
ei olnud ;INS;109
tudp;INS;144
atet;INS;11
dele;INS;63
ti;INS;28
t;INS;540
kse;INS;51
ärgu ;INS;179
ku;INS;68
oli ;INS;113
dud;INS;41
teni;INS;41
le;INS;52
edel;INS;9
oleksid ;INS;55
n;INS;94
alt;INS;17
id;INS;142
asse;INS;13
dest;INS;72
v;INS;249
tega;INS;28
red;INS;1
ile;INS;59
b;INS;59
tav;INS;79
ksite;INS;42
ärgem ;INS;55
ke;INS;63
ini;INS;50
an;INS;14
atesse;INS;11
dav;INS;9
ite;INS;22
eni;INS;22
ksi;INS;43
e;INS;253
uteta;INS;11
etudp;INS;6
olevat ;INS;112
tel;INS;28
on ;INS;178
ei olevat ;INS;109
nudp;INS;214
test;INS;28
na;INS;35
u;INS;30
utena;INS;10
eksite;INS;1
ele;INS;19
retu;INS;2
p;INS;28
iteks;INS;36
ksime;INS;8
ad;INS;37
ena;INS;21
ta;INS;70
gu;INS;253
ag;INS;13
olite ;INS;69
olin ;INS;63
ks;INS;225
oleksime ;INS;61
uga;INS;9
itega;INS;27
dnu;INS;49
uks;INS;9
site;INS;43
ksid;INS;113
ilt;INS;52
ga;INS;71
ut;INS;14
oleme ;INS;62
latess;INS;1
ast;INS;16
olete ;INS;56
ita;INS;45
olid ;INS;63
k;INS;10
et;INS;30
teta;INS;18
ites;INS;31
ni;INS;48
itesse;INS;18
gi;INS;11
sel;INS;23
oega;INS;1
deni;INS;65
itelt;INS;34
deta;INS;54
iteta;INS;28
as;INS;18
st;INS;231
ev;INS;6
uid;INS;11
ei ole ;INS;98
jat;INS;1
elt;INS;22
telt;INS;47
ei oleks ;INS;123
tri;INS;2
oled ;INS;51
uteks;INS;7
atest;INS;10
de;INS;101
ud;INS;67
lt;INS;80
ess;INS;8
sse;INS;32
deks;INS;61
edess;INS;3
isse;INS;18
tratel;INS;1
ates;INS;13
oleksite ;INS;59
hku;INS;5
ärge ;INS;55
olen ;INS;47
aden;INS;13
oleksin ;INS;54
te;INS;115
utest;INS;5
ule;INS;16
stel;INS;17
uteni;INS;18
si;INS;55
tate;INS;1
l;INS;95
lasid;INS;1
vad;INS;5
ani;INS;18
in;INS;8
sega;INS;2
eid;INS;36
ht;INS;3
del;INS;58
at;INS;38
dega;INS;61
stek;INS;17
eob;INS;1
iga;INS;50
atel;INS;11
tagu;INS;8
tele;INS;36
iden;INS;8
delt;INS;68
ate;INS;11
j;INS;6
utes;INS;12
ateta;INS;20
idaks;INS;2
ist;INS;71
iteni;INS;29
ateg;INS;5
ve;INS;1
ed;INS;60
ina;INS;55
ge;INS;147
itest;INS;31
tena;INS;33
dl;INS;3
aid;INS;20
dena;INS;60
ne;INS;2
eldu;INS;5
r;INS;6
e nähk;INS;1
ega;INS;23
el;INS;29
eksid;INS;1
läksit;INS;1
aks;INS;16
rit;INS;7
daks;INS;1
da;INS;10
itele;INS;9
atelt;INS;11
it;INS;42
nit;INS;2
ril;INS;5
est;INS;25
aksi;INS;1
etud;INS;17
utesse;INS;16
udp;INS;13
g;INS;15
ute;INS;18
ult;INS;13
oleks ;INS;61
tu;INS;4
udn;INS;10
eta;INS;32
ul;INS;11
adet;INS;12
o;INS;10
atena;INS;17
utega;INS;10
hta;INS;1
esse;INS;6
gu olnud;INS;3
stess;INS;13
eksit;INS;1
utele;INS;12
olen lä;INS;1
esit;INS;4
lil;INS;3
nni;INS;1
al;INS;12
ug;INS;18
ks olnudp;INS;1
lit;INS;15
seta;INS;2
datel;INS;1
aga;INS;11
itel;INS;23
eg;INS;7
lat;INS;2
dudp;INS;16
ksin;INS;56
ek;INS;2
km;INS;6
sek;INS;21
utel;INS;10
una;INS;11
etu;INS;10
pp;INS;1
toasse;INS;1
jaksi;INS;1
lnud;INS;6
inud;INS;11
nanu;INS;13
setess;INS;1
adeg;INS;12
ale;INS;14
ava;INS;2
rava;INS;1
elnu;INS;6
di;INS;6
deltaknailt;INS;1
edatess;INS;2
atele;INS;7
ttetões;INS;1
ss;INS;17
metes;INS;2
htud;INS;5
idp;INS;1
usid;INS;1
gitud;INS;10
