String;Operation type;Occurrences
ökről;INS;6
ekbe;INS;65
en;INS;66
knek;INS;16
áknál;INS;26
ekig;INS;71
ig;INS;199
nel;INS;6
ekhez;INS;63
ként;INS;196
et;INS;35
kba;INS;16
nénk;INS;18
eknél;INS;60
elekk;INS;4
okból;INS;80
ta;INS;15
tá;INS;12
nál;INS;122
ához;INS;35
ba;INS;124
nél;INS;81
je;INS;2
akra;INS;27
től;INS;56
ától;INS;28
kké;INS;10
ekben;INS;58
ból;INS;116
hoz;INS;138
tól;INS;125
jetek;INS;4
kká;INS;23
áktól;INS;25
nék;INS;30
án;INS;78
ták;INS;16
okon;INS;68
ákhoz;INS;28
va;INS;17
nak;INS;120
ekből;INS;61
okkal;INS;71
tam;INS;25
d;INS;16
akért;INS;28
be;INS;85
re;INS;83
okig;INS;75
lérő;INS;2
ék;INS;8
n;INS;154
né;INS;7
k;INS;129
éről;INS;11
ok;INS;91
al;INS;11
kbe;INS;11
okba;INS;65
ektől;INS;44
okról;INS;71
okká;INS;54
tátok;INS;13
ért;INS;204
akból;INS;36
singu;INS;4
r;INS;10
arakk;INS;2
ekké;INS;64
okban;INS;71
to;INS;11
nem;INS;5
ban;INS;120
okra;INS;77
goki;INS;9
októl;INS;56
aknál;INS;22
vá;INS;28
jam;INS;9
ák;INS;44
któl;INS;20
ér;INS;12
tok;INS;12
on;INS;102
kig;INS;27
áról;INS;39
ekért;INS;49
all;INS;1
ává;INS;39
áln;INS;12
okként;INS;62
pal;INS;3
eket;INS;69
tétek;INS;5
ra;INS;111
i;INS;11
j;INS;16
khoz;INS;18
kon;INS;12
sz;INS;19
ekről;INS;63
oknak;INS;57
andó;INS;15
ékként;INS;2
endő;INS;8
sal;INS;33
ő;INS;13
ákból;INS;27
tuk;INS;18
ben;INS;79
lokró;INS;2
kről;INS;12
ákról;INS;20
nek;INS;87
nod;INS;12
tunk;INS;13
ettétek;INS;4
kból;INS;20
sd;INS;4
ből;INS;91
ják;INS;25
tek;INS;16
akká;INS;35
s;INS;19
ek;INS;69
juk;INS;31
tal;INS;3
okat;INS;72
okért;INS;56
ekre;INS;68
lró;INS;6
én;INS;24
jatok;INS;8
ákon;INS;25
ü;INS;2
eken;INS;58
ról;INS;124
hez;INS;69
ni;INS;21
ről;INS;80
tér;INS;17
ja;INS;24
öktől;INS;3
át;INS;32
eknek;INS;60
é;INS;9
kne;INS;8
oknál;INS;88
nének;INS;10
kért;INS;41
gi;INS;11
nunk;INS;11
ne;INS;16
kák;INS;6
l;INS;96
a;INS;18
akként;INS;22
ákb;INS;48
nné;INS;1
akat;INS;24
ökként;INS;3
akkal;INS;26
t;INS;178
plur;INS;4
áért;INS;27
lakbó;INS;2
tot;INS;14
om;INS;20
áb;INS;79
évé;INS;9
knál;INS;20
gel;INS;9
ottad;INS;5
zátok;INS;3
akhoz;INS;32
áig;INS;31
ak;INS;22
król;INS;25
ekként;INS;54
sé;INS;18
ekkel;INS;70
za;INS;9
zun;INS;1
vé;INS;21
akba;INS;25
énak;INS;1
tak;INS;15
anátok;INS;6
tkén;INS;19
anának;INS;2
nánk;INS;32
ettem;INS;4
ó;INS;21
sá;INS;31
ánál;INS;34
ákért;INS;22
áv;INS;38
aktól;INS;17
tatok;INS;20
el;INS;16
höz;INS;15
kként;INS;26
-ben;INS;2
jem;INS;4
éh;INS;10
z;INS;21
ából;INS;32
nátok;INS;24
ákként;INS;26
knél;INS;13
ottál;INS;6
ing;INS;2
la;INS;1
plural;INS;12
kban;INS;23
tekér;INS;7
at;INS;23
ssam;INS;3
khez;INS;2
ot;INS;22
anánk;INS;7
ltó;INS;4
övekb;INS;1
kra;INS;12
év;INS;10
evekben;INS;1
ott;INS;8
-ért;INS;1
nom;INS;13
üvekig;INS;1
nák;INS;19
enem;INS;4
rté;INS;2
ekekn;INS;2
loktó;INS;3
ákig;INS;17
kat;INS;21
enétek;INS;9
ékről;INS;4
okhoz;INS;67
no;INS;7
ákr;INS;33
nám;INS;13
vel;INS;24
éb;INS;20
singula;INS;2
anák;INS;6
kkal;INS;25
akban;INS;17
val;INS;33
táér;INS;8
ökbe;INS;5
utaka;INS;2
étől;INS;5
-sá;INS;1
ssunk;INS;1
lokbó;INS;3
-ig;INS;1
-ként;INS;2
sanak;INS;4
ákká;INS;26
tokér;INS;3
ákk;INS;27
netek;INS;4
ünk;INS;11
nötök;INS;4
ottatok;INS;4
itek;INS;9
enek;INS;9
akról;INS;20
te;INS;13
ákn;INS;32
ná;INS;26
ed;INS;8
noko;INS;3
ár;INS;33
jék;INS;7
nie;INS;5
kből;INS;13
énél;INS;15
anom;INS;5
janak;INS;10
niuk;INS;20
akon;INS;27
geki;INS;5
otok;INS;2
nád;INS;15
tem;INS;16
tokkén;INS;4
ékért;INS;5
nia;INS;9
sel;INS;15
jön;INS;2
gé;INS;7
ko;INS;6
ned;INS;6
unk;INS;20
zu;INS;3
akig;INS;24
lla;INS;2
sétek;INS;3
enék;INS;5
singul;INS;6
ném;INS;9
rtoké;INS;2
e;INS;23
zenek;INS;3
tad;INS;15
lá;INS;8
nétek;INS;22
aknak;INS;16
ékb;INS;15
rá;INS;8
éért;INS;8
ottunk;INS;5
ök;INS;8
lákbó;INS;2
játok;INS;19
lná;INS;11
do;INS;2
levektő;INS;1
anál;INS;6
otta;INS;3
öttük;INS;1
öveket;INS;1
kal;INS;2
á;INS;10
asz;INS;4
sen;INS;3
ottátok;INS;7
sson;INS;3
ssen;INS;2
lté;INS;2
kre;INS;9
nöd;INS;2
ökig;INS;3
zatok;INS;2
tük;INS;11
öket;INS;2
anod;INS;6
lé;INS;4
junk;INS;7
knak;INS;16
ett;INS;4
ted;INS;7
-akig;INS;1
má;INS;14
taka;INS;2
néd;INS;3
anunk;INS;4
ött;INS;2
tet;INS;5
lákná;INS;2
ötte;INS;1
zen;INS;2
enénk;INS;4
-ra;INS;3
anb;INS;3
mel;INS;3
ettetek;INS;3
zokho;INS;6
sam;INS;4
nának;INS;9
ket;INS;12
ettük;INS;5
kben;INS;8
mal;INS;5
jon;INS;5
kön;INS;14
ékké;INS;3
nni;INS;2
ral;INS;7
nal;INS;6
jen;INS;6
té;INS;9
éig;INS;6
na;INS;13
ált;INS;5
sék;INS;2
gal;INS;4
ken;INS;2
setek;INS;3
övekre;INS;2
aná;INS;2
ték;INS;4
ették;INS;4
nevek;INS;1
enéd;INS;3
suk;INS;2
sek;INS;3
ess;INS;3
ökké;INS;6
-ok;INS;1
lbó;INS;7
töt;INS;1
niük;INS;7
gyük;INS;1
néne;INS;1
öknél;INS;4
tékér;INS;1
ká;INS;14
o;INS;1
arakn;INS;1
em;INS;10
-ekbe;INS;1
kel;INS;4
anék;INS;6
ökért;INS;5
ké;INS;5
jak;INS;9
notok;INS;9
-oknál;INS;1
nán;INS;3
ét;INS;5
etek;INS;4
zétek;INS;1
ökön;INS;4
ntokké;INS;1
gá;INS;10
ól;INS;3
mé;INS;4
sák;INS;3
enetek;INS;3
lakró;INS;2
-ban;INS;4
ökben;INS;3
tél;INS;4
ékn;INS;2
ana;INS;4
dá;INS;3
zunk;INS;2
jük;INS;15
tál;INS;6
-kért;INS;1
lrő;INS;3
üvekből;INS;1
övön;INS;1
zuk;INS;4
rtáé;INS;1
ottam;INS;6
tel;INS;5
g;INS;1
zakho;INS;3
tetek;INS;2
zé;INS;1
-ot;INS;1
ön;INS;8
zük;INS;2
nekbe;INS;2
ökhöz;INS;3
éből;INS;6
ezekh;INS;1
ől;INS;3
ania;INS;4
kkel;INS;4
alakk;INS;1
ré;INS;7
ötted;INS;1
ökből;INS;3
öm;INS;1
zek;INS;2
éktől;INS;4
sak;INS;2
eni;INS;1
jenek;INS;5
téér;INS;2
od;INS;12
kék;INS;3
ottuk;INS;2
khöz;INS;5
ettél;INS;5
lákró;INS;1
ékből;INS;3
veket;INS;1
alokk;INS;1
takér;INS;1
ssék;INS;1
ltő;INS;2
-ról;INS;1
anán;INS;1
ol;INS;2
plura;INS;6
éról;INS;1
-knél;INS;1
rel;INS;3
lekbő;INS;1
cá;INS;1
enünk;INS;5
zanak;INS;4
anám;INS;3
ve;INS;10
elekke;INS;2
zák;INS;4
tünk;INS;5
uk;INS;1
-ekért;INS;1
an;INS;7
etted;INS;6
ingular;INS;1
gyen;INS;2
jun;INS;1
zem;INS;1
élt;INS;1
enének;INS;3
ell;INS;3
satok;INS;3
láró;INS;2
ékh;INS;3
ik;INS;9
u;INS;3
bá;INS;2
zal;INS;1
son;INS;1
gyünk;INS;1
enb;INS;2
se;INS;3
öknek;INS;7
nba;INS;4
nünk;INS;3
tekkén;INS;8
ani;INS;6
-nak;INS;2
zetek;INS;4
bel;INS;1
ttetek;INS;1
nnéd;INS;2
övekként;INS;1
jétek;INS;3
nnénk;INS;2
-okig;INS;1
cel;INS;1
dé;INS;2
neke;INS;2
anokb;INS;1
zünk;INS;2
levekbő;INS;1
kekne;INS;3
anád;INS;2
anotok;INS;1
ar;INS;2
si;INS;2
ul;INS;1
já;INS;1
nnád;INS;1
ass;INS;1
zho;INS;3
ökkel;INS;2
ssuk;INS;1
-okhoz;INS;2
-okkal;INS;2
avak;INS;1
aniuk;INS;3
ene;INS;1
övekért;INS;1
köve;INS;1
-eket;INS;1
un;INS;1
lné;INS;5
sünk;INS;4
anak;INS;3
ssák;INS;1
ssenek;INS;1
ekekne;INS;1
esz;INS;2
gyek;INS;1
ze;INS;2
ssa;INS;1
zam;INS;5
atok;INS;1
-eknél;INS;1
sük;INS;1
ékk;INS;2
enekb;INS;1
dal;INS;2
ssanak;INS;3
náto;INS;4
tök;INS;3
ották;INS;1
ke;INS;1
senek;INS;2
nokba;INS;1
sátok;INS;2
c;INS;2
-ekhez;INS;1
ttünk;INS;1
enie;INS;1
bal;INS;1
in;INS;2
ular;INS;1
lbő;INS;1
ktől;INS;4
-eknek;INS;2
jal;INS;1
ssé;INS;1
-ekké;INS;1
kokna;INS;2
ettek;INS;1
takkén;INS;1
gyék;INS;1
dta;INS;1
lovakná;INS;1
singular;INS;2
sa;INS;2
óról;INS;1
kna;INS;5
eném;INS;3
ékr;INS;1
pl;INS;1
öt;INS;1
dno;INS;1
ötték;INS;1
gyenek;INS;2
knán;INS;1
utakkén;INS;1
-et;INS;1
zá;INS;1
zék;INS;2
eniük;INS;2
toka;INS;1
-kra;INS;1
sun;INS;1
éknél;INS;1
-ból;INS;1
ssek;INS;1
lábó;INS;1
zön;INS;1
lekné;INS;1
ened;INS;1
lle;INS;1
ékig;INS;1
mekb;INS;1
cy;INS;1
ord;INS;1
tted;INS;1
-tá;INS;1
ette;INS;2
övekbe;INS;1
ottak;INS;2
am;INS;1
ettünk;INS;1
lokka;INS;1
lékrő;INS;1
jek;INS;2
pá;INS;1
plu;INS;1
-okként;INS;1
tákér;INS;1
tákkén;INS;1
-nél;INS;1
lekke;INS;2
gul;INS;1
ötök;INS;1
dná;INS;1
ltá;INS;1
heken;INS;1
-ba;INS;1
dd;INS;1
enél;INS;1
fá;INS;2
enekk;INS;1
-okról;INS;1
edt;INS;1
szel;INS;1
ss;INS;2
sdor;INS;1
lakka;INS;1
látó;INS;1
jünk;INS;1
-má;INS;1
ly;INS;1
któ;INS;1
nalak;INS;1
tu;INS;1
-kbe;INS;1
zak;INS;2
-okra;INS;1
ntké;INS;1
öd;INS;1
láktó;INS;1
zhe;INS;1
lokná;INS;1
öttetek;INS;1
rák;INS;1
a;DEL;629
l;DEL;2
e;DEL;143
ka;DEL;1
p;DEL;1
r;DEL;4
ű;DEL;4
á;DEL;11
sz;DEL;21
bizonyt;DEL;1
anság;DEL;1
i;DEL;25
z;DEL;2
ok;DEL;1
intézmény;DEL;1
o;DEL;45
t;DEL;36
é;DEL;25
de;DEL;1
ék;DEL;1
ú;DEL;5
ik;DEL;22
lbán;DEL;1
énkő;DEL;2
korm.;DEL;1
ö;DEL;3
bank;DEL;1
vokádó;DEL;1
v;DEL;1
ru;DEL;1
ócskavas;DEL;1
k;DEL;3
av;DEL;1
ő;DEL;6
kusz;DEL;1
körü;DEL;1
mény;DEL;1
mé;DEL;1
ték;DEL;1
villámcsapá;DEL;1
cs;DEL;1
ogány;DEL;1
közönség;DEL;1
elkiisme;DEL;1
et;DEL;1
ist;DEL;1
csoko;DEL;1
ádé;DEL;1
bányász;DEL;1
áj;DEL;2
tol;DEL;1
apnyu;DEL;1
szik;DEL;1
ó;DEL;3
érték;DEL;1
legesebb;DEL;1
bö;DEL;1
cső;DEL;1
gyümölcs;DEL;1
c;DEL;2
oma;DEL;1
vezető;DEL;1
dedikáció;DEL;1
ki;DEL;1
í;DEL;2
gy;DEL;1
ladás;DEL;1
dag;DEL;1
viz;DEL;1
etkor;DEL;1
lkalmazott;DEL;1
jel;DEL;1
om;DEL;1
m;DEL;1
betegség;DEL;1
tajg;DEL;1
főváros;DEL;1
babé;DEL;1
dám;DEL;1
ak;DEL;1
eh;DEL;1
gaz;DEL;1
láí;DEL;1
ás;DEL;1
betonkeverő;DEL;1
y;DEL;1
demagnetizáció;DEL;1
