String;Operation type;Occurrences
ðir;INS;77
in;INS;283
n;INS;200
m;INS;147
ö;INS;367
um;INS;445
anna;INS;328
urn;INS;133
r;INS;416
ur;INS;155
ið;INS;448
i;INS;571
arni;INS;45
un;INS;84
s;INS;269
unn;INS;88
ar;INS;193
ði;INS;217
ð;INS;95
ina;INS;86
arnar;INS;27
ir;INS;206
a;INS;892
janna;INS;14
uðum;INS;30
ana;INS;117
urunum;INS;10
rnar;INS;6
yti;INS;2
duð;INS;14
nn;INS;87
sins;INS;251
inn;INS;252
ann;INS;144
enn;INS;16
ldi;INS;1
unum;INS;324
anum;INS;56
nnar;INS;20
tum;INS;6
na;INS;21
iði;INS;1
u;INS;285
ennin;INS;10
jana;INS;4
uðu;INS;77
ti;INS;37
nninn;INS;12
arinnar;INS;72
uldu;INS;1
irnar;INS;73
nur;INS;8
inu;INS;116
ndi;INS;99
ins;INS;18
urum;INS;15
uðuð;INS;74
pst;INS;1
nu;INS;49
ögum;INS;1
unni;INS;88
öðum;INS;1
vanna;INS;3
ökum;INS;4
num;INS;94
æðum;INS;1
du;INS;13
inni;INS;66
ni;INS;37
arn;INS;65
ja;INS;27
mönnunu;INS;8
nna;INS;9
ðu;INS;10
nni;INS;17
öluðu;INS;1
uð;INS;11
ennirni;INS;8
definite;INS;4
æ;INS;25
irni;INS;21
urna;INS;1
jum;INS;14
nninum;INS;6
rna;INS;6
tir;INS;17
ifu;INS;4
tu;INS;24
ifi;INS;2
urinnar;INS;1
ru;INS;7
dum;INS;4
dir;INS;12
ans;INS;68
manu;INS;3
arnir;INS;23
una;INS;12
ápuð;INS;1
ssin;INS;9
junum;INS;14
tt;INS;4
arna;INS;2
inið;INS;1
ötur;INS;5
ari;INS;2
ddu;INS;16
y;INS;3
rði;INS;4
annann;INS;6
inum;INS;26
e;INS;46
æðu;INS;1
öku;INS;4
mönnu;INS;15
ækju;INS;2
mu;INS;9
ug;INS;2
unduð;INS;1
nnsins;INS;3
ölu;INS;2
örfunn;INS;1
nar;INS;7
ökurum;INS;1
ktir;INS;1
ri;INS;7
örpunn;INS;2
tuð;INS;21
nann;INS;9
sin;INS;1
munu;INS;4
di;INS;27
rarni;INS;7
nan;INS;7
uldir;INS;3
ösunum;INS;1
ndefinite;INS;2
öguðum;INS;1
örfurn;INS;1
va;INS;5
end;INS;5
örum;INS;1
jarnar;INS;4
æðurna;INS;2
aðanna;INS;1
ulið;INS;1
æki;INS;3
t;INS;15
ðuðu;INS;1
anan;INS;8
otið;INS;1
nin;INS;11
ölunum;INS;2
var;INS;2
ararinna;INS;2
irnir;INS;2
ömu;INS;2
urnar;INS;10
ra;INS;12
irarn;INS;1
subcl;INS;1
use;INS;2
önuðuð;INS;1
rni;INS;3
jirni;INS;2
ölur;INS;2
öfunni;INS;1
ívum;INS;1
yki;INS;1
ðuð;INS;13
j;INS;4
varinnar;INS;3
önunum;INS;2
umönn;INS;1
öktu;INS;1
ubc;INS;1
idd;INS;2
nun;INS;4
jans;INS;3
rin;INS;5
ripi;INS;1
utuð;INS;2
öðu;INS;1
fið;INS;1
ömuðuð;INS;1
ófu;INS;1
ekið;INS;2
jun;INS;3
of;INS;2
ötuðum;INS;1
eginum;INS;2
öðunum;INS;3
önum;INS;2
ven;INS;1
ý;INS;4
ötunni;INS;1
jarn;INS;2
ut;INS;1
de;INS;1
inite;INS;1
rinnar;INS;1
ddi;INS;6
jarinnar;INS;3
yg;INS;1
önuðum;INS;1
indefinite;INS;1
unnar;INS;1
ölum;INS;3
janum;INS;4
rifi;INS;1
ipuð;INS;2
nns;INS;5
mdu;INS;2
iti;INS;1
ygi;INS;1
öpum;INS;1
rnu;INS;3
ökunni;INS;1
iðu;INS;3
ei;INS;3
ærnar;INS;2
ogið;INS;1
ögu;INS;5
ú;INS;2
lann;INS;2
ætum;INS;1
ipu;INS;1
ökuðu;INS;1
umdu;INS;1
uk;INS;2
ugu;INS;1
öfum;INS;1
óku;INS;1
ddir;INS;2
uldi;INS;1
öðuðum;INS;1
æturna;INS;2
ifuð;INS;1
ara;INS;1
ölunni;INS;1
ógu;INS;1
lan;INS;1
ukuð;INS;1
mdi;INS;2
si;INS;1
yni;INS;1
öbu;INS;1
ldir;INS;2
öruðu;INS;1
úa;INS;1
ygir;INS;1
örpurn;INS;2
jar;INS;9
ökur;INS;1
urinn;INS;2
ösuðuð;INS;1
ðum;INS;5
ösuðu;INS;2
öðuðu;INS;2
ytum;INS;1
önduð;INS;1
arirna;INS;1
nnu;INS;2
iku;INS;1
örnunn;INS;1
ekur;INS;1
vana;INS;1
aura;INS;1
ju;INS;1
nd;INS;2
nite;INS;2
á;INS;2
ipi;INS;1
öður;INS;1
ytir;INS;1
egi;INS;1
arins;INS;1
ns;INS;2
æfu;INS;1
járins;INS;1
inir;INS;1
aga;INS;1
mdir;INS;1
öpurunum;INS;1
rý;INS;1
ösuðum;INS;1
fði;INS;2
ökuðuð;INS;2
æpum;INS;1
áln;INS;1
áfuð;INS;1
indefinit;INS;1
öpurum;INS;1
utu;INS;1
kti;INS;1
san;INS;3
ötuðuð;INS;1
uguð;INS;1
mölu;INS;1
umönnun;INS;1
ökuðum;INS;1
rinna;INS;1
ó;INS;1
numön;INS;1
inuð;INS;1
rönu;INS;1
ötu;INS;1
ækir;INS;1
æpuð;INS;1
ívunum;INS;1
endurn;INS;2
rarna;INS;1
juð;INS;1
ötunum;INS;1
ulduð;INS;1
undu;INS;1
defi;INS;1
ite;INS;1
ddum;INS;1
varnar;INS;1
numönnu;INS;1
ust;INS;1
r;DEL;265
a;DEL;2061
ur;DEL;573
il;DEL;86
u;DEL;272
i;DEL;967
ari;DEL;26
l;DEL;124
jóta;DEL;8
ir;DEL;28
aður;DEL;43
elj;DEL;3
ar;DEL;4
íða;DEL;3
ður;DEL;75
ylja;DEL;7
ep;DEL;1
agi;DEL;1
aða;DEL;6
aka;DEL;24
j;DEL;1
eða;DEL;1
ja;DEL;219
n;DEL;21
ala;DEL;8
aðu;DEL;8
eð;DEL;1
kynskipt;DEL;1
gur;DEL;1
á;DEL;6
ífa;DEL;8
ul;DEL;23
ö;DEL;141
jö;DEL;9
ó;DEL;18
epa;DEL;3
da;DEL;5
ða;DEL;31
ína;DEL;6
ata;DEL;10
ve;DEL;1
E;DEL;3
óði;DEL;3
júg;DEL;2
ynja;DEL;1
fa;DEL;2
akari;DEL;1
s;DEL;3
ekj;DEL;2
pa;DEL;4
in;DEL;2
asi;DEL;1
dótt;DEL;1
al;DEL;11
aga;DEL;6
ndi;DEL;4
uður;DEL;1
ríf;DEL;1
t;DEL;2
ana;DEL;3
afa;DEL;1
ýr;DEL;5
júka;DEL;2
ani;DEL;3
maður;DEL;1
ekja;DEL;1
ær;DEL;1
ípa;DEL;5
aði;DEL;3
efj;DEL;3
ama;DEL;1
efja;DEL;1
van;DEL;1
agur;DEL;3
o;DEL;1
jú;DEL;1
jót;DEL;2
ótur;DEL;1
úga;DEL;1
matur;DEL;1
ali;DEL;4
ót;DEL;3
íta;DEL;1
júga;DEL;5
ú;DEL;3
apa;DEL;1
í;DEL;4
ll;DEL;3
éta;DEL;1
ymja;DEL;1
júk;DEL;2
v;DEL;1
nö;DEL;1
kross;DEL;3
afi;DEL;1
ótti;DEL;2
æja;DEL;1
emj;DEL;3
onur;DEL;1
aba;DEL;1
ara;DEL;1
boll;DEL;1
asa;DEL;4
fit;DEL;2
enja;DEL;1
íkja;DEL;1
na;DEL;1
ey;DEL;1
stýr;DEL;2
k;DEL;2
efa;DEL;2
f;DEL;3
é;DEL;1
ögu;DEL;1
jó;DEL;1
apari;DEL;2
li;DEL;1
sól;DEL;1
y;DEL;1
mylla;DEL;1
enj;DEL;1
di;DEL;3
r geg;DEL;1
 ;DEL;1
annkyni;DEL;1
kaka;DEL;1
inna;DEL;1
log;DEL;1
