String;Operation type;Occurrences
i;INS;1141
e;INS;918
mo;INS;567
mi ;INS;327
vo;INS;209
nt;INS;138
t;INS;528
et;INS;135
si ;INS;681
 ;INS;9
 recheranno;INS;1
ssi;INS;261
a;INS;95
rò;INS;114
sti;INS;280
l;INS;4
rà;INS;138
ssimo;INS;174
iv;INS;13
ti ;INS;273
v;INS;38
vat;INS;129
ndo;INS;182
est;INS;154
sca;INS;49
vi;INS;143
ò;INS;212
he;INS;125
mmo;INS;339
ino;INS;178
cano;INS;16
no;INS;265
vamo;INS;182
sse;INS;151
o;INS;385
rai;INS;116
ss;INS;155
st;INS;307
ci ;INS;271
eremo;INS;22
bbero;INS;157
er;INS;41
à;INS;50
eremmo;INS;28
la ;INS;1
vi ;INS;289
erete;INS;22
iss;INS;34
ebb;INS;127
cc;INS;5
ate;INS;27
ì;INS;22
vano;INS;183
va;INS;52
scano;INS;32
nga;INS;6
s;INS;149
cit;INS;6
ist;INS;18
is;INS;4
te;INS;141
av;INS;157
to;INS;192
vate;INS;42
sc;INS;12
cio;INS;1
iuto;INS;3
ebbero;INS;13
ono;INS;186
si;INS;11
amo;INS;100
se;INS;47
ereste;INS;30
erebbero;INS;30
hi;INS;122
ebbe;INS;8
c;INS;26
erà;INS;21
at;INS;17
anno;INS;34
ranno;INS;106
ano;INS;42
iamo;INS;52
nno;INS;30
herebbe;INS;4
ce;INS;2
tev;INS;42
endo;INS;6
nte;INS;32
se ne ;INS;8
cevat;INS;4
tt;INS;4
emmo;INS;11
moc;INS;26
ott;INS;1
co;INS;7
uto;INS;3
oniam;INS;5
herà;INS;4
nest;INS;5
ess;INS;27
h;INS;83
nesse;INS;3
onend;INS;1
ggo;INS;1
agg;INS;3
r;INS;10
iat;INS;14
tto;INS;6
ere;INS;32
tato;INS;1
hino;INS;24
rebb;INS;3
hereste;INS;4
n;INS;17
ai;INS;32
emo;INS;8
cciano;INS;3
 danno;INS;1
ente;INS;1
 foste;INS;1
ci;INS;2
cest;INS;3
ca;INS;17
isc;INS;22
her;INS;21
ne;INS;2
ett;INS;1
re;INS;7
ve ne ;INS;3
gano;INS;2
erebbe;INS;34
cono;INS;6
cevate;INS;2
erò;INS;27
iamoc;INS;4
era;INS;11
so;INS;8
sco;INS;9
remo;INS;1
amoc;INS;5
ent;INS;19
up;INS;1
ga;INS;4
cero;INS;1
te ne ;INS;5
neste;INS;1
ete;INS;6
scono;INS;13
 cavò;INS;1
ro;INS;2
cent;INS;1
heremo;INS;3
sto;INS;1
rran;INS;4
here;INS;8
iano;INS;2
me ne ;INS;3
cciamo;INS;2
net;INS;1
heremmo;INS;3
ves;INS;1
it;INS;2
remmo;INS;4
ces;INS;5
 fumò;INS;1
evat;INS;2
le ;INS;3
tia;INS;1
acci;INS;2
ulsi;INS;1
ten;INS;3
uò;INS;1
ongan;INS;4
rest;INS;3
sso;INS;1
ciamo;INS;3
herebbero;INS;2
cis;INS;2
ce la ;INS;1
 dica;INS;1
ost;INS;1
 sarò;INS;1
cesse;INS;1
rrebb;INS;1
resti;INS;3
este;INS;1
ness;INS;1
nes;INS;2
me la ;INS;1
m;INS;1
 faccio;INS;1
isi;INS;1
rret;INS;1
se la ;INS;5
nevat;INS;3
 fecero;INS;1
 incontrasse;INS;1
netev;INS;1
cendo;INS;3
rra;INS;1
cev;INS;1
te la ;INS;2
 bevevamo;INS;1
esse;INS;1
herò;INS;2
tis;INS;1
tet;INS;1
 stavi;INS;1
eranno;INS;1
cevano;INS;1
ccio;INS;3
herete;INS;3
 rase;INS;1
qu;INS;1
cevamo;INS;1
rebbe;INS;1
niat;INS;1
cciat;INS;1
ce ne ;INS;2
ve la ;INS;2
eret;INS;1
ongon;INS;3
c' ;INS;1
ret;INS;1
nent;INS;1
es;INS;1
ciano;INS;1
ra;INS;1
gono;INS;3
 recherebbe;INS;1
 amò;INS;1
ciat;INS;1
 cavammo;INS;1
vuto;INS;1
nto;INS;1
otto;INS;1
cia;INS;1
vi mi ;INS;1
g;INS;1
cevo;INS;1
vest;INS;1
atto;INS;1
neva;INS;2
rebbero;INS;1
sis;INS;1
go;INS;1
bb;INS;1
evate;INS;1
are;DEL;1123
a;DEL;900
rsi;DEL;428
r;DEL;1614
re;DEL;2648
ars;DEL;279
recar;DEL;2
ersi;DEL;39
ia;DEL;66
iar;DEL;22
ere;DEL;224
liersi;DEL;1
ar;DEL;409
rr;DEL;39
rs;DEL;241
er;DEL;207
i;DEL;192
e;DEL;421
arsi;DEL;264
ir;DEL;29
si;DEL;160
erl;DEL;3
ire;DEL;26
rre;DEL;33
nd;DEL;2
ett;DEL;3
irs;DEL;48
ra;DEL;35
rere;DEL;1
ers;DEL;12
d;DEL;5
gger;DEL;1
g;DEL;11
ier;DEL;2
irsi;DEL;12
erd;DEL;2
ersene;DEL;2
u;DEL;10
iars;DEL;70
mpere;DEL;1
ri;DEL;11
ni;DEL;7
serci;DEL;1
en;DEL;8
sar;DEL;12
ott;DEL;2
dar;DEL;1
esser;DEL;2
iarsi;DEL;16
s;DEL;22
iersi;DEL;2
rende;DEL;1
im;DEL;1
irc;DEL;2
dere;DEL;3
om;DEL;1
le;DEL;6
ender;DEL;2
arsene;DEL;3
cavar;DEL;1
ederc;DEL;1
ndere;DEL;1
ing;DEL;1
sir;DEL;2
fumar;DEL;1
der;DEL;3
guer;DEL;1
guere;DEL;2
ellere;DEL;1
liere;DEL;3
enderl;DEL;1
irci;DEL;1
otere;DEL;1
arse;DEL;1
rsene;DEL;3
egger;DEL;1
iers;DEL;1
etter;DEL;3
ggersi;DEL;1
ersel;DEL;1
dir;DEL;1
tter;DEL;1
ver;DEL;2
n;DEL;4
narse;DEL;2
gere;DEL;3
ggere;DEL;1
ger;DEL;2
ne;DEL;1
la;DEL;4
fars;DEL;1
ettere;DEL;1
rsel;DEL;2
ear;DEL;2
far;DEL;1
frequentar;DEL;1
ce;DEL;1
arsela;DEL;3
bers;DEL;1
nder;DEL;1
eder;DEL;1
vere;DEL;3
iere;DEL;2
mere;DEL;2
sel;DEL;1
rader;DEL;1
rea;DEL;1
arc;DEL;1
apere;DEL;1
erar;DEL;1
ter;DEL;1
ersen;DEL;1
gg;DEL;1
arsen;DEL;2
rsen;DEL;1
amar;DEL;1
avars;DEL;1
urre;DEL;1
arvisi;DEL;1
arsel;DEL;1
gu;DEL;1
cere;DEL;1
igere;DEL;1
ene;DEL;1
