String;Operation type;Occurrences
di;INS;137
i;INS;63
ine;INS;681
no;INS;731
inan;INS;588
an;INS;645
ek;INS;710
ê;INS;773
ên;INS;640
in;INS;628
eke;INS;474
ne;INS;467
îay;INS;7
na;INS;140
im;INS;48
a;INS;828
nina;INS;100
îbûy;INS;6
ibû;INS;16
ni;INS;87
î;INS;480
o;INS;368
bi;INS;214
sî;INS;1
nedi;INS;72
m;INS;75
anin;INS;37
ein;INS;57
bûya;INS;21
îy;INS;24
nê;INS;135
ekî;INS;173
ama;INS;14
y;INS;16
bûm;INS;31
ime;INS;8
iba;INS;10
iû;INS;8
e;INS;78
ibûya;INS;3
ve;INS;2
ev;INS;1
ibam;INS;6
ibûm;INS;7
ma;INS;14
ya;INS;30
ye;INS;19
ba;INS;35
ab;INS;7
me;INS;27
eek;INS;52
iye;INS;11
bû;INS;51
abûm;INS;1
yî;INS;32
ayî;INS;22
bam;INS;10
ibayî;INS;2
bûyî;INS;16
ke;INS;48
eme;INS;1
asînyî;INS;1
îbay;INS;6
îek;INS;17
û;INS;8
azî;INS;1
bûma;INS;12
bayî;INS;17
vî;INS;1
nei;INS;7
îe;INS;2
aibûy;INS;1
on;INS;13
azim;INS;1
emîn;INS;2
aibûm;INS;2
ay;INS;2
îm;INS;1
yan;INS;2
am;INS;4
xwî;INS;2
ibûma;INS;3
az;INS;1
abûy;INS;1
yabû;INS;1
je;INS;1
yaibû;INS;1
b;INS;1
aib;INS;2
em;INS;1
n;INS;1
abînim;INS;1
îibay;INS;1
aam;INS;2
idim;INS;1
îibûy;INS;2
îyî;INS;2
û;DEL;2
n;DEL;588
în;DEL;52
tin;DEL;14
î;DEL;28
in;DEL;23
ftin;DEL;3
(e);DEL;1
andi;DEL;45
ûstin;DEL;1
tî, zaro;DEL;2
irin;DEL;13
iyan;DEL;8
rin;DEL;5
iya;DEL;2
an;DEL;26
(3);DEL;3
arin;DEL;3
(ciyê veniþtina teyran);DEL;1
(ji nêza;DEL;1
miri;DEL;1
ir;DEL;4
nasan;DEL;1
estin;DEL;2
a;DEL;18
d;DEL;5
di;DEL;3
nisti;DEL;2
ist;DEL;3
istin;DEL;7
ûn;DEL;3
t;DEL;8
(kevirê bi qîmet);DEL;3
i;DEL;3
xwen;DEL;2
iri;DEL;3
(qevdika) dest;DEL;1
(r;DEL;1
isti;DEL;3
stin;DEL;1
nî;DEL;3
r;DEL;1
(reþreþikê);DEL;1
(ji hesin);DEL;1
ti;DEL;3
(ez dimabûm);DEL;1
ya;DEL;1
dîti;DEL;1
kiri;DEL;1
yan;DEL;2
,;DEL;1
(bila) ez mabiwama};DEL;1
(malika çepê;DEL;1
(bimîne);DEL;1
