String;Operation type;Occurrences
ov;INS;274
a;INS;1299
eis;INS;207
ia;INS;332
e;INS;94
s;INS;603
é;INS;387
assan;INS;100
ass;INS;211
ova;INS;304
ssarà;INS;2
ovan;INS;136
on;INS;479
à;INS;329
is;INS;286
esc;INS;56
assa;INS;218
ì;INS;41
èr;INS;3
sses;INS;61
ei;INS;311
ras;INS;1
ssù;INS;1
ireis;INS;2
o;INS;18
fova;INS;2
ies;INS;220
ssais;INS;51
esce;INS;73
as;INS;161
ue;INS;14
no;INS;22
ë;INS;42
t;INS;23
an;INS;163
ues;INS;3
ovais;INS;134
vo;INS;23
sar;INS;1
i;INS;28
ssa;INS;132
ess;INS;54
de;INS;35
eb;INS;3
ve;INS;21
aron;INS;9
van;INS;21
assais;INS;106
es;INS;45
si;INS;5
ed;INS;127
aras;INS;7
sassai;INS;4
ajesse;INS;1
ajeis;INS;2
essar;INS;1
vais;INS;20
arà;INS;20
isses;INS;2
esces;INS;38
r;INS;7
ù;INS;19
na;INS;10
ssan;INS;59
foss;INS;1
ae;INS;3
ivais;INS;2
va;INS;44
iva;INS;4
nova;INS;9
ssaras;INS;1
irà;INS;4
ar;INS;9
nassa;INS;9
vae;INS;4
ajovan;INS;1
ie;INS;23
n;INS;5
ajarà;INS;2
ajesses;INS;1
ata;INS;1
sse;INS;20
fossa;INS;2
aré;INS;8
iras;INS;2
ives;INS;2
ej;INS;2
sovai;INS;4
ever;INS;1
ac;INS;1
anass;INS;2
ò;INS;2
isassa;INS;2
ian;INS;1
d;INS;3
ejes;INS;2
ud;INS;3
fossai;INS;1
sas;INS;6
ves;INS;21
ajoves;INS;1
ajova;INS;2
esse;INS;1
bù;INS;1
eje;INS;4
uda;INS;4
ss;INS;5
ajaras;INS;1
ajove;INS;1
issan;INS;1
ive;INS;2
rà;INS;2
ré;INS;1
u;INS;2
edes;INS;1
ron;INS;1
fovai;INS;1
iré;INS;2
v;INS;1
issa;INS;4
us;INS;3
sara;INS;2
ajaron;INS;1
essan;INS;1
isova;INS;3
ajareis;INS;1
vas;INS;2
areis;INS;1
bes;INS;3
fov;INS;2
fossan;INS;1
ede;INS;1
nissa;INS;1
ove;INS;1
ide;INS;2
niro;INS;1
iron;INS;1
issais;INS;2
ivan;INS;1
it;INS;1
essa;INS;2
aes;INS;1
oves;INS;1
fovan;INS;1
ajon;INS;2
esses;INS;1
anov;INS;2
ajessan;INS;1
ssaré;INS;1
eda;INS;1
ajessais;INS;1
sed;INS;1
essdar;INS;1
ajessa;INS;2
essais;INS;1
ajar;INS;1
ajovais;INS;1
ates;INS;1
pù;INS;1
isse;INS;2
udes;INS;1
at;INS;1
r;DEL;3300
e;DEL;923
ri;DEL;61
re;DEL;156
er;DEL;1899
ir;DEL;323
ov;DEL;23
i;DEL;130
ei;DEL;97
é;DEL;68
dei;DEL;2
vei;DEL;20
ì;DEL;60
ester;DEL;8
ori;DEL;9
mpe;DEL;1
olei;DEL;3
ter;DEL;14
av;DEL;10
jer;DEL;13
v;DEL;18
ve;DEL;2
jì;DEL;9
o;DEL;5
ster;DEL;5
love;DEL;1
odei;DEL;2
ed;DEL;3
te;DEL;5
d;DEL;3
avei;DEL;9
ol;DEL;2
ev;DEL;1
rje;DEL;3
a;DEL;11
gnì;DEL;1
erj;DEL;2
ver;DEL;2
mper;DEL;1
