String;Operation type;Occurrences
bu;INS;58
ō;INS;1386
ātīv;INS;6
e;INS;362
a;INS;499
ā;INS;1148
ābimus;INS;22
ēfēcērunt;INS;1
ūlīginib;INS;1
s;INS;100
ābunt;INS;15
ābat;INS;21
ar;INS;34
ū;INS;342
unt;INS;29
r;INS;187
ī;INS;1146
ērētis;INS;5
issētis;INS;4
erēris;INS;14
īdēbit;INS;1
ma;INS;11
īsītōrē;INS;2
āri;INS;19
ēbāmur;INS;12
ē;INS;908
untur;INS;17
m;INS;678
ēs;INS;89
ābit;INS;16
ōrābat;INS;1
ārāvērunt;INS;1
ent;INS;32
ētur;INS;39
ābam;INS;18
ārem;INS;13
um;INS;77
āverītis;INS;14
ābantur;INS;18
ūderēris;INS;1
ās;INS;70
ātur;INS;33
em;INS;62
īverāmus;INS;2
āvissem;INS;19
ōnēs;INS;93
ōtāverītis;INS;1
īverāt;INS;4
īvērunt;INS;2
ūserās;INS;4
īnā;INS;6
ūdē;INS;2
ae;INS;194
īgēbāt;INS;2
itis;INS;12
imus;INS;11
ēr;INS;12
t;INS;57
ōdātis;INS;1
tāverin;INS;7
ēbar;INS;22
āvissent;INS;14
ālē;INS;9
ēris;INS;28
ōr;INS;183
ōlātīvī;INS;1
ōrum;INS;22
āvistī;INS;16
xissētis;INS;4
ār;INS;70
ūmpserint;INS;2
īpā;INS;1
āmāver;INS;1
ēfīx;INS;1
rīmus;INS;4
ūrā;INS;12
ōnis;INS;28
ārēminī;INS;18
ēbāris;INS;19
ēmus;INS;43
īs;INS;132
tere;INS;3
āvistis;INS;17
ssit;INS;1
er;INS;24
ūnē;INS;1
rexerint;INS;1
ārum;INS;35
ābitur;INS;17
orib;INS;1
āverat;INS;18
ess;INS;2
īsiōn;INS;2
ōra;INS;6
āverīs;INS;15
ibus;INS;37
īt;INS;6
ēminī;INS;47
imur;INS;11
āgā;INS;2
āvissēmus;INS;16
ātī;INS;61
āre;INS;55
īnae;INS;4
ntur;INS;7
ārēmur;INS;19
ātō;INS;126
ānī;INS;15
u;INS;11
rīs;INS;4
āvimus;INS;23
ānūtō;INS;1
ībēbām;INS;1
nī;INS;32
ācī;INS;2
ābitis;INS;28
ūnīcis;INS;1
sserī;INS;1
āverimus;INS;23
āmur;INS;38
serim;INS;2
īte;INS;5
tan;INS;9
tāvi;INS;4
rere;INS;1
āmus;INS;31
rīpse;INS;3
āpī;INS;2
ītī;INS;6
ātā;INS;13
issēns;INS;1
ēnōrum;INS;2
āminī;INS;50
pseri;INS;1
eritis;INS;6
ōnem;INS;30
ātis;INS;35
ūnāverō;INS;2
āret;INS;17
ēbātis;INS;21
ābiminī;INS;22
īvī;INS;11
īnō;INS;12
ōrābimu;INS;1
īverit;INS;2
ētīs;INS;6
īvēndim;INS;1
ti;INS;3
āvisset;INS;15
ārēris;INS;33
ēb;INS;6
erō;INS;8
se;INS;1
am;INS;85
ētō;INS;10
āris;INS;45
ta;INS;6
āverim;INS;25
īnxerāt;INS;1
at;INS;32
sserō;INS;1
ōnum;INS;31
ērā;INS;2
ant;INS;57
ābant;INS;19
ārētis;INS;30
ābō;INS;24
minī;INS;7
ētāmus;INS;1
āvissēs;INS;26
ēbāminī;INS;13
āt;INS;73
ātibu;INS;15
us;INS;32
eret;INS;10
rēbātu;INS;1
rārentu;INS;4
sāvissēmu;INS;2
ūrīt;INS;1
it;INS;24
īnī;INS;14
īcā;INS;4
erītis;INS;8
tāre;INS;3
ōtō;INS;3
mīrē;INS;1
āveritis;INS;13
ībit;INS;2
āverint;INS;39
īvōrum;INS;1
ērēris;INS;2
īgerēm;INS;2
ōrūperint;INS;1
ābāris;INS;22
īcēs;INS;12
īvā;INS;8
ēlābāminī;INS;1
īēb;INS;4
nt;INS;33
ōnāle;INS;2
ēlō;INS;2
ātem;INS;7
xerint;INS;6
istis;INS;5
īcār;INS;1
ōnibus;INS;62
ūdim;INS;1
ārētur;INS;19
ēfīat;INS;1
ōnābam;INS;1
ūtō;INS;3
ārēmus;INS;22
ēcā;INS;2
simu;INS;2
ūcāte;INS;1
ātum;INS;8
ūserit;INS;2
antō;INS;25
īmīsērun;INS;1
rādīcuntu;INS;1
itur;INS;13
ābāmur;INS;12
ēnātis;INS;1
īce;INS;5
ēbiminī;INS;1
ābāminī;INS;28
tun;INS;3
ēbant;INS;15
tāren;INS;5
īmus;INS;3
āveram;INS;26
ītō;INS;4
rārētu;INS;5
īvīserō;INS;1
erēmur;INS;12
ālā;INS;5
īmō;INS;4
ālātō;INS;2
ētis;INS;42
ōta;INS;1
ere;INS;29
et;INS;31
ūpisset;INS;1
erēminī;INS;9
ītābām;INS;1
āvī;INS;18
āverit;INS;37
rība;INS;1
ēbās;INS;18
ēcer;INS;4
ūrriant;INS;1
āverō;INS;18
īna;INS;8
ābātis;INS;18
erer;INS;7
ārāre;INS;1
erīmus;INS;7
āte;INS;24
erās;INS;3
ābar;INS;17
ūtam;INS;1
ūnābar;INS;1
āns;INS;28
mus;INS;20
āgāre;INS;1
xerās;INS;3
sāverīmu;INS;1
ābimur;INS;19
ōrā;INS;16
entur;INS;24
īd;INS;4
stī;INS;6
i;INS;17
sissent;INS;1
ea;INS;12
īc;INS;10
ēcerīs;INS;2
ōrābō;INS;1
ēbam;INS;24
ībā;INS;1
ārentur;INS;21
ājētānā;INS;1
ēbāmus;INS;19
uimus;INS;4
ūdine;INS;2
īrēmus;INS;4
āberis;INS;22
sūmēbāri;INS;1
ōrābātis;INS;1
īde;INS;1
erēmus;INS;15
ēlāv;INS;2
rītis;INS;6
ēns;INS;16
ābuntur;INS;12
īcum;INS;5
ēnā;INS;10
ōsī;INS;12
ēbat;INS;10
ēbunt;INS;1
īps;INS;4
ābis;INS;19
āverāmus;INS;22
rāliō;INS;1
ūrgārēm;INS;1
