String;Operation type;Occurrences
u;INS;1169
š;INS;22
ā;INS;1130
jā;INS;433
a;INS;411
aj;INS;151
dzā;INS;2
ām;INS;279
iem;INS;265
jām;INS;304
o;INS;1277
šana;INS;43
e;INS;132
d;INS;8
i;INS;438
s;INS;582
jam;INS;169
dams;INS;40
esot jā;INS;32
m;INS;47
ēm;INS;98
ai;INS;66
si;INS;79
jo;INS;192
j;INS;313
em;INS;319
lai ;INS;138
ās;INS;40
ja;INS;69
am;INS;173
ļ;INS;13
īsim;INS;4
ma;INS;26
šo;INS;53
jis;INS;57
esot ;INS;38
ļo;INS;8
ē;INS;50
ēs;INS;48
ī;INS;52
īm;INS;8
dzis;INS;1
oto;INS;2
oj;INS;21
ša;INS;7
as;INS;4
iedz;INS;1
čiem;INS;2
ņiem;INS;14
būt jā;INS;43
ju;INS;29
gāj;INS;1
sim;INS;85
ņo;INS;7
žo;INS;6
šļu;INS;1
jošs;INS;14
āms;INS;5
īs;INS;1
c;INS;8
ne;INS;28
jie;INS;12
ji;INS;15
ošs;INS;17
ņu;INS;18
eram;INS;1
us;INS;4
dzo;INS;5
īsi;INS;3
uvu;INS;1
už;INS;1
ž;INS;10
šiem;INS;15
būtu ;INS;29
ti;INS;3
zod;INS;1
ļošs;INS;1
šu;INS;61
do;INS;7
ņa;INS;10
cis;INS;9
os;INS;5
ms;INS;3
jams;INS;10
inā;INS;1
dī;INS;12
co;INS;4
sto;INS;4
cie;INS;2
uļ;INS;3
ļiem;INS;9
ču;INS;8
ļu;INS;16
od;INS;5
ev;INS;1
lohis;INS;1
ams;INS;9
is;INS;12
eva;INS;2
oš;INS;11
šņu;INS;1
da;INS;6
ca;INS;6
di;INS;8
mie;INS;13
žu;INS;7
ie;INS;22
dz;INS;4
to;INS;3
ino;INS;1
ūris;INS;1
no;INS;2
id;INS;2
ņ;INS;14
ļņiem;INS;1
dam;INS;3
inams;INS;1
dza;INS;4
uja;INS;1
soš;INS;2
ļams;INS;1
stie;INS;1
zdam;INS;2
īšu;INS;2
cā;INS;4
āvi;INS;1
tīšo;INS;2
cām;INS;1
dā;INS;3
ļa;INS;3
šļiem;INS;1
ēru;INS;1
im;INS;5
cu;INS;1
lohi;INS;1
dām;INS;1
ij;INS;3
so;INS;1
 jādej;INS;1
ši;INS;1
šanā;INS;2
ēla;INS;1
ū;INS;3
dīšu;INS;5
ērām;INS;2
kām;INS;2
ēju;INS;1
lai do;INS;1
dīšo;INS;3
košs;INS;1
ko;INS;2
šam;INS;1
žiem;INS;4
die;INS;2
ies;INS;1
ied;INS;1
cam;INS;2
av;INS;1
og;INS;1
āj;INS;3
eta;INS;1
gājām;INS;1
mā;INS;4
ērc;INS;1
ci;INS;1
sī;INS;1
gāja;INS;1
ai leco;INS;1
tā;INS;1
bū;INS;1
u ņēmis;INS;1
āvām;INS;2
ku;INS;1
ož;INS;2
ļņu;INS;1
ed;INS;1
ad;INS;1
uš;INS;3
ūma;INS;1
šņa;INS;1
uņ;INS;1
ec;INS;1
tie;INS;2
ki;INS;1
tī;INS;1
nošs;INS;1
sē;INS;1
uva;INS;1
ēj;INS;2
ļļu;INS;3
k;INS;1
odie;INS;1
evām;INS;1
uj;INS;3
nu;INS;1
dzām;INS;1
ini;INS;1
ča;INS;2
āv;INS;3
vā;INS;2
ļam;INS;1
evā;INS;1
šļa;INS;1
ūdam;INS;1
ot;INS;1
 l;INS;1
ka;INS;2
č;INS;2
sie;INS;1
ļļ;INS;1
odo;INS;2
uvis;INS;1
ņi;INS;1
n;INS;1
mē;INS;1
dzu;INS;1
odi;INS;1
ža;INS;1
a;DEL;597
s;DEL;2857
is;DEL;728
i;DEL;319
īt;DEL;45
g;DEL;8
ai;DEL;567
ais;DEL;1129
t;DEL;857
st;DEL;29
āt;DEL;28
e;DEL;327
ā;DEL;41
ī;DEL;32
tie;DEL;28
l;DEL;11
ē;DEL;19
li;DEL;14
tī;DEL;18
ītie;DEL;2
ēt;DEL;34
ne;DEL;24
gt;DEL;12
as;DEL;10
sis;DEL;11
š;DEL;47
cis;DEL;4
ns;DEL;4
et;DEL;6
in;DEL;1
slis;DEL;3
kt;DEL;29
ni;DEL;12
ērt;DEL;1
ūt;DEL;5
dis;DEL;4
zi;DEL;3
tis;DEL;10
agt;DEL;1
lt;DEL;7
nis;DEL;26
k;DEL;11
z;DEL;4
lis;DEL;16
ec;DEL;4
ast;DEL;4
ot;DEL;4
pļāpāšana;DEL;2
sne;DEL;1
d;DEL;1
zis;DEL;5
ie;DEL;4
tē;DEL;7
en;DEL;4
si;DEL;13
urt;DEL;1
n;DEL;15
lnis;DEL;2
sai;DEL;6
ū;DEL;1
lēt;DEL;1
ti;DEL;11
aut;DEL;3
ert;DEL;3
il;DEL;2
di;DEL;1
ss;DEL;2
cūzis;DEL;1
elt;DEL;1
us;DEL;4
cīt;DEL;5
ci;DEL;2
iet;DEL;4
cē;DEL;2
es;DEL;3
le;DEL;3
te;DEL;3
ebūt;DEL;1
ze;DEL;2
irkt;DEL;1
ēk;DEL;1
ņem;DEL;1
ce;DEL;1
cēt;DEL;2
dēt;DEL;1
tum;DEL;1
snis;DEL;1
ētie;DEL;1
lles;DEL;2
oti;DEL;2
les;DEL;1
o;DEL;1
u;DEL;1
c;DEL;2
ll;DEL;1
lle;DEL;1
ut;DEL;2
