String;Operation type;Occurrences
an;INS;20
e;INS;1209
́;INS;179
i;INS;890
u;INS;573
ia;INS;319
ù;INS;303
s;INS;611
è;INS;175
umėme;INS;67
je;INS;53
umėte;INS;57
te;INS;161
a;INS;177
ų;INS;353
á;INS;196
o;INS;347
às;INS;15
ėm;INS;19
ą;INS;209
usiu;INS;14
í;INS;34
ame;INS;40
eñs;INS;1
ĩ;INS;103
davo;INS;169
ei;INS;31
ó;INS;95
os;INS;172
esni;INS;77
m;INS;152
ẽjuj;INS;1
ũ;INS;11
̃;INS;234
ose;INS;45
nių;INS;43
ñtuo;INS;2
me;INS;162
ė;INS;109
oje;INS;94
siom;INS;15
n;INS;5
ì;INS;187
ìgia;INS;1
sian;INS;57
si;INS;64
ètų;INS;3
ąs;INS;115
ã;INS;202
nę;INS;24
odav;INS;33
žių;INS;1
ẽ;INS;97
yje;INS;19
nį;INS;31
èsni;INS;1
mas;INS;82
ote;INS;10
ãle;INS;4
es;INS;33
davome;INS;60
či;INS;46
usio;INS;54
am;INS;62
ęs;INS;31
uj;INS;9
omìs;INS;9
iausi;INS;46
usiom;INS;11
omis;INS;56
iu;INS;59
ome;INS;19
ýlos;INS;2
esne;INS;17
̃davus;INS;1
ki;INS;41
od;INS;2
eĩ;INS;2
ja;INS;66
k;INS;111
davus;INS;62
amas;INS;31
ãvy;INS;1
esnėm;INS;25
iame;INS;29
nt;INS;9
uo;INS;175
nė;INS;24
ui;INS;92
davęs;INS;57
ių;INS;80
ioje;INS;35
õne;INS;2
iamè;INS;2
damas;INS;54
́k;INS;1
us;INS;26
ùtų;INS;2
ìna;INS;3
ẽlį;INS;6
osè;INS;12
omi;INS;31
ùkčia;INS;1
esniuo;INS;22
dava;INS;64
ónu;INS;3
nas;INS;73
jąs;INS;13
aĩ;INS;4
ms;INS;37
esnėmi;INS;20
ýno;INS;3
ę;INS;41
jan;INS;7
iam;INS;27
č;INS;78
ų̃;INS;42
sio;INS;19
é;INS;41
ąją;INS;3
ãli;INS;3
au;INS;135
iá;INS;47
iai;INS;49
iem;INS;29
eda;INS;2
dž;INS;11
ate;INS;22
érk;INS;2
ĩge;INS;1
iojè;INS;1
ià;INS;6
ò;INS;58
enyse;INS;1
om;INS;35
as;INS;70
ñkose;INS;1
ėme;INS;24
ám;INS;23
ý;INS;35
aũ;INS;14
ią;INS;54
do;INS;4
oj;INS;7
ýne;INS;7
õs;INS;10
ók;INS;3
ãtei;INS;2
ókdavus;INS;1
õ;INS;45
nėje;INS;29
ìma;INS;8
jome;INS;11
ìluo;INS;1
io;INS;66
ùk;INS;2
óms;INS;11
esniu;INS;13
esnė;INS;58
ùšdavome;INS;1
ių̃;INS;18
uje;INS;3
se;INS;39
sdama;INS;7
oms;INS;43
um;INS;56
ñ;INS;52
ž;INS;23
iaĩ;INS;20
ãlų;INS;3
sdavu;INS;6
ič;INS;6
uvęs;INS;1
à;INS;34
davau;INS;62
iám;INS;10
jo;INS;34
ĩč;INS;5
niame;INS;22
jus;INS;15
jè;INS;12
ian;INS;18
ìtą;INS;1
ód;INS;3
y;INS;19
nei;INS;22
esniem;INS;26
ènoms;INS;1
ū;INS;22
jęs;INS;14
ỹ;INS;55
čia;INS;12
ìmo;INS;6
sè;INS;3
ne;INS;21
ú;INS;41
ėjus;INS;1
ãną;INS;2
ìmą;INS;5
niù;INS;2
nè;INS;5
óks;INS;4
esniaĩ;INS;3
esniai;INS;6
įs;INS;6
usiomi;INS;14
čiausi;INS;7
ñtą;INS;2
iuo;INS;7
ìjų;INS;2
somi;INS;1
ìklu;INS;1
avėte;INS;2
jame;INS;11
mis;INS;36
mi;INS;7
avęs;INS;7
ès;INS;16
siai;INS;5
ãgi;INS;3
ùkų;INS;3
ėd;INS;2
ãpą;INS;1
čių;INS;7
j;INS;11
iose;INS;12
avome;INS;5
čiù;INS;3
esniù;INS;6
ąlu;INS;1
av;INS;27
end;INS;2
ãte;INS;2
ùmo;INS;5
omas;INS;8
dame;INS;3
ąl;INS;1
ìjos;INS;1
ĩčiu;INS;1
ùkdavo;INS;4
ùkęs;INS;2
íem;INS;1
nių̃;INS;7
ynė;INS;1
ñkos;INS;3
na;INS;12
čiu;INS;4
úodži;INS;2
ýnuo;INS;3
ètoms;INS;1
ndate;INS;1
ĩta;INS;1
niám;INS;2
ãtomis;INS;1
ẽsio;INS;2
ìną;INS;3
im;INS;12
ùm;INS;12
ùšė;INS;2
enčiama;INS;1
óvu;INS;1
š;INS;10
is;INS;1
į;INS;40
ỹko;INS;1
ñtų;INS;2
žiaĩ;INS;3
óbame;INS;1
nd;INS;1
́davau;INS;1
uva;INS;9
de;INS;1
vo;INS;13
vome;INS;2
yra;INS;1
aĩči;INS;1
ãtą;INS;2
ėmėm;INS;1
jamas;INS;13
ója;INS;1
iáusiomi;INS;2
ãmų;INS;1
ãrą;INS;1
ĩgę;INS;1
jau;INS;13
ýną;INS;5
́jus;INS;1
ìnos;INS;2
and;INS;1
esi;INS;1
õčių;INS;1
ni;INS;20
niam;INS;5
usiem;INS;17
yręs;INS;1
usiuo;INS;16
siomi;INS;12
žiu;INS;4
ũją;INS;1
ĩtį;INS;2
iáu;INS;10
esnė̃;INS;3
́ju;INS;1
ẽjų;INS;1
ódav;INS;1
ýdavome;INS;2
ýbes;INS;1
dome;INS;4
