String;Operation type;Occurrences
līt ;INS;6
nõ;INS;45
d;INS;174
ūb;INS;2
žis;INS;9
ūor;INS;8
iž;INS;58
ndis;INS;28
õksm;INS;6
õd;INS;60
ks;INS;62
ndõd;INS;53
dõd;INS;21
um ;INS;52
mõst;INS;17
ņži;INS;11
dõdõks;INS;11
äd ;INS;20
õdõn;INS;29
ndõs;INS;25
ēji;INS;12
ḑi;INS;19
sti;INS;2
ndt;INS;23
lītõ ;INS;6
nd;INS;67
ȯ;INS;5
dõ;INS;29
apst;INS;4
õnd;INS;16
äuvši;INS;7
īdõks;INS;9
ndõdõks;INS;27
didi;INS;10
õks;INS;54
ds;INS;11
ndõn;INS;26
zõks;INS;9
iz ;INS;26
n;INS;108
st;INS;94
õ;INS;120
äuvḑi;INS;7
õdõks;INS;27
ndidi;INS;25
äuvži;INS;8
ngõd;INS;6
õst;INS;28
ztõn;INS;12
ēži;INS;7
um tulmõs;INS;5
īst;INS;17
kõ;INS;5
algõd ;INS;18
gõd;INS;15
ndõst;INS;25
kst;INS;24
õndõd;INS;11
ldõn;INS;2
ät līt ;INS;7
äd tulks;INS;1
is;INS;46
rdõn;INS;1
idi;INS;41
ndõks;INS;26
ȯļļi;INS;6
ņ;INS;2
ät lītõ ;INS;7
sõ;INS;53
õs;INS;27
ši;INS;21
ät ;INS;21
õkst;INS;12
ekšm;INS;1
dõn;INS;83
m;INS;37
dõs;INS;9
kõks;INS;29
ist;INS;45
īzt;INS;9
ndõdõn;INS;27
r;INS;8
stõ;INS;43
ztõks;INS;9
īž;INS;23
ūošõdõn;INS;1
ulmõ;INS;4
apstkõks;INS;2
i;INS;16
õn;INS;58
äb ;INS;87
t;INS;60
s;INS;82
algõ ;INS;21
g;INS;29
dõks;INS;59
ȯlksmõ;INS;2
ȯlkstõ;INS;4
apsõks;INS;2
īmõ tunnõ;INS;2
īb tun;INS;2
īztõks;INS;2
ssõk;INS;3
ndist;INS;25
ekšt;INS;3
līd ;INS;7
zt;INS;29
sõst;INS;4
šõ;INS;15
līb ;INS;13
ndsõ;INS;2
ī vȯn;INS;3
äuvõ;INS;15
ndõ;INS;10
